case,layer,head,without_cot,cot,change
top_10_absolute,8,11,-2.7612071317784928,-2.307078392274918,0.4541287395035747
top_10_absolute,5,4,-2.1015517290900734,-1.1816505855984158,0.9199011434916575
top_10_absolute,5,11,-1.9593577665441178,-1.3694634386288222,0.5898943279152955
top_10_absolute,9,27,-1.930016461540671,-1.8574302974140344,0.07258616412663654
top_10_absolute,11,12,-1.7089294732785691,-1.2221565972946877,0.4867728759838814
top_10_absolute,14,19,-1.5960902045754826,-1.1843640385562801,0.4117261660192024
top_10_absolute,15,30,-1.3692330753102022,-0.9558285949050739,0.41340448040512834
top_10_absolute,4,16,-1.2144154567344516,-0.7513415702354951,0.46307388649895653
top_10_absolute,13,18,-1.1671236075607,-0.8983041223232037,0.26881948523749644
top_10_absolute,14,17,-1.0467047597847732,-0.7551599317981351,0.29154482798663806
top_5_stereotypical,5,6,0.8388888789158241,0.40463770931339604,-0.43425116960242804
top_5_stereotypical,11,8,0.5918846597858504,0.42502010167713233,-0.16686455810871803
top_5_stereotypical,13,5,0.38026922356848625,0.27556507219977705,-0.1047041513687092
top_5_stereotypical,13,20,0.3749137953215954,0.24825855138908579,-0.12665524393250963
top_5_stereotypical,11,13,0.3351441925647212,0.19967148209985439,-0.13547271046486684
top_5_anti_stereotypical,8,11,-2.7612071317784928,-2.307078392274918,0.4541287395035747
top_5_anti_stereotypical,5,4,-2.1015517290900734,-1.1816505855984158,0.9199011434916575
top_5_anti_stereotypical,5,11,-1.9593577665441178,-1.3694634386288222,0.5898943279152955
top_5_anti_stereotypical,9,27,-1.930016461540671,-1.8574302974140344,0.07258616412663654
top_5_anti_stereotypical,11,12,-1.7089294732785691,-1.2221565972946877,0.4867728759838814
