layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.00019458421971292844,-0.00027266438899372297,-0.00012095282801983459,-9.126852921337756e-05,-0.00016885216033632138,2.8851384321241148e-05,0.00015755035353692007,-0.0002809125408473245,-0.0001581793261924228,-7.494807516972127e-05,8.749323394705221e-05,-0.00011308775115943494,-7.313886670183182e-05,-0.00010313582766940946,6.987214909314988e-05,-0.00015416251126371838,-0.00013836814687738974,-3.82841499871468e-05,-5.926534978141308e-05,-6.0622529757324905e-05,-0.00010204570568875761,-0.00013351130321359836,-8.645528313214182e-05,-2.6566798028455285e-05,-2.312003517296907e-05,-6.211269148087597e-05,-0.00012753533331966532,-0.00024350545017794013,-4.403932731208204e-05,-0.00015262081683275008,-0.0005608991347110807,-3.3580000471672964e-06,4.1689686676701225e-05,-0.00022003170909458465,0.00022475921934400766,0.00011909108355287888,6.137983253554904e-05,-1.6508997519883202e-08,-0.00012406923429785394,-0.00016171255454637613,-0.00016157847829875765,-2.2185332189559028e-05,-3.171021827049757e-05,-0.00013585982654691273,-8.024581990902391e-05,-6.807206145843384e-05,-0.00020940922194979706,-0.00015973880624807962,-7.163575339518034e-05,-0.00017595126962698337,-0.00014980457717440153,-0.00021964498576811702,-0.0002286122241089549,-0.0002781854117290609,-0.00018037304954849782,1.0299062400532996e-05,-0.0002120409471530856,-0.00010548147794027579,-0.00022997451175144458,-4.7384050846465383e-05,0.00014739576513382745,-1.9767581732472525e-05,-8.603800501455127e-05,-0.0001136269748165325
1,1.5477746063821844e-05,-1.4519702298273262e-05,-5.743263236600752e-06,1.4026952136450206e-05,0.00012586212787540573,-1.1256450606194773e-05,-2.3162834682624944e-05,-1.9509023213623846e-05,7.116444574205914e-07,-6.916040487661538e-05,-9.751362069104867e-06,-1.86397166040524e-05,1.9797053424638827e-06,6.526708602903118e-06,-1.4074996125177613e-05,-0.00024105983557551547,-4.6384909176693616e-06,-0.00010006368023435288,2.2885076809950627e-05,-5.718769524147925e-06,-6.131676197416608e-05,2.2043645746757277e-05,-1.5137265361530671e-05,-0.00013073008755462362,-1.4835699264017911e-05,1.213554215960278e-05,2.6401671044406087e-05,7.494714028432723e-06,-5.951095671715417e-06,2.97992113285047e-05,2.02418137527002e-05,1.7049533543734427e-05,4.1051045938036805e-05,1.6104581024049505e-05,3.149913938881247e-06,4.846300265673995e-05,0.00011703967136012505,4.8705408750093765e-05,7.106294226992877e-05,1.766263024899925e-05,-3.2893760384906846e-05,-2.3014461529008472e-05,-7.19099028382133e-06,1.4581282173483369e-05,-2.868353818879218e-06,-6.602628138014383e-06,9.562321400587616e-06,7.5266198429734745e-06,-6.753974683246205e-05,1.4710726748008827e-05,1.5383995299858683e-06,-1.9304990175576718e-05,-1.8594266352255635e-05,-3.095998413797091e-06,-3.7368338529443277e-06,-1.2838439167958736e-05,1.087889656732277e-05,1.0504611777090893e-05,-0.0017596452675799478,-0.000851004523408247,2.2110934693482484e-05,3.828362553924147e-05,-0.001012371027843572,-0.04786536195575507
2,0.00025878910776214,-9.115212458003178e-06,-1.1714778173580205e-05,5.469393119067653e-05,-4.5624117679768235e-06,2.7457498692333845e-05,1.4464857588309019e-06,3.045053073784526e-05,1.5886747025310598e-05,-6.086252168013637e-06,1.1205751599931964e-05,-0.00020152608583971454,1.9548046128297162e-05,-1.3264290868733559e-05,3.7494221703643126e-05,7.48799881501126e-06,-1.3197526369918172e-05,-2.0460023985806844e-05,-1.055635255351619e-06,2.6046454496026603e-05,-5.8350159680467346e-06,-1.15685740680999e-05,-1.565353872216146e-05,-1.0125444490851817e-05,-8.10345339816168e-06,-1.7945524290846396e-06,-2.059891717344935e-06,-4.594323995601151e-07,-2.4404750129328372e-05,5.369730915109288e-06,-4.975125193594934e-06,-5.181033417935896e-05,2.6569941865640376e-06,-1.8147727461742545e-05,8.896026010721367e-06,-1.2851852493241667e-06,-2.764962761796305e-06,1.2486585926810058e-05,-1.6383997748258212e-05,3.898493495257916e-06,-4.441462679499825e-05,-7.633709825527691e-08,-6.1202928275649295e-06,2.07783553147966e-06,-5.539431854477678e-06,1.6359981454414073e-06,2.1601268236384095e-05,-2.1858076695050005e-07,3.080565394019866e-05,-1.6948275193969593e-05,2.043249047065724e-06,2.3344444722368952e-05,1.1186365554054504e-05,1.3019353744174556e-05,-4.951958277339833e-06,5.4444624616977656e-05,-0.0002740522149690915,-8.904521211742272e-05,-5.7726072371235485e-05,-4.436679657581896e-06,6.283951927526476e-06,2.1005324398001286e-05,5.3273977080464256e-05,0.00020537872577133172
3,1.945041045945539e-05,-1.6450123788749938e-05,8.784699116213123e-06,-9.53583108073957e-08,-0.0006034219182896607,7.276144662432862e-08,1.969919828576812e-05,-1.5317538629162264e-05,-1.4284524465209225e-05,1.4904239475047708e-06,-5.164420960421365e-06,8.55205801487342e-05,-0.0001632979377682388,1.5016106493892175e-05,-5.2705646564509736e-06,-4.710819124718601e-06,4.439913277964998e-06,-1.3330520943730732e-05,-2.157454704544975e-05,-7.523084665037781e-05,0.00014528588840044264,-9.232872346018527e-05,-1.9194847564250777e-05,-4.001646983139926e-05,-2.4770170609824654e-05,-2.4226859679361557e-05,-2.554225483830709e-05,-7.551268894614374e-06,-2.0590664244554035e-05,2.3341295184659977e-06,-1.952496471985077e-05,-1.7494604550160003e-05,-9.63483886492558e-05,5.484773124005389e-06,1.2101225024794452e-05,-2.4708191698163414e-05,5.598025369391026e-07,1.59680221996497e-05,6.110414395190067e-05,-3.377564804373431e-05,-4.0269521647220527e-05,-1.9710034975678697e-06,2.9905487561646888e-05,-1.0287962061534336e-05,-2.4083437428003758e-05,6.345190626569874e-05,-1.8612941258161254e-06,-3.023688448414809e-05,-8.038610972424343e-05,-5.997047284311549e-05,-6.0442096875109925e-05,-0.0002141112109679016,8.554140985149186e-05,-0.00039659963825228824,-2.3242710379124796e-05,-0.00033061044446001454,-1.5881206119162217e-05,-2.1988966351898648e-05,1.8617843705998399e-06,-8.51555188010373e-06,2.1776924082223898e-05,-2.0544032559836865e-05,6.995451021667134e-06,-9.516266893591464e-06
4,9.645551853550622e-07,-1.3263968076733256e-06,-8.914580350626165e-05,8.670492033255603e-09,3.4785373086519266e-05,-1.9689019293436935e-05,-8.398481354675101e-06,-3.228026749346729e-06,-7.511356698707562e-06,-1.682956184972506e-05,-7.411630078865182e-05,1.4004444342902515e-05,1.7070152327223437e-05,4.438974117174815e-06,-8.514326268145757e-06,-6.506023123324654e-05,-1.4075066669122263e-07,-6.376342404727819e-07,-1.0183467241125244e-06,-4.023942289775618e-05,-9.302841891358765e-07,-3.3928284919636898e-06,7.442907696015621e-06,-9.066058292859551e-07,-2.8486731985915228e-05,-7.027949690361342e-06,7.299579503251524e-06,1.3809391762704326e-05,-1.1287715112157632e-06,-4.006814790209909e-06,2.6255486890764917e-06,1.4075903443215782e-05,-0.0004382642198356815,5.266955086723058e-05,6.83486592751339e-05,7.5241914211379e-06,7.800421554245678e-07,5.810116093488938e-06,2.2433292905940994e-05,6.302633389043763e-05,-5.679138078885037e-06,2.632429217598403e-06,-7.379073264858341e-06,-0.0001378234393193487,-2.9225292877098942e-05,-6.612642884094573e-06,9.219634596773733e-06,-4.1377654066841195e-05,-0.00921427136445282,-0.00012568854701911286,-0.009233301982865028,-0.0001518578676887168,1.189330975398717e-05,2.5922342758641114e-05,-0.00017930710347625038,-0.00021678201609103676,-0.00029856591345065153,-1.4284695480829334e-05,2.58206625703484e-05,-3.797547605284664e-05,-0.00012283601784578423,-5.953448205363619e-06,-3.523785619502537e-06,-1.0131164963407678e-05
5,-1.2954604379432668e-06,-0.00036358202835395773,-0.0001317934056868,-2.6255458388154947e-06,-6.5078911839657945e-06,-0.00021302982788553085,0.00018161738201599877,-4.456213204433517e-06,-0.0009169322256833982,-0.0006947080507110652,2.300641239373464e-05,-0.00032209386648617656,-7.15022643011924e-05,-0.0010403550437323075,2.407449616123466e-05,-0.003396558665827929,-1.6405859245264234e-05,-6.157749524167545e-06,-1.907584135575084e-05,-1.624423309350968e-05,-8.246661167428337e-06,-7.1521599042387e-05,-7.580377178602533e-06,-6.191266092094695e-06,-0.00011127172486875213,-8.692882966473043e-06,-0.00045282236929603843,-1.0292312983985999e-05,-0.00027209041496224594,5.174285141493248e-05,-4.4974803428614165e-05,-2.951741677458518e-05,-7.59660741620692e-05,-8.512879761016744e-07,-3.2703531157828934e-06,2.2698789492960137e-06,-5.245917029935578e-06,-1.1391417560178457e-05,-2.0926774785138085e-05,3.1041341969869255e-05,-0.004284678977595623,-0.0003407126222754921,-0.023486880373206863,-0.006971854012525049,-0.0016175724548881053,-0.0018406849705087346,-0.022735233788464756,-0.007726212540198195,-7.609120629266306e-05,-1.881609499089445e-05,-3.468908808481561e-05,-0.00012377942552435232,-3.692589831333932e-05,-5.587214901872306e-05,-1.4341366495123296e-05,-3.351761682305232e-05,-0.0008081559949734793,-5.0472004400369345e-06,-3.128388772593454e-07,-9.369040684747448e-05,-2.1858569077843307e-05,-9.241412296127213e-05,1.834501678376231e-05,-1.2822004566687852e-05
6,-4.1435808285374625e-05,-7.894672182627094e-06,3.9392673248721954e-05,0.00013792647053106376,-3.4996175136651995e-05,-2.7916704139915153e-05,7.080904107651866e-05,0.00045448053676661217,-0.0002510732334811162,-7.186163082867074e-05,-3.164374378567593e-05,-1.0121253182982225e-06,-9.205920925304227e-06,-8.281991569796946e-06,5.45451190969513e-06,-3.0957333395819957e-06,-6.264783356512366e-05,4.851492299965875e-07,-2.006062270122562e-05,2.6559723682212914e-06,-1.1081766699137259e-05,-1.877746968754624e-05,8.135854445447322e-08,-7.72792090645209e-06,-0.0001525490159238542,-1.14182784138659e-06,5.2065560743839346e-05,-1.8639790710821703e-06,1.181329314774202e-05,3.558865305842723e-05,0.0001260627291999709,-0.005125302619029293,-7.579744135776436e-05,-0.0036955748064059985,-2.0830366865949056e-05,0.0016001316090987372,-4.276726751173423e-05,-0.0012690931980447301,6.29454463515097e-05,-0.00018774163385519297,-1.634997134000815e-05,-6.575083221837362e-06,1.1383412603940298e-05,-4.967601931358862e-06,-8.096367650889447e-06,4.054971934277097e-05,-6.402802796835802e-06,-1.5173514972866716e-05,-4.705072999821715e-05,9.548081499795677e-06,0.00017328461163264823,0.0001697185482792777,5.874956666561192e-07,1.9165663748365088e-06,0.00013441722996835177,-2.0844364494610224e-05,6.490260898473114e-06,-1.012134011592462e-05,1.3137311769427213e-05,6.505831158287163e-06,-2.8029203916554064e-06,-9.237127357204166e-06,1.0623233913018084e-06,-2.3132382500874336e-05
7,-0.004039426272209104,-0.020918174837049674,-0.00020095987591746723,0.00010564788754148035,-0.0005652003685709218,9.926480925894245e-05,7.994572739611883e-06,-0.0003151959114705777,8.661745154593269e-05,-7.87968729507155e-08,1.5942566524318056e-05,-1.3934079252679903e-05,-4.211152521088269e-05,2.382762941040946e-05,2.178823676561699e-05,-1.3954857650744676e-05,-0.00016688015639736555,3.6168549930948635e-05,-5.554807441509795e-05,0.00025848819722450764,0.0004899678288659,2.7054471876559323e-06,0.001862977603600057,-2.5344024930367578e-05,-0.013868345043179452,-0.0013092974259275136,-0.00820560663277261,-0.0019375793721352758,-0.00020809554834811298,-0.00022452416407213688,-0.00015499094513963963,-0.005264246792125617,-0.004720922454040089,-0.008124680581125665,-0.0005957331471344315,0.00763038350319079,-0.000553684806495349,0.0017560156776235604,-0.014389423349930661,0.003342558431005148,-5.690850368782738e-05,-3.588483501410637e-06,1.588447821806022e-05,-1.0435602698235829e-05,6.666599381671083e-06,5.68410323244229e-06,-0.0005890156991078697,2.20959024203095e-05,-1.0603715330019753e-05,-0.00017634054678674298,-8.225240320674177e-05,0.0002594281218849127,-4.0751022543944023e-05,8.33616219318193e-06,-6.473770004559627e-06,4.091642814095604e-06,-9.588029323959231e-06,-2.2922658918008032e-05,-4.349251056137075e-05,3.314995318765446e-05,-2.4673107843321866e-06,1.5170814351170965e-05,-2.1755353311765747e-06,-1.7073299014668664e-05
8,0.0006281412345540376,3.37469544726256e-06,-1.4742272004607967e-05,-8.947366325564529e-06,8.920374359897529e-06,-2.2827227925559835e-05,-6.234767834649107e-06,-1.4683233136515743e-05,-3.123846882702339e-06,8.323791350627994e-06,9.326692656332543e-05,-1.5573906722921963e-05,-1.2438564740169012e-06,4.139102499450189e-06,-0.00015828902416313546,4.880940905033535e-05,6.557685232562513e-06,-2.159545370523814e-05,-1.5501243610278478e-05,-0.0004389472106256455,1.2642113233943591e-05,-1.0819246318373917e-06,-1.1329576886146867e-05,-5.231755511304641e-06,-3.6316389373311225e-05,-1.3251996270644137e-05,2.0229341013338277e-05,-4.693972375799713e-05,-1.8182553368027006e-05,-1.1060304238583634e-05,8.956048931204396e-07,-3.1609036877761494e-05,-1.5951745787821507e-06,-2.2064062161761792e-05,3.0080376687447602e-05,2.947881783618769e-07,-1.4401690118077667e-05,-3.4597737240079234e-05,-4.879417725892676e-06,-7.33222638548304e-05,1.9997916973173125e-05,-7.620171088705758e-07,-5.037866549904046e-06,-3.939844787622142e-05,6.845336358967318e-06,-2.6130548577867636e-05,7.661414356194555e-07,3.85768489246325e-07,7.518718208668773e-06,-1.0201651902258725e-05,2.421157230788006e-06,8.23888565715023e-06,-0.00014853315583238813,-6.338749608194792e-05,-0.00025284082814765874,-3.174837185575745e-05,-1.4380817661417455e-05,1.7571066347307143e-05,-4.022017793976556e-05,-6.922126363595159e-05,-2.134682264324117e-05,7.68144940636772e-05,3.0517609477843343e-06,1.180225836472972e-06
9,7.190415956358324e-06,3.216250898642446e-05,0.00016133073366773838,0.00017926331777653255,2.9015565018862992e-06,3.8004609276613134e-05,0.0001163075648835368,-0.00016316994967675947,-0.0003320276395181842,-0.00034042387379884666,-6.251199870685529e-05,4.272336780158373e-05,5.820279551902262e-05,0.00010619783957860145,5.551657333753087e-06,-0.00012292975720869936,8.9779809721569e-06,0.00011880607461783491,-1.072934055565497e-05,1.2132563637520668e-05,8.573882458497842e-07,3.781689967968653e-05,5.4889801083043505e-06,3.2561682250177674e-05,-0.00024799457320111897,0.00019200747033157805,7.216034096527957e-06,-7.263345568345342e-05,0.0005926241743354853,-1.918545524377584e-05,1.7358763991371504e-05,-0.006702648927532456,2.8447544646849134e-07,1.5564556443790525e-05,0.0001090086637422529,-1.5483611899646435e-06,-1.2699880885912033e-05,-1.0024652158658974e-05,9.687193302407915e-05,0.00011160917289401361,3.552621525485881e-06,0.00028671993494216194,1.1356246059829584e-06,-3.943319540033634e-06,-1.23155475027517e-06,-6.74721614586458e-06,3.303409010377148e-05,4.20845075928716e-05,1.705935269069663e-05,-2.8177217937367335e-06,-1.853490112935175e-05,1.3608955753242061e-05,0.0001536295809815122,3.0777353705015222e-06,6.157616987061123e-06,1.141194371020452e-05,-1.8986051741134114e-05,-2.384193290763099e-05,2.784007203970785e-05,-3.102267846499395e-05,-2.0896118097204797e-05,0.0006065519830153587,-4.263617263646546e-05,9.376492975500499e-06
