layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0005371787331321182,0.000532627105712891,0.00011894919655540912,0.00025111978704279287,0.00026156685569069606,0.00044623288241300916,0.0001491199840198727,0.000676935369318191,0.0005087418989701728,0.0005690834738991455,-0.0011066089976917637,0.000429803674871252,0.0005911046808416182,0.0003488714044744363,0.00015718286687675854,0.00045529278841884913,0.00041263753717594683,0.0005085685036398997,0.00034518675370648723,0.00025311383334072386,0.0006814436479048182,0.00039941614324394257,0.0003540732643821091,2.5879253040667058e-05,0.0010864951393820819,0.0006409124894575593,0.00020187551325016848,0.0008023001930930363,-0.00037470730868250003,0.00014964017001066365,0.002864750948819231,-0.0002856281670656707,-0.001267498189752752,0.0001633384011008546,-0.0012307600541548273,-0.0012291994961825274,-0.00036031549627130454,-2.2339041937481274e-07,-0.0002422332763671909,-0.0007379705255681819,0.00025671178644353634,5.2625482732603984e-05,0.00017309188842774007,2.158771861684376e-05,0.00040010972456499264,-4.352222789418181e-05,0.00036157261241566966,0.00016676295887340994,0.0003364953127774189,0.0004024072126908747,0.00011114640669389997,0.0005341443148526239,0.000545241615989,0.0002749616449529458,-0.00017564946954899091,0.0004085193980824,0.0005718577991832363,0.00016825849359686945,0.0005556453358043363,0.00016476891257547076,0.0002801418304443365,0.00027036666870117496,0.00040851939808238177,0.0006456375122070181
1,-0.0003489608114415591,-0.0001316774975169516,-0.0004133744673295398,-0.00021128220991652728,-0.0020040598782625906,-2.9043717817951684e-06,-5.173683166504077e-05,-0.00033097917383364525,-1.0230324485085227e-05,-5.7282772931182794e-05,-1.2115321376106955e-05,0.0001548257741060999,-6.003813310102983e-06,-2.1563334898516603e-05,5.677613345059485e-05,0.0009405829689719364,-0.00012177770788019212,-0.00012020631269973325,-0.0011916323141618137,-0.0008847821842540283,-0.00013074007901275455,-0.00036399269645864997,-0.00019674951379944965,0.0002237883481112277,-2.211467786267959e-05,-0.0003636391325430198,-9.142268787729091e-05,-0.0001433451067317343,-4.850531166250113e-05,-0.0014851960268887528,-0.00026667659932916017,-0.0005325133150273944,-0.0009915720332752448,-0.00040821595625444056,-0.0010597163980657321,-0.0003553303805264542,-0.0012024532664905961,-0.000504146922718367,-0.000687490810047476,-0.00013603947379371768,-9.660287336866547e-05,-0.000223888592286536,4.023313522349663e-06,-0.0005378181284124235,-0.0002613501115278696,-9.097836234352635e-05,-0.00025268034501507074,-0.00035086545077235744,0.00040199539878151865,-0.0005396089770576949,0.0001302198930219966,-9.558417580339345e-06,-0.00015430016951127203,7.168813185259142e-05,-0.00012992457910017334,-0.00012509389357131243,-0.00044207139448683295,-9.042566472832898e-05,0.001152038574218709,6.0352412137110844e-05,-0.0003603805195201402,-0.0003066062927245855,0.0006945566697553933,0.03963955965909091
2,-0.001509623094038526,-0.000530400059439911,-0.0005522966384887604,-0.0002138668840581499,-0.00021035156466743394,-0.0003215020353143499,-0.0002504634586247349,-0.00153598731214348,-0.00016676295887338777,-0.0005096955732865545,-0.0004986416209827656,7.213245738636368e-05,-0.0009477355263449834,-0.0014108744534578957,-0.0010926994410427999,4.863739013672389e-05,1.3248486952240236e-06,-0.0004080615260384163,8.217651735652577e-06,-0.0005529577081853364,-9.18114727193659e-06,-0.0001727342605590667,-0.0005210204557938896,-5.169686946001749e-05,-0.00013138353824613204,-4.7837468710799586e-05,-4.4009902260526774e-05,-1.0497868061065674e-05,-0.00010410222140224048,-0.00021483139558269997,-0.0002677088434045937,-0.00024162639271128013,-0.00011477687142111924,-0.0002633441578258071,-0.00015984882007944674,-0.0004992972720752983,-0.00012513182379980756,-0.0006013729355551838,-0.0004149783741343855,-0.00011505322022870345,-3.190474076704489e-05,-1.761520450764868e-05,-0.00016182390126316196,-0.00011873787099663044,-0.00022506840865719492,-5.408308722755614e-05,-0.000361312519420252,-8.682771162552188e-05,-0.0008221106095747418,-0.00015412677418099785,-0.0019572864879261274,-0.0002605224197560704,-0.0003305836157365154,-0.0003024448047984582,-8.521296761251557e-05,-0.0008347034454345544,-0.0005577260797673728,-8.015199141067755e-05,-0.0003282807090065565,-8.355893871999079e-05,-7.849931716917696e-05,-6.22380863536346e-05,-0.0009229833429509854,-0.002636996182528409
3,-0.00018268281763249327,-0.0003635233098810244,-0.0007955702868374837,-0.0007092735984108467,-0.000830444422635188,-0.00025273994965987145,-0.0008343078873374012,-0.0001472776586359095,-0.0004729791121049258,-8.800896731287791e-05,-0.00011392073197797557,-0.0005787069147283364,-0.0004598444158380545,-0.0001425959847190021,-0.00023723732341417406,-9.025226939808067e-05,-0.0001162994991649065,-8.82744789123288e-05,-6.23464584350299e-05,-0.00022669271989300243,-0.0010041323575106455,-0.0002039996060457915,-6.253340027548709e-05,-0.00013821775263005184,-0.0001623440872538952,-6.429715590042762e-05,-0.00012055310336025002,-0.0001343461600216816,-0.0001697594469243736,-0.00014887343753466258,-4.868073896927585e-05,-9.403716434132452e-05,-0.0001363754272460693,-0.0003192675384607801,-0.0005872899835759909,-0.00015488537875087358,-0.00021665746515444432,-0.0005869648673317502,-0.0011219978332519247,-0.00011505863883278814,-0.00023135271939364287,-0.00014668703079223066,-0.00023950229991564858,-0.0005717765201221778,-0.0004250136288729632,-0.0002695430408824335,-0.00011153654618695936,-9.00124961679632e-05,-0.00035847317088732994,-0.0002844089811498247,-0.00023720481178973637,-0.0002976520494981149,-0.0005435076626864284,-0.0014449032870205909,-0.0006833076477050636,-0.00021084872159088012,-0.00021780620921739785,-8.44597816467126e-05,-9.214878082274084e-05,-7.750364867123009e-05,-0.0001998381181196636,-6.154992363666645e-05,-0.0001431297172199502,-0.00017511844635010332
4,-0.00012325156818736768,-3.4134496342044724e-05,0.0001317804509943273,-4.9761750481338614e-05,-0.00039769573645154953,-5.465745925903491e-05,-1.7962672493669426e-05,-4.5448541641224835e-05,-6.0856342315659056e-05,-0.00021549788388336625,-0.0006408691406249818,-0.0003110360015522095,-0.00013328682292590248,-0.00021660869771781728,-0.00023958357897669146,-0.0005778616124933294,-8.86703756722537e-07,4.6227465976368303e-07,-2.0807439630681817e-06,1.2289394031883662e-05,-2.6849183169278237e-06,-1.9344585863026705e-05,-2.9693950306277556e-05,-1.6318464821035208e-06,-9.245764125477325e-05,0.00010596622120248424,-0.00015516714616254076,-0.0002271309494972033,-0.0001923170956698189,-5.120580846612252e-05,-9.731000119987523e-05,-0.00045573169534855707,0.00029781731692228586,-0.0009405829689719244,-0.0004917274821888061,-0.0005167397585781893,-8.241222663358356e-05,-7.668408480556846e-05,-0.00044168938289986627,-0.0005732341246171079,-0.0002419298345392267,-4.276904192837944e-05,-7.198073647236946e-05,-0.00018091635270550525,-4.860826513982224e-05,-6.573579528114218e-05,-0.00022407011552290026,-0.00012135776606471775,0.003748807040127818,-0.0009937069632790238,0.012113224376331664,0.00015291571617125101,-4.63790175589506e-05,-1.64563005620783e-05,0.00012736022472378467,0.0001066598025234993,-0.0015910755504261363,-3.825534473764929e-05,-0.0003810955042188892,0.00014197826385498416,-9.89653847434071e-05,-5.998394706032493e-06,-7.763098586689569e-05,-6.0947103933841755e-05
5,-9.991838173430568e-05,-0.0004506544633344909,-9.359012950547926e-05,4.0531158447424655e-06,-4.6925111250432605e-06,-0.0008253617720170273,-0.0004217624664306732,-1.6289678486910734e-05,6.606362082742728e-05,-0.00018995458429508182,-0.00017271800474686545,-0.00038389726118607615,-2.144683491097521e-05,-0.0002356388352133988,-0.0005339492451060886,0.0041251182556152205,-0.00014567917043513143,-0.0001033815470608798,-6.790052760730295e-05,-0.0001130496913736369,-3.108111294833039e-05,-0.00019520521163939917,-0.0005570284344933204,-0.0001278790560635679,-0.00011275031349876393,-2.2861767898904088e-05,-0.0009284452958540363,-0.0007387508045543274,-0.0002395185557278686,-0.0006099180741743455,-0.00018848072398792613,-5.567073822020263e-05,-0.00011442737145856639,-0.00011917339129879494,-0.0001170120456001873,-5.929036573928544e-05,-0.00021412697705353427,-7.58807767521149e-05,-5.8006156574581e-05,-0.0002680691805752818,0.00261103023182259,0.00011241436004639523,0.016141024502840908,0.0055131045254793905,0.0017449192025444588,0.0006158135154030338,0.020890669389204544,0.006780797784978673,-0.00034395131197842004,-0.00018606267192144497,-0.00017403472553599965,-0.00017946416681462838,-0.00017455491152675815,-0.0007114139470186881,-6.288391622629691e-05,-4.280968145890385e-05,-0.0018443627790971121,-8.848580447108502e-05,-4.751997237854061e-05,-0.00030896880409934474,-3.539567643945469e-05,-0.0001441849903626955,-0.0004929629239168904,-6.610849364236898e-05
6,-0.0003107786178588776,-6.244941191237858e-05,-0.0002223578366366206,-0.0005750656127929727,-6.0444528406306353e-05,-0.00018978118896483697,-0.000286254015835845,-0.0011080828579989271,0.0007346760142933273,-0.0002611204981803726,-7.377835837275084e-05,-1.5938823873343092e-05,-4.8717483878126296e-05,-6.959621201861874e-05,-6.449493494898802e-05,-5.3308226845468684e-05,-7.36875967545778e-05,-5.8331272818810696e-05,3.341653130271218e-05,-8.163668892599183e-05,-1.610070466994898e-05,-0.0003191991285844087,-1.564621925354004e-05,-3.488226370376554e-05,4.697320136155387e-05,-3.51670790802184e-05,-0.00027408383109351443,-0.00019589337435634629,-4.685466939751673e-05,-6.224892356178069e-05,-0.00044194134798915453,0.004236394708806818,-1.4792789112471958e-06,0.003211281516335209,-2.1904706954959175e-05,-0.002485448663884945,-2.9124996878870424e-05,0.0010811632329767132,-0.00010283257473598598,9.07074321400081e-05,-0.0001329183578491137,-0.00010250373320144818,-0.00012287091125139218,-0.00012747807936234226,-6.57109035686854e-05,-0.0004157478159124116,-5.96791505813485e-05,-0.00022958083586258808,-0.0002454844388094588,-1.9346956502307545e-05,-0.0003659508445045966,-0.0009490793401544726,-4.65999950062054e-05,-6.90221786498836e-05,-0.0005073547363281245,-0.0001226555217395987,-7.772987539117418e-05,7.153912024064497e-06,-0.00016627663915806188,-1.1932274157350713e-05,-0.00010395591909232901,-3.557990897785051e-05,-0.00016857412728395137,-6.434050473300006e-05
7,0.005494334480979197,0.00870930064808238,2.9585578224888216e-05,-0.00013019821860572826,0.00022291730750690467,-0.0003236423839222091,-0.00011282617395572833,2.9347159645776988e-05,-0.00027257745916192726,-3.3368441191580045e-05,-8.072907274417736e-05,-0.00010150129144840667,-0.0005843422629616273,-9.49339433149733e-05,-0.00024606964804910013,-0.00018739700317380937,-9.096752513537685e-05,-0.0004435886036266003,-0.00014621561223808949,-0.002232464877041891,-0.0014636299826882,-8.867545561358683e-06,-0.004223216663707382,-8.340315385294574e-05,0.016700051047585228,-5.722045898418182e-06,0.005375255237926127,0.0009895671497691454,-0.0001229372891512574,2.147934653542286e-05,-0.00012035803361371151,0.002825021743774389,0.0037479400634765456,0.003922202370383519,0.0004560947418212669,-0.009534662420099446,0.0001908649097789196,-0.0028940114107999,0.011815851384943182,-0.0025854977694424637,-0.00017556277188387332,-9.280985051931989e-05,-9.463050148702359e-05,-9.031458334489303e-06,-0.00011301040649412415,-9.293989701703353e-05,-0.0003745339133522704,-0.00017502091147681662,-0.0001760721206665073,-0.00019884109497070085,-0.0013810938054864908,-0.0004919225519353636,-5.6022947484783916e-05,-4.4595111500108736e-05,-1.6901303421361617e-05,-0.00012614510276099547,-0.00017456778071142559,-0.00015659765763713962,-0.000609311190518458,-1.6775998202243998e-05,-0.0001988410949706895,-0.00048120421442116517,-0.0001928156072443182,-2.0872462879510074e-05
8,-0.0008467327464710548,-6.118958646599931e-05,-6.081096150656927e-05,-7.862529971383119e-05,-6.987831809302216e-05,-0.00018020245161922928,-6.162849339571441e-05,-9.422681548377265e-05,-3.636425191704627e-05,-4.5375390486276355e-05,-0.00041122870011761316,2.492557872402658e-07,-4.922666332936778e-05,-0.0001271529631181103,-4.1395425796495135e-05,-0.0007436925714666091,-0.00010965629057449877,-0.00010789524425159915,-0.00010477378964421831,-0.0009471936659379427,-0.0004382566972212216,-2.8981403871012092e-05,-6.523728370666504e-05,-6.046078421850674e-05,2.5941566987489343e-05,-4.488771611992372e-05,-0.0017667792060158292,-0.0003272565928372174,-0.000326625325463013,-0.0001155950806357428,-0.00027739094697273674,3.430518237028136e-05,-9.74454663016352e-05,-9.716640819201804e-05,-0.00026863271539860254,-0.00025608322837133735,-0.0004234151406721345,-0.00038860738277433655,-0.00029092485254458215,-0.0008247548883611392,-0.00012185356833716676,-2.07837332378703e-05,-7.346543398769112e-05,-0.00037406114014711735,-0.0002205100926485747,-9.258226914838629e-05,-0.0001707862723957181,-0.00010068850083783715,-7.80387358231853e-05,-3.555687991056285e-05,-0.0002510561184449433,-0.00020850788463242355,-5.956129594282046e-05,-9.370933879503515e-05,-0.00026451457630502614,-0.00012738054448907345,-0.0004553794860839736,-8.60149210149458e-05,-0.0001640103080055851,-0.00027010657570576306,-3.408234227787364e-05,-0.00021648406982420173,-1.48618763143366e-05,-1.143325458873402e-05
9,-2.0531090823078872e-05,-0.000116359103809687,-0.0009753920815207877,-0.0008259686556729273,-0.00017296184193002842,-0.00011507760394701383,-0.0005454123020172181,-0.00014591217041016931,0.0002211657437411318,-0.0010462674227627892,-1.0058961131347739e-05,-0.00015993551774457087,-0.00041957335038617473,-0.0009367465972900303,-0.0005744695663452092,-0.0005110028115185716,-0.00022671981291335003,-0.00029405680569735264,-0.00019452246752652878,-0.0002970587123523931,-0.00010969422080298821,-0.0005442242730747258,-0.0005972873080860417,-0.0009280443191528059,2.5619160045277846e-05,-0.0001947012814608544,-2.3630532351407137e-05,-8.648904887112022e-05,-0.0015759901566938727,-0.0005056587132540526,-7.445161992851207e-05,0.0006113702600652566,-5.4255942814052105e-06,-0.0003282048485495614,-0.0006874474612149326,-1.576678319410844e-05,-2.5132840329944822e-05,-0.00012136318466879139,-0.0003822066567160804,-0.00040128014304420935,-0.0001050342213023787,-0.001812154596502133,-1.5363097190856934e-05,-3.3350153402835605e-05,-3.651055422694979e-05,-0.0002482547001405065,-0.00016622109846632286,-0.0014546134255149239,-0.00019680911844425315,-2.0526349544525146e-05,6.009231914174782e-05,-8.557059548117444e-05,-0.00032047791914505597,-6.260655143042848e-05,-0.00010633333162826391,-7.416443391277696e-05,-0.00010417808185922764,-3.147667104548243e-05,-6.852095777336837e-05,-0.0004339434883811194,-0.00013666261326181155,-0.0026571967385032,-0.00031567703593858587,-0.00019849972291425177
