layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.001158555348714189,0.0009892781575520666,0.0008023579915364333,0.0006357828776041444,0.0010244581434461777,0.0011790593465169222,0.0009341769748263777,0.0010937584771050222,0.0006187756856282555,0.0005310906304253431,0.00040732489691842227,0.0005802578396267222,0.0006576114230685556,8.085038926867778e-05,0.0008773803710937222,0.0004261864556206333,0.0004725986056857444,0.0005495283338758667,0.00042608049180769994,0.0005446539984808777,0.00044118033515082333,0.0004349284701876906,0.00033272637261283337,0.00035900539822045555,0.0010117424858940998,0.00048224131266274444,-7.24792480468778e-05,-4.238552517344366e-06,-0.0001726150512695,8.943345811633334e-05,0.0003642770979139457,2.2835201687303127e-05,-0.0005183749728732445,0.0009890662299261888,-0.002116998036702469,0.0010075039333767221,-0.0005203882853190111,-2.130723765326871e-07,-0.0006234910753038222,-0.0013482835557725777,0.0002685123019748333,0.00033262040879988885,0.0006271998087565,0.00016299883524577237,0.0006828308105468443,5.001491970485557e-05,0.0003684626685248363,0.00025010108947752654,0.0005512767367892614,0.00047503577338323333,0.00023661719428167777,0.0006972418891059021,0.0007438659667968555,0.0006773206922742889,-0.0001781781514485566,0.0008765326605902666,0.0009036593967013889,9.781784481470773e-05,0.0008429686228434133,0.0001227855682372908,0.0003927018907334889,-6.304846869576874e-05,0.0007112291124131889,0.0010227627224392334
1,-9.543365902345874e-06,-7.656547758313443e-05,-0.0002393457624647241,-0.0001278453403048809,-0.000131130218505842,-0.0001177059279547714,-0.00025542577107747047,-0.00028408898247611006,-6.467103958129883e-06,-0.00010066562228732222,-8.371141221788195e-06,6.2783559163404535e-06,-2.4040540059407553e-06,2.190801832410434e-05,-6.455845303004947e-05,-1.5046861436599966e-05,-6.56776958041575e-05,-0.0006355709499782889,2.638498942057882e-05,3.3696492513031264e-05,-0.0001495480537414398,-2.1510654025606258e-05,-0.00013953447341917417,-5.0968594021259736e-05,4.743536313374837e-06,-4.7312842475018395e-05,-8.689032660590452e-05,-8.123450809053654e-05,-6.016757753152977e-06,9.23474629719889e-05,1.5990601645597157e-05,0.00010242064793904898,0.00011311637030706667,-0.00014579958385889648,9.453958935206193e-05,-5.753835042316806e-05,-2.2464328342000006e-05,0.00018259882926943206,0.00016327699025473182,0.0003057056003146799,-0.0001517534255981251,-0.0004112455579969555,-9.63807106017976e-05,-0.0001989006996154646,-0.0001528792911105321,-8.736633592180069e-05,-0.0001829995049370486,-0.0001392364501952896,0.00023706091774835567,-4.326634936862903e-05,-7.266468471951475e-05,-8.629428015812456e-05,-0.00014400482177734443,-0.00013166003757052186,-5.07930914560919e-05,-6.157822079127785e-05,0.0001703898111979,-6.93599383036056e-05,3.737873501246059e-05,-7.251236173841411e-05,-3.700123892890221e-05,-0.0001971986558702111,-2.458360460066667e-05,0.0007060898674858669
2,-0.0014868842230902778,-7.724761962887428e-05,-0.00021166271633570242,-2.882215711805347e-05,-0.00018436378902857492,-0.00011414951748316788,-3.4769376118929255e-06,0.00010817580752905201,0.0002218749788072301,-8.855925665958386e-05,-4.1524569193497833e-05,0.0002843009101020112,5.352497100830357e-05,-9.104940626352517e-05,9.083747863769668e-05,-0.0002604590521918222,-3.993345631492004e-05,-0.00029661920335555746,1.540366146299574e-05,-0.00015195210774737776,-1.6987323760989452e-05,-8.53670967949539e-05,-0.0005409121513366532,-5.5021709865979685e-05,-7.766816351149165e-05,4.6359168158637154e-08,-7.677740520898164e-05,3.2865338855319555e-07,-0.00019497672716774342,-0.00017224417792423437,-0.00014036893844602164,-0.00043287004033723634,-1.4247165785899964e-05,-0.00012151400248209358,5.0428840849133274e-05,-0.000127818849351646,-3.181563483342934e-05,-0.00011997752719452517,4.4226646423348877e-05,7.748603820731332e-07,-9.11156336466447e-05,-1.741862959331936e-05,-8.430000808503754e-05,-0.00010309947861563678,-0.00019889738824629724,-4.372662968105323e-05,-0.0001660982767740781,-0.0001085069444444427,0.00011024210188124676,-8.111529880101667e-05,9.293026394313332e-05,0.00014222992791070572,2.1040439605723994e-05,0.0001320044199625533,-1.2848112318256422e-05,-7.692972819009166e-05,-0.0002504984537760222,-0.00022202067905001264,-0.0002820226881239222,-2.4120012919108074e-05,-0.00010660621854992782,-0.0001790788438584889,-0.00019245677524140712,-0.0019302368164062554
3,-0.0002988179524739535,-0.0005455546908908365,-0.0002421869171989983,-0.00023788876003687288,-0.0005264083544413201,-7.906224992538897e-05,-0.0009098052978515444,-0.00018110540178087857,-0.00028475125630694396,-6.571080949570843e-05,-2.331203884550695e-06,-0.0003494686550564,-0.00039948357476126664,-6.989638010658343e-05,-0.0001384019851684369,-8.02013609144263e-05,-5.042552947996658e-05,-9.428130255803941e-05,-4.564887947505263e-05,-0.00018335051006738423,-0.0004620022243923444,-0.0003013544612460437,-0.00014071994357636006,-0.00015629993544683126,-5.87834252251415e-05,-0.00011622574594283531,-0.0003856685426499761,-0.00011826472149952957,-0.00013939539591470104,-0.0001088248358832111,-0.00014511744181314062,-0.00019790066613089628,-0.0003373093075222241,-0.00024933285183374444,-0.0001567734612358802,-8.237361907958429e-05,-0.0001355806986490736,-0.00018816524081758176,-0.00023814042409259749,-0.0002545780605739788,-0.00017837021085949224,-9.23077265421414e-05,-0.0002850559022691112,-0.00023688210381400242,-0.00039011902279322333,-8.795658747354378e-05,8.536709679517768e-06,-0.0002749496036105446,-0.00016582343313427077,-0.00025406148698594,-0.00015343560112844932,-0.0003341303931342016,-0.00043911404079858895,-0.001473638746473522,-0.0004342926873101062,-0.00011417600843640729,-0.0001930130852593,-0.00015552838643388315,-4.514720704818615e-05,-0.00010061264038083506,-0.0003072420756022253,-0.00012026892768011874,-8.620156182183298e-05,-0.0002625518374972557
4,-4.1226339009072355e-05,-2.173582712809245e-05,-9.902318318682323e-05,-3.623300128511593e-05,-9.093019697388412e-06,-6.0578187306708814e-05,-3.653764724730473e-05,-3.050267696380511e-05,-8.276767200891465e-05,-0.00011475880940753334,-0.0004225836859808889,-1.3172626495350212e-05,-7.498264312742056e-05,8.576446109348636e-05,-0.00016209814283581648,-9.494357638886042e-05,-1.8558154503504436e-06,-2.0232465532090928e-06,-4.7071112526787656e-06,-0.00017038981119788752,-1.193086306254069e-05,-5.867114911475312e-05,-4.539059268099538e-06,-9.97218820783827e-06,-0.00017979492743807203,-6.420744789969231e-05,-8.890363905163472e-05,-9.251965416803686e-06,-0.00022644466824000003,-4.305442174274327e-05,-4.686249627006997e-05,3.8961569468172e-05,4.588233100043543e-05,-0.0004148218366834811,-0.000850306616889089,-0.0004780954784817003,-0.00028883748584321794,-0.00011520253287418765,-0.00020619564586214507,-0.0003113481733534064,-0.00011157989501952292,-4.4736597273075826e-05,-6.802214516531662e-05,-0.00014040205213757917,-0.00010612275865338715,-1.4354785283406576e-05,-0.00012000401814776771,-0.00029863251580129323,5.238586001925299e-06,-0.001108275519477,-0.0005778206719292223,-9.563234117304688e-06,-7.26547506120199e-05,-1.1895265844133166e-05,-4.543198479546441e-06,6.147970755894979e-06,-0.0036330752902560995,-0.00011191103193491814,-0.00028293476336531056,-0.00012887186474268693,-0.0001778337690565099,-3.420975473191725e-05,-5.727344089082744e-05,-6.946424643195767e-05
5,-0.00012541479534570386,-0.0010436375935872302,-0.00040266248914927775,-0.00011734167734781208,-0.0001139905717637415,-0.0012723075018988778,-0.0006462600496080034,-5.493892563713783e-05,-0.00013188521067299211,-0.000708474053276911,-0.00026210149129229996,-0.0012449688381618673,-0.00020565258132084637,-0.0007372962103949507,-0.0007340510686238371,-0.0015657212999131776,-0.00022927920023597067,-0.0001484685473971699,-0.00011349386639062781,-0.00015266736348467795,-8.905596203273572e-05,-0.00023987558152939497,-0.0003433757358126986,-9.49965582953441e-05,-0.0005111164516872746,-4.013503591219584e-05,-0.002305613623725033,-0.0008119477166069778,-0.0007465349303351425,-0.0009765624999999888,-0.00012181202570596777,-0.0001427531242370397,-0.0001293023427327269,-3.533893161348368e-05,-0.0002099987533357221,-8.794178979263532e-05,-0.0001562039057413647,-5.650520324705781e-05,-2.5365087721083597e-05,-0.00022951761881508884,-0.0002894931369357493,-0.0002608829074435555,-2.0768907335069445e-05,-0.00033378601074215557,-0.00017911858028834816,-4.920694563122352e-05,-1.3775295681433345e-05,-0.0003003544277614983,-0.0006374782986110965,-0.00010901027255587204,-0.00021743774414060071,-0.0004353258344861946,-0.0001784960428873531,-0.00039853486749857707,-9.187724855209518e-05,-0.00013343493143715433,-0.0039059321085611887,-7.025400797524444e-05,-0.00010103649563257604,-0.0003484355078803043,-5.488263236151593e-05,-0.00037556224399140436,-0.0005648401048448169,-8.35657119750737e-05
6,-0.00029007593790688816,-7.122755050656748e-05,-0.00020138422648109617,-0.0006847911410861424,-0.0003156397077772172,-0.0005854898028903517,-0.00027709537082245764,-0.0017439524332682438,-0.0020520952012803764,-0.0002433194054497196,-6.530971990689832e-05,-4.2537848154697526e-05,-0.00010800361633299601,-4.3710072835279854e-05,-7.991658316717514e-05,-5.230887068640844e-05,-0.0001768536037868618,-6.705853674145198e-05,1.7810198995800053e-05,-0.0001534488466050619,-6.298224131264608e-05,-0.00048467848036022224,-2.329879336886936e-05,-2.8295649422539605e-05,-1.3322052028444079e-05,-7.152557373045834e-05,-0.00015814767943486072,-0.00025384955936004553,-4.1815969679083427e-05,-2.502318885591295e-05,-0.000337461630503331,4.9034754435210246e-05,-4.4729974534767444e-05,-5.7889355553526604e-05,-4.620022243922639e-05,-0.0026445388793945443,-0.00010992421044240999,-0.00020147694481740793,-0.00018166667885247877,-0.00013136863708494012,-0.00039174821641708264,-0.00023229916890459912,-0.00017514328161875474,-7.157027721403571e-05,-8.030070198904952e-05,-0.0005557644698354724,-0.00016889307234021518,-0.00023855103386772345,-0.00024000803629555556,2.0258128643028252e-05,-0.00017515818277993888,-0.0010983149210611889,-5.186266369289405e-05,-6.895595126680192e-05,-0.0008235507541232555,-0.00016555272870591727,-7.510185241706165e-06,3.2517645094129775e-06,-0.00015099843343095555,-1.8378098805745444e-07,-1.894103156195538e-05,-4.192855623033242e-05,-0.00010330561134549751,-0.0002281930711534177
7,-0.00033956103854708647,-0.0003228187561034892,-0.00013666682773163665,-3.737873501245226e-05,-6.032321188183076e-05,-0.00032609038882783496,-8.089674843679857e-05,-0.00023407406277123268,-0.0003831651475694257,-2.5388267305154233e-05,-5.287594265407708e-05,-0.00010710954666135821,-0.0011159049140082335,-0.00024281607733829064,-0.0004356702168782503,1.0424190097380815e-05,-0.0002471605936686236,-0.0003888871934678445,-0.0001423557599385326,-0.0026718245612250436,-0.0015593634711371556,-1.3841523064507379e-05,-0.006262885199652788,-0.00010156631469724202,5.6240293714711586e-05,-0.0018245908949110223,-0.0001402431064181802,-8.105569415620343e-05,-0.000459829966227211,-0.0002701017591688111,-0.00017799271477592898,-0.0003354549407958887,-1.872910393608316e-05,-8.403261502582779e-05,-6.145901150173611e-06,0.002157105339898011,-1.7219119601779514e-06,-0.0024581485324435774,-3.872977362736665e-05,-0.0011355082194010333,-0.0002386834886338941,-5.329979790582084e-05,-0.00015399191114635712,-1.8609894646538628e-06,-0.00011332829793291596,-0.00010985798305933873,-0.0011196666293673998,-0.00021455023023815814,-0.00026605195469323875,-0.00034740236070419895,-0.0016767713758680444,-0.0005910827053917667,-5.224347114561946e-05,-3.6514467663226114e-05,-1.7719136344061957e-05,-7.723437415227456e-05,-0.00011926227145722153,-6.429354349770088e-05,-0.00047932730780706075,-0.0009100172254774001,-0.0004008611043294038,-0.00021590126885304443,-0.00032753414577906144,-0.0005304548475477334
8,-0.00047903590732150184,-1.7013814714209417e-05,-3.3648477660285105e-05,-7.173750135631772e-05,-5.77105416191862e-05,-0.00024501482645668417,-0.00010650025473700559,-0.00018400616115993646,-3.941853841144757e-05,-2.237161000569453e-05,-0.0005414221021864079,-3.3896830346842285e-05,-3.381570180255564e-05,-0.00021696090698239618,-0.000274459520975732,-0.000693029827541755,-6.689296828373353e-05,-0.00020452340443927303,-8.447964986163594e-05,-0.0015672047932942666,-0.0004988246493869223,-5.145867665606849e-05,-9.866555531819105e-05,-0.00015046861436629998,-0.00039407942030163196,-0.00022333529260421643,-0.0006462203131781775,4.959106445313334e-05,-0.00018268161349822707,-0.00021023220486108055,-0.0002660685115390197,-0.00015170706642996646,-5.706151326495312e-05,-8.530749215019691e-05,-0.00015861458248560685,-0.00018835067749022323,-0.0001881387498643448,-0.00011283821529809991,-0.00016143586900498578,-0.00024191538492837709,-0.00011381175782943686,-1.223550902472602e-05,-6.361140145194536e-05,-0.0003180901209513093,-0.00012482537163626182,-0.00011954704920447444,-0.00027042627334594174,-8.214513460793105e-05,-7.83536169263871e-05,-1.1742115020751953e-05,-0.00019473499721948593,-4.1723251342356623e-07,0.00031818283928764846,-0.00022284189860023054,4.0849049886078465e-05,-0.00044430626763238755,-0.0009151829613579741,-0.0002569291326734248,-0.00010093715455793822,-0.0002697043948703189,-5.137920379637352e-05,-0.00017035669750636365,-1.061862955490748e-05,-1.2258688608805338e-05
9,-4.217359754773611e-05,-3.5200681951303263e-05,-0.0007127655877007302,-0.0011274549696180444,-0.00012883875105114574,-3.684850202665555e-05,-0.00038830439249671494,5.139244927309021e-06,-0.0003178914388020555,-0.0007988611857096423,-4.1524569193508947e-05,-0.00017775429619680522,-0.00048128763834634513,-0.0006662474738227018,-0.0005560848448011312,-0.00031100379096134754,-9.408924314709163e-05,-0.00020143720838757255,-0.00021101699935065097,-0.00015081299675832654,-7.532702551946936e-05,-0.00018906924459669255,-0.00037924448649085556,-0.0005170371797349564,-0.00018278592162660555,-0.00019239054785833237,-5.1180521647117356e-05,-0.00023338529798716144,-0.0019379258155822624,-0.00010201666090223177,-3.419982062445399e-05,-0.0019974178738064114,-1.780688762664795e-06,-0.00042565663655597775,-0.0012265311347113702,-1.6404522789849176e-05,-3.3113691541880556e-05,-0.0002301136652628428,-0.0006998380025227892,-0.0007194843557145748,-0.00024716721640691844,-0.0013894372516208148,-1.6543600294325086e-05,-9.896564814777618e-05,-9.026792314315686e-05,-6.853209601509185e-05,-7.21878475613078e-05,-0.0005965762668185847,-0.00014673338996038315,-5.080468124813505e-06,-0.0008006625705294778,-0.00013249450259737594,-0.0004459619522094609,-3.5915109846317315e-05,-0.000139660305447025,-5.7631068759479783e-05,-0.00030112266540525327,-0.000203069713380585,-3.677937719555944e-05,-0.0005856619940863333,-0.00014230940077036665,-0.002697414822048599,-0.0005912250942653774,-0.0002533329857719981
