layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0004112580243278941,0.00047591153313132444,0.0009872773114372592,0.0008089963127584882,0.0005790766547708039,0.000668778139002174,0.0009342922883875122,0.0003173211041618818,0.0007232217227711236,0.0001929788028492647,-0.0006847942576688883,8.720510146198235e-05,0.0006027221679687471,0.0010342878453871883,0.0004288729499368118,0.0003348518820369941,0.0003984114703010117,0.0003161149866440706,0.0002465248107910117,0.0005285599652458529,0.00035908642937155296,0.00025120903463924705,0.0004635137670180294,0.0006854954887838706,-0.00016989427454329413,-2.4332719690655422e-05,0.00047930549172792354,0.002996108111213235,0.0005947281332576906,-4.3195836684352984e-06,0.003180952633128447,0.0003532574457280566,0.0016755496754365707,-0.0002479553222656176,0.0009702794692095588,0.0006083320168887824,0.0003215565400964941,1.864494098459973e-07,8.392333984374122e-05,0.0013975255629595528,0.0003243895138011163,0.0005257550407858235,0.0005850230946260102,0.00031762964585246547,0.0006338848787195529,0.0006362129660213411,0.0002089668722713717,0.0004355486701516331,0.00017533582799574173,0.0002711239983053585,0.00022335613475125716,0.00017053940716912206,0.00045052696676814154,0.00032147239236268233,0.000378861146814666,0.00044455247766829394,2.7263865751365603e-05,7.095757652728984e-05,1.4108770033884937e-05,5.851072423596269e-05,0.00020449301775761478,0.00017631755155675258,-1.8091762767117623e-05,0.00016476126278147646
1,0.00014081947943741515,1.869482152600984e-05,0.00020011032328886365,0.00017157722921930439,0.00038138557882868955,6.556510925296465e-06,0.00017673829022574246,0.00015340833102955813,2.510407391716452e-06,-5.060083725872022e-05,-5.1330117618369495e-06,0.0001295173869413477,2.703245948342716e-06,5.407719051135513e-05,0.00025918904472797843,0.0009967579561121177,1.8232008990129053e-05,0.0004281576941994971,0.0007812485975377608,0.0005149140077478723,-4.2158014634087486e-05,0.00019089351682101833,0.00010918519076177585,-2.875047571528406e-06,-2.6317203746117694e-05,0.0002221802578252706,5.4659212336817765e-05,9.632899480705373e-05,9.923296816206946e-06,0.0007066656561458594,0.00013720287996177435,0.00030320707489460695,0.0006218017900691114,0.0001863136011011254,0.000469588181551761,0.0003984114703009981,0.0008923025692210327,0.0004238591474645168,0.0005765136550454333,0.00018306514796087163,0.00012680362252627127,0.0004064616035012491,1.992197597727045e-05,0.0004560807171989794,3.211638506720624e-05,2.8271885479180686e-05,0.00016122004565069005,0.00011138355030732151,0.00013958706575280743,0.0002917892792645514,0.00015137826695159592,2.9500793008239108e-05,-0.00013926449943992003,0.0002619729322545404,5.266245673669079e-06,3.674451042614336e-06,0.0002253756803624737,0.00010395225356605883,-0.0011356578153722116,-0.0006061161265653711,0.00030271095388074634,0.0002608842709484917,-0.0005682180909549217,-0.03728889016544118
2,0.000625896103241856,0.00024094038149889333,0.00015719497905056237,0.00011343530872287089,0.00018787515514036084,0.00025582313537595797,0.00013115826775045072,0.0008086492033565749,0.00012886962469885044,0.00024958217845243456,0.00019431114196775522,0.0006796892951516529,0.0002579171867931491,0.0007460257586310816,0.00021906109417185436,0.00034350507399614463,3.566198489248193e-06,0.00020642841563503484,-1.2993812561035156e-05,0.00028077293844783527,-9.075683705947164e-06,7.576100966508455e-05,0.00022691838881546322,1.9879902110387658e-06,8.247880374682179e-05,3.458384205311911e-05,6.407674621132747e-05,6.4683091991087976e-06,1.4750396504116154e-05,0.00014233589172361533,8.569044225355275e-05,4.119031569536517e-05,8.623039021211255e-05,-5.705216351676562e-05,1.872462384840672e-05,0.00030793863184309456,8.122973582322683e-05,0.0003552717321059165,0.00017274127287021757,4.092560094945204e-05,-8.200897889974887e-06,1.1643942664655722e-05,-1.3193663428810915e-05,7.556115879730071e-05,6.273564170387548e-05,2.5842119665704653e-05,4.49278775383312e-05,-2.2218507878916196e-05,0.00041228883406694574,-3.231974209055243e-05,0.0007507660809685033,0.00022890988518209026,0.0001342226477230223,0.00024534674251778984,-3.0196764889872515e-06,0.00020739611457374705,-1.6759423648547397e-06,-1.45295087028954e-05,-1.8105787389416455e-05,7.944071994106953e-05,6.90291909610386e-05,0.00015052627114688758,0.00019309801213879287,-0.0004689833697150765
3,0.0001500932609333636,1.5251776751252567e-06,0.00016481385511509555,0.0001838102060205743,-2.2236038656797908e-05,4.305909661686216e-05,0.000290954814237691,2.9083560494820386e-05,-9.682599235982206e-05,-1.9985086777615715e-05,3.9984198177558e-05,1.8175910500929424e-05,-0.00011281406178194117,-1.8021639655610203e-05,1.0574565214270775e-05,-3.520180197322812e-05,6.114735322839523e-05,2.6960583294134408e-05,-1.5632194631242155e-05,2.2595419603230078e-05,-0.000406770145191875,-4.616905661189338e-05,2.694831174962606e-05,-1.744312398574189e-05,7.596261361064691e-05,3.859576056983915e-05,0.00011104345321653692,0.00012765605660044064,2.2467444924740622e-05,9.160707978641067e-05,-3.089186023263425e-05,6.668970865361886e-05,0.0002539017621208533,0.00019103989881627426,0.0001678116181317413,-1.9007965045811796e-05,0.00011962520725584903,0.00019257208880254476,0.0004629107082591197,2.946923760806097e-05,5.633471643224291e-05,7.421654813429522e-05,0.00014673962312584712,0.0001924782991409276,0.00011302443111642693,0.0002767268349142455,7.733176736270129e-05,2.2193964789890854e-05,-7.953012690823225e-05,-3.786998636583146e-05,-2.7362038107476013e-05,-5.049915874704748e-05,0.0002538544290206076,-0.0006854113410500941,-0.0002288257374482761,-0.00012713320115032877,4.601653884438669e-05,4.3655143064608345e-05,7.304899832780041e-05,1.541305990780689e-05,0.00017695567187139903,4.5580022475289886e-05,6.461844724767311e-05,2.8918771182780337e-05
4,2.0658268648032444e-05,6.6533684730529785e-06,0.00021433830261230065,2.0205974578848416e-05,0.00011170962277579073,7.747069877733767e-06,-6.033217205720788e-06,1.3428575852343336e-05,1.3060429516914643e-06,0.00021192256142110578,6.139979642981176e-05,1.9087510950407437e-05,-4.663186914767327e-06,0.00013021160574518958,5.501859328324329e-05,4.994869232178948e-05,1.936603118391598e-07,-5.03407243420096e-07,-9.029720197705661e-07,-3.156241248635427e-05,-2.3765160756952623e-07,-1.0943588088540472e-06,-4.907040035022361e-05,3.4623286303351883e-08,-3.993511199951116e-05,-3.3146318267413953e-06,4.6211130478796044e-05,5.349889397620235e-05,0.0003896934144637149,9.881222949300236e-06,4.966995295355125e-05,0.0001408067696234702,-0.00023473010343663613,0.00017347405938540562,0.00015108374988330082,9.928030126233925e-05,-1.150019028611947e-06,-5.977995255419662e-07,0.00021591190906129984,0.00032961368560789845,3.8196058834309886e-05,2.3207243751074883e-05,-2.114211811737992e-05,-0.0001461786382338466,4.8630377825564475e-05,1.1970672537301337e-05,5.169125164256781e-05,-4.411444944493341e-05,-0.006108676686006424,-0.0005217720480526172,-0.01304132798138786,-0.00013245839406461266,7.724956444956373e-05,3.7463272319072733e-06,-0.0001607191036728873,-0.000141943202299201,-0.0014323346755083855,-2.689046018263579e-05,3.6344808690684516e-05,-5.882978439330945e-05,-0.0001179049996768591,-2.5743947309606214e-06,1.9201734925016536e-05,-9.248361868016494e-06
5,-3.811892341163713e-05,-0.0003490518121158291,-9.276235804837447e-05,6.815966437829222e-06,9.001353207755737e-05,-0.0003721573773552294,-4.518733305088822e-05,-8.249326663858751e-07,-0.0005774778478285647,-0.0006779502419864412,6.882057470432898e-05,-0.0005193247514612528,-3.98720011991398e-05,-0.0006867296555463062,-0.00017303578993852847,-0.004525128532858439,3.1811349532177044e-05,4.503481528337399e-05,1.0457109002540973e-06,1.8086503533747026e-05,-3.0897996004880804e-05,-6.720653789885326e-05,0.00015044256168252325,4.3478301342782277e-05,-0.0002034551957074069,-5.600645261650491e-06,-0.0004578267826753441,-0.0001710442935719,-0.00023688814219305522,-5.789364085477682e-05,-2.5616849170001707e-05,-3.315990462022118e-05,-2.9040610089018814e-05,4.41017122391293e-05,-2.1543901632810168e-05,-2.927289289584975e-05,6.128365502636616e-05,5.334177437948009e-06,-1.1899563319546138e-05,0.00021603878806619232,-0.0031869551714728767,-0.00025203473427714765,-0.019778980928308824,-0.006103066837086371,-0.002276518765617795,-0.0007814519545610961,-0.021514892578125,-0.007435742546530311,-0.00012386721723218826,-8.947709027463788e-06,-2.027259153478194e-05,-0.00011257213704726073,-1.656461287946931e-05,8.00104702220056e-05,2.0736718879052274e-06,-4.138578386867251e-05,-0.0008746595943675348,2.341586000779445e-05,2.563328427427176e-05,-4.9724298364965764e-05,1.0883654741679185e-05,-0.00010630839011249248,9.32725036845552e-05,1.1194716481610864e-05
6,5.1330117618365785e-06,1.4221843551157536e-06,2.0840588737936397e-05,-0.00028562545776365756,-6.427835015690251e-05,-0.0001769065856933419,1.851250143612507e-06,-0.00015309277702780003,-0.0007324779734892118,-0.00015967733719768747,8.779413559860113e-06,7.320852840643566e-06,1.8608701579715796e-05,5.658233866971291e-05,4.580529297098806e-05,-9.847366634544543e-07,-8.787477717678361e-05,4.263923448676656e-06,2.2414852591118588e-05,-2.5782515020925217e-05,-3.114868612849752e-05,-4.043999840230768e-05,4.943241091335521e-06,-2.036024542415549e-05,-0.00012522278463138336,-1.371783368727736e-07,3.766312318689885e-05,-0.00011253882856928129,7.567160269788931e-06,2.4816569160007496e-05,-8.914049933937977e-05,-0.004680857938878676,-0.00010404166053321789,-0.003290400785558341,-3.278956693760607e-05,0.0010696859920726234,-2.5444171007938627e-05,-0.0012277995838838119,-4.9570027519665666e-05,-0.0001797930282704759,-0.00012408985811121213,2.02848630792868e-05,-6.134019178498655e-06,-4.251213634714626e-05,9.641927831311903e-06,6.580002167644833e-05,1.1843793532426516e-05,-1.9424101885621412e-05,-0.00011387993307672721,1.5821527032291188e-05,-3.730549531817653e-06,-0.00017003452076631766,7.4891483082538595e-06,-1.400183228885647e-05,0.00010804569019991544,-3.6143204745124917e-05,3.9500348708204826e-05,-7.571542964262121e-06,0.0002924379180459186,-2.73743096519919e-06,3.1800831065442416e-05,1.0935699238491337e-05,0.0001427864327150216,-5.1105723661505875e-05
7,-0.005086450015797306,-0.013756247127757353,-0.00026778613819793985,-8.238063139071985e-05,-0.0003593599095063777,-8.80325541776681e-05,2.6376808390894185e-05,-0.00042799641104304665,-5.511676563935772e-05,1.5784712398753446e-05,-1.1710559620512396e-06,-4.198621301089832e-05,-0.00020456314086912883,-0.00012349030550786962,-1.402462230064326e-07,3.796465256634789e-05,-0.00016014716204473171,3.558046677533612e-05,-0.0001682753072065315,-0.0006734062643612176,0.0004483391256893357,-2.9440311824569044e-05,-0.0002367356244255529,-1.7825294943407628e-05,-0.013765222886029412,-0.0014638339771944058,-0.005827959846047783,-0.0012137469123391237,-0.00020551681518553124,-0.00019856060252469097,-0.00019053851856902152,-0.003451852237477012,-0.004652135512408077,-0.006050334257238041,-0.0005680533016428945,0.01084035985610067,-0.0003643947489121216,0.0006587645586799177,-0.014210420496323529,0.00283169045167811,-9.867724250344119e-05,-2.8680352603670684e-05,-1.6226488001207444e-05,-1.3494097134646248e-05,-4.4598298914244475e-06,-3.415170837850065e-05,-0.0003329164841595719,-3.058770123648208e-05,0.00010171357323140593,-0.00013808643116669303,-0.0002734240363625941,-7.196734933289333e-05,-9.91803758284588e-06,-9.480644674867647e-06,7.089556140058181e-07,9.45504973916213e-05,6.868098588550113e-05,-1.0893625371597129e-05,-0.00013418758616725882,-0.0002852047190946588,-0.0001745294122134892,8.903531467211605e-05,-0.00012866188498102463,0.00011315065271713934
8,0.00029524634866153165,4.392949973834469e-05,2.2023039705624107e-06,-3.4681137870325076e-05,-2.0374270046451172e-05,-4.7478605719162994e-05,1.2182137545423953e-05,1.8075985067029312e-05,-5.539725808539798e-06,1.7332296599360072e-05,-9.547962861902353e-05,8.334131801826679e-06,1.0732342215144602e-05,3.383440129897652e-05,-0.00012517413672277877,8.416526457842714e-05,-8.498044574958264e-06,-8.026291342342271e-05,-5.310072618360902e-06,-0.0003924650304457764,-6.790722117702702e-05,-1.1714065776149931e-05,-1.7320408540608363e-05,3.470743403714014e-05,0.00018081244300392706,-7.101498982484646e-05,0.0005348850699032007,0.0003140814164105407,2.50142286805564e-05,-3.701097824994182e-05,9.169298059798676e-05,-0.00012225789182325342,2.348335350260684e-05,-1.2215446023380788e-05,-2.6660806992475457e-05,-5.864220507006409e-05,4.035234451292824e-05,-1.6758547109725638e-05,5.774024654835727e-05,-9.81443068560307e-05,-5.2928924560525184e-05,1.6551245661342846e-06,6.672652328720385e-06,0.0002479272730210131,4.933160894056981e-05,-4.8377934624150135e-05,-4.122362417324446e-06,-1.2892134049350114e-05,2.655912848075311e-06,-2.284610972684127e-05,6.614548756794851e-05,0.0001620054244994869,-0.00020957519026363887,-0.00011464076883652447,-0.0004476378945743229,0.0001638829708099343,-0.00011423054863423428,-1.200507668887684e-05,-1.966953277588442e-05,-6.147693185244702e-05,5.13914753408993e-06,-2.0630219403426197e-05,-4.555372630848604e-06,9.302707279426405e-06
9,-1.3880869921514499e-05,4.1460289674132037e-07,9.110394646141767e-05,-6.622426650102151e-05,8.56275505879269e-05,-1.48242449059171e-05,4.6365401324093194e-05,-0.0002004960004021353,-0.00031602032044354423,-0.00020641439101274722,4.7674950431386004e-06,3.217598971197558e-05,-3.307005938362262e-05,1.1794707354372529e-05,-3.967916264253467e-05,-9.70153247608663e-05,0.000100570566513949,-6.521449369537777e-06,9.362311924204444e-05,0.00014408896951112113,1.9774717443127027e-05,0.0002714150092181019,0.00041185582385341033,0.0003012769362505666,-0.0002405976547914207,3.1849917243510935e-05,5.76972961425592e-05,2.183721346013098e-05,-0.00024871265186981925,1.0271940161124747e-06,0.00014390664942122325,-0.003091307247386263,1.6856938600540161e-06,0.000351541182574091,-0.00023398679845470903,-7.012311150046056e-09,7.387469796571945e-06,-2.158126410315761e-05,-6.334921892950376e-05,-9.863516863652325e-05,5.321642931769104e-05,9.203658384436386e-05,4.680060288485359e-06,1.0898008066065171e-05,2.0246295367963383e-05,0.00020931748782885561,7.413459174772462e-05,0.00024233144872328627,8.267514845893703e-06,1.1686345233636744e-05,0.00015230038586784372,2.2220260956718413e-05,0.00018017432268928885,5.01459135728608e-05,3.732017734471159e-05,1.2598931789392677e-05,5.724675515115461e-06,-1.3982548433191638e-05,3.13520431518448e-05,-1.671033747056539e-05,6.183455972109475e-05,0.0002178234212538775,8.951215183032376e-05,1.6585868947642886e-05
