layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.00015379209424439094,0.0002414791578592197,0.00012388655956809097,6.624457508980951e-05,0.00014407061735186667,-5.446897482130912e-05,-0.00017574323317243672,0.00020991355022578133,0.00011864966565320971,3.05725282751503e-05,0.00021759211068084685,7.946966632556811e-05,-5.275359019987348e-05,3.267798665981606e-05,-0.00013073869868604653,0.0001089690398591493,8.597059445095431e-05,-1.2980165402031582e-05,1.834810819474063e-05,6.685119582632355e-06,7.428031152082477e-06,0.00011659680757674882,-2.652067772996329e-06,-2.5881520720304412e-05,-0.0001226917553164897,-6.73455664205776e-06,9.070936706230488e-05,0.00010262844325738786,0.00016282511263565922,0.00012197595730796617,0.0001249100061146215,7.058654356129324e-05,0.000132009420908247,-0.0002324279281928559,0.0004582047191327771,-7.211014210409413e-05,0.00015655912351572132,-8.324357462796958e-09,0.00048035035267121867,-4.9887325295541634e-05,0.00013530082644794595,-8.150336415232451e-06,-1.5268911458581068e-05,0.00014258768632612753,-1.124742810160399e-05,5.773163998642092e-05,0.00018826319106697296,0.00013215402656653786,5.0221183609112986e-05,0.00014413966655369985,0.00010471112625087426,0.0001804013429400268,0.00014309814429988116,0.0002016970567218818,0.00015736927671627774,-4.1825740603084996e-05,0.00017603334827437714,0.00011435605252304162,0.0002198146996487295,5.557385242916205e-05,-0.00014644142711949293,9.212844565205791e-05,5.907448428069432e-05,4.1835501485019975e-05
1,2.937993829768817e-05,1.5872284216441845e-05,5.812978003402562e-05,3.5533812843188246e-05,6.491950712391912e-05,4.684311070163647e-06,5.211106658975988e-05,2.9983203731041058e-05,-4.331543872172438e-06,1.425396049447355e-05,7.825165738472207e-06,9.487252442378642e-06,-5.519182800431232e-06,-2.3247870398433818e-05,5.359546626671343e-05,6.716684286480642e-05,3.736113128195462e-06,8.304420522526406e-05,8.084164075186122e-05,3.7394762688778596e-05,5.4755565160325494e-05,1.2817868145241211e-05,3.27657159753941e-05,8.772467238329974e-05,1.826986015249451e-05,2.8874225197096985e-05,1.507361473867823e-06,1.4175579708753107e-05,1.2407939347286765e-05,8.816670533199058e-05,1.1313723582402339e-05,4.807017444208441e-05,7.027531377378126e-05,3.538944442855765e-05,5.6298144607943765e-05,1.4578973008792866e-05,0.00011981193363169428,4.606711493919278e-05,5.44511024657297e-05,1.2414576521057509e-05,1.664155807523857e-05,7.688746116123193e-05,6.386277303268104e-06,6.373382545583825e-05,2.7758592543407872e-05,1.8211506685583365e-05,1.9134096434116646e-05,3.535394825837482e-05,-1.3735345857807234e-05,4.633851321110316e-05,-1.1619087238037905e-05,7.698895625763204e-06,6.542321495073225e-05,-5.0910184381586576e-05,2.7848328544933004e-05,9.359465664853526e-06,5.058142115800499e-05,7.463747619949533e-06,0.0017500815516262678,0.001059995587121533,-1.1191540274137027e-05,-8.448359639108453e-06,0.0010181001590181956,0.048125156405480006
2,-9.550784034563213e-05,4.4622945008266024e-05,5.3331673913510894e-05,1.3209116123360875e-05,2.5127783496780846e-05,2.5965358110156403e-05,3.4888384410427733e-05,2.4151777208886617e-05,-1.7009099339595702e-06,4.5008714493699015e-05,3.196822706725737e-05,0.00011438989928493534,5.832960556590881e-05,0.00017045077340362486,6.584284531970704e-05,0.00014550946624645772,-1.0975117571341781e-06,6.286772229257322e-05,-1.602066882728387e-06,3.2606316480425714e-05,4.3435783391701275e-07,1.9410036227483052e-05,3.366171183958422e-05,1.1711838211045502e-05,2.0975769526401146e-05,3.925980075096681e-06,8.525822517815653e-06,2.0401312957616455e-06,1.693154890668962e-05,2.1490423041276332e-05,3.4697797259567545e-05,6.0521286486493496e-05,1.617460324512908e-05,2.6058154272434414e-05,1.489181125182018e-05,6.157121394419725e-05,2.4488366648857058e-05,7.96917631058536e-05,4.675922247385356e-05,4.575786218215422e-06,2.09165758215347e-05,5.848019456573784e-06,2.3512405550233537e-05,2.7122320586120678e-05,2.0417871294007827e-05,6.325614241101345e-06,6.9670857885643e-05,5.052747646906238e-06,6.35923096137659e-05,2.4875246095690607e-05,0.00012033130801293296,2.100844277948669e-05,3.074170277369828e-05,3.100519292367253e-05,1.3869963275651578e-05,0.00011059874562804902,0.00023102907180063415,2.7441363880542208e-05,2.1247496832672783e-05,1.4507211038702515e-05,3.0443077967666357e-06,-5.13630938222673e-05,9.398724406483031e-05,-0.0002553126774022232
3,-1.256500029762604e-05,-5.995966296397293e-07,8.192367518463125e-05,3.38660690077664e-05,0.0006745638406303796,1.4543606757755113e-05,-4.582304770153958e-07,2.9431205522477936e-05,-3.454005564587641e-05,2.212579544968334e-06,1.7126348544649277e-05,-8.494931698930213e-05,0.00014471266647466454,-2.2152389334041695e-05,3.8065180080837323e-07,1.584900609479827e-07,1.197704343496349e-05,1.7631403576521432e-05,2.03562797335971e-05,9.58619886406262e-05,-0.0001614360397200088,8.837556730534968e-05,2.1805431781343405e-05,3.404315445258414e-05,4.050551212538758e-05,1.8544944174093283e-05,1.8658075507070448e-05,6.706965769482937e-06,3.766854540066952e-05,1.4178288240515512e-05,3.3676245837972864e-05,1.543328177305139e-05,8.019084185700636e-05,1.1820594657993352e-05,2.9804711770250437e-05,3.21428285144845e-05,2.0631730918000603e-05,7.127145117457853e-05,6.261400714618166e-05,3.413653242669216e-05,4.883414985918382e-05,1.7305896804581962e-05,-7.207716523565011e-06,3.968007789135093e-05,4.758535572938279e-05,-2.5746562970778885e-05,-1.661277251138859e-05,3.917102360924115e-05,8.341292705926515e-05,6.717767699185737e-05,5.495033090633354e-05,0.0002254205526412687,-2.926900994154581e-05,0.00033226087293993704,2.6233409551891764e-05,0.00031058067756678905,3.210737047274931e-05,1.3626818181528731e-05,-1.1922171659964166e-06,1.0573805801970233e-05,-2.8430331015426824e-05,9.364450606004318e-06,-5.7188374603958305e-06,1.2682198664742016e-05
4,1.0293588561934645e-05,4.958689009445961e-06,7.256072429746507e-05,4.898588694886731e-06,6.134895052847283e-06,2.0215105635365244e-05,6.618984382517885e-06,2.1300201641063296e-06,7.583689822943008e-06,2.9069343984263134e-05,8.852435297094762e-05,1.9889978735710566e-05,-1.8705826441928667e-05,1.3221456323996797e-05,2.466415855087317e-05,0.00011035628825810217,8.926583896020401e-08,2.762391722681639e-07,4.6046134409260986e-07,3.441167575920645e-05,4.607907314929121e-07,3.18605020300437e-06,-8.566100277441623e-06,6.551149995309824e-07,3.0203645454381304e-05,-4.094317160022762e-06,7.012397209018544e-06,2.0662831019684252e-05,1.3528458090602375e-05,9.066526233651424e-06,1.3750587350674553e-05,3.7464530064586813e-05,0.0003798903616383876,9.153131466185915e-06,-4.395385646318199e-05,3.479983745152669e-05,-1.850483587421161e-06,-3.6663663170395995e-06,2.227644164218853e-06,-1.707136450254809e-05,2.8627333630205797e-05,4.673376679420064e-06,1.4314118707786147e-05,0.00014198680462667148,2.7707031588374146e-05,1.5298168685419696e-05,6.160376151460774e-06,3.295907732367375e-05,0.009350198249730126,0.0001248114031313787,0.008424456143035752,0.00014067962878664696,-1.4739598350921305e-05,-2.9419232484645824e-05,0.00018445550449263824,0.00020266319762762944,0.00020034869933688507,1.2379083175204132e-05,1.4608360154776898e-05,1.703676788123667e-05,7.920038912493289e-05,4.450008950962138e-06,1.3181713465853886e-05,1.603727164685691e-05
5,-5.1930942167290064e-08,0.0003130887723312521,0.0001253516069409371,1.4906244986514174e-06,6.785840812823855e-06,0.000170346188491,-0.0001960765059198556,1.8110093494721186e-06,0.000862416984277569,0.0005949736206345351,-1.680052827215959e-05,0.00029482251319856576,5.962565778510772e-05,0.0010160157475352172,-6.23491246018844e-05,0.002965576737735012,2.2983487760413893e-05,1.7875133306804384e-05,2.2115478880976846e-05,2.7221039366865103e-05,1.587032978058158e-06,7.362165957847337e-05,4.5595619999790216e-05,1.895978448063695e-05,9.559671069022912e-05,1.0194940389419849e-05,0.0003630985944356042,6.4812256044470886e-06,0.0002106156897779852,-6.188688357731537e-05,5.5125922280970255e-05,2.553264491847301e-05,6.62508761683949e-05,6.638632535119821e-06,5.705315984044804e-06,5.3285391629862134e-06,2.5050372162082187e-05,1.4124569497927444e-05,1.7666505752771717e-05,-4.0488375507585756e-05,0.004034092337729067,0.00031608928325412553,0.02373106701975975,0.006632035206989209,0.0014501146074042482,0.0016796913582596976,0.02152479517360453,0.007276996326229606,8.16254373117335e-05,3.2261052113122914e-05,2.9399652115949325e-05,0.00010061701244255959,4.328511389843805e-05,9.414914167903262e-05,2.014083071831209e-05,3.1592962674517533e-05,0.0006314296221715017,1.1634505251484001e-05,8.490484157030407e-06,8.852619443362721e-05,2.531399858593997e-05,8.657626621283793e-05,7.157923598668416e-07,1.8229839406832557e-05
6,5.960998840635741e-05,6.202163868119251e-06,-4.0499153148052636e-05,-0.00016651707584881687,2.3365486766280092e-05,8.725985557044963e-06,-7.507679496776566e-05,-0.0004675729967049403,0.00015488309874689838,5.260223439464608e-05,2.571109645605246e-05,-1.0132101181557026e-06,1.0073385670937542e-05,4.126120519692361e-06,-5.25860735825943e-06,2.466993006771035e-06,5.569947294613776e-05,-4.896346883534358e-06,1.5740399337156155e-05,-9.779345986967552e-06,5.628601552590474e-06,1.451631808841238e-05,-2.5724485188955576e-07,7.122308806635637e-06,0.00016444451101490053,6.268921479794375e-06,-3.523643639071269e-05,4.34804360372936e-06,-7.39443010683599e-06,-1.7621529721416816e-05,-0.0001217451757151965,0.005146338959550023,6.94316668524836e-05,0.0035266239955806544,1.924959455501403e-05,-0.0017082584545954037,4.344822738637934e-05,0.0011580629758621295,-7.60818777254242e-05,0.00018910437799745392,1.4614768557877981e-05,1.0336663113613225e-05,-5.351899190325254e-06,1.550927882487111e-05,1.1893280183751774e-05,-4.874459037825748e-06,4.142976116735014e-06,2.9606794072787892e-05,3.723234186758223e-05,-1.0773313596807151e-05,-0.0001726544563114162,-0.00021498920883167438,2.4761318301857983e-06,-9.805054444086314e-07,-0.00013259841783016065,2.0437722092237866e-05,9.207504041000712e-06,8.723981695431498e-06,6.807989202891557e-07,-4.364395057999779e-06,1.0821687296269771e-05,7.222682644327031e-06,9.51733613856764e-06,-2.3837135631627744e-05
7,0.003430807834506643,0.020842568814709295,0.00017989589532637615,-0.0001106940639163567,0.0005235233110424275,-0.00012225653747430595,-7.459187740353544e-06,0.00030505991031762856,-8.946489980493992e-05,3.359687936133212e-06,-1.6287754348404886e-05,5.7876268239363855e-06,1.8266405997808317e-05,-4.413434734301222e-05,-3.108403125074533e-06,1.6605299336154572e-05,0.00010473115639400847,4.524349533670539e-06,8.30011737446048e-05,-0.0003958345363319081,-0.0005123948987638366,-2.6033057282592977e-06,-0.0019538986402718385,1.871063909899275e-05,0.013444554905172003,0.0011779231678092936,0.008023554850383804,0.0018479617099313428,0.0002078245407347471,0.00021137227110106915,0.00015913285569226385,0.005063329165952497,0.0044812787383500885,0.007998102808468622,0.000580419891480661,-0.007814705597803043,0.0005313537116751748,-0.0017335059698826477,0.01417437387832283,-0.003333542724736628,4.217971943832695e-05,8.206710027322141e-07,-1.3005855501013113e-05,9.407182707758848e-06,-7.997054417445855e-06,-3.260586458774467e-06,0.0005413461490686112,-2.437579170874721e-05,1.570241210856399e-05,0.00017326541521767982,6.267715349985505e-05,-0.0002476613660758921,4.2284826145778724e-05,-1.009473459931746e-05,6.22454067583267e-06,-8.235176441973062e-06,1.4331361237936725e-05,2.3659222658335283e-05,3.5314034837226787e-05,-9.486605670980483e-06,-2.91076503620811e-06,2.5612718006982274e-05,8.54777602917779e-06,2.773144509053e-05
8,-0.0005933827889336162,-6.935473777199719e-06,1.2274170640382053e-05,7.846794451972525e-06,-5.0860125969722766e-06,2.086484117025256e-05,7.3017723366912896e-06,1.5145281387648857e-05,1.8895532402032126e-06,-1.1264477165194235e-06,-8.256569606413769e-05,1.6332070545841513e-05,2.985790518759077e-06,-1.8573094263864546e-05,0.00012904072040586303,-6.568644243809002e-05,-4.1736525690356274e-07,1.0155372948607173e-05,2.2762317360122312e-05,0.00041253034412363745,-3.150862396621963e-05,1.9846872410317934e-06,1.3513294266785214e-05,1.2269174401915624e-05,5.8345774144860315e-05,2.698811834469072e-06,7.866394449762532e-05,8.639435681364018e-05,2.823674442688312e-05,9.732305370920022e-06,1.795886760864004e-05,2.036497513731753e-05,1.1482440539612044e-05,2.137675508574296e-05,-2.438879209634708e-05,-2.599755546372683e-06,6.2014362502931255e-06,4.4948145340478805e-05,-2.0482290008010737e-06,6.883830351753726e-05,-1.8623531135850377e-05,2.3983395640780053e-06,3.7914968128890067e-06,6.660170587650474e-05,-8.17618044015634e-06,3.098037271810596e-05,2.183625933525153e-06,-4.408348682164642e-06,-5.036093989404577e-06,9.718923698868103e-06,1.7811601079144858e-05,9.726250008979249e-06,0.00011276785309700089,4.9872407188371996e-05,0.000203843851989647,3.757558542729471e-05,-7.546833738220887e-06,-1.918197870028818e-05,2.3690609429440447e-05,3.6746715396710096e-05,1.693418894846813e-05,-0.00011279715833743413,-2.730687214534283e-06,2.080516732940458e-06
9,-1.1546857841452598e-05,-2.7967895112132664e-05,-0.00011724373714050787,-0.00013685104429405826,1.1888514128121688e-05,-1.6260369651872554e-05,-6.217307568590653e-05,0.0001935360782339877,0.0003070903545170623,0.00042326978553958915,5.942245011893103e-05,-4.1560129381834e-05,-1.1792546244081651e-05,-8.766905004278614e-05,4.42219636854245e-06,0.00016074472582186235,7.630692310545893e-06,-0.00011358882912729054,7.5768676556064725e-06,-8.52453179955589e-08,-1.1174896501790594e-06,3.254421371641728e-05,8.379404205006889e-05,5.756240052829905e-05,0.000246544293014269,-0.00019436797876986963,-8.050393287749256e-06,8.72607311125066e-05,-0.0005839548841220507,5.5030064545763835e-05,-1.0451105641449104e-05,0.006605031998253308,-1.0215991704108318e-07,2.123421683647505e-05,-0.00011889227553693799,-1.5868370402210164e-07,1.3700954000363894e-05,9.028020740639958e-06,-0.00010103854923378567,-0.00010442280177368863,-1.86686752147996e-06,-0.0002333445360120088,-2.2264286435124145e-06,4.3053849345343305e-06,7.709571590216987e-08,1.8693772204630265e-05,-3.329909055679521e-05,6.75740235903839e-05,2.154652551774258e-06,1.8579172220430278e-06,2.0116239989499317e-05,2.4847545074246525e-06,-0.00016814919924356818,1.2253437239257204e-06,4.421871570675241e-06,-1.1374110566384551e-05,1.0545515907902062e-05,2.0989232750960132e-05,-3.559156472796483e-05,1.551946335619889e-05,2.0317690922870795e-05,-0.0005684696742311614,2.0224287529799935e-05,-6.834433397803101e-06
