layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0004076869399459187,0.0005793394865812975,0.00037843209725839264,0.0005587030340124052,0.0004372155224835371,0.0003968874613444002,0.0007172690497504369,0.0003884721685338765,0.000571551146330652,0.0008941226535373254,0.0016628547951027185,0.0005816618601481029,0.000591021996957287,0.0006161619115758833,0.0007995676111291915,0.0007934570312499861,0.0006596247355143162,0.0011147393120659653,0.0006469002476444885,0.0008015191113507268,0.0009650477656611643,0.0006697177886962777,0.0011513674700701633,0.0009245695891203732,0.0003056084668194809,8.179081810849486e-06,0.0005423360400729762,0.004260336911236794,0.0001555913024478493,0.0002684791882832857,0.004282810069896554,3.897371115507498e-05,-0.0001259026704011183,-5.8024017899123785e-05,0.0009768980520742899,0.0004565627486617555,0.00018421367362692474,-1.286119826275993e-08,0.000513959814001016,3.839422155310188e-05,0.0003262979012948445,0.0004189411799112963,0.0006063955801504657,0.00024278517122620788,0.0008201422514738833,0.0003437907607467075,0.000448324062206117,0.00023702780405679573,0.0003403866732561861,0.0003348633095070068,0.000366096143369319,0.0003646126499882316,0.000996209956981511,0.0005946954091389932,9.421066001608812e-05,0.0005023876825968299,0.00020705329047308703,-5.2289830313792053e-05,8.958357351796858e-05,-3.0166572994658932e-05,0.0001971765800758658,-5.6876076592340864e-05,0.00017341861018428144,0.0005611666926631199
1,7.827931808100099e-05,4.635806436890503e-05,9.21876894103108e-05,0.00015118387010360705,0.00037339881614402356,5.6599577267971615e-06,-6.363347724629672e-06,7.223420672946703e-05,3.74019145965487e-05,0.00044531733901411765,1.4104225017403948e-05,0.00018555257055493437,1.9795916698592004e-05,0.0001477621219776157,0.0003386504120296866,0.001608530680338537,0.00023798644542692742,5.344549814859147e-05,0.00027010148322140855,6.564927321894064e-05,0.0003145370218488754,3.053744633993208e-05,-4.0565375928524016e-05,0.0001971390512254457,7.14963233029281e-05,2.757625447379508e-05,6.185361632594298e-05,4.783907422312689e-05,3.604508108562609e-05,0.00028029636100486324,5.5425972850226435e-05,6.142369023075612e-05,0.00023699689794469414,0.00022793147299024342,0.0002702455277796184,7.594238828729577e-05,0.00029626930201495123,6.10594396237934e-05,0.0001481981189162613,4.2996334808837115e-05,-5.524467538912022e-06,8.913322731300799e-05,4.582162256593045e-05,0.00011590454313490148,3.872094330964289e-05,6.030361961435193e-05,2.984150692268434e-05,0.0001290677874176608,-5.133946736653241e-05,0.00010294412021284097,0.00015835298432242598,0.00021993700000973165,0.0002503014273113654,0.00031691900006046203,3.7527746624416306e-05,0.0002358346073715734,1.7051343564623667e-05,6.934710674815164e-05,-0.0010177029503716112,-0.00047984940034371095,0.00015393672166046508,8.848640653822128e-05,-0.0009387201733059169,-0.04697220413773148
2,0.0006205616173920953,0.0001223021083407895,0.00017281814857764816,9.670412098919748e-05,9.64712213586879e-05,0.00012052086768325872,5.4492891110749466e-05,0.000383988091791113,-4.2631118385883317e-05,0.00011088009233826683,8.543939502151236e-05,6.902107486017839e-05,0.00019873044005147116,8.687266597041447e-05,0.0003267515588689811,0.0002026072254887307,0.00010816173421010768,0.00014620136331628124,6.555924537003686e-06,0.00019012557135687774,2.4851825502178783e-05,3.552878344500165e-05,0.00010537438922457409,4.082807788141208e-05,8.065943364743224e-05,2.2715440502871378e-05,3.951953517065552e-05,1.4987429258999423e-05,6.774178257693892e-05,0.00010952905372334924,7.31887088881487e-05,8.274670000429621e-05,4.526448470574335e-05,0.0001539058155483547,7.371880390025551e-05,9.842658484423012e-05,2.1155406203527635e-05,0.0001573408091509742,0.00015037810360943822,3.090307668403199e-05,0.00012380712562135734,8.423019338535294e-06,5.750965189050635e-05,5.1672811861382974e-05,7.37857901387712e-05,2.1653732767812337e-05,0.00010586019467424219,0.00025230756512393095,0.0002178858827661615,0.00011658006244235128,0.0002800623575846375,7.048580381604857e-05,0.00011634605902212353,4.829852669326757e-05,4.025576291260445e-05,0.0003212911111337123,0.00023787551456025917,0.000669823752509222,0.0005135403739081365,1.4867495607443736e-05,5.012005567550659e-05,-6.758835580614086e-05,0.000404862342057405,0.0006484278926142925
3,7.652353357385323e-05,7.696560135593485e-05,0.0001797411176893382,8.938157999956597e-05,0.00045138376730459483,3.1444761488168345e-05,0.00026141120879738094,0.00019548005527919986,0.0005450204566673052,3.80807452730974e-06,-1.2114644050588234e-05,0.00017030150802047221,1.3157173439299985e-05,8.230518411706532e-05,0.00024099703188294708,4.4349167082033876e-05,5.462255190918829e-05,2.3870280495386128e-05,7.565788648744144e-06,7.59926107194574e-05,0.0004462975042837601,5.969515553225696e-05,-1.8623692017988373e-06,3.269204386957854e-05,8.397080280075883e-07,-8.543332417810213e-06,-7.134896737568178e-06,3.3743955470894934e-05,3.303615031418404e-05,3.9860054298680435e-05,3.079531921280084e-05,3.472798400454993e-05,0.00015765207785147382,7.15145358332891e-05,0.00017187882352757297,4.700598893340899e-05,4.42730055914917e-05,0.00011350490428783536,0.00014570576173287715,0.0001088132460911971,0.0002359284294975946,6.169743008083849e-05,0.00010825748796815901,0.0001249746591956467,0.0001230339209238555,0.00013882004552416314,9.245784194380611e-05,2.4397202112052653e-05,0.00016700779950176129,4.657992610224276e-05,-7.38965140448729e-05,2.592802047721264e-06,0.00014437127996374518,0.00035497877332899447,0.0004919370015462116,-8.615189128452501e-05,2.6137740523700227e-06,9.866997047706338e-05,1.573673001041789e-05,1.8079385713294584e-05,-6.820978941740281e-05,0.00014142857657537282,3.297185456311869e-05,1.3421807024214348e-05
4,1.8725309658933225e-05,9.566614473305146e-06,-0.00012805726793077465,1.152446148571867e-05,-9.691515178597384e-06,4.70531759438373e-06,1.4310495720968321e-05,7.890026878438008e-07,1.8950965669410192e-05,2.3243051988104235e-05,8.424123128254537e-05,9.294433726204512e-05,3.867568793119947e-05,4.633709236429788e-06,4.092645314004258e-05,-0.0001606571453589111,1.9643986080255772e-06,8.139069433565493e-07,1.4859079210846513e-06,2.569429300449466e-05,2.2484886425515703e-06,5.198289053858029e-06,-3.717011875590317e-07,6.544093290964762e-07,4.3300014955021395e-05,0.00012392412733147834,6.350350600700495e-05,5.7394719786111275e-05,-2.1104459409379072e-06,2.4287788956252694e-05,6.4913873319242e-06,0.0001633236598637381,-0.00018588039610121195,0.00022050627955683342,0.0003080834393148066,9.415050347644746e-05,8.716572214055562e-05,4.757775200736684e-05,0.00012000539788492593,0.00016634221430177236,7.081914831090128e-05,2.8864653022195536e-05,7.648490093371046e-05,0.0001599821779462928,4.172021592105391e-05,2.9588877050962724e-05,6.914166388687478e-05,6.692966929187647e-05,-0.005501641167534706,-5.2769978841149996e-05,-0.010769526163736966,-0.00014781786335836718,2.426481633273949e-05,5.6493061560163064e-05,-0.00011012758369797636,-0.0001461436213166379,-0.0004375069229691037,0.0001246879498163723,0.0001338361589996826,-1.729528109232938e-05,9.281105465359082e-05,4.154905952789629e-06,3.6382426818203134e-05,2.5696776531352264e-05
5,-6.860053097764053e-06,0.00013264903315790314,-3.958852202804377e-05,3.715107838312853e-05,-1.16364271552475e-05,8.77203764738796e-05,-0.00010641857429786364,-3.002308033131249e-06,-0.0005109652324959125,-0.00026443048759743266,6.161768127370058e-05,-6.527812392623855e-05,-2.0451291843698267e-05,-0.0003858230732105361,0.0004306888138806396,-0.00311950925323698,1.2623905031762189e-05,3.304691226393602e-05,-1.851165736163532e-05,1.7884428854337232e-05,1.5071144810418504e-05,-1.652759534341705e-05,0.00011110347178247117,1.7407660682992992e-05,0.00018446313010321168,3.2186853112999568e-06,0.00011772579616970199,9.663016707809073e-05,-0.000232276541215407,0.00020766258239745712,-9.086396959091026e-06,-9.32785095991599e-06,-3.729760646820195e-05,1.6684057535944293e-05,4.9900711962466656e-05,3.254441199479332e-05,5.189191412042169e-06,-8.540848890941161e-06,1.6862457549122666e-05,4.820249698772045e-06,-0.0037112765842013634,-0.00028034603154217735,-0.03126073766637732,-0.0072397479304560685,-0.0013655203360098118,-0.0007065181378964733,-0.022820366753472224,-0.008250271832501429,7.397598690456912e-05,0.00010359592528806347,-5.185604095465233e-06,1.4731177577262512e-05,1.3473961088385415e-05,0.0001671645376417318,4.233806221572781e-05,4.843222322285412e-06,0.0003655850887298559,1.5667605179322587e-05,1.0961735690076759e-05,0.00013279694098012986,1.4757668530494289e-06,-2.7365706585071533e-05,0.00013096851331215802,1.498711881812993e-05
6,5.1829550001347825e-05,1.9970367214189825e-05,0.00012098970236601595,0.0006785392761230447,-7.461618494103585e-06,0.000146497178960729,0.00012538388923362048,0.0007836023966471333,0.0001521441671583428,8.16980997721369e-05,4.328373405667214e-05,-2.6362292744498714e-06,-8.168733782252305e-07,-1.864852728668586e-06,1.8083835365593037e-05,1.522401968637726e-05,-2.6819882569492835e-05,-2.245556701114528e-06,-9.62201091978071e-06,6.467986989904484e-05,1.4030823001149707e-05,9.466100622106112e-05,1.9228620523675533e-06,1.824329848642419e-05,-9.657190767702204e-05,3.4576212918292025e-06,6.091153180157628e-05,2.3958859620265754e-05,1.158247943277093e-05,-3.170497991421038e-05,0.000158835340429233,-0.005260750099464694,-1.339724770298178e-05,-0.004058979175708898,1.8205907609732337e-05,0.0024028707433629945,2.8005904621535966e-06,-0.0012157128916846175,0.00017506325686419323,-0.0001772620059825562,8.746043399527618e-05,2.4567875597210836e-05,5.5530556926012996e-05,4.110292152122191e-05,1.6819547723837486e-05,0.00013485164554030623,1.560565498139637e-05,6.334359447160708e-05,3.44382392035e-06,2.1255126705864993e-05,0.00020825421368633832,0.0005608311405888296,9.678580142826395e-06,1.413582099808199e-05,0.00013067104198314259,4.3065873561090044e-05,2.0103874029935802e-05,-1.4724002944094065e-05,9.105382142243606e-05,5.089591636699436e-06,5.991094642215594e-06,3.119585690671835e-06,2.3761626195021436e-05,7.444840890389074e-05
7,-0.004372026081438397,-0.021119859483506944,-0.0002001766805295595,0.000178293497474098,-0.0005664875109990451,0.0002339559572714215,4.7513318282578106e-05,-0.00022543138927883131,0.00013973094798900557,1.9965762341460306e-05,3.3458073933913717e-05,3.0782487657332577e-05,0.00016565676088685968,0.00011280730918600908,0.00020708750795434412,3.746441668934148e-05,-0.00017047369921649184,0.00015121036105684963,-2.306837726524129e-05,0.0015004475911458315,0.00046171965422453704,-1.9925749964184172e-05,0.0027342902289496517,2.450413174098467e-05,-0.02307665789568866,-0.0010717886465567204,-0.007980558607313353,-0.0016777692017731574,-0.00015385945638021496,-0.0001493913156014896,-7.094939549764895e-05,-0.005122763139230218,-0.005207379659016915,-0.007078947844328694,-0.0006811817487080521,0.008891688452826611,-0.0002652555704116488,0.0024616922493334143,-0.018799393265335647,0.0035679958484790965,1.7236780237264116e-05,1.807124526411988e-05,5.161320721661325e-05,-6.158594731929654e-06,4.556443956163085e-05,3.900792863633921e-05,-0.0005118846893310612,7.049242655435896e-05,6.2629028602877e-05,-0.00012707710266113517,0.0003404617309570278,0.00032634646804245016,-1.5709411214896876e-05,2.6217213383420776e-05,-2.8250807965224784e-06,-1.2207362386914668e-05,3.77225655096548e-05,1.899125399412828e-05,0.00012613225866246294,0.00021639135148790605,0.0002484801742765587,5.2560810689568656e-05,0.00015977190600500158,6.446131953499379e-07
8,0.0007945221883279325,3.2829603663190324e-05,-1.4017301577110438e-05,1.7630557219187244e-05,1.4394521713255101e-05,3.537370098961331e-05,9.764951688262027e-06,1.9060930720076076e-05,4.864677234931648e-06,7.589658101401071e-06,0.00018239904333043887,-2.0827891098132534e-05,1.7654081737550045e-05,6.388403751231045e-05,-0.00011393207090872792,0.00016861933249014523,2.5916154737825056e-05,5.3310835802996254e-05,3.0955230748207614e-05,-2.6261364972150238e-05,0.0001317218497947389,5.317368993054583e-06,2.99987969575058e-05,6.729529963601739e-06,2.1602268572199447e-05,3.4347728446677586e-05,0.0003911212638572425,8.467170927259297e-05,5.53109027721259e-05,4.055875319021139e-06,6.500662614901473e-05,5.7421900607916834e-05,2.8811188207730283e-05,1.2463993496359461e-05,6.554744861743599e-05,4.4856910352348204e-05,6.346790878861173e-05,3.479145191333999e-05,8.81486468844862e-05,3.797919661909901e-05,5.131518399272808e-05,6.165355443954468e-06,2.1401102896090774e-05,-0.00012375745508406662,3.698247450368901e-05,1.481616938555277e-05,7.251732879213966e-05,2.1104459409356074e-05,2.7753481710389724e-05,1.808780210989325e-05,5.438599597524418e-05,5.284213909396459e-05,0.00010765371499237982,-2.094109853108828e-05,0.00011713858003969072,3.511872556474051e-05,4.137886895073177e-05,-8.648192441025825e-06,8.19188577157394e-05,-3.664581863968682e-05,-1.7852143005087018e-05,0.00022191913039596497,4.919797733974979e-06,3.3668000940956324e-06
9,-7.322265042228543e-07,4.0696347477255124e-05,0.0005006613554777955,0.00042684321050290893,4.026266159834124e-05,3.94635868293244e-05,0.00025789522462421225,-0.00013372633192274602,-0.0003073883277398565,0.0001644734983090992,5.3091733543960495e-05,8.799853148283944e-05,0.00025418511143437587,0.0003510249985588939,0.00024904034755847746,3.338798328682361e-05,5.4322045158448425e-05,0.0001119651176311251,5.097438891727856e-05,5.534567214823036e-05,4.836861734036756e-05,7.417432411952537e-05,0.000189277860853411,0.00022052725156148346,-0.00011090768708121943,0.0003200725272849592,4.84140796793731e-05,-5.173372725644775e-05,0.0007693855850784912,8.297628826564893e-05,6.669594181907473e-05,-0.0069372212445294465,2.135380378199948e-06,-6.070677880887782e-05,0.0004216918238887115,1.0831764450778973e-05,-1.6373340730328943e-06,5.391074551475921e-05,0.00017731278030960786,0.00022588725443239868,6.645034860681731e-05,0.001196221069053366,1.3937552769978725e-05,4.660476137085346e-06,6.424194132835505e-06,0.00016207165188258842,0.00010062064285630352,0.00032845581019366504,0.00013248263685791545,4.637310350382307e-05,-4.729573373441805e-05,3.48444338198022e-05,0.0005942450629340333,2.786351574791357e-05,6.560953678907905e-05,7.465592137088558e-05,8.333943508288316e-05,3.506408797369867e-05,1.879947053061869e-05,0.00025306973192426715,9.808165055733173e-05,0.0017258326212565205,0.00025552290457266064,0.0001714061255808176
