layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.0013566858628216824,-0.0016575981588924588,-0.0014410579905790354,-0.0012303520651424588,-0.0015366498161764647,-0.0012634782230152685,-0.002088883343864894,-0.0012408144333783209,-0.0010053971234489706,-0.00046996509327607407,-0.0010728275074678411,-0.0004448049208696941,-0.0011287296519559824,-0.0009991701911477354,-0.0017264310051413117,-0.0007230253780589229,-0.0010603736428653448,-0.00041212755091049174,-0.0006599566515754056,-0.0013343025656307353,-0.0012541658738080119,-0.00017126868752870565,-0.00127189299639534,-0.0017007939955767412,9.480644674852898e-06,-0.00023972286897547325,-0.0013065338134765573,-0.0011717852424172823,-0.0005307057324577688,-0.0009012783274931055,-0.0025566044975729556,5.459785461424715e-05,-5.525701186233254e-06,7.727566887349687e-05,-0.0017080867991727882,-0.0006132686839384175,-0.00029819151934455456,1.2745423352017121e-07,-0.000755534452550547,0.0006810076096478586,-0.0006474186392391279,-0.0008657259099623645,-0.0009932518005370903,-0.0005669593811035026,-0.0015096103443818824,-0.0007518740261302161,-0.0007746500127455693,-0.0006891699398264912,-0.000696238349465753,-0.0007099824793198413,-0.0007549874922808423,-0.0007090288050034235,-0.0013244853300206647,-0.001009828904095803,-0.0005331600413602824,-0.0011214508729822407,-0.001145194558536306,-7.320852840645881e-05,-0.0008811950683593587,-0.00015741236069621178,-0.0004411024205824647,-0.0002748264985925823,-0.0010310902315027472,-0.0019233367022345998
1,-6.994429756613487e-05,-0.0001130174188052767,4.586051492130313e-05,-0.0001843361293568154,-0.0004350157345042706,6.371385910931002e-05,0.00028887917013728216,-2.372966093174854e-05,-7.187618928788833e-06,0.00010696579428278705,1.6915447571698358e-05,-0.0001204644932466371,4.628125359030515e-06,-4.517856766195528e-05,-0.00036804115071015464,-3.99140750660684e-05,-0.00025185416726502944,0.0003383440129897104,-0.00015870262594784319,-0.0003858173594755101,2.5973600499760655e-05,-0.00017673829022574818,2.6206759845511272e-05,-0.00036562891567455615,2.062320709228092e-05,-5.8047911700089604e-05,-9.990790311031281e-06,-1.4676767237041955e-05,-8.455094169181882e-06,-0.0002717270570642738,-1.98658774880892e-05,-6.717794081742546e-06,-7.565582499783955e-05,-0.0002302422243006001,-0.0005553224507500056,3.592407002166484e-05,0.00048372324775246235,0.0002441406250000117,0.0002636068007525382,0.00018083347993737812,-3.450057085822039e-05,0.0004966399248908467,-1.5356961418729376e-06,-0.00020393203286562527,-0.0001077406546648833,-5.3623143364393156e-05,4.22842362348231e-06,-8.580263923195405e-05,-7.27036420036816e-05,-0.00013160354950848713,-3.544197363011444e-05,-0.00010510753182803348,-0.0002589997123269352,-4.802381291109194e-05,-9.153870975269549e-05,8.663710425877738e-06,0.00020495583029352406,-7.251299479427228e-05,0.000599608701818094,0.0003479052992427995,-6.686238681567972e-05,0.00012784845688763123,0.0013887741986442883,0.049029181985294115
2,-0.0003104069653679556,-0.0003051407196942452,-8.959629956412817e-05,5.0958465127384886e-05,-4.796420826631654e-05,0.0001315912779639576,-1.5809255487774194e-05,-0.0007896142847397735,6.54888503691711e-05,-0.00024550101336311017,-0.00021078306085922,0.0012345033533432942,-0.0006533230052274753,-0.00048460679895738815,-0.0005363870192976544,-0.0007247381350573493,2.5957822799667916e-05,-0.00019501938539391613,5.262301248662612e-06,-0.0003965882694019899,2.1240290473486257e-05,-0.00011315766502828202,-0.00011831171372357057,-1.416311544530275e-05,-6.714638541726322e-05,-6.509133998082346e-05,-1.8757932326379914e-05,-4.732050001620143e-06,1.8989338594332724e-05,-6.95428427527984e-05,-4.472452051499127e-05,0.00013643152573529743,-3.768240704255982e-05,-0.00011202692985534301,-0.00011071036843690937,-0.00010695878197164672,-5.838625571308116e-06,-7.977205164293123e-05,-0.000299551907707674,-7.233900182386525e-05,1.2986800249871876e-05,-3.5390257835388184e-07,-0.000128493589513441,-8.898622849407473e-05,-1.7472049769246126e-05,-3.839941585764173e-05,-7.742643356322562e-05,-0.00014133663738475624,-0.0001577279146979653,-0.000316865303937102,-0.0006415984209846059,-1.816539203418505e-05,-0.00019945905489079468,0.00011012133430030991,-5.789539393256122e-05,-0.00016579908483168733,-7.965985466451177e-05,-0.00012796065386604758,-3.364506889792379e-05,-1.2238236034616232e-05,8.574654074272923e-05,-7.960375617532757e-05,-0.0001464836737688907,0.0010470222024356647
3,4.241045783547646e-05,0.00028677547679228346,-1.63106357350135e-05,-0.000542135799632353,0.0004899081061868063,1.9466175752511766e-05,-0.00010108947753907062,0.00014739878037394705,-1.3856326832501824e-05,2.9297435984891826e-05,0.00011085061465990919,0.00030248305376837645,0.000559189740349253,3.6225599401119945e-05,3.898844999428122e-06,8.821487426755605e-06,-3.599594621097359e-05,1.0907649993885273e-05,4.1267451118018615e-05,8.583068847656213e-05,-3.365909352176398e-07,0.0002688239602481573,9.900068535523264e-05,0.00015270008760338418,1.7232754651237564e-05,8.525567896225836e-05,0.00027204962337717704,3.926894244005518e-06,6.452904028049678e-05,-8.274527157065988e-06,0.00011485464432660419,0.00011769463034235625,0.0002490772920496353,1.25660615808647e-05,-0.0002460830351885576,9.374057545380514e-05,6.39102038215069e-05,0.00015135372386259724,0.00012229470645680002,0.00015052627114687015,-0.00011491424897138693,1.5777700087595305e-05,-0.00011312260347254652,-0.00020843393662395973,-0.00010821398566751176,-0.0001492921043844953,3.75298892750353e-05,0.0001932382583618131,0.00012790455537682943,0.00014981101540955974,0.00023137821870691176,0.0004426451290354985,-7.186216466568233e-05,0.0021481233484604762,0.00046572965734145884,0.0005757668439079523,6.344739128559798e-05,9.596347808835428e-05,-1.0294072768265995e-05,6.736026090732345e-05,-0.00012169164769790083,3.98439519545558e-05,-1.9886914421545586e-05,0.0002527517430922373
4,-2.2169421700866796e-05,-9.894371032713558e-06,0.0005590494941262539,2.703377429177147e-05,4.764865426455712e-05,-1.766927102032242e-05,5.5081704083616495e-06,5.22943104014383e-06,-9.834766387992778e-07,6.271109861486357e-05,0.0004021139705882294,-5.5967775337822714e-05,0.00010141204385194438,5.255025975844622e-05,1.962745890898709e-05,0.00013068493674783753,2.197976059773389e-06,3.4386620802037854e-06,5.251125377767226e-06,0.00024185461156506625,6.381203146541085e-06,1.986368614084341e-05,2.3540328530704087e-05,5.404300549451043e-06,0.0001518586102653623,9.766746969782204e-05,-7.683389327105611e-05,-7.091287304372538e-05,1.5903921688292277e-05,-2.6936040205109432e-05,-2.2926751305071572e-05,-0.00012117624282836342,0.0011355175691492307,-1.4038646922390172e-05,0.000229751362520098,0.00026206409229950534,0.00012589903438790686,4.7289273318181185e-06,0.00014481868814019504,0.0001596563002642406,-3.140112932992233e-05,-1.681026290444583e-05,-3.369415507599546e-05,9.110394646138786e-05,7.717749651739404e-05,-7.4733706081611095e-06,-0.0002831150503719492,6.507424747240991e-05,0.0031477984260110062,0.0011693169088924647,0.032105389763327205,0.0003041695145999404,2.3081022150377735e-05,9.613330749905328e-06,0.00017999890534313814,0.0001640460070441466,0.003970651065602011,-1.1079451617069296e-05,4.6995194519255975e-05,0.00018655026660246301,0.00045171204735249817,2.9071288950293278e-05,5.206465721128919e-05,-2.8994153527642955e-05
5,-7.848879870246805e-05,0.0014287163229549636,0.0003947931177475748,-0.0002794756608850755,2.7362038107465354e-05,0.001607782700482547,0.00039365712334125285,-0.00010970234870911233,0.0016668544096105234,0.002640275394215312,0.00015254581675808098,0.0012303520651424647,0.00027951247551860755,0.0018788225510541156,0.0007705688476562473,0.016954997006584618,0.0001391733393949571,8.64898457246681e-05,0.00014433440040138084,0.00014091940487131248,9.398600634405308e-05,0.00021361603456383562,-1.4831038082342783e-05,3.285267773796567e-05,0.0002023472505457077,3.5250888151279e-05,0.0027604664073271,0.0010186363669002763,0.001406564432031973,0.0006607841042911294,0.0002143453149234286,0.00014949896756338968,0.00028871788698083846,-5.834242876836673e-05,4.5986736522000815e-05,5.697502809410979e-05,9.005472940555343e-05,2.8778524959784374e-05,1.3831783743373737e-06,0.0005907170912798764,0.008600010591394747,0.0007282425375545403,0.037310431985294115,0.016662148868336394,0.0056270992054658665,0.0010861789478974937,0.04887838924632353,0.019850786994485295,0.0005024741677676861,6.4024153877699e-05,0.0003533784080954015,0.0006598023807301152,0.00020749428692984606,8.625142714554797e-05,0.00010818297810411905,0.00014749344657448242,0.0042095184326171944,-1.6506980447212225e-05,5.769904922036361e-05,0.0002655982971191344,8.699473212745523e-05,0.0002412235035615765,0.0001569635727826294,3.933906555176058e-05
6,0.0002040302052217294,8.084493524886108e-05,8.341845344093532e-05,0.0005790766547707914,0.000495644176707538,0.0007983516244327296,0.00020958395565255517,0.00038820154526654705,0.0017674670499913878,0.0006487728918299897,0.0001536853173199686,1.947669421924529e-05,0.00012200895477742202,-2.354383468620026e-06,3.23968775132e-05,5.988163106579998e-05,0.00031147283666272985,7.234601413501788e-05,2.2204483256613718e-05,0.00017735537360696047,0.0001031300600837005,0.0005069620469037117,8.956474416392153e-06,6.90467217389106e-05,6.544151726889634e-05,3.755793851963382e-05,7.671468398149393e-05,0.00010695176966048823,3.6008217755479736e-05,-4.700001548317052e-05,3.7025002872143154e-06,0.005878224092371324,0.0001689896864049266,0.008276995490579041,8.474378024829838e-05,0.0006994359633501824,0.00012178982005398032,0.003971408395206217,0.00014827531926769563,0.00035247381995704195,0.0004325754502240235,8.231752059038028e-05,-1.3582846697641217e-05,3.475301405961433e-05,1.1195154751038625e-05,0.0001636112437528724,-4.908617805528989e-08,8.85339344248883e-05,0.00039476506850298236,-6.086883299489036e-05,-7.152557373047481e-05,0.000663196339326747,3.248803755813351e-05,1.1331894818471695e-05,0.0004084250506232693,0.000199857880087455,-2.8402051504915364e-05,1.0651700636919808e-05,-5.1933176377237765e-05,-1.2857127277286811e-05,-6.238853230195317e-05,5.282023373780202e-06,-9.875788408166302e-05,0.00018781774184281838
7,0.017765318646150476,0.0221562105066636,0.0010046958923339883,0.0001334267504074884,0.0015397212084601894,3.5889008465940725e-05,-2.5503775652712184e-05,0.0010187485638786706,0.00014944637522975882,-7.049125783583698e-06,1.4838050393490993e-05,0.00012642495772415832,0.0009871090159696706,4.5874539543582265e-05,-6.845067529118168e-05,-0.00010209925034465257,0.0006749840343699611,-0.00017009061925551174,0.0002241976120892647,0.0017590242273667353,0.0003766452564912647,-1.2753640904141303e-05,-0.000680362477022053,6.999688989974549e-05,0.04549183565027574,0.0037698184742647116,0.01314342723173253,0.002435165293076445,0.0005920915042652796,0.0005922037012436648,0.0003165918238022588,0.009310554055606612,0.01121161965762867,0.009406145881204036,0.0009087394265567235,-0.008026123046875007,0.0002840336631325829,-0.0005891463335822707,0.02910299862132353,-0.0003726061652688412,0.0002343794878791176,9.228201473458933e-05,9.56899979535034e-05,2.359642701989986e-05,6.580352783201766e-05,0.00010657310485838335,0.0020993176628561648,0.00021060775308045523,5.7220458984356616e-05,0.0005047181073356952,0.001617992625517006,0.00014033037073470477,0.00010366299573110729,-4.810445448930237e-06,5.276764140404802e-06,2.8841635760128723e-05,-7.163777070886398e-05,-2.8329737046171138e-05,0.00047335905187269995,-0.0002742094152114118,8.883195764877059e-05,-5.172368358161619e-05,2.4851630715753313e-05,0.0005109871135038472
8,0.00028503642362705885,-2.9137905906221473e-05,5.209445953369213e-05,-9.419637567855611e-05,-8.329223184023557e-05,4.9733063753924835e-05,4.871452555936779e-05,1.5651478486910846e-05,3.0212542589968403e-05,-2.1440141341264035e-05,0.0003848636851591097,0.0002269885119269659,-2.8610229492184745e-05,6.698159610522334e-05,0.0006515278535730648,0.0004480025347541294,-5.189110251032646e-05,0.000235277063706318,9.087955250466362e-06,0.0023138382855583707,0.0005262090879328001,1.3042898739086578e-05,2.4276621201455797e-05,0.00013170522802015506,0.0005257550407858471,5.440150990204145e-05,-7.239510031307646e-05,0.0005446882808909626,-9.85089470358434e-05,0.00014601034276624051,4.6009526533229465e-05,0.00024211406707762458,1.3379489674278487e-05,2.0461923935832996e-05,3.461276783659412e-05,5.2662456736687025e-06,-0.00019736149731803312,6.69254976160353e-05,-1.065871294805882e-06,0.0005998050465303176,2.2523543413936392e-05,-4.65705114252427e-06,9.929432588454228e-06,4.973832298727743e-05,-3.573473762063456e-05,0.00022823933292836528,8.73453476849535e-05,5.6364957024056524e-05,7.468111374799495e-06,1.601611866670386e-05,0.00012991358252132732,-0.00026227446163399915,-0.0006288640639361022,0.0004233752979951669,9.922420277316241e-05,8.831304662367692e-05,0.0008906055899227322,0.00011528239530672867,8.319405948413125e-05,0.000619663911707253,3.872899448170436e-05,6.83700337129363e-05,1.0581577525419348e-05,-1.7356346635257496e-05
9,-1.012227114509998e-05,1.2154964839715507e-05,0.00010726031135108822,0.00016515395220587643,3.608535317812914e-05,2.8894447228482653e-05,0.00023206893135519976,-0.0004448329701143059,0.0010599248549517442,0.0008384760688332988,0.00013804435729977913,1.7025891472306613e-05,0.00026068967931409996,9.00240505442841e-05,0.0001351132112390669,0.00032988716574275877,-9.394042632157888e-05,9.00941736557706e-05,-6.107985973359111e-05,-3.998419817756056e-05,-4.726078580405825e-05,0.0002282367033117068,1.4915185816151779e-05,0.00011916370952829769,0.0004026749554802213,-0.0003521302167107129,-2.9756742365219828e-05,0.0001759949852438376,0.0012515572940602,-6.023925893447861e-05,-8.880566148196176e-05,0.009613485897288606,-1.2248809285023634e-06,-0.00019137999590705313,0.0005965513341567058,2.2231217692937053e-06,6.98846929213444e-05,0.0001370486091164868,0.0004012724932502176,0.0003254957058850317,5.116883446188129e-05,0.0010303048526539536,-8.768895093127135e-06,5.311124465044439e-05,-7.84677617690418e-06,-0.00018682199365950837,-5.487834706027582e-05,9.754387771381389e-05,-0.00010337549097396792,-1.889993162715805e-05,0.0005753461052389676,-0.00014527405009551346,-0.0001514098223518059,-5.569484303978614e-05,-6.921326412872822e-05,-5.076212041517458e-05,1.2713320115019714e-05,0.00015506674261651956,8.819734348971773e-06,-8.770998786479615e-05,-0.00014418714186722765,8.863561293659542e-06,7.960375617531177e-05,-9.480644674873905e-06
