layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.0006412865099509253,-0.0005792954903845575,7.646176864285881e-06,0.00043568687760018254,-0.00025214871652452846,4.853742580516143e-06,0.0006192184716759514,-0.0005470186859574495,-0.0003516701404247562,-8.209187654292349e-05,-0.0007146603293152545,-0.00016363978659550242,3.195648076612708e-05,-0.00015572837590259196,0.0006070315792255945,-0.0005534769655094869,-0.00041216242468439295,-5.98071272717959e-05,-0.00032137511062914093,-0.0001080030690830181,-0.00014625365440409542,-9.068297172377338e-06,0.0010638174977846153,0.0006120261474702778,-0.0011477189476287507,3.2095299846999054e-05,0.0036225089063695484,-0.0008617012940387092,-0.0016647227957856136,0.003824714129447207,-0.002006241813723879,-0.00020866414108801836,0.0006410391529553158,2.4701405228229142e-05,0.0046096019555159715,0.0012754996313607322,-0.00033437266273177835,-4.4724147969197016e-08,-0.0005839047946360821,-0.0003715557457384696,-0.0005156422901810279,0.00013259283531323151,0.00013065557034761766,-0.00034263102991852846,0.0004647246917514474,0.00015869228184998402,-0.0005879602818974322,-0.0005241341506969688,-8.644908096558745e-05,-0.000535515855994949,-0.00015812533086004743,-0.0004315945421728238,-0.0005618272706946072,-0.0006378979380110708,-0.00016805390501715525,0.0003998536779028631,-0.0003711719410786126,-6.773769171437194e-05,-0.0005865585922556443,-3.974038221130373e-05,0.00025713270460273556,3.0141070131683784e-05,2.7281506515771846e-05,0.0005453878809863953
1,9.03044571471502e-06,0.00022449070201544056,4.414483254978979e-05,-7.696569467558592e-06,8.34510631021104e-07,0.0003362822915728855,2.5525062067780695e-05,4.7795902068322626e-05,-5.49416188165144e-07,-0.000132428386691154,3.901757898454395e-05,-8.332902635429776e-05,7.470076377827382e-06,-1.462731957891447e-05,-0.0003867424802189117,1.9084431327930735e-05,0.00027624148855523087,-0.00020462260870141797,-9.127582587990634e-06,2.438140079641223e-05,-0.0003335111088304005,8.672448452319615e-05,0.0001715366951636715,-0.00020813212288912507,-0.00013282742314239023,0.00011257864905388902,7.823460778847186e-05,1.4567965757053287e-05,0.00010405703181972563,-1.0491318162743532e-05,4.3394301990193755e-05,2.4848284845431966e-06,-6.931377168652962e-07,-0.002125402215608861,2.0184426610490873e-05,-3.23248712179223e-05,-3.507005958586192e-05,9.624924519262583e-06,7.739266367840577e-06,-1.182607229016488e-06,0.00039805213093484123,4.927438912540537e-06,-0.00019704502050258224,-0.00019204073857057388,0.00020901574920677556,0.0005329134998744744,-8.415795047500514e-05,5.982760354226634e-05,-1.1289083237126923e-05,-2.311878105840652e-05,-9.251899544122631e-06,8.67743754806478e-05,-0.00011819943090203864,-7.504019558475522e-05,-0.0008261597785862163,4.576742877099126e-05,8.339227933233903e-05,9.246910448373351e-05,-0.13922889668611324,-0.07024927073612228,9.037281779177356e-05,0.00010416105492204706,-0.0035071175975843285,-0.007665434226610313
2,-0.005062886614241306,0.00011083631909522836,-1.510482939856681e-05,1.4434356952134798e-05,-0.0014843681703201213,0.00016055920238977023,-2.5040879788609658e-05,0.0003744557032442863,-0.0003806938970919023,-0.004168622805676392,-8.282731212362114e-05,-2.8811435071949207e-05,-0.001903980263518119,0.0009221545411323725,-6.072541275549739e-05,-0.007676630231744931,-0.0020253167593853112,-0.0012440291085859794,-1.194318378801691e-05,1.3273092472713023e-06,-0.0006224465169519893,0.00010008472655689563,-0.00011912099988568324,0.00087377873649101,-0.000947715584887014,-0.00029286897264552044,0.00020839872484272823,-8.008077843278306e-05,-0.00013392593628957063,8.79219131061111e-05,0.0016613283865125291,0.0012663685828561357,-5.9417091942782615e-05,0.0038200515595299667,-0.0006865459539184351,-5.334661311563955e-06,0.00019165552018157847,0.00024530822845844467,-0.00018343929124407438,0.00016080382313542153,-4.597921451722911e-05,0.0004493301846913626,-0.0021691997268314844,0.0004835075883347283,0.0001609082794773189,-6.677909214804525e-06,4.628202617852452e-05,-0.00026693066842882555,-2.5792895333861192e-05,-0.00580583087524204,-0.00018629693948501942,-1.675591112186456e-05,0.00021239701307905397,-9.820218659031158e-06,-6.535696043891647e-05,-0.00011508193012403953,-7.711117196465267e-06,-0.0003778131845440687,-9.203194294982708e-05,0.0007741090990517513,-1.5103506877757307e-05,0.00010907075381406821,-0.0018358931070807884,0.001315116152657565
3,7.020957431632334e-05,0.0001488670467327098,0.0015310916448241453,5.4263849703520244e-05,-0.031238512128203902,0.0002772567284955423,-0.0018733248696038995,-0.0014083743916272992,-0.0005170726192389724,0.0002762574500132823,-5.058122210221808e-05,-0.0001730346095954225,-0.0003506026381103708,-7.595465031852522e-05,-0.0001241973820039138,-0.0001702957146023666,9.99928797668594e-05,0.0008766324627736913,0.00048543354346721243,0.0031093285114781604,-0.001182995229252624,-0.0002187206805345148,0.00042352716523268044,0.0001500473737534264,0.0001537922054369596,0.0007977819479232388,0.0004607808434881144,-5.614666329510147e-05,0.00022944304080253685,-2.911426953532557e-06,-0.00016329312652874273,0.00022073513055085467,0.0008172850254937357,2.5751509553343928e-05,-0.0002144437394437671,0.0004873874083491993,9.944075013082637e-05,-6.51189408962627e-05,-3.177068939442526e-05,6.490622026462603e-05,0.0002814856027954837,-0.00012937572363595805,-0.0011136835553578585,-0.0009955699514959655,-0.00032953775467175713,-0.0012000037589507359,-0.0012953027843425763,8.323672352252889e-07,-0.0002999576613842734,-0.006548122312608529,-0.00035277631507179077,0.00041784871691679667,-0.0014335370829931756,-0.004055977597342435,-0.0007325794829972027,-0.0055447296049180765,0.000471747915710124,1.3278086128907479e-05,0.00010527208641274183,0.00012580383435039968,3.297400091474007e-05,0.00039620657594676724,-7.405660493554843e-05,0.00013154357466519143
4,-0.0005694975265584656,7.733080162743005e-05,0.0006103513800833397,-0.00021990043750316727,-7.802986788603765e-07,-2.2692268097226872e-05,-0.00027341667531370173,0.00023126857556180375,-0.0019922176206394653,-3.1572220064611074e-05,-2.0387342346485278e-06,-0.0004968340376815267,0.00023896254559191158,-1.7321402778492155e-05,-9.285215667485462e-05,-6.410575314341562e-05,1.6545556206329612e-05,-0.0003275152555201556,-0.00015029746699898514,8.53515711100648e-05,-0.0013961675245522905,-0.0015122253838256738,0.00014473667743102018,-0.00022364282936382165,-0.0004861296454548647,-0.00016627005246548277,-0.00041521936313013386,-8.521545407602459e-05,-6.350551111240126e-05,0.0003619578929921563,-0.0001849598253420873,-4.4494759014922685e-06,-0.0018771072335159276,0.0001293437209125675,0.0002629710639261679,-0.00030516729887515375,2.4869502183584083e-05,0.0003667104969338449,1.3317148947218449e-05,4.946355520538487e-05,-0.0006344145094062297,0.00036125796025457884,-7.253670929585611e-05,-0.0021647133714111197,-0.00016088871529016006,-0.0004930133662701717,-0.0004954713852057136,-0.00017117500852425888,-0.0026516467475352985,-0.00023522117982498257,-0.0012163008636614577,-0.001078918268412389,3.907371201219197e-05,0.008826513370668606,-0.07503168037490436,-0.10794940611380334,-0.0027086101785906416,-0.00015031297241537562,-0.01189767447882421,0.0003774684170501889,-0.00024307677101888698,-0.0001253152997236545,9.489521190421665e-05,9.674501948075843e-05
5,-7.742992228192147e-05,-0.0014894456469383352,-0.0003971549829820231,0.0009805526820958472,-2.5131406908100822e-05,-0.0008555553118144637,0.0003132382329402343,-1.6042861486093597e-06,-0.005260844037290195,-0.031523560784477815,4.775102756911782e-05,-0.003885366940370662,-0.00019777445913547092,-0.0022399919855749747,-0.0002988718261952232,-0.001949369930181229,0.0014900654075523346,0.0009678029430304701,0.00011426344935731723,1.3276337494170499e-05,-0.0006851248825061571,0.0007060610253845502,-1.827399399596078e-05,0.00039791711410129814,-0.0012911856402489817,4.669799317635163e-05,-0.0007293461020337606,-0.0004293183470465539,-0.0018431890439512923,0.0003891750064257376,-0.0010935850697979318,-0.000420613606284395,-0.00026871479460549645,-8.687648320799995e-05,-0.0014866578642794804,-0.00031488472574434106,1.6271743094000575e-05,0.00018590218982536663,0.00013894294178385674,-0.0003091502755127894,-0.08725687740591527,-0.0009020072591149689,-0.0034064649167458317,-0.00949946004831798,-0.11667642980107115,-0.003623378908442649,-0.15864372107484637,-0.016885439311628028,-1.7452851086056334e-05,0.00011448722899917888,0.00017852261491467525,-0.00014350135178627256,-0.00018823903849221764,0.00011061637020330154,-0.00012126227508726024,0.00010220411175886522,-0.0026760449278144874,8.625200826335831e-05,4.8513061779551514e-05,-0.0014282568046493928,0.0002373075932150354,-0.00030417486101776473,0.0002501306409770063,0.0001430310588258804
6,-0.00035902960389830053,0.000238254540916977,-8.65895417964381e-06,0.0010289642404032384,-3.812567551079267e-05,0.00034609840585698087,7.718632762999536e-05,0.0010457611667717686,-0.0003806528647436673,-0.0014297998672053425,0.0002011352581383127,-5.273084286615195e-05,-2.3615632744901572e-05,0.0002460994835381481,1.227886465184807e-05,3.795427225341801e-05,-3.977007052327433e-05,-5.881309326859609e-05,-0.00017584856904547436,0.00027907250396331677,-0.00027629096907518213,-0.00012352234914089674,9.4868567670315e-05,-0.00010362433949407323,-0.06775897025332345,-4.717933374593273e-05,-0.0009548245902816624,0.00036242250823390884,0.00014787314954201877,-0.00017506896583014696,0.00020908625324718904,-0.016423091873834398,-0.00046305594411440474,-0.018981867923751162,-0.00035592897666167236,0.014256483922956914,-0.0005632727403355922,-0.04884124732510042,0.0002274327179632244,-0.0008717429209229833,-4.8491502410140326e-05,0.00020277253890092203,-0.00028691336501164794,-0.0019301693222407803,0.0001058654308136695,0.0002680093893680124,5.335232503740504e-05,0.002171532835956738,-0.00036929596811191047,0.00017421265640783873,0.0005156263743271457,0.001019647856568596,0.00034152606378188855,-0.0004886169422648791,0.0008882593360673367,-5.5357369194527264e-05,0.0003681514061582641,-0.00020748043935902907,-0.0004838676788283372,0.0003012937722355696,-0.0007681457615117574,5.048467808309781e-05,5.837639917740158e-05,0.000255249070136168
7,-0.03108701317385123,-0.04679202194330614,-0.0026797620777693214,-0.0004341118921281422,-0.11809360041541732,0.0008972187304916317,0.00642003772271528,-0.01282470903053663,1.7076867540649003e-05,0.00013078823286609783,4.96114951194284e-05,-5.041093614690586e-05,-0.0003089454215997587,0.00041718681805354434,-8.069091656778969e-05,0.0011962124110180274,-0.0046612784072654215,8.445362508434026e-05,-0.0022578699130909818,0.0036239915890098986,0.0018623221805283557,-0.00012216827024825064,0.007349284258888436,-0.0001700407873152267,-0.006412671669439761,-0.005953449462330241,-0.016907392062571726,-0.021552921527200005,-0.0002933847329592906,-0.0009863358375765418,-0.0007677322685399476,-0.0363090534472885,-0.004954870411158501,-0.05295308820145132,-0.002139966362017014,0.020973250805738787,-0.036595433927622115,0.0030010893040243406,-0.002529836695159564,0.011081663451307861,-0.0002273566502145687,1.6685287370514087e-05,2.4886147704114935e-05,-1.48523419342896e-05,7.982493906232124e-05,5.559535453404492e-05,-0.0018215569815019119,1.4420744108625031e-05,-7.685898092747417e-06,-0.00027251882049631165,-6.82749087881668e-05,-0.0013280020657621845,-0.0002944333893521305,-6.704667459119349e-06,7.851092912991684e-05,-8.709219091250289e-05,2.8510296513481482e-05,0.0007463491136278089,0.0005505977008939234,-0.0020024665184575534,0.0010774498598759813,0.00025927331854390514,0.0017642814326851804,-0.00019572482550517925
8,0.010771912660139065,-0.00046619246182956324,-0.0011134479642370436,-0.0006431719685841271,-0.0004857486226491272,0.001180028222221951,-0.0004089311415125781,4.2484339266763034e-05,-3.7680043003092967e-06,-7.177407083022697e-05,7.57010911563584e-05,0.00016774302141850703,-0.0007140404774929272,6.2307831706543095e-06,-0.0009199825971292564,-0.0006377468970137444,-0.00010929740651837897,-0.0002130194301357138,-0.00018531790925239712,-0.0008504753725712953,-0.00013861988187292466,0.0005211067637507053,0.00037384379794785266,-0.00013904545994870317,2.2845315677843897e-05,-3.9146433555176936e-05,-2.949191193226801e-05,3.9931326853748536e-05,-0.00011842891106463415,3.623086802359266e-05,-1.6619757034434534e-05,-0.0009009515226753775,-0.00014673318220808534,-0.0014437466244161283,0.00029578934941660407,0.00014203453939565138,-0.00036531955847415084,-0.0033630248509752183,2.8550031993254945e-06,-0.0005911941645067007,0.0001049893633865017,-0.00030686492535023286,0.00013236043648402006,-0.01709280765594739,-9.592897853691378e-05,-3.0805043984463665e-06,-0.0004785234178398614,0.0007862131287327489,0.00012838347959627676,-1.0758980413201093e-05,-1.0990338897372459e-05,-0.002095092957313495,-0.00161984893504043,-0.0004809531849946583,-0.005494151848732473,-6.0394987771778296e-05,6.830847345423695e-05,5.364308579787148e-05,0.002147717246046121,-0.0031584073499403746,-0.00024990052235608786,0.0013913524543044216,0.000481779646490389,-1.8698494673318065e-05
9,0.00014426649848103143,0.002163607196764082,9.473202879774102e-05,0.00012064436144197697,0.0002156011047669798,0.00030907074184753636,0.0022324071007095983,-0.001634138453161799,-0.0019207366477831957,-0.005454876264179584,-0.0004979953477650853,1.4836859319988595e-05,0.0001879429306433065,0.007604516181858241,0.002344424248471364,-0.0014652439721595612,1.666400447636027e-05,0.00042741537641366445,-0.0003893725864743142,4.452138614727646e-05,0.0004643640996120061,4.9815548109298525e-05,1.1350968090194065e-05,-4.1150189394613224e-05,-0.047184330503176254,0.006761870862147966,-0.0003309195608972363,-0.000798582095815273,0.0015625140095997514,-0.0032541356929495988,-0.0012106585794491207,-0.00957374456007242,-1.3223159473951807e-07,-0.0003449625885021407,0.00026026201685968935,-3.333584716872527e-05,-0.00034330113753163946,0.00018788483093600157,0.00016379175107718397,0.00038522377028753343,0.00010312538431542535,0.02316792611411809,-6.241315452762706e-05,7.384883235589962e-05,-0.00019719939060401236,-0.0005012607428529585,6.739119126218223e-05,-0.00010200792263734459,-1.0825516891188336e-05,-3.70896172687657e-05,2.252891397514269e-06,0.00040819440621315303,0.0002156989029006559,-0.00010204522684501829,-0.0003178579121394879,0.0004235702383673277,-0.0005787836292269767,-1.2096140160300777e-05,0.0003246929049035867,0.0014019278779500476,-0.0006751196477462461,0.025147274603985973,0.0010514215558379673,-0.0003015365688145942
