layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.00035862983027590885,0.00040838990030409624,0.00044018709206883165,0.0002424505692494076,0.00041111813315862185,0.0003103425231160975,0.0004560494724708278,0.0005304964282844645,0.00032323523412776704,0.00024784667582450885,0.00021511995339695825,0.00010604496243633892,0.00035001054594788607,0.00035891955411886963,7.218952420391519e-05,0.00020563149754005065,0.0002104602282560342,0.00024203409122515698,0.00024582464483719743,0.00015721140028555322,0.0002687188643443405,0.0002899894231482405,0.0002433197407782848,0.00013274180738231643,0.000223690950417819,9.475478643102904e-05,0.00020087519778481014,0.001064372968070114,0.0006586388696598101,6.48981408227848e-05,0.003940630562697785,-4.628791084772043e-05,-4.249283030063291e-06,-0.00010917760148832024,-0.0006663648388053798,0.0002526150474065466,-7.245510439329494e-05,-1.529166828605193e-08,-2.718575393096961e-05,0.00010720385780817216,0.0001609415947636468,0.00032002412820164307,0.0005639233166658418,8.42854946474481e-05,0.0004509551615654671,0.00036773198767553293,0.00020418891423865316,0.00033687639840041515,0.00012323524378522947,0.00020901160904123882,0.00032618075986451644,0.00020415269875828255,0.00028569185281101644,0.00022709520557258605,0.0005173743525637861,0.0002037724362144,0.0002098566369165342,2.1524067166480774e-05,0.00015803228450726452,3.166440167004177e-05,0.00013053266307975716,-7.019767278357595e-05,0.0001259815843799481,0.0003054655050929582
1,2.5524368769003078e-05,0.0014812614344343355,6.660932227026016e-05,5.883355683917136e-05,8.409064781816025e-06,9.454654741890847e-05,6.86939758590413e-05,9.601931028727358e-05,1.6616115087192873e-05,8.508525317228356e-05,5.230609374709636e-05,0.0002674935739251567,4.3432923811898446e-05,6.557793556888622e-05,0.00019342688065540633,0.0024553069585486298,-7.503847532634684e-05,0.00014046174061449457,3.328504441658886e-05,2.9135353957548613e-05,-0.00015373320519169678,4.926059819479758e-06,1.7685226247277214e-05,0.0003975177113013885,5.017353009568723e-06,2.1560282646853168e-05,2.6506713674036212e-05,-1.1521049692627728e-06,0.00014140937901750504,-2.6223968855930202e-05,-3.75358364258475e-07,-2.5666778600688e-06,-2.7016371111329428e-05,0.00036167193062697846,-9.412403348125939e-05,1.895276806022171e-05,1.2863285933872122e-05,-3.198468232457789e-06,-3.619171396086155e-05,3.924852685083095e-05,-6.440621388109604e-05,6.985890714427385e-05,0.0004697389240506329,2.3696241499502408e-05,1.4410743230508285e-05,0.00025294098672987343,3.487248963947796e-05,4.392937768864053e-05,6.98928591571206e-05,7.189980036094936e-05,0.00021528443203695834,0.00011118906962720638,0.00036985361123386404,0.0004774105699756412,0.00027267842353144683,0.00019263617600066604,-0.00010746189310580712,-9.189678143852882e-06,0.0005470951901206493,0.0032975402059434345,2.4629544608200812e-05,4.400784456276903e-05,0.00016966348961938065,1.3091896153703715e-05
2,0.00012100799174248356,0.00011176248139973284,5.5862378470530596e-06,9.504752823069086e-05,-1.7141994041732903e-05,5.6399574762660446e-05,-1.590387730659161e-05,-6.870831115336287e-05,-5.883506581748721e-06,0.0012413399128974253,1.2624867354761127e-05,0.00039245508894135823,0.0003334117841116987,0.000381131715412381,8.28610190862337e-05,0.0023371056665348103,0.0005269835266885873,0.0019341963755933544,-0.0001219314864919157,3.646521628657743e-05,0.00017431717884691517,0.0016038629073130937,0.00036147878139833925,0.0008104541633702531,0.00038294852534427197,0.00032135278363771376,0.00022169608104078212,-8.065489274038536e-06,0.0004859634592563279,9.362908858287088e-05,0.000986461397967762,0.0006305356568928,0.0002194778828681247,0.001759613616557057,0.00029202352596234673,0.00020525425295286488,3.912101818036178e-05,6.566470182394573e-05,-7.24913198736671e-05,0.0001168516051920179,2.8812432590922574e-05,-1.0381771039364552e-05,0.0012234072142009494,0.0005901916117607759,0.00021920023085195443,6.842311424544937e-05,8.239021784140706e-06,0.00014041345330733312,-2.0267088201978078e-05,0.0011161611049990117,-2.8109248680396362e-05,-4.053134706955756e-05,0.000145633763904815,-3.3366529247425e-05,1.0261430016049611e-05,0.00014768371099157742,0.00019322165959997765,0.00041039382355122906,6.486796125582117e-05,8.419269247899985e-05,8.507619930212516e-06,5.7652026792113825e-05,0.002816646913938886,-0.002205377892602848
3,2.5985361654547624e-05,0.00024626526651503044,0.000466720967353143,0.000335288953177538,-0.00067138671875,8.883204641221655e-05,0.00017805944515179444,-0.0001771178426621848,-0.000403488738627376,7.068507279021865e-05,6.348573708836203e-05,-2.1825862836227856e-05,-7.13203526750405e-05,-1.0743925842996805e-06,0.00024515465845035823,2.3040590406975452e-05,0.00036458124088335444,0.0002827221834206886,0.0002182707001891291,0.0005621366863009303,-0.00027598006815850314,2.6618378071845882e-05,4.476723791677388e-05,0.00022756600681739337,-2.2163873986355704e-05,3.99577466747341e-06,0.00014153009728540378,-2.6555000981195986e-05,-9.458276289927018e-06,1.5226346027996818e-05,1.8308434305309335e-05,3.846197188654668e-05,0.0004620129549050633,-1.2184245676938488e-05,0.0007392967803568794,0.0002738131752497013,9.24701932110253e-06,-4.3073032475720896e-05,-6.470499159417722e-06,2.8088122983525852e-05,7.151425639285612e-05,0.00010861720465406699,0.0007380141487604424,0.0004009144215644164,0.000727665575244757,0.0002622242215313441,0.0003600301621835443,0.0001674309561524186,-6.489512286608186e-05,0.0010742960096914557,-4.1382222235958224e-05,0.00022048588040509285,0.00018106080308744946,-0.0008347909661787974,-0.0008308314069916938,-0.0002188380760482595,4.7297417363035426e-05,0.00017708389064933434,-2.1643276456037173e-05,5.894371225863957e-05,-5.961068068878355e-05,0.0001615361322330478,6.448468075522846e-05,-8.243548719192319e-06
4,0.0003323373915273924,0.00022008147420762153,0.0006037090398088254,1.303153701974968e-05,-3.708502914328496e-06,4.85287436955949e-06,0.0001723373992533633,0.00011741058735907975,-0.00016823297814477848,4.016485395309578e-05,-2.449373655681558e-05,9.490266630920996e-05,-0.00032381468181368734,6.2211404872840055e-06,2.3781498776203555e-05,-1.1964689327191901e-05,-2.852572670465863e-05,5.50475301621517e-06,-1.5228609495526442e-05,4.714350157145761e-05,0.0003971148140822785,0.0012159709688983368,-9.560886817643034e-06,-2.36607805083076e-05,-5.851516240759234e-05,0.00015719329254536602,5.3689449648308415e-05,7.224988333786328e-05,4.980911182451258e-05,0.0008148845238021657,4.7727476192424575e-05,-6.106835377366051e-06,0.00010173833822902039,-3.8334085971494934e-05,1.7704088476633984e-05,1.4956616148163688e-05,4.670891580702091e-05,1.251622091365627e-05,-1.805492594273344e-06,-1.4410177363629367e-05,-0.00018369095234931526,0.0003622106358974839,4.532065572618186e-05,-9.116643591771897e-05,5.3158289269555576e-05,5.04738167871394e-05,0.00020996528335764047,-4.95850285397511e-06,-4.314923588233974e-06,-9.77817969986152e-05,-2.1033271958556353e-06,1.6170211985139796e-05,-1.2019012547750687e-05,-0.0005695246442963824,0.00010077561004252154,-0.0004969246779816051,-0.0009639112255241317,0.00011098837550682266,0.0004393179205399545,3.582767293422689e-05,-3.0976307543018995e-05,-1.7447184912763864e-05,4.4970572749274276e-05,-1.6496151308473108e-05
5,0.0001552648182156748,8.145616024355157e-05,2.0141842999037224e-05,-0.00018943714190133295,0.0001342492767527131,-0.00026248980172072786,-5.6369395195681174e-05,5.5949144725556655e-05,-0.0001783733126483367,-0.0030776639527912365,2.947638306436778e-05,0.0005351682252521748,-1.0366681255831388e-06,-4.5872941801817696e-05,-0.0003624928148486962,-1.003319704080025e-05,0.000948471359059781,0.00014336199700078043,0.0001399607598027107,6.345065334173941e-06,0.0005614848076542709,0.00011023841326749736,1.7813112162336517e-05,1.3264862796926796e-05,3.942658629598733e-05,7.96053982988139e-05,-0.0010157235061066063,-0.00045119659810126584,-0.00010941903802412911,-0.00017045419427413037,-5.7549416264393114e-05,7.931190201005984e-06,1.6360343257082696e-05,-2.4421305596076485e-05,0.0003857190095925633,0.00013977968240085824,2.4225138410731467e-05,9.590311895443161e-05,9.425682357594937e-05,0.00010529650917536271,-0.0007352466824688494,2.082390121268125e-06,-1.8145464643645977e-05,-3.2135202914848135e-05,0.00042321410360215565,-2.2115586679196513e-05,-0.0004603711864616291,-2.934661092637899e-05,-7.751018186158899e-05,0.00031512598448161323,-9.020068977452405e-05,-0.00014802474009839746,0.00015855137305923543,6.577938417845299e-05,0.00010894672780097535,-9.514108488834426e-06,-0.00022781347926659242,1.808510550969681e-05,6.416779530199117e-05,0.000876438768604134,4.6634975867937004e-05,-9.365323223645063e-05,5.2388710311693796e-05,3.0276141589200325e-05
6,-2.9764597928997354e-06,9.452240376538216e-06,0.0002604919143869886,-0.0004510034488726266,-6.26648528666405e-05,-0.00045428698575949365,-7.12539576276884e-05,-0.000369687623615505,0.000569307351414162,4.3241283561607587e-05,7.502640349955297e-05,2.353704428371299e-05,6.310736076741264e-05,0.0003165293343459462,6.471329097505868e-05,1.4033498643596497e-07,-8.45027875295942e-06,9.319978424265442e-05,0.00013483928728707427,3.293194348299008e-05,1.0689602622496953e-05,-6.306322315071773e-05,2.1650821347778203e-05,-0.000156933748269381,0.0005443186699589575,1.546250113957661e-05,-0.00011469744428803779,0.0001413369480567641,1.4478647256197698e-05,-1.0431567324862116e-05,5.0746941868261727e-05,-0.00020971177499505696,-7.728987102267438e-05,-0.00013706352137312305,-1.4199486261718074e-06,-0.0014994174619264238,8.71812240987003e-06,-0.00035373470451258566,-0.00013182434854628228,-2.103515818147801e-06,-1.2089934530131883e-05,0.00010419325738013603,0.00013540364518950328,0.00012261958061893924,3.669599566278737e-05,0.0011059241958811317,0.00017819600769235946,0.0008192454712300393,-8.59514067444633e-05,5.697751347021558e-05,-8.694733245459157e-06,-0.0006298596345925633,0.00016471290890175013,-2.4222120454044745e-05,-8.272822899154716e-05,-9.75290431252171e-06,0.00028489020806324365,6.894522075412154e-05,0.00021029122268097342,0.0002466334572321253,0.0006695804716665521,0.00010022030601018354,7.04528787468032e-05,5.14742694323595e-05
7,-9.960464284390379e-05,-0.0005678587321993671,0.00017609173738503673,0.00012554699861550505,-0.0002071646195423797,0.00020412251919130366,0.00010742718660378727,0.0006966892677017406,-2.5507770007167082e-05,0.0001183763335022772,-6.295457670965153e-06,-6.203409991676773e-06,-0.00016340424742879747,8.561716804020723e-05,0.0006485468224634102,0.00019817110858386076,0.0006315346005596692,0.00020632562758047233,-5.653840077073572e-05,-0.000880181034909019,-0.0004254051401645284,5.1903007905692886e-05,-0.0023859724213805365,8.706201480913614e-05,-7.496000845221088e-05,-0.0013388863092736352,-0.00014276670504220716,-0.0002569729768777139,-8.350082590609494e-05,7.725969145568354e-06,-3.127206729936934e-05,-0.00034472308581388357,-1.3355590120144331e-05,-0.00022785573066035693,1.6519540472902975e-06,-0.0004324611229232581,-0.0004154760626297899,-0.0004084140439576772,-9.964538525931166e-06,-0.0002667390847507911,0.00012769125684906744,-9.43051108831076e-05,-7.086162325701579e-06,8.512448660934714e-05,4.954730408096712e-06,-2.492077742952133e-06,-0.0004449645175209536,-2.1955634974221104e-05,8.753885196733666e-05,-6.702278233781898e-05,-0.00044878223274327593,-0.0003284985506081886,-2.173607862448577e-05,-1.9030857689771438e-05,-2.1548210820120246e-06,9.542628179622816e-05,2.3540062240557852e-07,8.283083951925269e-05,-0.0003692047505439089,0.0009576338755933544,0.00037559678282918625,0.0002446272705174728,0.0016834645331660393,8.58910476105127e-05
8,-0.001671368562722509,0.0001492289048206919,-0.00013300738757169382,0.00040068807481210503,-6.48860689963967e-07,0.0020251938059360182,0.0003963905044748797,0.0006901946248887487,-1.3878073873398745e-05,6.812282755405238e-05,-7.74166252039671e-05,4.4659345964844264e-05,0.00032350383227384245,4.56594213654713e-05,-8.779236032992278e-05,0.00010398671596864672,1.7673154420489875e-05,-0.0003786147395266785,0.00014639202552506003,-0.00014032291460641013,-8.211256582525949e-05,-0.00010543533518344684,-0.00012499169458316678,8.051304877558983e-05,3.89708748346624e-05,3.2074843780899756e-05,1.4066696166984537e-05,3.995321973969281e-05,0.00044681754293321,-0.00019578088687945063,-1.8522237675094286e-06,-4.0368188785601264e-05,5.0619810442377634e-05,0.00017932095105134557,-0.0002734585653377466,-0.0001304300525520445,1.1305265788792042e-05,0.00015097630174854318,-3.371359426763905e-05,-0.00038541117800942025,-3.8267690924148174e-05,5.255696139757773e-05,0.00010792213150217573,0.00512917434112935,-0.00010338237013997955,-3.217745430861693e-05,0.00023194204402875217,-0.0001634163192555886,7.674060290372617e-05,2.7513202232654677e-05,5.394220352170833e-06,0.00047258787517306076,0.000396728515625,-9.737135488775539e-05,0.00013610984705671268,6.156329867206255e-05,-0.00031290175039556966,4.1958651965176406e-05,-3.94507299495656e-05,4.302399067939113e-05,1.6560282888290813e-05,-0.0001144047024883823,1.522106460378267e-05,9.907951837852116e-06
9,-9.962878649747404e-05,-6.731250618077596e-05,-4.895125763325474e-05,-7.594386233559239e-05,0.00011378300340869901,2.3443487626088616e-05,-0.00010947939715807845,0.00017576579806170885,-3.5237662399872503e-05,0.0006229666214955,0.00010195864906793684,1.2168401404273416e-05,-4.619284521175114e-05,-0.0003515315961234177,-0.00033183641071561447,8.53991206688232e-05,5.8648706991461216e-05,-0.00010362456116495317,-9.059906005860429e-06,0.0001720190048217796,0.0001253779930404468,1.1013655722897853e-05,0.00016500980039186046,7.486946975129052e-05,-0.0008892590486550633,-0.00018488002728812026,0.000318647939947587,5.905537665644186e-05,-0.0009545434879351266,0.0018850157532510857,0.0007576097415972381,-0.0003767375704608392,-3.317170599593708e-06,0.00022217593615568118,-0.0002591142171545883,4.001810580870254e-06,-7.088652139977058e-05,1.7021275773873454e-06,-0.00010889240458041664,-0.00032855890974213786,0.0002374045456512063,-0.006531872326814675,9.566922730955556e-07,1.5162214448178484e-05,3.8213367703595526e-05,-1.1836426167550214e-05,-7.39157954348772e-05,0.000859870186334924,-2.6841706867455468e-05,3.138335445259115e-05,3.320733203164168e-05,-0.0003579477720622833,-0.00017789043957674305,-2.7297418328783648e-05,7.430963878390352e-05,-6.398822687849171e-05,-9.275388114059499e-05,-2.3057189168879055e-06,3.0372716203517726e-05,-0.0003002897093567647,0.000245495687557172,-0.0022313806075084076,-0.00013650218142738688,-6.628036499023452e-05
