layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.00018532045425906775,0.0006454836937688967,0.0009816692721459162,0.0029024924001386063,0.0003897759222215194,0.00016581627630418385,0.0005147995487336225,-0.00016132477791079032,-0.0001852589268838226,-0.0007075648153981871,-0.005052381946194558,-0.000583556390577742,0.0003395080566406226,0.00047622188445060323,-0.00022752823368195162,-0.00018458212575605157,-0.00023749566847278708,-0.000716301702683971,-4.6699277816283895e-05,0.0005784188547442033,-5.771267798639353e-05,1.3412967804938678e-05,-9.967434790822584e-06,0.001035382670740929,0.003909080259261594,7.838587607106452e-05,1.2582348239038698e-05,0.004277629237021167,-0.00011616368447580807,8.533846947454517e-05,2.6087607106857973e-05,-0.00013055916755430583,0.0005735274284116645,0.0005919548772996483,-0.0027591336158014094,0.0015317855342741936,-0.00011237975089781608,-5.098390242745797e-07,-0.001199968399540068,-0.0003413538778981871,-0.0003461530131678419,0.00026862852035030324,0.0005678976735761064,0.0005362879845403831,0.0003057910550025129,-0.00013412967804939997,-0.00016470878354964518,0.0004588711646295355,-0.0005033246932491194,-0.0006946440665952548,0.0001656316941784258,-0.0003538131713867226,-0.000957919705298642,-0.00020507074171496772,0.0004572406891853548,0.000322957192697829,0.00036768759450604374,2.3211202313825884e-05,0.0004982179211032115,1.4428169496593754e-05,-9.290633663051637e-06,0.0001967030186806903,0.0002538927139774549,0.0006739093411353257
1,-0.00010796900718442554,-7.057959033596679e-05,-0.0001630321625740344,-0.00018721242104806823,-0.0013908263175718195,-0.0001566813838097228,-0.0002683977926931111,-4.681079618393078e-05,-0.00011476393668879647,-0.00053764927771783,-0.0003031607597104752,-0.0009637648059475709,-0.00013251073898806802,-0.00040716509665209824,-0.0005138612562610249,-0.0029048304403981873,-0.0007726146328833719,0.00048695841143208345,-0.00037469786982382495,-0.00041649418492471183,-0.0009192189862651257,-0.00018792767678538563,-5.054473876953125e-05,-0.001302965225711942,-0.00019476682909073609,-0.0001455141652014894,-0.00012663872011245877,-0.00011170294977003396,-0.000134783406411432,-0.0003327784999724355,-0.00018011658422407848,-0.0001858357460268081,-0.00013886728594380646,-0.0004925458661971334,-0.00033163255260835523,-0.00039735917122133113,-0.0006159966991793709,-6.834345479165677e-05,-0.0001605403038763366,-0.00034172304214969134,-0.000137379092554883,-0.00047161502222860594,-0.00013473533814952677,-7.17409195438516e-05,4.7383769865955284e-05,-0.0001667584142377224,-0.0003639767246861548,-0.0004260347735497175,0.0002741852114277392,-0.0003155969804332977,-0.0004987485947147378,-0.00018159804805630938,-0.0004423741371400792,-0.0005980999239029407,-0.00015990964827997632,-9.331780095253838e-05,-0.00040971079180317373,-0.0003175427836756405,-8.139206517127675e-05,-0.0003032991963047948,-0.0005834025721396112,-0.000637858144698609,0.00014812715591922907,0.0009043985797512858
2,-0.0007295916157384129,-0.00017908119386241678,-0.0004053115844726464,-0.0002528909713990989,-0.00044899217544062725,-0.0005522312656525633,-5.743772752821543e-05,2.729123638522482e-05,-0.0001192515896212537,-0.0006622191398374484,-2.2242146153612916e-05,-0.0008210674408943447,-0.00044487753222065485,-0.001915401028048599,-0.0002835642906927291,-0.001832008361816398,-0.00025878414030996777,-0.00016851578989337163,-1.8780269930424895e-05,-0.0001502037048339866,-0.00018022714122648356,-0.00018230561287171953,-0.0019477105909778225,-0.00013606779036983305,-0.00018727394842331924,-0.00010033192173127236,-0.00028492942933112123,-7.227928407729305e-05,-0.0002688746298513193,-0.00020414975381666576,-6.190423042543051e-05,-0.00010339675411100644,-0.00017124029897873453,-0.0007454656785534226,-0.00035419387202107686,-0.00042604630993259675,2.5230069314281488e-05,-0.0006280137646582809,-0.0003199423513104871,-0.00011363337116856809,-0.0008065162166472311,-7.119486408848301e-05,-0.00024457131662676134,-0.00019847193071918055,-0.00014146681754819261,-7.446927409018048e-05,-0.0001816749572753767,-0.0021426293157762095,-0.0003389850739509742,-0.00017952149914157308,-0.00041370622573359996,-0.0001413360718757699,-0.00029231655982231956,-0.00019554745766424655,-0.00016221692485192884,-0.0009434761539582106,-0.003079568186113913,-0.012294892341859877,-0.004987162928427419,-0.00017247661467520694,-0.0003283773699114289,0.0006670567297166365,-0.0011856632847939712,-0.005359280493951613
3,-0.0001931651946037138,-0.0009631495321950724,-0.0011280582797142651,-0.0014140529017294546,-0.0026290647445186516,-0.0008423059217391442,-0.0008875016243227136,-0.002654906242124497,-0.006520917338709678,-0.0003124052478421064,-0.001594297347530242,-0.0017633745747227807,-0.0026407549458165322,-0.0009419379695769215,-0.0025925174836189517,-0.0013481878465221757,-0.0003286330930648142,-0.00037938356399536236,-0.00014456625907650992,-0.0004136100892097597,-0.0015755930254536291,-0.0010022040336362772,-0.0001803367368636503,-0.0001668237870739182,-0.0007400512695312456,-0.0005332885249968526,-0.0007201471636372182,-0.0010111639576573504,-0.0009471985601609745,-0.0003032030597809728,-0.0008225902434318129,-0.0006839229214576023,-0.0006354239679151989,-0.0013488569567280339,-0.0005922625141759032,-0.000285925403718021,-0.000282179924749543,-0.00028749435178695185,-0.0003925754177954851,-0.0004352754162203806,-0.0011611753894436676,-0.0003800046059393037,-0.0002905937933152806,-0.0001669199235977669,-5.5174673757235974e-05,-0.00047536050119708327,-0.0007298069615517863,-0.0002489820603401422,-0.0015039751606602742,-0.0003924369812011626,-0.0005128922001007935,-0.0009802772152808347,-0.0009107282084803375,-0.0033369371967930965,-0.0022854497355799504,-0.001012863651398687,-0.0010285531320879482,-0.001577838774650326,-0.0015555351011214645,-0.0007323218930152032,-0.0006420689244424179,-0.0009952052947013645,-0.0006987356370495259,-0.0007495572490076903
4,-0.00013903648622574284,-5.338653441397517e-05,-0.0007424816008537064,-0.00029860773394182956,-0.00021239442210042964,-0.00012433817309716858,-9.569429582164064e-05,-0.00028822883482901415,-0.0005093899465376254,-0.00014843479279548488,-0.0010180934782950978,-0.0003567049580235535,-0.00035044454759165805,-0.00015103432439987874,-0.00024050281893821547,-0.00011243551008161752,-1.8313046424617598e-05,-3.3371871517544414e-05,-1.804963234932192e-05,-0.0004357291806128705,-4.9460318780711136e-05,-3.957027389157102e-05,-7.536334376181195e-05,-1.8865831436639463e-05,-0.0003640574793661661,-0.0005461785101121365,-0.00025593849920456727,-0.00017862166127850397,-0.000294308508596107,-0.00013700608284242995,-0.00011390159207005887,-0.00025447674335972166,-0.0008244322192284298,-0.00047791388727003284,-0.0008832100898988584,-0.0007377689884554878,-0.00118866274433751,-0.0003521865414034795,-0.00030416057955834163,-0.0006009705605045422,-0.0006008148193359258,-0.00026908613020372294,-0.0013240075880481257,-0.001251959031628013,-0.0003328496410000642,-0.00013025153067802912,-0.0003184349306168032,-0.0002940700900170178,4.100222741403483e-05,-0.002349853515625,-0.0004385786671792287,3.3796794952923092e-06,-8.433576553098013e-05,-9.433107991371719e-05,-7.125927555943968e-05,-1.728246288914975e-05,-0.0017405633003480918,-0.001468904556766629,-0.00034622223146499044,2.8917866368454738e-05,-0.006730602633568549,-0.0009112127365604414,-0.00011164238376001059,-0.0002175915625787405
5,-0.0010121253228956614,-0.0053425450478830645,-0.001104170276272671,-0.0004961875177198838,-0.00029660424878520414,-0.002227537093623994,-0.0007287302324848808,-0.0005503931353168967,-0.0009068827475270853,-0.0007668848960630267,-0.0007897346250472452,-0.0007125523782545442,-0.0007712802579325836,-0.0018203489242061453,-0.0013469111534856928,-0.002807863297001006,-0.0009142775689401812,-0.0002806878858996923,-0.0005741811567737188,-0.00028630322025666177,-0.0003215882085984611,-0.0004114143310054549,-0.00032637196202431676,-0.00014339147075529638,-0.008498899398311494,-0.0002309641530436705,-0.004048501291582661,-0.0007097874918291593,-0.003764983146421371,-0.0007471269176852259,-0.0004268461658108427,-0.00039493268535981937,-0.00017862935220040372,-7.948952336464796e-05,-0.0001300861758570266,-0.00012006682734334715,-0.00017303805197437454,-0.00015785905622666478,-0.0002511412866653857,-0.00021274628177766412,-0.00037865484914470797,-0.0004494574762159774,0.0006289635935137387,-0.0005077854279548871,-0.00011643767356872115,-0.000184709025967497,-0.0013805204822171162,-0.00047457218170165365,-0.0006769857098979213,-0.001026361219344592,-0.00043006097116777333,-0.0011168756792622162,-0.0009606653644192545,-0.0016538866104618126,-0.0005052128145771525,-0.00039598634166100783,-0.0015859296244959645,-0.0005375416048111432,-0.0004942494053994282,-0.0014362950478830484,-0.0003247799411896681,-0.00015698709795550968,-0.00041148739476356004,-0.0006837306484099303
6,-0.0005490087693737258,-0.00012607920554373543,-0.0005213214505103193,-0.0012386075911983321,-0.0003750093521610226,-0.0006650493990990355,-0.0011694565896064979,-0.0011072466450352772,-0.0005277049156927218,-0.005957818800403226,-0.0013970098187846484,-0.0004359329900433747,-0.0006334550919071161,-0.0012641337610060093,-0.0009678121536008626,-0.0010951411339544291,-0.00035488990045361293,-0.0001958339445052472,-0.0004113643400130658,-0.0006982338043951171,-0.00034904479980466636,-0.000664003433719745,-0.00011777204851949057,-0.00011769417793519108,-0.00014844825190880764,-0.0002846217924548667,-0.000460532403761329,-0.0014316035855201001,-0.00040896477237822973,-0.0002841334189138032,-0.001766527852704445,-0.000268563147514088,-0.000390914178663671,-0.0006243798040574451,-0.0007012717185481814,-0.002418856466970129,-0.0006652339812247964,-0.00021405373850176594,-0.0008178218718497936,-0.0005843870101436418,-0.000366476274305763,-0.0007474037908738611,-0.000663788087906371,-0.00018848911408455183,-7.662032881088803e-05,-0.0004346909061554903,-0.000237105354186006,-0.0009466063591741623,-0.0005847561743951548,-0.00025849957619942317,-0.0006576199685373549,-0.002621066185735887,-0.00013594834073895357,-0.00014343377082577609,-0.0005473821393905022,-0.0005775574714906646,-0.0002779729904667078,-5.007174707226444e-05,0.00013660615490328134,-5.426906770275384e-05,-0.00020687906972822857,4.0281203485308745e-05,-0.00012137043860651528,-0.0007518645255796322
7,-0.002533820367628529,-1.817941665648405e-05,-0.0006362238237934592,-0.0013565555695564517,-0.0005280221662213695,-0.0016064105495329777,-0.00026903998467228685,-0.0004653007753433643,-0.0005790764285672019,-0.00019836425781248065,-0.00020814711047755484,-0.00022204460636262083,-0.0012013835291708646,-0.0028287826045866934,-0.00047019220167590967,-0.00020660123517436308,-0.003093104208669355,-0.0016489490385978385,-0.0014810254496912772,-0.004631227062594503,-0.0016775592680900297,-0.003596398138230845,-0.0017916771673387097,-0.0004973873015372871,-0.0008233285719348387,-0.0015096356791834645,-0.00031248023433070053,-0.00012215875810191399,-0.0014833019625756032,-0.0010356287802419323,-0.0009784698486328097,-0.0007105181294102806,-0.0002453404088174,-0.0005372878043882243,1.2459293488527422e-05,-0.0048318370696037,-1.7806406944028997e-05,-0.0006569585492533999,6.70340753370623e-05,-0.0019152779732980964,-0.00016197850627283815,-0.0002499857256489226,-0.0003216112813641807,-0.0008919008316532226,-0.0014654590237525192,-0.0002777960992628367,-0.000636254587481087,-0.0005881401800340096,-0.0005090928846789903,-0.0002796419205203839,-0.0026305414015247,-0.0006477602066532161,-0.00014592370679300046,-0.00016726313098783347,-0.0003161699541153341,5.272126966902894e-06,-6.431533444311686e-05,-0.0001878507675662932,-0.0006612404700248446,-0.002771316036101303,-0.0023087609198785583,-0.0008525348478747925,-0.0005147841668897936,-0.0003602870049015136
8,7.889347691690322e-05,-0.00020362484839654273,-9.002993183750636e-05,-6.124857933291711e-05,7.95818144275215e-06,-8.04614636205889e-05,-7.700151012789395e-05,-0.00010898444921738531,-0.0002656444426505677,-7.24806900947237e-05,-0.01100404800907258,-0.00043635791347871363,2.826029254543339e-05,0.00015101125163416546,-0.002341766511240314,-0.0007340831141318,-0.00016222846123479837,-0.00018007524551882822,-0.00022067562226324328,-0.0015403993668094708,-0.0025428033644153227,-0.0006840536671299987,-0.000679039186046952,-0.0002933317615139883,-0.00028604845846852916,-0.0005261205857799853,-0.0009550740641932327,-0.00040318119910454905,-0.00040085084976688935,-0.00038885301159273224,-0.00012650412897909338,-0.0006580102828241076,-0.0002665365895917153,-0.0010741795262982643,-0.0002482014317666355,-0.00020042638624867296,-8.20736731252284e-05,-0.0006312708700856709,-0.00026892077538274837,-0.001282045918126258,-0.00041649418492469746,-0.0001353400368844302,-0.00046906932707754584,2.5518478885775722e-05,-0.00042399667924449723,-8.410023104759955e-05,-0.001054058151860385,-0.00016796973443798386,-7.376555473573645e-05,0.0001612651732659948,-0.00018922527951578154,0.00019986783304521853,0.003811251732610887,-0.000626871662755158,-0.0003867610808341692,-0.0002624873192079638,-0.001881261025705642,-0.00015531239971037621,-0.0012964125602476066,0.0003624077766172317,-0.0019686760440949503,-0.004227422898815526,-5.615935210259234e-05,-3.743123623632233e-05
9,-0.00044699638120589716,-0.000694428720781872,-0.00026747488206432834,-0.002895355224609374,-0.0006175887200140061,0.00013006118036087172,-0.0007070956691618833,-0.0004063421680081211,-0.0004878813220608516,-0.0011583758938697065,-0.00033600099625124516,-0.0004796827993085265,-0.0015498438189106613,-0.0009466601956275129,-0.0010265611833141625,-0.0004955414802797314,-0.00018000987268262185,-0.001077959614415329,-0.0008761190599010807,-0.00065110383495206,-0.0003934675647366273,-0.0007263845013033888,-0.0005082353468864185,-0.0009508748208322775,-0.0002357344473561841,-0.00044065906155493876,-0.0006748476336079101,-8.539999684979103e-05,0.000546855311239925,-0.0005868096505441873,-0.0007223506127634262,-0.0004481654013356774,-1.9575078641212664e-05,0.0008601834697108064,-0.0021641638971144164,-0.0006137663318264741,-0.0007993636592741871,-7.379824115382518e-05,-0.0013789515341481806,-0.009315736832157258,-0.0006739631775886719,-0.0025144892354165382,-0.0008516619282383996,-0.0010324370476507403,-0.0007221525715243376,-0.0007052883025138645,-0.0007864582923150703,-0.001722320433585872,-0.0009025335311889595,-0.0011242282006048386,-0.0010213467382615628,-0.002858961782147803,-0.006303356539818549,-0.0006017377299647064,-0.0005689744026430156,-0.0006988894554876517,-0.0013951947612147228,-0.0009623189126291452,-0.00021754541704730918,-0.0014528459118258613,-0.00023761872322328892,-0.0009084824592836419,-0.002033002914920926,-0.00187080906283471
