layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.00025244355201721187,-0.00038805007934570375,-0.0003603696823120125,-0.0008626818656921381,-0.0004117488861083994,-7.047057151794188e-05,-0.0005117535591125488,-0.00041871070861816006,-0.00036311149597167936,-0.00018097162246704374,0.0008433222770690925,-4.9602985382081246e-05,-0.0003195524215698237,-0.0006553769111633275,-0.00023632049560546746,-0.0004739522933959969,-0.0006515979766845725,0.00046291351318359373,-9.246468544006187e-05,-0.0006028413772583025,-0.00038081407546997753,0.00034307539463043296,-0.0004783034324645975,-0.0010939359664916956,-0.0011173963546752918,0.00015435814857483188,9.682327508926249e-05,-0.002685266733169555,-0.0001975923776626572,0.00020240545272827122,-0.0005966424942016612,-5.307346582412648e-05,-0.00030187517404556307,-0.00036735534667969004,0.0018875360488891605,-0.00021194219589233313,0.0005684047937393138,-4.3153704609682835e-07,0.0008550882339477544,-0.0003164470195770269,-0.00016751885414123562,-0.0003865480422973645,-0.00037722587585449437,-0.00019359588623047235,-0.00015693902969360249,-0.00029429793357849186,-7.718801498413625e-05,-0.0002647876739501956,0.00010206997394561859,0.000126048922538755,-0.000200802087783815,8.201599121093758e-05,9.500980377197377e-05,-0.0003606379032134987,-0.0003028124570846553,-0.0001538395881652825,0.00013923645019530998,-1.4784187078468249e-05,6.854534149169683e-05,-2.8353929519649586e-05,-0.00022459626197814824,-0.0002087593078613275,0.00014473497867584193,0.0003897428512573238
1,-4.635527729988398e-05,-3.1872093677519717e-05,-9.16577875614134e-05,-0.00010501071810721738,-0.00031018033623695474,2.555418759584068e-05,-5.008243024349574e-05,-0.00013749152421951115,1.717712730168896e-05,-0.00022957623004913051,4.0123984217647874e-05,0.000137421861290933,1.141652464866597e-05,6.079934537410668e-05,-3.181844949722052e-05,-0.00074652433395386,-0.00036020278930664186,-0.0005996286869049042,-0.000265592709183695,-0.0002765454351902076,-0.0001912511885166169,-8.769482374190932e-05,-5.1926821470259956e-05,1.0811537504197484e-05,1.3939477503299284e-05,-4.929825663566307e-05,7.084757089614556e-06,-7.98184424638695e-05,4.2736530303968344e-06,-0.0002314403653144872,-4.170089960091154e-06,-6.713978946208313e-05,-0.00028831660747527944,-1.3379380106926398e-05,-0.00012835813686251757,-0.00017809830605984263,-0.000306320190429683,-0.0001797195523977244,-0.00014801621437072928,0.00014946907758711978,-6.074085831649666e-06,-0.00020710825920104624,-4.71919775009156e-05,-0.00029118284583091634,0.00010751374065876422,6.776228547096199e-05,-4.8526003956794e-05,2.4404376745224663e-05,9.95725393295276e-05,-3.832401707768497e-05,7.012486457824389e-05,-5.8824475854635e-05,-0.0002197273075580554,-3.371164202690187e-05,4.30446118116359e-05,0.00010198801755905424,7.514655590056975e-05,0.00013768244534730683,6.429273635148668e-05,2.8550811111923228e-05,-0.00014670938253403,-7.181465625763019e-05,-4.913359880446994e-05,-0.00017950832843780103
2,-0.0004031062126159656,-4.299310967326152e-05,-0.00014798380434513859,-9.333156049251367e-05,-1.8045864999295784e-05,0.0001300323754549019,-3.820043057202607e-05,-0.00024263113737106015,2.223365008830497e-05,-0.00010869167745114074,-0.0001683248206973018,-0.00018414258956909131,-0.00013676621019840252,-5.298852920532077e-05,-0.00016086809337138597,0.0002986267209053016,5.662534385919385e-05,-9.712576866150287e-05,2.335421741008561e-05,-0.0003050714731216441,4.2034452781078856e-05,-8.564041927457158e-05,-0.0002704083919525173,1.8091499805447822e-05,-0.00016032122075557633,-2.8815120458671456e-06,-3.614015877247154e-05,-1.546856947243374e-05,-0.00012776087969541564,-0.00013925023376941355,-0.00013453257270157343,-0.0001099660992622396,-7.304176688194917e-05,0.0001231864094734147,6.80012628436079e-05,-5.7152658700944176e-05,9.40118916332333e-06,-0.00013271197676659129,-6.681755185127276e-05,-4.3195858597756995e-05,-1.8054246902466402e-05,-1.5671225264667684e-05,-5.2544102072714156e-05,-7.736235857010111e-05,-2.9513612389561797e-05,-9.457115083932465e-05,-7.831528782845024e-05,-0.00015237927436828939,-0.000127440877258777,-0.000310919433832168,-0.0003209859132766743,-3.495868295430969e-05,-6.39561563730242e-05,-3.849007189273967e-05,3.2395124435425116e-05,-0.0001529246568679809,-0.00011616945266723503,-0.00016508102416992187,5.4407119750976865e-05,1.5124189667397019e-05,-7.276646792888397e-05,-8.331239223480314e-05,4.6855956315993914e-05,0.00011599063873291063
3,0.00010143108665943147,-0.00010877773165702646,-6.076917052268621e-05,-0.00043546557426452515,0.0001631081104278531,-0.00011742599308490998,-0.00021381974220275858,0.0005032360553741449,-0.00029754638671875,0.0001685261726379406,5.6430697441098946e-05,7.879734039306688e-05,0.00013217926025390624,9.214878082275437e-05,0.00018806457519531124,0.0001740515232086204,-5.45497983694046e-05,-9.853905066847747e-05,-1.7273798584936916e-05,-9.64097678661325e-05,8.406639099121252e-05,0.0001096658408641817,-1.6733352094888575e-05,-3.694854676723568e-05,-3.2052583992483045e-05,6.031990051265971e-06,-4.6458095312116436e-05,-1.0574609041214548e-05,7.987543940543577e-05,2.3972988128659568e-05,-0.0001811098307371171,6.252694875001717e-05,-2.383813261985947e-05,-7.995143532753142e-05,-0.0001388404518365908,-1.773163676262325e-05,-8.95697623491323e-05,-2.339333295822954e-05,-7.622372359038316e-05,-0.0003009170293807982,-9.080767631530844e-05,2.3554265499114794e-05,-9.510070085525536e-05,-0.00011466667056084031,-0.0001666884869337089,2.0051747560494995e-05,-0.00014741420745849747,-1.5203282237046605e-05,-3.431439399719163e-05,-3.2333657145503896e-05,8.349120616912876e-05,-5.818605422973265e-05,-0.0001267731189727814,0.0002433776855468744,0.00017074048519134523,-3.9776414632801976e-05,0.0002516925334930426,-0.0001479163765907285,5.62399625778179e-05,-4.671914502978245e-05,-0.00027023851871490947,-0.00018606483936310113,-0.00013843737542629215,-0.00012923479080200585
4,3.5911798477162645e-06,3.08749731630001e-06,-0.00023796744644641985,3.1995587050914825e-05,6.425958126783035e-05,-3.8326438516380535e-05,-4.407158121470778e-06,3.10570932924698e-05,0.00010863989591598455,-6.0016848146913205e-05,-4.4600665569306916e-05,8.534649387001927e-05,3.945305943488745e-05,2.775499597190978e-05,-2.4596601724625018e-05,1.0396912693974993e-05,4.770583473144985e-06,1.945113763212736e-05,1.1411728337416097e-06,-8.319169282913747e-05,4.904510569758382e-06,-2.404353581368359e-05,5.090162158012019e-05,-7.213419303295106e-06,7.94297084212272e-05,3.354996442794519e-05,-5.7443976402286225e-05,-1.104846596717813e-05,-0.0001174751669168485,-1.2332014739518023e-05,-2.8999336063867728e-05,-6.804689764976298e-05,-9.172782301902462e-05,3.196150064467681e-05,1.810863614084887e-06,-1.055039465427063e-05,-2.462491393089019e-05,-4.222448915243049e-05,-3.495756536722441e-05,-9.834505617618781e-05,-0.00010585710406303469,-1.6882643103600807e-05,-0.00010423511266708231,-0.00016164034605026375,-2.605095505715123e-06,-2.9787607491015606e-05,-0.00013556592166423864,-0.00012599602341651937,1.0706484317779497e-05,0.00022456645965576125,3.2490491867068216e-05,-5.070399492975436e-06,-2.0494684576986912e-05,2.38659325987109e-05,2.2250507026910663e-05,8.639972656963986e-06,-5.248785018920476e-05,-3.818273544311687e-05,-6.049908697605625e-05,-4.136562347412055e-05,-1.6736984252929383e-05,1.4681741595264847e-05,2.149725332856511e-06,-4.959609359502594e-05
5,-0.00011774301528930937,-0.0001315593719482425,-0.00014915466308593938,0.00014514140784740691,-0.0001990456134080906,-1.6450881958008128e-05,-0.00028180181980132837,-2.02461145818271e-05,0.0001431554555892923,6.228461861610199e-05,-3.9547681808475623e-05,2.0117778331039628e-05,-0.00015927664935588801,0.00021771788597106873,0.00016152970492839703,0.0006218463182449331,0.00014175167307257813,1.108180731529881e-06,0.00012304997071623915,-4.7508627176269745e-06,6.812792271375525e-05,4.949122667312491e-05,-0.0001107038930058485,-6.148591637614285e-06,0.0006708383560180669,-2.925731241702963e-05,0.0003356382250785831,1.4159828424453698e-05,0.0005513429641723625,8.280873298645312e-05,1.3787299394606365e-06,-5.738437175752257e-06,3.823013976215829e-05,-2.774554304778455e-05,-5.900906398892285e-06,3.847107291221714e-05,-5.0295051187275906e-05,4.223259165882504e-05,5.7867448776956664e-05,5.849897861480768e-05,7.383897900581285e-05,-0.00015347748994827315,-0.0001606293022632576,0.00010328590869903736,-8.650617673992455e-05,9.833313524722441e-05,0.00013313293457031352,4.8960745334620146e-05,8.442997932432736e-06,-3.984114155173198e-05,1.6196817159653785e-05,-3.2044947147367474e-05,-5.2303075790432734e-06,-0.000297945644706488,2.925018779933015e-05,9.353738278148744e-06,-0.00011125802993774376,7.000621408223971e-05,3.609098494053189e-05,-4.2880140244959556e-05,7.086079567670788e-05,-1.801699399948056e-05,1.2356787919992196e-05,0.0001224485225975535
6,3.376603126525579e-05,3.572553396219304e-07,9.050369262695335e-05,7.883161306380924e-05,5.5438280105590625e-05,8.12768936157229e-05,9.733438491821313e-05,0.000204890966415405,-0.0002665266394615179,0.00019225031137466215,-0.00010654628276824897,1.2202560901647075e-05,3.57508659362822e-05,-0.00014981469139457366,-9.510796517133624e-05,5.003809928892929e-06,5.844235420226937e-05,1.505315303802668e-05,-7.033720612526666e-06,-4.319548606872376e-05,1.2189149856569121e-05,1.2338161468506244e-05,8.215475827453916e-06,1.9667483866213054e-05,2.5463663041588044e-05,-6.0644187033182105e-05,-0.00015573948621750084,-3.9041042327882506e-05,8.90623778104794e-06,-9.073093533516228e-05,-0.00021615624427795657,7.507950067520246e-05,2.9037892818453036e-05,8.671656250953589e-05,0.00014040395617485112,0.0005374535918235784,-4.36797738075232e-05,5.685016512870793e-05,0.000155651569366455,-1.1482462286951088e-05,1.0536797344686669e-05,0.00010496675968170219,0.00011309608817100965,7.12618231773362e-05,-3.818422558109654e-09,-0.00012435577809810782,-2.3458153009442402e-06,0.0002203948795795478,9.5021724700929e-05,2.6611424982545943e-05,7.082819938659562e-05,0.0004821479320526123,-1.0469369590283907e-05,-1.9434746354824105e-05,6.762221455574074e-05,0.00012425184249878027,-1.4749169349671519e-05,7.861293852344679e-07,-9.567961096763277e-05,-2.1781795658168478e-05,-8.902326226239883e-06,-3.2291375100611955e-05,-6.054956465958921e-05,4.768371582031187e-05
7,0.0004038736224174491,-0.00019353553652763793,1.0213255882261887e-05,0.0002082288265228275,0.00013513565063476732,0.00019280612468719252,-3.1432136893274934e-05,-5.4744724184275294e-05,-7.110089063649687e-06,7.630418986081848e-05,4.3670833110806586e-05,3.4510158002370986e-05,0.00011663436889648375,2.7728080749510624e-05,2.3271143436430754e-05,-1.58632174134242e-05,0.000545597076416015,-0.00018467381596565247,0.0001454561948776239,0.0009704902768135073,-7.971003651619023e-05,-1.9097328186034376e-05,0.0008503556251525868,-3.535747528075999e-05,-0.00019416809082031127,0.0003631468862295123,2.027377486228986e-05,2.0643323659896734e-05,0.00014334917068481375,0.00011392831802367999,0.00015984922647475637,-1.8816441297532354e-05,2.6322901248931377e-05,0.00012887604534625818,-2.1692365407945088e-06,0.0009879507124424009,8.356256876136165e-06,0.00023828148841857814,-7.81409442424753e-05,0.0005757167935371408,0.00022533312439918215,3.1104683876036644e-05,5.204305052757134e-05,0.00019669681787491195,0.00021947622299194435,4.4851377606391225e-05,0.00023311972618103122,7.342100143432739e-05,-2.6691332459452393e-05,6.0859322547914547e-05,5.9235095977784386e-05,8.047521114349129e-05,-1.986920833587777e-05,5.68479299544831e-06,-7.626228034496741e-05,1.8759816884996927e-05,-7.551368325948372e-05,-3.355080261826302e-05,4.0264055132866574e-05,-0.0005110684782266607,-0.00010990798473357996,-0.00012374818325043053,1.755952835083195e-05,-0.0001041851937770847
8,1.5017762780187709e-05,3.75406816601736e-05,6.184987723827543e-05,-5.231052637100375e-05,-5.096606910229267e-05,-5.584387108683583e-05,3.121420741080575e-05,2.7747824788070486e-06,-5.878880620003761e-06,-2.6840111240749024e-05,-0.0005994796752929688,-4.595704376699861e-06,5.16593456268275e-05,6.275698542594941e-05,0.0002247303724288934,0.00013316571712493737,-8.826591074466815e-05,3.3707916736605106e-05,-1.77871435880671e-05,-4.993975162506203e-05,0.00014221668243408374,0.00011644028127193408,7.025338709354224e-05,-0.00010889470577240415,-0.00012367591261863568,-2.7813017368318602e-05,-8.12096521258348e-05,-0.00011375769972801503,-4.181768745184174e-05,6.562769412994313e-05,-2.3612007498743942e-05,2.61921435594556e-05,5.858922377228895e-05,0.00016101356595754705,5.682818591594715e-05,-4.883855581270084e-07,-0.00011223275214433337,3.4541636705399274e-05,3.122687339782568e-05,-0.00022335499525070486,-4.444569349289187e-05,-3.4154392778870286e-05,3.134198486804932e-05,1.3400986790655704e-05,-0.00013098493218422196,-6.705597043037854e-05,0.00012357346713543047,1.821569167077668e-05,1.020673662423863e-05,-1.3520196080209113e-05,-2.5357492268081144e-05,-9.14469361305263e-05,0.0003849178552627559,3.1586736440662025e-05,2.769865095614874e-05,-0.0001543570309877307,-9.175837039947623e-05,2.470165491104153e-05,0.0002829074859619108,4.3976306915283986e-05,0.0005822479724884038,0.00016352534294128562,3.145150840281618e-05,1.4973350334913102e-05
9,-6.71222805976911e-05,0.00024658963084220906,-0.00027422308921813855,-0.00014817714691162126,5.05320727825139e-05,5.662217736243988e-05,-0.00020682029426097786,-0.00010140165686606966,-5.108974874019821e-05,0.00012149699032306732,7.852911949157184e-05,-7.38508999347714e-05,-9.425580501556563e-05,0.00014163330197334458,0.00014097765088081312,2.6877969503403665e-05,2.652406692500491e-06,-4.063919186591852e-05,-0.00026577897369861413,-8.224621415138688e-05,-3.2163225114370792e-06,7.405430078506101e-05,-0.00027404576539993245,7.313489913942836e-06,5.0484761595726656e-05,0.00011121630668639643,-1.9559077918531003e-05,3.497675061223448e-06,-0.00043411552906036263,2.8723850846299193e-06,-5.3930655121806914e-05,0.00022928416728973288,-6.658770143985299e-06,-0.0004956804215908051,-0.00019835233688354623,5.05894422530935e-06,3.8743019103410443e-07,-7.5388699769928245e-06,9.062886238098313e-05,0.000669097900390625,-0.00011342540383339303,0.0004832923412322981,-5.244649946687841e-06,-0.00015868265181780166,-3.535170108080311e-05,-0.000483741611242293,-0.00016530714929104088,-0.00011210739612579323,-0.00019841641187667817,5.119889974593936e-05,-2.6360154151917148e-05,-0.0002509251236915581,0.0004308640956878662,-0.0001762848347425513,-0.00016757017001509965,-1.440718770027125e-05,-0.00037944018840789696,-0.0001338060945272422,9.127669036388138e-05,-0.00038795731961727,-0.0003001958131790096,-0.000568230450153353,-0.00030172169208526715,-0.00010206550359725891
