layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0012931823730468715,0.002606528145926343,-0.0026768275669642855,-0.002314976283482143,-0.0010637555803571428,0.00010245186941964286,-0.005092075892857143,0.0008065359933035714,-0.003178187779017857,0.0053781781877790215,0.0038659232003348215,0.0029754638671875,-0.0044092450823102645,-0.0035727364676339285,-0.013349260602678572,0.004446847098214286,0.0035536629813058,0.001190185546875,0.0013247898646763427,0.002536773681640614,0.004656655447823657,-0.0015850067138671858,-0.0126953125,0.0018885476248604856,-0.008309500558035714,-0.0005264282226562428,0.03236607142857143,-0.002787998744419643,0.05934361049107143,0.09640066964285714,-0.012625558035714286,0.002065113612583707,0.002101353236607143,-0.004575456891741071,0.009207589285714286,0.0033438546316964285,0.004383632114955357,9.949452110693888e-06,0.007877894810267858,-0.0027844565255301357,0.002796718052455357,-0.0024893624441964285,-0.010486057826450892,0.002894810267857143,-0.018999372209821428,-0.003779820033482143,0.004361833844866071,0.0024283272879464285,0.00016730172293526427,0.004111153738839286,-0.0012337820870535715,0.0015400477818080357,-0.0013602120535714285,-0.0011465890066964285,0.00040980747767857144,-0.0020751953125,0.0023798261369977715,0.00016702924455915005,0.003920418875558036,-0.0007585797991071429,-0.008264814104352678,-0.0020392281668526785,0.00047520228794642856,-0.00311279296875
1,0.0006830351693289643,0.0268843514578683,-0.0024785314287458075,0.0009743826729910786,9.700230189732142e-05,0.0005514962332589286,9.451593671526407e-05,-9.809221540178572e-06,7.469313485280112e-05,0.000981330871582035,-0.000191433089120047,0.0006465230669294,0.0001580374581473174,3.107956477572867e-05,0.006726264953613279,0.004200526646205357,0.004350934709821429,-0.004071916852678571,-0.00010371208190918951,0.0007825919560023643,0.0009093965802873857,0.0021569388253348215,-0.0004784720284598286,5.231584821428571e-05,-0.0006418228149413929,-1.1035374232699995e-05,0.0001964569091797,0.0001900025776454394,0.0014480863298688715,0.00014790466853551086,4.523141043527144e-05,7.665157318113985e-05,0.00014100755964006518,0.012540544782366072,0.000878044537135536,0.001398222787039607,0.0013293538774762858,9.761537824357862e-05,0.00041116986955913565,-0.00039236886160714287,0.0018593924386160715,-7.799693516322854e-05,0.015123639787946428,0.0011998244694300937,-0.0015648433140346071,0.006511143275669643,0.0013847351074218856,0.004039219447544643,-0.0001844678606305786,0.0011280264173235204,0.00021444048200335003,0.002498899187360493,0.003528050013950893,0.0019127982003348143,0.012652260916573664,0.0008669921330043248,0.0007089887346540215,-0.0029786654881068645,0.07066127232142858,0.0119171142578125,0.0013134479522705074,0.00044468470982142856,0.0026520320347377287,0.056595257350376675
2,0.017336164202008928,0.001425061907087057,0.009373256138392858,0.0004963534218924286,0.009478977748325885,0.00027159282139370714,0.00013541323798044327,0.0013251304626464857,-0.0006474086216517857,0.007332938058035714,0.0009910719735281928,-0.0015145710536411858,0.0048966578074864,0.0015043531145368214,0.0003291538783482071,0.020333426339285716,0.0450439453125,0.036082676478794644,-0.005732400076729914,0.0007106236049107143,0.015345982142857142,0.00919505528041295,0.006529671805245536,0.06647600446428571,0.004600797380719871,0.00261241623333523,0.004229954310825893,-0.00130462646484375,0.00556182861328125,0.0021950857979910715,0.006874356951032371,0.0034691946847098215,0.004509346825735901,0.0255584716796875,0.007982764925275531,0.004663978304181771,0.0003470693315778462,0.00204222542898995,0.004365921020507814,0.002336255141666961,0.0014899117606026857,2.6157924107142856e-05,0.05026899065290179,0.01566704681941442,0.0035144431250435887,0.015732356480189728,0.0003998620169503429,0.001310416630336207,-0.00030337061200825025,0.018152645656040738,0.00048501150948660713,0.00032967329025269,0.0020357540675571928,0.00012077604021345133,0.0017585711819784982,0.002699170793805807,0.0092620849609375,-0.0006452287946428571,0.0027945382254464285,-3.882816859650903e-06,0.00043191228594097875,-0.000244140625,0.020433698381696428,-0.0021275111607142855
3,0.0010160718645368357,0.0030157906668526785,0.0041802270071847145,0.002048764910016736,0.02220698765345983,0.0008375474384852845,0.0064225878034319,0.0025716509137834855,-0.0028599330357142855,0.0056430271693638425,0.00012425013950892856,-0.0006801060267857143,0.0019553048270089285,-0.002338409423828136,-0.003499167306082593,-4.57763671875e-05,0.0020433153424944213,0.008196149553571421,0.00043685095650809286,0.0008697509765625,-0.0038822719029017855,0.0005375998360770143,0.00016711439405168757,0.0037089756556919645,0.0013769694737025642,2.0163399832585738e-05,0.006253923688616071,0.0008445467267717714,0.004530600139072959,0.0008129392351422929,0.006237574986049107,0.00021282264164515277,-0.0003062656947544643,0.0007673246519905941,0.016641071864536835,0.0025297573634556355,0.0010677916663033628,-0.00018937247140066426,0.00015647070748464996,0.00040871756417412144,0.0002919605800083714,0.002473405429295138,0.0030777794974190926,0.0030862263270786785,0.0014397757393973358,0.002118519374302457,0.0016861132213047637,0.0009553432464599502,0.003898007529122493,0.005237579345703129,0.0013852800641741072,0.005453586578369135,0.0008209092276436714,0.009416852678571428,0.0012119838169642857,0.009634835379464286,0.002521310533796043,0.002075331551688057,0.0003997257777622786,0.0008087158203125072,0.0005824225289481143,-0.00041300909859792864,0.00037819998604910713,0.0006923675537109358
4,0.024668761662074493,0.010576520647321428,-0.0006583077566964286,0.003913470676967079,0.0002625031130654462,0.002582277570452014,0.0015313284737723215,0.001550401960100443,0.019060407366071428,0.00016827242715017956,0.0006920950753348214,0.0026740857533046098,0.0011400495256696428,0.00039088726043702733,0.0010706015995570592,0.003403527396065857,0.0016021728515625,-0.005074637276785714,-0.0017814636230468785,0.0008281299046107536,0.04428972516741071,0.02804401942661833,-0.002934047154017857,0.006033761160714286,0.0009604862758091526,0.0010538101196289143,0.0014670235770089357,0.0003072960036141244,-0.000637820788792184,0.0015068054199218785,0.0006504740033830965,-1.4986310686385663e-05,0.0010083062308175214,0.00025708334786550714,4.168919154577147e-05,0.0010875974382673047,-0.00016239711216517138,-0.00011416843959264285,-2.8454831668317292e-05,-0.00019182477678569374,0.0004292896815708643,0.0031651088169642855,0.0016482216971261214,-7.193429129464286e-05,0.0006269046238490571,0.0017247881208147357,4.57763671875e-05,0.0006569453648158501,0.08214787074497767,0.0017460414341517857,0.00693954740251812,0.0004134178161620817,0.00046910558428082786,-0.0034877232142857145,0.03783307756696429,0.05627332414899554,0.006096976143973214,0.0009471348353794715,0.007851736886160714,-0.0008980887276785714,0.0032283238002232145,0.0012119838169642857,0.00026814426694596083,0.00044722216469902015
5,0.004047938755580357,0.011975969587053572,0.0014397757393973215,-0.004494803292410714,0.000297989164079923,0.005381992885044643,-0.00040435791015625,0.0007128034319196429,0.009089878627232142,0.011425563267299108,0.0012097358703613214,0.0039852687290736575,-0.0005387238093784967,0.0077362060546875,-0.002049037388392857,0.003977400915963315,0.025715964181082594,0.004368168967110778,0.0021974699837821,0.0005347984177725541,0.03557041713169643,0.0030698776245117144,0.0007335117885044429,0.003515447889055536,0.011288234165736608,0.00040953499930246426,0.0016512189592634001,0.0003105572291782857,0.004961286272321429,-0.0007237025669642857,0.0016839163643973215,0.0017679759434291206,0.0012912750244140714,0.004507541656494142,0.021092006138392856,0.0038299560546875,0.0011066879544939323,0.0010144369942801394,0.0028326851981026785,-0.0016386168343680285,0.09230259486607142,0.0014468601771763427,0.005181414740426202,0.01768268857683453,0.05291748046875001,0.09495108468191964,0.17129952566964285,0.02843330587659561,0.0012597356523786213,0.00212860107421875,0.004383359636579235,0.0004970005580357143,0.001970836094447543,-0.0004931858607700857,0.0014923640659877287,0.0005270753587995143,0.007534572056361607,0.00102080617632185,0.0006470084190368668,0.001671109880719864,0.00033279827662877857,0.0006343296595982143,0.00158282688685825,0.0009825570242745641
6,0.0009863717215401785,0.0006366457257952,0.0019111633300781285,0.00034877232142857144,-0.0002317428588867215,0.0003901890345982143,-0.00030517578125,-0.000701904296875,0.0022190638950892855,0.004774332046508787,0.0005491120474678857,0.0010868821825299896,0.0003829853875296336,-9.502683367046195e-06,0.0011835098266601428,0.0005896432059151642,0.0008741106305803571,0.0005092109952653971,0.0001492840903145819,0.0006343296595982143,-0.00022997174944196428,0.00020926339285714285,0.0007507801055908038,-0.0009035382952008929,0.021144321986607144,0.0003627368382045286,0.0033416748046875,-0.0006904602050781214,3.216096333093355e-05,0.0014950888497488929,0.002108437674386164,0.020232609340122765,-0.00018092564174107144,0.02258518763950892,-3.487723214285714e-05,-0.009744916643415178,0.0010530608040945715,0.026532854352678572,-0.007416316441127236,0.0012319087982177645,7.929120744977858e-05,0.0007036754063197651,0.0011151177542550125,0.0013247898646763358,0.0005168744495936849,0.003659384591238836,0.0009655995028359444,0.009501865931919642,0.0017198835100446428,0.000958510807582313,-0.0015754699707031285,-0.0018572126116071428,0.0007197516305105934,0.0010185411998203766,-0.0010820116315569215,0.0001705714634486571,0.0009993655341012347,0.00047453812190462603,0.0015073503766741072,0.0015073503766741213,0.0024286764008658343,0.0022841862269810213,0.00010602176189422874,-0.0021168845040457573
7,0.04237283979143416,0.0701911108834403,0.010435717446463445,-0.006901332310267857,0.04569789341517857,0.015393120901925215,0.00018528529575892856,0.009631565638950892,-0.000105653490339,0.005029405866350443,-0.0003207070486886286,0.001572455678667334,0.0007455008370535714,0.004022325788225443,0.013392175946916851,0.0016757420131138358,0.062367030552455356,0.013153076171875,0.008008139474051336,-0.0030386788504464285,-0.0038776397705078147,0.06708635602678571,0.011204310825892858,0.0011640276227678572,0.014400890895298566,0.008759634835379464,0.017197200230189728,0.020076206752232144,0.00042506626674107144,0.001723153250558043,0.00024196079799107144,0.026755196707589277,0.009999398674283708,0.039646693638392856,0.00139740535191125,-0.010395595005580358,0.025013514927455356,-0.002125331333705357,0.023248314857482914,-0.016804286411830356,0.004446438380650121,-7.847377232142858e-05,0.0004264286586216643,0.004647391183035714,0.002459934779575893,0.0004359654017857143,0.004420689174107143,0.0004130772181919643,0.0016373225620814787,0.00017683846609933574,0.007086617606026786,0.007516043526785714,0.0019160679408482143,-0.0001393726893833714,0.004050118582589286,-0.0008937290736607143,0.00027663367135182144,0.0012196132114955357,-0.0011438642229352712,0.0256805419921875,0.008551188877650663,0.001197610582624157,0.0069580078125,0.0006538118634905214
8,-0.016729763575962623,0.005337442670549657,0.006199700491768971,0.005199432373046864,0.0034811837332589285,0.012884957449776786,0.0038087027413504573,0.0029486928667341,8.351462227957143e-05,0.0008755879742758517,-0.0024501255580357145,-0.0012264251708984143,0.0023018973214285715,-0.0006564004080636071,0.0058427538190569134,0.0024268967764718356,0.00287129197801863,-0.0006280626569475357,0.006232125418526786,-7.193429129464286e-05,0.0016675676618303572,0.004750388009207593,0.00046593802315847855,0.0020525796072823716,-0.0007538114275251143,0.002249581473214307,-9.291512625558575e-05,-0.0003877367292131714,0.023090004920959476,-0.004157883780343186,-1.0630914143161638e-05,0.038783482142857144,0.001263209751674104,0.00482518332345145,0.006135736192975728,0.005462646484375002,0.0040746416364397355,0.008903230939592627,0.007529122488839286,0.0018299647739955357,0.0004521948950631278,0.0012848504952021852,0.005006177084786551,0.020285470145089284,0.004856382097516743,-0.0004887921469552181,0.0024657675198146043,0.0005878720964704214,0.005818503243582593,0.00041035243443080714,-0.00023685182843887859,0.022373744419642856,0.005702427455357143,-0.0015900475638253287,-0.001133033207484657,-0.0010254723685128215,-0.0013790811811174714,0.0016133444649832573,0.008006095886230465,0.005840301513671886,0.014402662004743308,-0.008890424455915178,0.0034638813563755643,0.0001909051622663203
9,0.0005155631474086369,0.0013160705566406215,0.000298738479614235,9.809221540178572e-05,0.0011133466448102786,-0.012103421347481857,-0.0008713858468192001,-0.00014495849609374282,0.0017589841570173,0.0016566685267857143,-1.689365931920002e-05,6.035396030969285e-05,0.0010234287806919643,-0.005423954554966514,-0.004202365875244142,0.0010178429739815856,0.0034741589001246907,0.00037029811314174285,0.011685507638113836,0.0036601849964686827,0.025611332484654022,-0.0005451270512172123,0.0019681113106863784,0.00043436459132602706,0.026439121791294644,-0.042286464146205356,0.0009824207850865,0.0015040806361607212,-0.0038802283150809074,0.0260467529296875,0.005167007446289071,0.021955217633928572,3.9738203798011546e-05,0.0004425048828125,-0.0013472693307059213,-0.0005258832659040143,0.0008588518415178571,9.22935349600696e-05,-0.002536501203264514,-0.0016155242919921855,0.005414417811802457,-0.013514927455357142,0.0004528590611049143,0.0038660594395228784,0.002885239464896061,0.005430289677211222,-0.00033101013728551126,0.0053243807383946086,0.0030994415283203147,0.002308436802455357,0.00016845975603375715,-0.0019068036760602712,-0.016557965959821428,-0.0021901811872209785,0.0007855381284441249,-0.0015099389212472143,0.013439723423549108,0.0016833714076450858,0.002820151192801343,0.017007010323660716,0.0010919570922851573,-0.005371366228376114,0.008089065551757821,0.0064697265625
