layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.00045945909288194444,1.6954210069444445e-05,-0.002068413628472222,-0.016608344184027776,0.0003626081678602333,-0.0033107333713107666,-0.001644558376736111,0.0008426242404513889,-0.0022413465711805555,-0.014339023166232645,-0.025911119249131944,-0.0055605570475260446,-0.009724934895833334,-0.006589253743489578,-0.006642659505208333,-0.00457763671875,-0.0006629096137152778,-0.0068359375,-0.0005823771158854111,-0.005195617675781245,-0.007174173990885411,-0.0024614334106445443,-0.004010518391927078,-0.005252414279513889,-0.012169731987847222,-0.0008650885687934,0.027018229166666668,-0.024336073133680556,0.0003662109375,-0.036295572916666664,0.0115966796875,0.001945601569281678,-0.0013359917534722222,-0.0023396809895833335,0.015190972222222222,-0.007515801323784722,-0.0013427734375,-7.802413569556343e-07,-0.004484388563368056,0.00025685628255207773,-0.0007442898220486111,-0.0036671956380208335,-0.007161458333333333,-0.001888699001736111,-0.003655327690972222,-0.001339382595486111,-2.5431315104166668e-05,-0.0006883409288194445,-0.0005340576171875,0.00029839409722222225,-0.0007798936631944445,-0.00022761027018229995,-0.007259792751736111,-0.00262451171875,0.0006171332465277778,-0.004299587673611111,-0.0018480088975694445,-0.000252617730034711,-0.001254611545138889,-0.0006145901150173667,-0.003899256388346345,-0.0013139512803819445,-0.0015326605902777778,-0.009779188368055556
1,-0.0002868705325656335,-0.006267123752170133,-0.0007260640462239557,-0.0011393229166666778,-0.0018085903591579888,0.00048149956597222225,8.625454372831115e-05,5.234612358942225e-05,-0.00012387169731987776,-0.0013139512803819332,-0.00016996595594615552,0.00011277198791504183,-0.00019539727105034445,-0.00041545761956108244,0.0020946926540798667,-0.000442504882812511,0.0036278830634223114,-0.0002865261501736111,-0.0002253850301106771,-0.00013717015584311285,-0.00024498833550347783,-0.000977039337158211,-0.0010022057427300332,-0.002918667263454856,3.2318962944712106e-06,0.00024763743082681117,0.0001395543416341,6.686316596138888e-05,-0.00042419963412816165,0.0002399020724826445,8.376439412436842e-05,0.00017608536614310675,1.61064995659778e-05,-0.0011181301540798558,-0.0008932749430338333,-0.00012090471055772218,-0.0017388661702473888,-0.00034507115681967787,-0.0003511640760633666,0.001171535915798611,0.0030911763509114667,-0.0010113716125488407,-0.0012308756510416667,0.0002263387044271,-0.0010842217339409666,-0.0014250013563368,-3.0517578124999953e-05,-0.0004069010416666667,1.0596381293399996e-05,9.960598415797772e-05,-2.22524007161334e-05,0.00027487013075087777,0.0008095635308159666,-0.0024431016710069332,-0.0010689629448784779,5.1286485460066647e-05,-0.00028525458441840004,-0.0010197957356770778,0.0021226671006944445,-0.0039045545789930555,0.0004223717583550334,0.0005077785915798611,-0.0003246731228298667,-0.0012753804524739667
2,0.0013690524631076442,-0.0021326276991102447,-0.0036604139539930555,-0.0003567801581488354,-0.0007154676649305555,-0.0005784564548068548,-0.00011136796739365556,-0.0003659195370144259,-0.00013483895195855314,2.5007459852433255e-05,0.00016466776529947916,-0.00010299682617187779,-0.0018774668375651112,0.0003458658854166667,-0.0004767311943901667,-0.002285427517361111,0.005452473958333333,-0.006591796875,-0.0005856090121799112,-0.0042817857530382,0.002661810980902778,0.0010155571831597222,0.00020005967881944444,-0.0008409288194444445,-0.0007290310329861111,-0.0015566613939073295,0.0006654527452256891,0.0007616678873698,-0.0003306070963541667,0.00034417046440972225,-0.002560933430989578,-0.002693176269531245,0.0008724530537923135,-0.004073248969184022,-0.00028016832139756673,0.001258744133843316,0.0005730258093939943,-0.0005171563890245233,-0.0002399020724826445,-0.0012705988354153102,-0.0015231238471137222,-5.8492024739588824e-05,-0.00028313530815972225,-0.0017002953423394113,-0.0005887349446614584,-0.001455095079210067,-0.0005828804439968561,-0.0012164645724826444,-0.0007345411512586778,-0.0022481282552083335,0.00013478597005207773,-5.2213668823245664e-05,-0.0011367797851562556,-0.00027697616153293743,-0.0007826487223307334,0.0003827412923177,-0.005426194932725689,-0.024007161458333332,-0.005072699652777778,-0.0005836486816406332,-0.00010723537868922216,0.005327012803819444,0.0023362901475694445,-0.011338975694444444
3,-8.455912272135557e-05,-0.0011397467719184,-0.003696017795138889,0.0008288489447699555,-0.004157172309027778,-0.0007953643798828112,-0.0008474985758463444,-0.0024994744194878557,-0.008070203993055556,-0.0047042634752061776,-0.003258572684393989,-0.0019832187228732553,-0.005093044704861111,-0.0026567247178819445,-0.004660712348090278,-0.0025889078776041665,-0.0021998087565104226,-0.009137842390272353,-0.0007339053683810666,-0.004494243197970922,-0.0027940538194444445,-0.0015775892469617999,-0.000517209370931,-0.0030559433831109047,0.00036520428127712116,-0.0008400811089409778,-0.007117165459526911,0.0018997192382812446,-0.0011473761664496666,-0.00010564592149521458,-0.0005944569905598889,0.0010907914903428998,-0.0002865261501736111,-0.00039503309461805556,-0.0042629241943359444,-0.002364688449435767,-0.0007425944010416555,-3.655751546236487e-06,-0.0003666347927517111,-0.0005728403727213667,0.0015801323784722222,-0.0003179974026150236,0.0006785922580295222,0.00012058681911892206,-0.0007218254937065889,0.0005043877495659778,0.00027253892686632215,-0.0006835725572374271,-0.0017399258083767447,-7.62939453125e-05,-0.0010460747612847222,-0.0009477403428819445,-0.0003221299913194375,-0.010416666666666666,-0.006266276041666667,-0.003940158420138889,-0.0005213419596354111,-0.0008820427788628445,-0.0013101365831163,0.0026948716905381997,-0.0007917616102430555,-0.0012474060058593776,-0.000804689195421,-0.00026151869032119444
4,-0.004720634884304476,-0.004255082872178811,0.0014478895399305555,-0.0005416870117187667,-0.00024269686804876,1.9073486328133287e-05,-0.0007798936631944445,0.0006175571017795222,0.0096435546875,-0.00016000535753038888,-0.0009942584567599777,-0.0005577935112847222,-0.0030322604709201225,-7.078382703993333e-05,0.0004350874159071111,-0.00031720267401800107,0.0006412929958767444,-0.0011579725477430555,0.0005692376030816001,-0.0004279878404405333,-0.0014411078559027778,-0.005595737033420145,-0.0019734700520833335,0.0016835530598958333,2.394782172310001e-05,-0.00043699476453994444,0.00036705864800346666,-0.0002497169706556494,-0.00013319651285808543,0.0005915429857042162,0.00014479955037434444,-5.5551528930657124e-05,0.0006171332465277778,-0.0013162295023600205,-0.0004043579101562444,-0.0002320607503255333,-0.0010384453667534666,-0.0002714792887369889,-0.00019333097669812255,-6.251864963108333e-05,0.0010960896809895778,0.003985934787326389,-0.0019942389594184,-0.002590603298611111,0.00029942724439832553,0.0009981791178385443,0.005822075737847222,0.0013737148708767334,-0.0011226336161295556,-0.0013224283854166667,-6.077024671766493e-05,-1.1391109890409365e-05,8.477105034777697e-07,0.0017530653211805555,0.004489474826388889,-0.0012503729926215334,-0.0027109781901041665,-0.001102023654513889,-0.004546271430121533,0.0011427137586805555,-0.003167046440972222,-0.003546820746527778,-0.0001735687255859333,-0.00013571315341525742
5,-0.00037299262152777775,-0.007215711805555556,-0.0012452867296007001,0.0012359619140625,0.00013054741753471113,-0.0027669270833333335,-0.0005856355031331381,-0.0004766252305772667,-0.0015123155381944445,0.0002543131510416667,-0.0016015900505913824,-0.0015843709309895778,-0.0007111231486002666,-0.002905951605902778,-0.0011571248372395778,-0.0005181630452474014,-0.006059752570258245,-0.003509137365553119,0.00011510319179958488,0.0003323025173611111,-0.0101776123046875,-0.0006285773383246555,1.4093187120222226e-05,4.947185516357422e-05,-0.015268961588541666,-0.0006826188829210111,-0.001990424262152778,-0.0013037787543402778,-0.006520589192708333,-0.0010728306240505641,-0.0013709598117404445,-0.0003461837768554555,-0.0008180406358506889,0.0001592106289333698,-0.0035569932725694445,-0.0012529161241319445,-0.00014040205213756667,-6.813473171660003e-05,0.0015941196017795222,-0.00023884243435331115,-0.0026346842447916665,-0.0010999043782552,-0.00014238887363008038,-0.0001950860023498521,0.002246432834201389,-0.007587856716579855,-0.0035154554578993003,-0.0004613664415147556,-0.0008211400773790065,0.0019404623243543919,-0.002278221978081589,-0.0027393764919704778,-3.295474582249999e-05,-0.00020556979709202223,0.00034480624728732226,-0.00013229582044811913,-0.0039011637369791665,9.475813971626262e-05,-0.0006874932183159888,-0.0058686998155382,-0.0006533198886447445,-4.6412150065100024e-05,-0.0011452568901909779,-0.0002188152737087667
6,-0.0015496148003472222,-0.001197682486640088,-0.0011416541205512111,-0.0037248399522569445,-0.0006493462456597222,-0.0019683837890625,-0.0026533338758680555,-0.0009867350260416667,0.0015309651692708333,-0.003472222222222222,-0.0019429524739583333,0.0002047220865885334,-9.53674316433331e-07,-7.62939453125e-05,-0.0004920959472656332,-0.0009490119086371445,-0.0006044175889756889,-0.00012736850314666666,-0.0004087024264865333,-0.002764383951822922,-0.0005332099066840334,-0.001300387912326389,-0.0003905826144748333,-0.0003712972005208333,0.0016530354817708333,-0.0006521013047959778,-0.0005649990505642333,-0.0021826426188151,-0.0003028445773654264,-0.0015589396158854222,-0.001906077067057289,0.0001415676540798555,-0.0009511311848958334,-0.0009786817762586887,-0.0009850396050347222,0.0008358425564236111,-0.0005192226833767222,-0.00033866034613716663,-0.003261990017361111,-0.0003195868598090222,-0.00015073352389864474,0.0005213419596354223,-0.0005687077840169221,-0.00016360812717013332,0.00014241536458332602,-0.0013617409600151778,9.812249077691114e-05,-0.00020535786946615509,-0.0018768310546875,4.688898722330936e-05,-0.0010255177815755223,-0.005194769965277778,-5.382961697048891e-05,-0.0001170900132921,-0.0007441838582356667,-0.0006330278184678889,6.531344519720444e-05,-3.030565049914443e-05,0.0008282131618923667,0.00039164225260416663,0.0009388393825954777,0.0020150078667534777,0.0001303752263387089,-0.0025007459852430555
7,-0.0008180406358506889,-0.0024294323391384556,-0.0013836754692925404,-0.001553005642361111,-0.0029161241319444445,-0.0034442477756076333,-0.002975463867187501,-0.001227272881401911,-0.0006870693630642222,-0.003584967719184033,-0.0003963046603732444,-0.0014731089274088555,-0.0023515489366319445,-0.004737006293402778,-0.011957248051961251,-0.0009138319227430555,-0.009107801649305556,-0.0032967461480034777,-0.0027821858723958335,0.0010808308919270778,-0.0016640557183159779,-0.007832845052083334,-0.005594889322916667,-0.002526177300347222,-0.00026922755771213106,-0.0004831949869791667,-6.601545545788888e-05,-0.00031195746527777775,-0.0003628200954861111,-0.0005050235324435778,-0.0018107096354166667,-0.0009422302246093668,-0.00010090404086642448,-0.0007205539279513778,-0.0004776848687066222,-0.001939773559570311,-0.0006092919243706556,-0.0029246012369791665,-0.0006115171644422799,0.001565721299913189,-0.002328024970160578,-0.0010935465494791667,-0.0008655124240451333,-0.008733113606770834,-0.0017060173882378444,-0.0007616678873697889,-0.0029466417100694445,-0.0007544623480902778,-0.0016415119171142522,-0.0003963046603732778,-0.005750868055555556,-0.001697116427951389,-0.0011694166395399444,-0.0001888275146484222,-0.0009731716579861111,-7.883707682291107e-05,-1.059638129333339e-06,-0.0009541246626111996,-0.0011639065212673556,-0.022710164388020832,-0.007931179470486112,-0.0003320905897352333,0.007242838541666667,0.0001924302842881889
8,0.0016716851128472222,-0.0009511311848958334,-0.0006256103515625,-0.00014834933810764446,-0.0004511939154731,-0.0049195819430881,-0.00025367736816407773,-6.527370876735553e-05,-0.0006718105740017222,-1.7431047227644436e-05,-0.006075541178385422,-0.0006148550245496906,-0.0004162258572048556,-0.0006629096137152888,-0.0026033719380696616,-0.0009604560004340111,-0.0007257461547851667,-0.0014487372504340445,-0.002475314670138889,-0.0026075707541571725,-0.003548516167534722,-0.002159966362847222,-0.0025365617540147665,-0.001147296693589958,-0.00023057725694443327,-0.00020853678385416666,-0.0004541609022352556,-0.0007311503092447776,-0.011261198255750867,-0.002639346652560778,-0.00014054775238036136,-0.004313151041666667,9.9923875596791e-05,-0.00044928656684027775,-0.002634684244791678,-0.00028906928168403334,-0.0009206136067708334,-0.0030784606933593663,-0.0013037787543402778,-0.002032174004448767,-0.0015527672237820053,-0.0001374085744221908,-0.002383761935763889,-0.0015462239583333333,-0.0007938808865017444,-0.0008294847276475777,-0.0010755327012803777,-0.0007697211371527667,-0.0024063322279188368,0.0004583994547526,-0.00023489528232150194,0.003363715277777778,-0.001254611545138889,-0.002546946207682289,-0.001751369900173611,-5.3511725531777875e-06,-0.001812405056423611,-0.00023677614000111287,-0.0033630265129937064,-0.0013431972927517334,-0.004963344997829856,-0.0068206787109375,-0.001663419935438378,-7.82079166836181e-05
9,-0.001651340060763889,-0.0006306966145833334,-0.00022616651323105442,-0.0014600753784179666,-0.0005791982014973889,-0.003631591796875,-0.0085997051662869,0.0005933973524305555,-0.0006802876790364667,-0.004297892252604167,-0.0012147691514757001,-0.0004630618625216778,-0.0023405287000868003,-0.0014966328938802115,-0.001665115356445322,-0.0020705329047309,-0.0021245214674208055,-0.0019158257378472222,-0.0012012057834201442,-0.0006744596693250889,-0.007658428615993922,-0.0013939539591471242,-0.0009247461954752556,-0.0001991589864095014,0.0025431315104166665,0.0033728281656900997,-0.0016131930881076333,-0.00014179282718234596,0.001965840657552078,-0.009776645236545133,0.001263088650173611,-0.006704542371961811,-4.794862535277256e-06,-0.0006319681803385334,-0.0042572021484375,-0.0019639333089192666,-0.001086764865451389,-0.00024535920884872397,-0.0018208821614583333,-0.010138617621527778,-0.0005204942491319445,-0.0013749864366319445,-0.0018259684244791667,0.0005001491970486111,-0.00019073486328124442,0.0018819173177083333,-0.0007544623480902778,-0.002276950412326389,-0.005627102322048611,-0.004643758138020833,4.217359754773329e-05,-0.009320576985677077,-0.008745829264322923,-0.0028294457329644,-0.00012185838487412221,-0.0019713507758246443,-0.005559285481770833,-0.0007955763075086778,-0.0019221835666232553,-0.011555989583333334,-0.0004503462049696222,-0.008026123046875,-0.018833160400390635,-0.002631293402777778
