layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0009550889333089133,0.0005619208017985084,0.0006512959798177068,0.0005084355672200567,0.0007250467936197933,0.000970379511515293,0.000608364741007483,0.000989389419555665,0.00013113021850585666,0.0005316734313964934,-0.00063422520955404,0.0004779020945231115,0.0006794929504394461,7.851918538416692e-06,0.00014756520589192333,-2.9246012369796682e-05,9.209314982096352e-05,0.0006419340769449833,0.00019590059916178113,0.00017735163370769,0.00035594304402668665,0.00045092900594076,-0.00031290054321288664,-3.857612609862739e-05,0.0017049153645833366,0.0007923046747843354,-0.00018642743428547593,-0.00087477366129558,-0.0005936861038207985,-0.0002802213033040362,-0.0005110025405883773,-0.00022901296615598148,-0.0005574544270833325,0.0012993494669596266,-0.0038295110066731797,0.00040984153747558854,-0.0008303642272949199,-1.4458394919832548e-07,-0.0013893445332845001,-0.0008705139160156201,3.987948099771905e-05,0.00022807121276855334,0.0005553563435872399,-5.3580602010086555e-05,0.00034751892089843336,-9.099642435709342e-05,5.2213668823243746e-05,0.00017067591349283258,0.0004540443420410133,0.0002512931823730492,0.00014095306396484062,0.0006387074788411429,0.0002725283304850267,0.00021653175354002677,-0.000282041231791174,0.00060462951660157,0.0008593877156575467,0.00022687911987303428,0.0007991631825764965,0.00022422472635903572,0.0003333886464436771,0.0003533204396565745,0.0006316979726155638,0.0010146458943685
1,-0.00023949543635046831,-0.0001656939586003389,-0.0007536857078472746,-0.0005954017241795604,-0.0007799784342447766,-0.0002057313919067145,-0.0005332549413045022,-0.0007108370463053166,-0.0001178120573361472,-0.0006099224090576072,-0.00010508000850675437,-0.00034884810447690767,-6.872713565824665e-05,-0.00036265850067137233,-0.0004467328389485554,-0.00018889109293618664,-0.0006431539853413767,-0.0002800782521565727,-0.0005731632312138709,-0.00024818976720173384,-0.0001903295516967763,-0.00033534467220305576,-0.00021471977233884342,-0.0004992345968882204,-5.0793588161464864e-05,-0.0002188881238301376,-0.0001334289709726887,-0.00014873147010800348,-6.0157477855666956e-05,-0.0008522490660349505,-0.00015521248181657845,-0.00020448962847388578,-0.0005179246266682761,-0.00038085778554278687,-0.00027754406134285203,-0.00020439426104226037,-0.0009340325991312603,-0.0003556251525878657,-0.00042959054311113976,-0.0002272615830103372,-0.0002743641535440894,-0.0006293833255767706,-0.00019788344701129185,-0.0005578041076660089,-0.00022504329681394963,-0.00015048185984291846,-0.0002717037995656177,-0.0004390954971313379,0.00033596158027648405,-0.000356514255205771,-0.0002787272135416428,-0.0002199808756510173,8.09927781423422e-06,-0.00038323899110156556,-0.00017628421386081187,-0.0003653526306152056,-0.00019209384918212434,-0.000154096881548543,0.0007200479507445903,4.660040140153144e-05,-0.0003584225972493374,-0.0004322946071624608,0.00047962665557859513,0.026180013020833334
2,-0.00330651601155598,-0.0004823207855224508,-0.0006180286407470516,-0.00015447040398913485,-0.0004468977451324217,-0.00022222797075904829,-0.00017188191413875425,-0.0008093113700548751,-8.332878351210424e-05,-0.0008207639058430798,-0.0003400325775146322,-0.00044666926066079,-0.0006512006123860517,-0.0010624229907989435,-0.0006913860638936288,-0.0007683118184407511,-0.00018987258275348102,-0.0008416295051574507,3.532227128744125e-06,-0.0005089600880940534,-5.834773182868009e-05,-0.0001928170522053902,-0.001635213692982976,-0.00017569065093993107,-0.0004277149836222088,-9.778340657551334e-05,-0.0002602989474932082,-8.896738290786742e-06,-0.000673266251881896,-0.0005870908498763841,-0.0003159135580062643,-0.0008271435896555338,-0.00011240243911741779,-0.0003265778223673336,-0.0001777092615763161,-0.00046994487444556633,-0.00010021328926084447,-0.0006189465522765988,-0.0004309574762980085,-0.00010941581179695715,-0.0005823612213134434,-4.3600300947820954e-05,-0.0002587070067723317,-0.00041816234588619227,-0.0005414297183354408,-0.0001871605714162001,-0.0005260864893595174,-0.0014770507812499798,-0.00036797523498534324,-0.0005744427442550484,-0.0008508046468098901,-0.00021029114723203338,-0.00030837456385293807,-0.000302938620249407,-4.8673152923563366e-05,-0.0009882609049479,-0.0014643311500549094,-0.004187329610188801,-0.0016573985417683925,-5.84761301676327e-05,-0.0002015908559163149,0.0002849539120991948,-0.00062927405039467,-0.00507659912109375
3,-0.0008819202582041189,-0.0015972912311553885,-0.0011622160673141302,-0.0017139434814453032,-0.0007369359334309833,-0.0004258563121159748,-0.0019473592440287174,-0.00211642583211262,-0.00424397786458333,-0.0002479076385497762,-0.00034770170847571794,-0.0021705627441406168,-0.0013711293538411333,-0.0003817876180012666,-0.0011582056681314866,-0.00047391255696610334,-0.00028025309244788263,-0.0004611946642398651,-0.00020443648099897584,-0.0003647004564602948,-0.002240498860677077,-0.0008595466613769381,-0.00021650592486060577,-0.00039466619491573964,-0.000335059563318866,-0.0002735873063405183,-0.0007511258125304976,-0.00036209225654598856,-0.0006382922331491973,-0.00028872489929196877,-0.0005912860234578259,-0.0004089067379633383,-0.0007584253946939933,-0.0008031606674194119,-0.0007113138834635263,-0.00024032319585479988,-0.00033783515294388524,-0.0008177985747655122,-0.0012100060780843001,-0.000528264045715313,-0.0010575930277506248,-0.00036409695943194264,-0.0013162056605020957,-0.0013665755589802894,-0.00109178622563679,-0.0012433250745137437,-0.000691215197245263,-0.0004944860935210935,-0.00085083643595375,-0.0008557875951130916,-0.00069605509440101,-0.0009117762247721133,-0.0013346036275227768,-0.004023234049479167,-0.0021879196166992034,-0.0005119323730468499,-0.00040256977081295825,-0.0004919648170470936,-0.00015529791514075944,-0.00032668213049568345,-0.0005154609680175665,-0.0005090475082397203,-0.0004934787750243811,-0.000591528415679914
4,-0.0001688996950785139,-0.00011410278578596535,-0.0002953529357909973,-0.0001771211624145285,-0.00017014921953278735,-0.00019051432609556637,-5.696415901183894e-05,-0.00010990301767983756,-0.00029706756273903216,-0.00032484730084735936,-0.0011815388997395634,-0.00031270186106361985,-0.00022132396697995723,-0.00024029811223345607,-0.0003444439421097222,-0.0005119721094767023,-5.584023892879486e-06,-8.409346143404643e-06,-1.0469121237595876e-05,-0.00041961669921871997,-2.758763730525168e-05,-9.848981474835449e-05,8.393327395119901e-06,-2.2268295288084272e-05,-0.0004662018269300157,-0.0002884685993194337,-0.000401683648427296,-0.00018936693668363094,-0.0005773648619651593,-0.000165392955144219,-0.0001850505669911513,-0.00019310570011534385,-0.00023870070775347245,-0.0006729125976562271,-0.001075688997904446,-0.0005554914474487032,-0.0005226294199625381,-0.0001956293980280378,-0.000372504691282882,-0.0005661348501840989,-0.0005212187767028598,-0.00018646270036693982,-0.0005993207295735399,-0.0008867899576822766,-0.0003816763559976873,-6.539601211746283e-05,-0.0015966415405273317,-0.0016336351633071794,0.0016935030619303134,-0.00226898193359374,0.007714144388834626,0.00012865960597990193,-0.00024313529332477152,-5.2694976329792424e-05,3.5889943440744894e-05,0.00011847416559852092,-0.0027816534042358356,-0.0006510416666666366,-0.0004924292365709797,-0.000102061033248882,-0.0016452789306640465,-0.0003015836079915096,-0.0001262542481223514,-0.0005417188008626075
5,-0.0006077130635579193,-0.00369148254394531,-0.0008749643961588334,-4.49995199839149e-05,-8.015632629393916e-05,-0.0022225697835286436,-0.0006862958272298111,-4.778901735940454e-05,-0.00026443401972451425,-0.0010669072469075365,-0.0006364663441975567,-0.0016834894816080566,-0.0004189193248748552,-0.0012263933817545424,-0.0013492584228515434,0.0009648243586222462,-0.0005110492308934211,-0.00029081205526984685,-0.0001782963673273608,-0.00019514958063758945,-0.00022759437561032864,-0.0005130310853322149,-0.0006341238816578946,-0.00017843643824256534,-0.00313320159912108,-0.0001801182826359797,-0.0031462351481119665,-0.0013826688130696434,-0.00180555979410806,-0.00188306172688801,-0.0003689487775166529,-0.0004033764203389271,-0.0004321018854776727,-0.0001798376441001718,-0.0004808319111664867,-0.00018518765767412375,-0.00033632467190421823,-0.00023404955863949565,-0.00021899739901222334,-0.0010662476221720266,0.0014499664306640361,-0.00041491190592444333,0.010283756256103517,0.00385678609212237,0.0011704246203104438,0.0002935511370499747,0.017157999674479167,0.005195871988932277,-0.0009607315063476337,-0.00039492050806679186,-0.0005441188812255605,-0.0006985525290171055,-0.0005950967470804689,-0.0006715357303619146,-0.00032170948882896276,-0.0003956973552703631,-0.009603881835937493,-0.0005287319421767967,-0.0003473639488219942,-0.00082861582438148,-0.00026316444079078476,-0.0006500045458475507,-0.0011441866556803166,-0.0002748851974804945
6,-0.00101184844970701,-0.00022619565327959635,-0.0005682309468586866,-0.0011500994364420367,-0.0006062348683674914,-0.00083834330240883,-0.0008065541585286199,-0.0033309936523437437,-0.0015851338704427026,-0.0011899312337239436,-0.00016069014867145048,-0.00010205705960589779,-0.0003669162591298169,-0.0002003590265909491,-0.0002225014070669539,-0.00014870166778561893,-0.0003604253133137633,-0.0002414822578429959,-2.756814161935692e-05,-0.0004419803619384433,-0.0002448399861653167,-0.0008000055948893,-6.523430347441387e-05,-8.364915847777008e-05,3.75824669996864e-05,-0.0002683003743489276,-0.0014438390731811405,-0.0007768313090006266,-0.0001601775487263788,-0.0003626743952432887,-0.00135307312011717,0.004552205403645833,-0.00014254450798031074,0.0023388544718424267,-0.00015498002370194493,-0.00604248046875,-0.00026447375615434914,0.0005522986253102595,-0.0003011147181192722,-0.00021764039993283393,-0.0006841023763020566,-0.0006029377381006645,-0.0011069218317667523,-0.00023014545440671453,-0.00015375614166257472,-0.0008869012196858551,-0.0006068120400110659,-0.0008335709571838227,-0.00076586405436195,-1.9109249114983985e-05,-0.0007352828979491966,-0.00303929646809896,-0.00012911856174466276,-0.00033025344212845827,-0.0012722810109456208,-0.0003595670064290033,-0.00012816041707990657,-0.0001300429304440634,-0.00038972298304237835,-4.321324328580909e-05,-0.00025254388650255006,-0.0001041442155837769,-0.00031893253326413886,-0.0006083806355794034
7,0.003812527656555169,0.003295326232910137,-0.0005615055561065443,-0.00045683781305946234,-0.0001158192753791585,-0.0009053389231363778,-0.0003881812095641843,-0.0008668700853983403,-0.0008514404296874733,-9.136398633319043e-05,-0.0001755714416503577,-0.00030022362867988524,-0.002256806691487617,-0.000844860076904273,-0.0009771823883056503,-0.00020574902494746925,-0.002699661254882803,-0.0012869199117024625,-0.0006382639209429251,-0.0060348510742187465,-0.00289875666300455,-0.0008194029331207117,-0.011023521423339844,-0.00032628377278642336,0.018706258138020834,-0.00222587585449218,0.0029251098632812294,0.0005456378062565806,-0.0009267171223958099,-0.0005206267038980894,-0.0005472977956135684,0.0016361554463704066,0.00502980550130207,0.002932230631510403,0.0004737854003905942,-0.011779785156250003,0.00012015302975971493,-0.003653796513875317,0.0112945556640625,-0.0037355422973632765,-0.0009288390477498219,-0.0002507686614989927,-0.00041756629943845333,-0.000110265612602219,-0.0007525602976480964,-0.0003257433573404628,-0.00192705790201822,-0.0007216135660807032,-0.0017005523045857643,-0.0004081567128498988,-0.003243827819824217,-0.0010578155517577943,-0.0001062256594498796,-0.0003823757171630519,-0.00010269669195014672,-7.543961207070085e-05,-0.0003616233666737684,-0.0002382457256316851,-0.0008555094401041399,-0.0025787194569905523,-0.0011268933614094832,-0.0005384604136148809,-0.0008269151051839024,-0.0008482893308003515
8,-0.0009159247080484739,-0.00010638286670046667,-0.00031708876291908157,-0.0004471898078918236,-0.00019700030485787315,-0.00029675886034962877,-0.00015139405926065656,-0.0001455451051393902,-0.00012714068094886783,-0.00012318491935727854,-0.0024220784505208366,-0.0002846832076708333,-0.00013116051753359227,-0.0003086249033609822,-0.0012506564458211117,-0.0010495821634928268,-0.0001834909121195273,-0.00037695566813148194,-0.00018616517384844545,-0.0022914568583170497,-0.0010458151499430101,-0.0002171143889426982,-0.00030100693305330236,-0.00027858217557268674,-0.0004991610844929848,-0.000568435589472427,-0.0012706836064656488,-0.0006028970082600701,-0.0005202849706013822,-0.0007707595825195066,-0.0002694110075632527,-0.00037609835465747857,-0.00011978050072985707,-0.00027597695589064343,-0.0003063489993413026,-0.00037176012992856964,-0.000655929247538229,-0.000384954611460345,-0.0002613509694735085,-0.0007827123006184677,-0.00029970208803810225,-7.202476263044858e-05,-0.0002723117669423098,-0.00043698151906330484,-0.0004285613695780239,-0.00027117729187008783,-0.0009394188721974457,-0.0001843084891636885,-0.0001647353172302016,-3.098895152409778e-05,-0.00032427360614138923,8.668998877206396e-05,0.0011418819427490132,-0.00042595863342282335,-4.944801330565469e-05,-0.00035220781962076015,-0.0011167665322621516,-0.00038402217129863763,-0.0006754954655965063,-0.00094153086344398,-0.000477629651625934,-0.0007701973120371348,-5.603233973184711e-05,-4.6297907829279776e-05
9,-0.00022580027580258074,-0.00014912287394204404,-0.0017017364501953,-0.0023358821868896423,-0.00042965511480965346,-2.393176158268684e-05,-0.0008510748545328609,-0.00011575619379679372,-0.00023540407419202152,-0.001230198144912712,-0.00021116733551022765,-0.0005429585774739275,-0.0011061509450276488,-0.0012743473052978327,-0.0010987838109334153,-0.0004775047302245826,-0.00027968585491178405,-0.00047666231791175333,-0.0007494052251179872,-0.0004348059495289763,-0.0002571607629457776,-0.000594727198282869,-0.0011318047841389887,-0.0007865428924560355,-0.00010886788368223015,-0.0004857937494913564,-0.00017011339465775122,-0.00020505587259925592,-0.0019395192464192667,-0.0003165046374002848,-0.0003058195114135567,3.1419595082621e-05,-1.3635307550430297e-05,-9.102821350096926e-05,-0.0027706782023111933,-0.0002851508557796234,-0.00034540394941963155,-0.0003081977367400775,-0.00121997197469074,-0.0019353469212849944,-0.0005836864312489576,-0.0024496714274088423,-0.0001303474108377884,-0.00025381644566852484,-0.0004763665298620614,-0.00040312608083086795,-0.0005766789118448759,-0.0013604526718457488,-0.0006101131439208776,-0.00033376812934872885,-0.0009056369463602634,-0.0004683415095011217,-0.0027867714564005423,-0.0003675222396850291,-0.0010631700356801203,-0.0006168186664581118,-0.0008442580699920502,-0.0007440408070881986,-0.00013840397198994247,-0.0015764395395914616,-0.0010313828786214128,-0.004774729410807283,-0.0009781042734781796,-0.0008102615674336609
