layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-2.6048885451422072e-05,9.3195173475479e-05,-6.279680464002648e-05,-3.527518775727949e-05,-1.5721552901796173e-05,-0.0002391421132617529,-0.0003816742036077724,5.3299797905819635e-05,3.1135148472245583e-06,-0.00019103371434741497,0.00029958619011772816,-0.00011856108903885034,-0.0001686894231372404,-0.00010753091838624464,-0.00020944575468699402,-0.00016459077596664415,-4.47374251153712e-05,-9.430530998441605e-05,-5.966300765673308e-05,-0.00017691486411624467,-0.0001509156492021333,2.9118524657361313e-05,-2.2507376141018333e-05,-0.0002629566523763909,-0.00029841976033316385,-4.908980594740621e-05,5.025633921225872e-05,0.0003705248236656215,3.30584330691256e-05,8.345695419443863e-05,2.011946505970565e-05,3.427281303124441e-05,0.00011786777112219083,-0.00033434314860237934,0.0007742933101124242,-0.0006121603979004756,0.00011080979473060942,2.5112664540453505e-08,0.0004897804723845591,-6.631099515491052e-05,4.710298445490066e-05,-8.484886752234675e-05,-0.00011554525958167375,3.787005941073354e-05,-0.00012828409671783477,-9.71265965037593e-06,7.72546562883635e-05,2.7796046601404802e-05,-3.498999608887404e-05,1.5090737077927133e-05,3.9406948619420275e-05,5.395089586576197e-05,7.199413246578372e-05,6.504025724199233e-05,9.385661946402859e-05,-0.00020740263991886072,4.165950748655917e-05,6.403292839725954e-05,9.642293055853036e-05,1.0953388280340966e-05,-0.00015542738967471825,-1.5519973304535978e-05,-5.749240517616032e-05,-0.00011240111456977174
1,8.414176085756837e-06,2.6255910698737876e-05,0.00011968789880888125,-5.104682511771738e-07,8.939247992303451e-05,3.884498599088306e-05,0.00013849868749579,7.805802548925138e-05,3.913339848319689e-06,4.325279345114854e-05,3.676177261189852e-05,4.863039228236962e-05,4.407988550761766e-06,-7.29513251119185e-05,4.207485148476052e-05,4.503286133209839e-05,5.67447083691747e-05,9.441106683678218e-05,8.943180243174036e-05,3.829209728994447e-05,7.775969182451186e-05,-2.3825740855599612e-05,6.53052443845398e-05,0.00018873655547698538,2.7784120498427632e-05,3.4042815160403527e-06,-2.1686880952553665e-07,6.830565527908083e-06,1.3835107286769296e-05,-2.8299581673412065e-05,1.6474255567609662e-06,7.035604600483952e-05,-3.733416087925539e-05,2.2403792374663705e-05,-5.166576657859939e-06,9.30988850693104e-06,0.00015203044232394683,4.421570338306142e-06,-7.258572926125449e-06,4.817731355109809e-05,7.382231867975793e-05,0.00012443825188610563,2.170038513011052e-05,2.3413966927263088e-05,4.3869225515256415e-05,3.4913647040309206e-05,-3.042863681913191e-06,2.9453736109036597e-05,-1.1633460720382142e-05,4.75879189454855e-05,2.4622202747396944e-05,2.6483091965523745e-05,-1.1942789165509438e-05,-4.075488282575032e-05,2.489916773305967e-05,4.42557243837219e-05,5.296229695280231e-05,-4.329990285138338e-06,0.0007685869932174342,0.0007622949779033516,2.3600516012976242e-05,1.4501313368479127e-05,0.0008940338674518605,0.033124075995551214
2,-6.613934723040183e-05,-1.66396817399389e-05,7.029005791991949e-05,4.560683414135245e-06,4.326506880008123e-05,3.59187510588923e-05,1.9574114250845668e-05,-0.00015113082028822048,-3.54238371882167e-05,2.673294188247792e-05,1.6220276140504747e-05,0.0002245197279585743,3.44952325879899e-05,0.00022588308072752316,-1.1522930839822491e-05,0.00027062141129539805,1.2795182151923097e-05,6.961487492339288e-05,7.277121767397192e-07,-2.613705065515254e-05,1.2501298139491205e-05,1.6782995468626787e-05,6.923281277219356e-05,3.2434990215628144e-05,4.0542483071070334e-05,1.1789638342140356e-06,4.435441870655897e-05,4.330776897000535e-06,6.664972493631674e-05,4.8188854836751895e-05,7.231180724273799e-05,0.0001984339841227573,1.556267185757324e-05,6.133012680543566e-05,5.07539759079694e-06,7.134544042249584e-05,3.125687362625685e-05,8.403720049601476e-05,1.7636669023584015e-05,1.398076872443714e-06,9.662854588694041e-05,1.364017144724819e-05,2.5375823800760806e-05,3.697089980252675e-05,5.30540192913645e-05,1.337311308209753e-05,5.0277242230044054e-05,3.852208869324631e-05,2.049916656687888e-05,1.0276523729161796e-05,0.00010560385675893716,-6.3266553398653016e-06,-1.3563348653001323e-05,2.1393203900917513e-05,1.2337207509619004e-05,4.0306295785635897e-05,0.0005818762713008494,0.0005793869495391867,0.00018523943920930284,-5.732878990884428e-06,1.1469806647960236e-05,-0.00014019879098567102,6.802869029342747e-05,3.890196482340521e-05
3,4.111186394260756e-05,0.00029285666015412795,0.00024807145301666416,0.00018342698199881553,0.0004853958057032666,8.37026746012271e-05,-2.6864698156713667e-05,-0.00014486960652802244,0.00045812409371137755,2.43200403120753e-05,4.0049147274756994e-05,-6.647573577033316e-05,0.0004122290346357599,7.197674777770805e-06,0.00010270366652144413,5.0060554511016096e-05,3.2886914494961e-05,9.697251435783162e-05,5.142238094574593e-05,0.00019796759200592812,-0.00011434944139586646,0.00025160926290684524,6.552190623349235e-05,9.623224226136968e-05,6.609296865968265e-05,7.911147420397613e-05,0.0001631357655343087,3.186461334633678e-05,0.00016276956820446414,1.4724572085670391e-05,0.00010254087909642035,6.663861374060065e-05,0.00024641812261607814,2.8258344779412505e-05,4.8011424951255186e-05,8.795952372666503e-05,4.1197261048684465e-05,7.459337616132168e-05,7.3644591288408415e-06,0.00011414519718123778,0.0001338612184756315,4.5324779219095385e-05,-1.4985161316065269e-05,0.0001494039833131764,0.00013347028935741976,-9.287900886395256e-05,-4.231464117767329e-06,0.0001395214478381764,0.00019951035372085167,0.00018585949308342391,0.00018518500857883177,0.0004836667018632138,-7.74596507350682e-05,0.0014688426421748278,0.0003581229183408962,0.0004085356162654068,4.763890885644294e-05,6.508157174620368e-05,4.207430821323943e-06,5.484591626251399e-05,3.0838936153384344e-05,6.234749323791838e-05,5.695037543786045e-07,9.344225852853837e-05
4,2.520700541531509e-05,9.87730648678936e-06,0.00017782106685141952,1.4556144985059083e-05,-1.4069826445647383e-05,1.5796356213586347e-05,9.866880847969282e-06,1.760359413714702e-05,4.2935031362701717e-05,2.5814858316960086e-05,0.00017171415189902065,1.621235181422213e-05,1.1568112919729246e-05,1.8516102702253234e-05,5.547823578429594e-05,9.066482178039007e-05,7.299495337065309e-07,2.9378910160933933e-06,2.1077341645852557e-06,0.0001764811006271189,3.670190684109452e-06,1.2241883774143347e-05,-6.886018026207216e-06,2.9991840872553804e-06,0.00010301259398046142,2.1792236819031962e-05,4.236573456886565e-06,7.213871059423474e-06,2.5153567548840737e-05,1.4498881581754253e-05,5.468111743940793e-06,2.4125836514739195e-05,0.0005152415898111135,-6.748932517236742e-06,-8.141293397380162e-05,9.504525870498663e-05,2.910727117624332e-05,4.3911988743472195e-06,-6.162820176947533e-06,-2.1469766377575086e-05,3.928670452700613e-05,2.303086997320103e-05,0.0001177733971012961,0.00011781613445944343,5.507233759595257e-05,1.2932927347717687e-05,5.572258184351848e-06,0.00024211031591726655,0.002607908513810874,0.00021447738011678232,0.020392454746696678,0.00020064530286211167,8.685682486321977e-07,-5.044699517181131e-06,0.00018885735577591118,0.0001331430652902968,0.0006523933261632888,6.96256756782523e-05,1.4654981593288865e-05,4.6231318265200556e-05,0.00027728556758827683,5.202140245172201e-05,4.3574605822661914e-05,0.00010792908465696425
5,1.5595410433078558e-05,0.000842167168027826,0.00025113837586509294,4.9401656724509263e-05,1.4739447376794495e-05,0.00037772456804911254,-0.00020787808009319883,1.4340272173282223e-05,0.0007608486339449918,0.0009759747319751337,-9.296772380670256e-06,0.0007072546415858817,0.00011673476547002504,0.0012820265773269871,0.00013583727801839548,0.009737308758000543,9.80810986624797e-05,5.482642316362994e-05,6.763217323976583e-05,5.9574971803357806e-05,2.516156786845725e-05,0.00017911242321133435,5.51448578739348e-05,4.347270199408077e-05,0.0003220586416621987,3.966888956104298e-05,0.0009673115693860576,0.00015163421630859478,0.0004703543769816575,1.18861595789599e-05,0.00012899684305820269,8.062081825401733e-05,0.00020017857766813728,-5.265465006257812e-07,4.512349066013833e-05,1.9996627492620665e-05,4.09146369848809e-05,4.215393629338663e-05,6.141332495543378e-05,8.325320151116874e-05,0.005269113358938018,0.0004447564068767797,0.02314235270023346,0.01268886236680877,0.0038432409443581966,0.0007708177306792582,0.03242427772945828,0.0161989712052875,0.00023405337318157195,0.00011368411489658551,0.00011257669474515676,0.00027564871642325023,0.00014518903723607335,0.00013064967869367146,6.532246091713284e-05,0.00012088513984862161,0.002034432358211942,4.574118712399538e-05,3.464065311062278e-05,0.00014574561888972841,4.201952186930181e-05,0.00019571242672908624,5.364780210786238e-05,3.058541106939694e-05
6,0.00013452354404661407,4.331596816579272e-05,-2.233880675501643e-05,0.00011397111746999986,0.00017403728432125584,0.00014390713638729618,-2.6414791742962155e-05,-0.0002764330969916453,0.0003341397581001099,0.00013976290615068493,4.312357891143893e-05,7.600352142212892e-06,2.289405286622663e-05,9.116813695677534e-06,3.714124128842978e-06,3.530307569435137e-06,0.00010629908906088895,1.248106774356367e-05,2.407168762551023e-05,1.959130167961048e-05,1.9746108187557086e-06,0.00014538483487235547,9.10535729619215e-06,1.4340091082780708e-05,0.00010777274373037822,1.4741335892009392e-05,-0.000106364488601687,7.53708235505568e-05,7.15634733852261e-06,-1.979548121906131e-05,-0.0001592437426249224,0.00395291960901684,0.00010054610255691531,0.004327073072393723,3.2687507983707176e-05,-0.0015776819652981266,5.116140366428164e-05,0.0017219681499732779,-1.9655860443084585e-05,0.00020691082398923688,0.0001467586391501971,7.134596752519962e-05,-6.928574293854331e-06,2.2809059980010272e-05,2.2406709225224148e-05,-1.2752806974786057e-05,3.266902381760864e-05,0.00011301992668045792,0.00011790792147318542,-3.441172238025249e-06,-0.0001861254374186244,-0.0003762907452053523,5.365148859305243e-06,-1.0085499121083994e-05,-0.00015383405196998113,6.10369671550049e-05,8.58189822691931e-06,5.772932329110875e-06,1.4661319760810367e-05,-1.1032584653648315e-05,9.609362071687332e-06,1.600821916427594e-05,7.516840317556014e-07,4.042022758060124e-05
7,0.010747889005061644,0.011198264236251507,0.0006687766613645703,-1.5108199376196601e-05,0.0007660663686692703,8.656695071194586e-06,2.1389620896015054e-05,0.0006696985672331526,-4.7384864754150346e-05,9.081235879820012e-07,-2.3003978033852016e-05,1.3793999743131779e-05,0.00033032562997606217,-5.2326876256201307e-05,-4.5710812426275195e-05,1.6749939984745265e-05,0.0007389974262979321,7.862064780460171e-05,0.00024295718564341177,0.00023223128583696042,-0.0004815904216633946,0.00016225333092734364,-0.002602587143580119,2.523987657493996e-05,0.024705701404147677,0.0012456083463297978,0.00772698140806621,0.0015497130031386789,0.00025468568007151613,0.0003825084616740588,0.000292860437184575,0.005071853184037721,0.011417728538314494,0.006867647998862791,0.0007144530536606576,-0.005735465221934855,0.00022141492485790393,-0.0013753755225075642,0.017714738845825195,-0.0023050906343592527,0.00010906666931178917,1.1873741944631304e-05,-1.3368411196602773e-05,2.529469525648201e-05,2.4596022235023657e-05,7.058597273296242e-06,0.0010698752270804522,7.223751809862405e-06,0.0001702828125821219,0.00017637511094411272,0.00031081338723500573,-0.00022654302625193138,9.21321981069062e-05,-1.3463406099213281e-05,2.212967309686749e-05,-3.3060011143533903e-07,5.8771305096661224e-06,6.200172679705593e-05,8.725374937057404e-05,0.00012227334082126368,8.728391387396553e-05,-1.3175187632440528e-05,6.741567307876036e-05,3.769202157854973e-05
8,-0.00016096059698611642,3.6880260773200943e-06,1.881084042704522e-05,1.1312581288318442e-05,-7.185916830265789e-06,3.037707655392824e-05,1.957755497035606e-05,1.9097351469095175e-05,7.679763560491038e-06,-5.841850199615545e-07,-7.892400026321521e-05,9.013424601612662e-05,-1.6777258780274393e-06,1.1451283676751995e-05,0.0006216035948859355,4.9695476061762085e-05,1.921740153597087e-05,5.621627335333109e-05,2.0483172395159458e-05,0.0004407144669029458,3.843775226010403e-05,3.2484246831798655e-05,2.879287219709778e-05,2.9890875642496836e-05,0.00012837839312851527,1.58045634937762e-05,3.961755687163849e-05,0.00017146962798304094,3.646857415636347e-05,-1.3093153635661977e-05,2.7748342189519788e-05,9.454257734533645e-05,2.045040471582651e-05,4.8674798260128614e-05,7.561964189839631e-06,3.377121821459535e-05,2.4455884057613764e-06,9.041673426205362e-05,4.526300148831102e-05,0.00020503883974420012,-3.227431120143882e-05,3.8215916396942313e-07,1.4748721797433924e-05,8.901586342188848e-05,6.572479226934054e-06,8.136075403955259e-05,-8.54625573589057e-06,6.601188538800831e-06,-2.428682314004849e-07,9.424971520071554e-06,1.9683344160308282e-05,-0.00010964072619875597,0.0002405181941058917,0.00014259521332052254,0.00024753270877732336,8.56979232695364e-05,9.68484414948361e-05,1.721032377741857e-06,2.4943509035640555e-05,0.00010305374032921123,4.6741191504730305e-05,-0.00015221246414714494,-4.540963952118918e-06,-1.380472288777789e-06
9,2.8150000919878604e-06,-2.4216408039338666e-05,-2.2861382199661348e-05,-0.00017156255327993242,5.234631114742569e-05,-1.13851339038856e-05,-1.3561311384872007e-05,0.0001419499619967402,0.00047536044278078483,0.0003410923139502579,1.6930280253290534e-05,-2.9121215144795565e-05,-1.9656701220409117e-05,-6.179728855689624e-05,4.673454289634948e-05,0.0001533917642922823,8.467613952234913e-06,-3.8107857108118806e-05,5.3280524702532784e-05,2.5856334509119593e-05,5.504310441511637e-06,-6.965335665480824e-06,0.00011664572068386819,5.774181853565795e-05,0.00023872312158345284,-0.00011673305804530886,-9.437971231008418e-06,0.0001220649703302237,-0.00022301843596829444,4.8793710043856256e-05,5.098719460274003e-06,0.003832435442341705,-1.426055354792834e-07,-1.4254150705142887e-06,-0.00017331457800335374,1.5258478621641062e-05,5.1899476804666136e-05,3.431550026612157e-05,-8.733415355285351e-05,-0.0001459697054492149,-1.1791526857353557e-05,-0.0001301739571823022,-8.287768448805787e-06,2.343558137201419e-05,4.833266656432224e-06,-3.634908029602547e-05,-3.724144254293844e-05,0.00017780983277285829,6.231453476670395e-07,9.814419576688514e-06,7.07104983222159e-05,2.3439836998770643e-06,-0.00042814807966352273,-1.0256707254384986e-05,5.981613261003561e-06,-2.0818694287706865e-05,4.909412624935074e-05,0.00023092716259674685,-2.4646501212065355e-05,5.219535281260539e-05,5.430490192439975e-05,-0.0007610174102915686,8.901767432689466e-05,3.1292257416576944e-05
