layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.004215302290739835,0.008081277211507162,0.009252989733660663,0.01179403728908963,0.008632271378128617,0.004459398764151112,0.014148111696596499,0.008794254726833768,0.010146776835123697,0.0010750911853931574,-0.006065403973614728,0.001186176582619003,0.0058494320622196885,0.0053310570893464245,0.0241919270268193,0.008206650062843606,0.00453142766599302,-0.002097624319571024,0.0015748783394142402,0.0025073157416449603,0.002518565566451463,-0.0005187635068540232,0.02023864675451208,0.011023556744610821,-0.011316758614999277,0.0005822579065958442,0.10372246636284722,0.004344816561098453,0.04178280300564236,0.09938444914641203,0.04238707930953414,0.0028859520400011888,0.01119836171468099,9.047543561016837e-05,0.08561650028935185,0.006543521527890806,0.002768128006546583,7.125436914739785e-07,0.003209961785210502,0.002208798019974309,0.003960344526502819,0.006989973562735096,0.0074558258056640625,0.003777733555546513,0.01885827382405599,0.00931655036078559,0.0029213870013201633,0.00534004635281033,0.002267859600208423,0.004261899877477575,0.00745352992305049,0.0013784832424587519,0.01664274710196036,0.0107744711416739,0.010589882179542823,0.010316530863444013,0.004529811717845774,0.000397534282119157,0.003184177257396555,0.0010153894071225653,0.0034919668126989324,0.001381344265407987,0.004631113123010706,0.014527532789442275
1,0.00035131584714959103,0.019606855180528418,-0.0016805662049187537,0.0002781660468489881,-0.0003329769328788164,0.002467110201164522,-0.0006606843736436536,0.0010788727689672259,-0.0002450137226669751,-0.0009172017927523071,0.0003098613686031537,0.0016496049033270907,1.536640856001361e-05,-0.0002775479246068841,0.013052401719269928,-0.002939648098415798,0.011093726864567508,0.00025720949526186586,0.00019360802791734946,0.0007207578531018016,0.000928373248488806,0.0007684617130844619,0.0011999033115527998,0.0032828670960885482,-9.731562049298982e-05,0.0007050743809452503,0.0005385765322932276,0.00024129781458110056,0.001576088092945228,3.684960581637411e-05,0.0003232580644112706,-3.205612301826147e-05,0.00016755086404305364,0.008580949571397566,0.0003577338324652791,0.0006133389693719228,0.0002883827244793757,-0.00011638165624052185,0.0002688208112010196,0.0013670645378253906,0.006524101451591204,-0.0005731875145876633,0.01238109447337963,0.00023333921476644288,-0.0007320498978649872,0.003814979835792812,0.0007859330486368025,0.0024752396124380505,0.00013982366632531442,0.0010473286664044246,0.0010980853327998386,0.00203530490398406,0.002156204647488061,0.00043258181324711274,0.0024802508177580555,-7.01370062651356e-05,0.0008806012294910457,-0.0011603721865901097,-0.10394513165509259,0.005994319915771477,0.002258468557287137,0.0009003965942947806,-0.0030476958663375234,-0.024293475680881076
2,0.002228303088082213,0.00282663603623709,0.005743273982295282,0.000518220442312703,0.0068048459512215975,0.0017807064233002854,-0.0004909255162433143,0.003464749565830936,-0.0006331786237381132,0.010900170714766889,0.001128630781615206,0.0023713641696506047,0.006967692463486281,0.0005616170388680879,0.0017244352234734445,0.02645506682219329,0.026533744953296804,0.018988256101255065,-0.005609512329101562,-0.0014681771949485367,0.009992811414930556,0.016245029590747966,0.0031878330089427703,0.04529091163917824,0.007351664481339624,0.002037902397138105,0.0047334388450339885,0.00015144105310793023,0.00970261185257523,0.0042528929533781805,0.015948013023093892,0.012716575905128761,0.0028609053956137613,0.022385332319471565,0.00396457038543842,0.006815749186056634,0.0006116628646850609,0.0017308846667960945,0.0020141894066775367,0.0020908343571203704,-0.00033380367137767495,0.002455649552521874,0.03115434999819155,0.01297797097100151,0.004055438218293353,0.010178954512984657,0.001892605037600894,0.002640017756709349,-0.00040859977404275214,0.024310606497305404,-2.6626719368823166e-05,0.0002182944229355419,0.0034341381655799102,0.00022866990831160925,0.0006209755385363327,0.004074992956938569,0.00041700292516637323,-0.021464171233000578,-0.004425190113208911,0.0021550467720738127,0.00020690427886114763,0.0061769485473632795,0.018843332926432293,-0.026914808485243056
3,0.0011642288278650404,0.0035212039947509683,0.011444197760687927,0.002476497932716651,-0.041626824273003474,0.0025424780669035716,0.003352692281758343,0.001904783425507722,-0.025010002983940974,0.000984289028026434,-0.0030348389237015326,-0.00512003015588831,-0.0054204728868272566,-0.0020728508631388297,-0.0054953893025716126,-0.003268692228529183,0.005544481454072172,0.0047640888779251645,0.002477906368396898,0.008927592524775749,-0.004587703280978727,-0.0014092149557890555,0.001524871146237408,0.0024564773948104216,0.0007216400570339573,0.003379958095373922,0.0036021735933091797,0.0013346495451750586,0.005770974689059788,0.00016913149091932092,0.0014701435963312831,0.0008086893293592736,0.00978886639630353,0.000397842239450513,0.010521447217022925,0.003855206348277895,0.0005719750015823823,4.564749973791899e-05,0.0002960943513446297,0.0006059319884688788,0.0089965440608837,0.0016593011441054272,0.004913087244387029,0.0042477250099182155,0.009511818488438925,0.001573219343467997,0.0020898183186848916,0.0008166498608059449,-0.002819361510100189,0.007839379487214273,-0.006244659423828125,0.0003552171919080944,-0.0001499950885772778,-0.10287546228479456,-0.033702709056712965,-0.02924170317473235,0.0014647642771403028,-0.0011584990554385595,0.0003615198311982274,0.0009035490177295831,0.0007750414035938353,0.0013389521174960676,0.0013854724389535306,0.0006537327059993036
4,0.0020887785487704643,0.0031126251927128426,0.0010061771781356272,0.0006563762823740585,1.865997910498638e-05,0.001959458959323381,0.004687903104005035,0.002420421275827612,0.010519667907997413,-0.00041943567770496524,-0.0013302343863027916,0.001669734716415405,-0.0043023427327473955,-0.0002621729616765254,0.0011156971255938141,0.00010202769879940875,0.001399510436587848,-0.007172973067672165,-0.0006455734924033842,0.00013833355020593288,0.016228923091182002,0.00910479051095467,-0.003274281819661456,0.005010286966959627,-0.0038712112991898147,-0.003703417601408781,0.00023958638862327133,9.50473326223535e-06,-0.0007423948910500981,0.0024277347105520755,0.0018292058397222542,-0.0001710105549405889,-0.0024402384404782844,-0.0005525808643411476,0.0003609811818157938,0.0007019775609175277,-0.00014692324179190407,0.0007065562186417647,4.184797958090996e-05,0.00016181488279940642,-0.0009977729232222964,0.005428755724871599,-0.005280821411697951,-0.009896596272786459,0.0002091416606196632,0.0022884673542446633,0.002957467679624204,0.0014182914186407023,-0.007903104165086038,-0.006246178238480177,-0.0029219742174501732,-0.0008874292726869611,0.0005479361172075486,0.020529879464043513,-0.0350764239275897,-0.22542430736400462,-0.018624623616536457,-0.0020208623674180725,-0.009387157581470629,0.0027692229659468993,-0.004334873623318142,-0.0037365975203337474,0.0005978963993213668,0.0010095569822523307
5,-0.00397278644420482,-0.017887088987562392,-0.004262601887738262,0.008620359279491282,0.001123675593623387,-0.012017285382306134,-0.001413451300726976,-0.0004905296696556734,-0.015757242838541668,-0.11680998625578703,-0.003931540030020254,-0.00021418818721064814,-0.0015961373293841218,-0.011813269721137153,-0.014147864447699653,-0.005420958554303205,0.007980165658173723,0.0024702284071180395,0.0015898139940367874,0.00024681255497312747,0.00444087275752314,0.005064210406056157,0.00016194499201244018,0.0036505687016027853,-0.015351648683901186,-0.002126199227792236,-0.015218734741210938,-0.009984758165147569,-0.02583493126763238,-0.002987473099320021,-0.0067845097294560175,-0.003066513273451062,-0.0025550877606427217,0.0019890290719491335,0.007295255307798031,-0.000696124853911209,-8.088460674992214e-05,-0.00011905917414913675,-0.0004924182538633075,-0.004153119193183048,-0.16075077763310186,-0.0032039483388264967,-0.00839208673547815,-0.02608485795833446,-0.11902759693287036,-0.01379980312453376,-0.37205604270652487,-0.04346686822396738,-0.002113013355820262,0.0029507742987738717,-0.0034124630468863027,-0.007864793141682943,0.0011493541576244241,0.0012419383834909518,0.0008648435274759948,0.0002067552672492109,-0.029156454183437205,-0.0026457861617759392,-0.00031016270319621513,-0.0010778639051649305,0.0006200119301124884,0.0024034093927453974,-0.00031052474622371716,-6.13221415767064e-05
6,-0.005247893156828704,-0.002798312240176728,0.001446130099119953,-0.008502253779658565,-0.0012576138531720028,-0.005091207998770254,-0.002395541579635049,-0.008157659459997106,0.002471293564195977,-0.00644682071827076,-0.001087143465324671,0.0012071204406243724,0.0006354687114556626,0.0029133514121726747,0.0005541200991030096,-0.0005789440539147946,-0.000574630719644024,-0.0006487077033077978,0.0002494051500602755,-0.00041062743575484524,-0.0013697942097981618,-0.0021828545464409677,0.00037154886457651837,-0.003807491726345486,-0.04571194118923611,-0.0016042281080175223,-0.005004547260425709,-0.00011704586170337713,-0.0011712202319392312,-0.0014172902813664135,-0.001771723782574677,-0.022529604258360685,-0.002059795238353586,-0.03207748024551957,-0.0022644466824001674,-0.006197611490885417,-0.0006839368078443438,-0.042122734917534724,-0.006845827455873841,-0.0004742675357394665,-0.00045390482302061665,0.0014591600607942621,-0.003297540876600478,-0.008322539152922451,0.0006989587650254809,0.00687660221700314,0.001225577460394973,0.021788164421364112,-0.004617196542245371,0.0008861775751466869,-0.00014351805051166498,-0.02739023279260706,0.0016437459875036293,0.0003035631444719193,-0.00024301034432868323,-0.0006269437295418898,0.0031115081575181693,7.500030376291399e-05,0.0036743923469825922,0.0018344234537195142,0.003246692043763619,0.0039703316158718445,0.0007105960890098681,-0.0028245713975694445
7,-0.06765409531416716,-0.09590770580150464,-0.010490310412866096,-0.015767874541106047,-0.26700510802092375,-0.0025061501397026947,0.014041865313494648,-0.0033413569132486978,-0.0005348722139994008,0.001114145473197639,-0.000349106612028863,-0.00012407479462800058,-0.004763956423158998,0.0014447636074490045,0.0067955299660011565,0.004615501121238426,-0.07138513635706019,-0.006354062645523634,-0.013866247954191982,-0.017411408600983797,-0.0036552570484302657,-0.01982221117726079,-0.04413873177987558,-0.0034679483484338827,-0.016381464346691417,-0.031027899848090276,-0.02519527188053837,-0.04147290521197849,-0.0023820841753924324,-0.0032250859119273994,-0.002887407938639325,-0.0617356123747649,-0.013415719899866311,-0.08624500698513454,-0.001817985817238124,-0.0020042348791051777,-0.05481651701309063,-0.0027614346256962462,-0.009037828003918677,-0.0029952437789351853,-0.0019891350357620803,-0.0034084673281069094,-0.0005692900330931762,-0.0013535276607230724,-0.0004040411225071539,-0.0004953449523007134,-0.014312179000289351,-0.0015828167950665407,-0.0011957486470540342,-0.002365271250406898,-0.013410215024594907,-0.019368242334436486,-0.0014367489903061382,-0.0004003467383207934,0.000722054806020527,0.0010107159614562808,0.00011569785851017255,0.0012288667537547846,-0.006133609347873263,-0.0025814727500632958,0.002864594812746402,0.0011438926060994485,0.02240774366590712,-9.614008444327374e-05
8,0.009353778980396412,0.002867848784835256,-0.005045572916666668,0.00307225739514386,0.0014548345848366057,0.010041590090151186,0.0015983912679884223,0.002399285634358727,-0.0005011558532714528,-0.00010199900026675462,-0.004241236933955438,0.0003761461487522662,0.002780137238679107,-0.00015929506884680686,-0.005615993782326028,-0.0005772731922290964,0.0006759608233416564,-0.005062597769278067,0.0037318699889712903,-0.005625901398835359,-0.005151642693413627,-0.00047113277294017777,0.00023324842806215766,0.0009174799477612474,0.00017612013551922045,0.0009307193535345396,0.0005141957490532264,0.00014653250023170114,0.004587851188800943,-0.005004953455041956,7.852215181896231e-05,0.010621812608506944,0.0009612151318126196,0.000525856459582294,-0.0012330479092068026,0.0007212515230532094,0.0004703314216048624,0.0021499704431604465,0.0025080972247653465,-0.005072408252292208,-4.950717643454942e-05,8.23970746110907e-05,0.0025126536687215184,0.010585996839735245,0.003764674067497253,-0.0009497359946921768,0.0006384794358853939,-0.0013284948137071222,0.0009020070234934347,0.00034728646278379917,8.108549647859344e-05,0.014198585792824073,0.008733820032190392,-0.0037474808869538486,-0.012317617734273275,-0.00036455194155374064,-0.005565678631817852,-0.00045931670400830226,-0.0007921678048592997,-0.00493613878885905,-0.0029095648615448523,0.0007237990697224907,-5.252935268260664e-05,5.290767660846458e-05
9,6.381670633951558e-05,7.770679615157379e-07,-0.000553214991534173,-0.0014183432967574368,0.0008525969805540831,-0.0031597172772442794,0.006477638527199074,0.006475413287127459,-0.002866009871164954,0.006348927815755208,-0.002484127327247898,0.00022502767818944654,-0.0018605435336077505,0.016169062367192018,0.005219371230513963,-0.0003918343120151118,0.00043203854174523844,-0.0019192519011320824,0.00554830718923497,0.00160741778435531,0.0018908491841069003,-6.175703472512979e-07,0.0011109246148003557,0.0004102962988394195,-0.08123157642505786,0.03849803076850043,0.0003780303178010146,-0.0002636948117503216,-0.005917372526945891,0.014521916707356761,0.0008894489319236,-0.020982530381944444,0.00012651782620834445,0.003108521302541095,-0.006788024195918328,-0.002648768601594142,-0.004211118927708379,-0.0011711208908645981,-0.001917834635134094,-0.009792257238317422,0.0010910227342888212,-0.023326873779296875,-0.0004587570826212442,7.894966337415283e-05,0.00016484106028520574,0.002293429992817062,0.0009308457374572809,0.0027373830477396715,-0.004043486383226183,-0.0067372851901584185,9.47393752910414e-05,0.009738767588580097,-0.00500136834603769,-5.762886118006344e-05,-0.00012840440979710186,0.0017584805135373765,-0.003971894582112632,2.5184066207314812e-05,0.0015069643656412787,-0.004518800311618381,-9.69127372466887e-07,-0.003735577618634259,-0.002456620887473778,0.0009574183711299175
