layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.0022848189414084483,-0.004256093824231949,-0.005455068639806798,-0.007112494460097305,-0.004968626005155548,-0.0030268677720078486,-0.009019001110180004,-0.004888371304348783,-0.00536121334041561,-0.0017708529223192926,0.0032428878921646246,-0.001090309641382716,-0.003601520985096425,-0.0032756307103612415,-0.013102419741518863,-0.004549507622246269,-0.002487887133349168,0.0007075318345078429,-0.0009476171957479883,-0.0017179712518915376,-0.001834448393400724,4.875337755357823e-05,-0.012368425592645869,-0.0069157712094418625,0.0065911782754434125,-0.0004657936525774282,-0.05745222761824324,-0.00027401382858688734,-0.022479632953265764,-0.05491679423564189,-0.019775734291420325,-0.001406721166662263,-0.006657488711245424,-0.000199747515154306,-0.0491925488721143,-0.005224803546527484,-0.0012910258662593207,-3.511044154833029e-07,-0.0013058851431081932,-0.0010744215131879887,-0.002102216084798176,-0.004465463999155406,-0.0049152803850603536,-0.0021683804623715496,-0.011218182675473325,-0.005656147862339878,-0.0014642036712921383,-0.0029042475932353246,-0.0013932601825611,-0.0022716994758124835,-0.004327086715010909,-0.0006651835398630994,-0.00875058904424444,-0.005560900713946367,-0.00594872826928491,-0.006422322075646204,-0.0027369765548018706,-0.00017334641637027046,-0.0018022941039489181,-0.0005543210484960004,-0.002451222222130582,-0.0005887950862850154,-0.0029780757319819804,-0.00936112962327562
1,-0.000164668839257038,-0.011087241473498639,0.0009915732048653271,-0.0002679035470292238,0.00016266886178435734,-0.0012407447840716381,0.0004149492796476809,-0.0006496181359162145,0.00013918651116859857,0.0006248242146260053,-0.00011238697412851172,-0.0009000956475197781,1.5958203925742068e-05,0.00014767238685675928,-0.0066502953434849675,-0.0005197009524783569,-0.006266910750586706,-8.764782467403975e-05,-0.00011071723860662645,-0.00043839243081238816,-0.0003108154009054328,-0.0005218644399900606,-0.0006985218675286799,-0.0023739584931382167,0.00019720921645291424,-0.00042862022245251084,-0.0002892664423933873,-0.00013054853624050203,-0.0009198833156276315,-1.105058703336023e-05,-0.00017301067038697399,4.1478925997015225e-06,-3.5215068507847317e-06,-0.004145630845078475,-0.00012830356219867674,-0.00040701407570021343,-0.00011961417155222219,5.070509405822943e-05,-9.034621017473252e-05,-0.0005458749092376912,-0.0037346305073918504,0.00021100259042000324,-0.0069399996920748875,-6.891974994726955e-05,0.0002788443554628889,-0.0022835731506347583,-0.00040207883796175163,-0.0014063066190427415,-7.358864620998522e-05,-0.00047434987248600304,-0.0005540015461208603,-0.0009052017787555272,-0.0008629678605913036,-0.0002498342110229959,-0.00120600279387052,0.00019466232609103738,-0.0003218436026358355,0.0006892240799225036,0.11347260346283784,0.018295656990360572,-0.0011454428638423832,-0.0005280037184019234,0.0032558784828529658,0.017071423229870493
2,0.0017799332335188573,-0.0017112171327745664,-0.003083158183742211,-0.0003104434088543573,-0.002851607563259359,-0.0009238225919706326,0.00016222540121356882,-0.002068002750207712,0.0007631539425871429,-0.004434271975680514,-0.0005297118479067027,-0.0015989423872114275,-0.003533609278567201,-0.0006510588499876856,-0.0009679737928751359,-0.01222215257249437,-0.013477050506316864,-0.010734729938678913,0.0030793198594101906,0.000639691009177806,-0.0048804755683417795,-0.008887591662707625,-0.0015806765169710639,-0.02443915014868384,-0.003186594258557562,-0.0008846113273689344,-0.0025346902039673886,4.2770359966687706e-07,-0.005642345359733512,-0.0022372340296839765,-0.009829254837723466,-0.00715202469009537,-0.0014873710838523959,-0.014084096427436344,-0.0019333181349006853,-0.003794391144503343,-0.0004126230875651069,-0.0010459670075425222,-0.0009292729266055038,-0.0012868364920487262,0.0010160755466770456,-0.001490567181561441,-0.015833502417212136,-0.007454476914964279,-0.0023043134191014663,-0.005421861871942737,-0.0009279617586651304,-0.0002315731735916846,0.00014388520975370123,-0.012114793330699463,0.00011949496226267211,-8.173286914824899e-05,-0.0019595835122976283,-2.6692141283728377e-05,-0.0002976294170628625,-0.0017739319586539042,0.002245361740524705,0.017943708746282903,0.0024289655255841773,-0.0016355348062944812,-7.698235211071578e-05,-0.0033258103035591732,-0.01117003500998557,0.014817246445664414
3,-0.0007104099065333857,-0.0020206581364880763,-0.006991955611082881,-0.001558090115452669,0.0380780503556535,-0.0014561766439729943,-0.001571718368444355,5.0512520042624876e-05,0.014151083456503379,-0.0008208590584832215,0.001552203754047013,0.0029189651076858103,0.0032363066802153714,0.0013231178661724456,0.0032323201497395813,0.0017817031155835355,-0.002683113018671663,-0.0030149898013553033,-0.0015405727936340832,-0.0063772416329598665,0.0025835928616222935,0.0008016438097567102,-0.0009766494905626459,-0.0016068424190486803,-0.0003939662967716234,-0.002128739614744436,-0.0022735831973788915,-0.0007647243705955778,-0.0027714420009303754,-6.433247445939692e-05,-0.0006377407022424656,-0.0005178623371296189,-0.006008878484502568,-0.00024137209664592722,-0.00559942115534533,-0.002105871299365612,-0.0003896727486773571,0.0001076551171036404,-1.183286443486661e-05,-0.00033236838675834555,-0.004452086783744196,-0.0007273012453371408,-0.0021693357476243037,-0.0019666686788335614,-0.005008202415328838,-0.0005454608985969654,-0.0006665641123110017,-0.0005024709143080208,0.0015822981928919882,-0.00213845356090649,0.0036050951158678205,-0.00040522137203732026,0.00046909526661709504,0.05733098210515203,0.019129572687922296,0.018231185706886085,-0.0012183103475484792,0.0006131403618030609,-0.00037027264500523325,-0.0004382348275399448,-0.0006051106495900157,-0.000984485084946089,-0.0008023493998759442,-0.00027213655076585493
4,-0.0011001964947124773,-0.001820785505277606,-0.0013452736107078783,-0.0002917997740410394,2.3943212655207457e-06,-0.0010906312245506336,-0.002652648332956672,-0.0014167092404923903,-0.0056179665230415956,0.00019608397741574104,0.000716123495016,-0.0008605172236760473,0.0022544689006633568,0.00016100743265300434,-0.0005450201732618269,-3.972032048680771e-05,-0.0006934286237836872,0.003909995963981559,0.0005017529736767926,-0.0001617063273180632,-0.008130906938432571,-0.004825050766403604,0.0015783309936523398,-0.002529969086518154,0.0024803780220650344,0.0022396998362498254,-0.00010224800926070894,-2.638324423952754e-05,0.00040013833088916207,-0.0014351654697108947,-0.001056911172093574,9.005964809171616e-05,0.002293818705790743,0.00024797492199114205,-0.00039045472402827477,-0.00030730960068400966,4.669084205283548e-05,-0.00046555818738163633,-1.996722038801467e-05,-0.00010117458867595659,0.0008572178917962151,-0.0031082189834869644,0.0029554281148824585,0.0060697332158819,-0.00010486873420509306,-0.000981341342668282,-0.0012622953535200239,-0.0008383157016994744,0.0052284214410695945,0.00350895443478146,0.002293660834028902,0.0009535454414985973,-0.00033247739345102195,-0.015937182280394407,0.04920945725999437,0.15611761969489021,0.011117677430848818,0.001292619619283591,0.009595638996845967,-0.00187120351705465,0.0023224117519619223,0.0019503133790987031,-0.00039491399719907374,-0.0005314876367379917
5,0.001777184976113808,0.010934206816527221,0.00257703903559092,-0.004901791478062534,-0.000624897243740309,0.007147849143088401,0.000617001507733304,0.0002688817881249009,0.011013512138847832,0.08295447547156531,0.0021720748763900603,0.0021239959441863737,0.0011174066646678956,0.0077200193662901205,0.008191589836601737,0.0043474186111140956,-0.005687311694428718,-0.001927796247843134,-0.0008894210463171639,-0.00013540735518609184,-0.002462223843411275,-0.0031467101595423277,-7.701242292248752e-05,-0.002259469112834405,0.00944025452072556,0.001160535726461321,0.009293272688582137,0.005924602886577984,0.014363744237401464,0.0015467910079268712,0.0048703159297908746,0.0019740413975071263,0.0015337534315951241,-0.0011233453815047703,-0.0037038476617486608,0.0003854723664017339,2.99527435689363e-05,9.388537020296481e-05,0.00041923007449588443,0.0025244016905088674,0.12962712468327703,0.0023749035757941223,0.006655851060205747,0.020068640107507096,0.11300136806728604,0.008911252021789553,0.27523281337978606,0.03474632469383445,0.0012861286197696714,-0.0018952733224576633,0.001763090357050166,0.004013774631259678,-0.0006520211159646,-0.0007478959925539843,-0.0004940279969223995,-0.0001475118302010243,0.017769926840120607,0.0011749166894603389,5.816634710844776e-05,0.0008714113149557031,-0.0003841395850654162,-0.0010639208931106634,-2.3300046319360047e-05,2.7166830526818326e-05
6,0.0032602945963541683,0.0013137755093273788,-0.0008839938017699042,0.004435771220439189,0.0007386851955104378,0.002693107536247185,0.0013086129953195347,0.003957731229764921,-0.0013645038948402694,0.0036424924661447333,0.00040248170629277275,-0.0006230670186850354,-0.00032935311665405664,-0.0017589642120911227,-0.0002189947141183386,0.0003259635723388828,0.00032932156915061264,0.0003916556770736915,-0.0001384116507865121,0.0004806754825351475,0.0008737503945290428,0.0013221878189224323,-0.0002414855334135643,0.0021038227253132036,0.05152576893299549,0.0010743852671202207,0.003625010584925747,0.0001107013977325686,0.0007463025080191075,0.0009575539881044657,0.0009686807254413144,0.017867449167612435,0.0012956696587639877,0.02345735962326462,0.0014448337726764861,-0.001082274290892455,0.0005277322756277253,0.03716656109234234,0.003169068345078475,0.0005823320096677391,0.0003120727367229081,-0.000914350756116814,0.00206535463934546,0.005740599589304882,-0.00043717271707079206,-0.004123940124168044,-0.0006553901208413668,-0.012719914719865128,0.002579353951119088,-0.000566945151165788,-0.0001477478323756156,0.015161050332559121,-0.0010282519432875574,-7.245454702300154e-06,-0.0002696771879454018,0.00037938624888924906,-0.0018669885021072223,-0.00011077899116653028,-0.001915219130816749,-0.0011994559485632996,-0.0017730768199439538,-0.0019938650431933678,-0.00042212439012956235,0.0014219885473852757
7,0.05220377230429434,0.07081514006262427,0.007345736832232087,0.008198927114675712,0.20227601506688572,0.0011943804251181157,-0.010259508012651325,0.004786190685925185,0.0002871072507119187,-0.0006356201730332859,0.00016398687620418332,0.00012311178284722305,0.0026530875816001545,-0.0017176705437737525,-0.004150424991642033,-0.0033489948994404562,0.04059418686875352,0.0030727236120550467,0.00819855122952848,0.007650564382742117,0.0010942510656408353,0.01013922208064311,0.020911586177241696,0.0018499391572969431,0.01212412870682038,0.021313641522381757,0.01998330451346732,0.03123953643145862,0.0014838055447415198,0.0022524047542262786,0.0020099244676194824,0.04860551292831834,0.010418444402046026,0.06842321103757566,0.0018453168439435364,-0.004020983034426029,0.04226439278404992,0.0001338172603297779,0.00623388601852966,-0.003961923960092905,0.0011120358028927373,0.0017729406958227703,0.0002673453575855831,0.0005974713209513021,0.00011130603584083339,0.00021267152047370732,0.009122315827790682,0.000793194985604491,0.00023082140329721822,0.0014323414982976108,0.006968876263042828,0.010916770041525902,0.0009962284081690969,0.0002764701037793466,-0.0007074443069664172,-0.0005477838688068394,-8.211838635236694e-05,-0.0009923574623760822,0.00298192479588964,-0.00036117192861196215,-0.002694364066596501,-0.0008283520604039049,-0.014869750083029808,-7.888728433900973e-05
8,-0.008398717588132567,-0.002088139723013114,0.003088989773312133,-0.00158076135961859,-0.0008161067962646413,-0.006893866770976298,-0.0010591305053985938,-0.0017038632083583548,0.00029092436438206366,-2.7349940291392385e-05,0.0022127993471987594,-0.00035887996892670286,-0.0015591823302947704,4.627266982654195e-05,0.003641070546330635,0.0008491911329664619,-0.00039312860987208244,0.003212353130718609,-0.0021504953100874606,0.003331553828608881,0.002976529233090512,6.314870473489631e-07,-0.000355253348479398,-0.0005115308203138776,-0.0001628710342956934,-0.00046578183904423976,-0.00025698217051522233,-0.00015252023129848753,-0.0028183997214377378,0.0026601842931798982,-2.9089818666641587e-05,-0.00554450782569679,-0.0005373564120885465,1.48619617427765e-05,0.0004682497935252065,-0.0005506266344775003,-0.0001222131488559471,-0.0004914719779212179,-0.0019561106020265875,0.003442560230289494,-0.00019349493421949275,3.655865654216242e-05,-0.0017368707570943778,-0.0007281088614249028,-0.0020932340407156702,0.0005400202295801477,-0.00024628974832930083,0.0002969213434167684,-0.0005111294286745004,-0.00017193523613181428,-3.246573714522086e-05,-0.005594614389780405,-0.002920253856762035,0.0026811479448198196,0.008160519170331526,0.0001693451189779935,0.003262068774249102,0.00011146417609205426,-0.0008194081418149172,0.0029624045432150897,0.0014233546214060724,-0.0016436490926656608,-0.0002392900956643599,-4.244656176179407e-05
9,-4.9670000334051286e-05,-0.000980647834571632,0.00023782360661135378,0.0007197577674109554,-0.0005672770040529247,0.0011955725180136094,-0.0049014864741144986,-0.003079148026200028,0.0023700299563708563,-0.001305880847277942,0.0014905693294765688,-0.00012908902791168664,0.0007570412781861345,-0.011078117130038976,-0.00346630328410381,0.0007799015388832428,-0.0002672608169886344,0.0008933608596389296,-0.0025954837197656,-0.0009530330294961323,-0.0013277431329091378,1.3572138708931552e-06,-0.0006420247189633562,-0.00022015324583997894,0.0668281348975929,-0.024979501157193572,-0.00020275379086399863,0.0004533440680116993,0.002907624115815034,-0.006979399704718367,-5.351208351752498e-05,0.013859997998486768,-7.109339810436702e-05,-0.0014132905650783164,0.0035951631563203813,0.0012194852571229668,0.002409147786664531,0.0006135154414821177,0.0008861653439633432,0.004817571725931252,-0.0007466226816177397,0.006847209758586712,0.00023369558222658294,-0.00011830985009133178,-1.7719762819305617e-05,-0.0011993399611464422,-0.0006137603038066169,-0.0016017013841921148,0.002585827767311989,0.00369393288552224,-4.695839173084139e-05,-0.007152271700334978,0.0022583222604012675,-0.000119513219541254,0.00018883905969224526,-0.0014880380114993606,0.0024702742293074304,-0.00015252774900144082,-0.0011977204331406646,0.0014767281643979196,-2.831757605612822e-05,-0.011695363500096777,0.0006817031551051785,-0.00030185940029384855
