layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.0007419586181640751,-0.001617431640625,-0.00092220306396485,-0.00139617919921875,-0.00139617919921875,2.3841857910150016e-05,-0.00269317626953125,-0.0011119842529297,0.001312255859375,-0.0005359649658202999,-0.0022430419921875,0.000957489013671875,0.000396728515625,0.00129127502441405,-0.00048065185546875,0.00064849853515625,-0.00045013427734375,0.0023822784423828,0.00023913383483885006,-0.001407623291015625,-0.0009918212890625,0.00075912475585935,-0.00119781494140625,-0.003002166748046875,-0.00287628173828125,0.0009012222290039,-0.00041055679321289995,-0.00412750244140625,-0.000901222229003925,-0.00010108947753907508,-0.00153350830078125,-0.00027197599411012537,-0.00189542770385745,-0.0015869140625,-0.0011138916015625,-0.00502777099609375,-0.000408649444580075,-9.111827239394188e-06,-0.0008554458618164002,-0.003132343292236325,-3.814697265625e-06,-0.001270294189453125,-0.00122833251953125,-0.00079345703125,-0.00135040283203125,-0.001964569091796875,-6.1988830566425e-05,-0.00037670135498047504,-3.814697265625e-05,-0.00023078918457032502,5.340576171875e-05,-0.0004427433013916,-0.0008525848388671749,-0.001354217529296875,0.000102996826171875,-0.002216100692749025,-0.00013446807861327496,4.041194915771796e-05,4.148483276367502e-05,-2.6702880859375014e-05,-0.0003108978271484249,-0.0005013942718506,-0.00038290023803710005,-0.00039005279541014996
1,-6.750226020812986e-05,8.201599121092503e-05,-0.001176834106445325,-0.00027513504028322497,-0.00041961669921875,0.00014400482177734998,0.000116825103759775,-0.0007700920104980751,0.00028848648071285,0.003421783447265625,0.000469684600830075,0.00081634521484375,0.00017642974853515002,0.00032329559326167495,-9.536743164049923e-06,0.0045166015625,0.000823020935058575,-0.0023517608642578,-0.00073421001434325,-0.00018668174743650934,0.0014820098876953,-0.0001668930053711,-0.0008430480957031,0.0026929378509521,0.000213623046875,-0.00031960010528564453,6.1988830566425e-05,5.817413330077499e-05,6.0081481933625e-05,-0.001316785812377925,8.0823898315425e-05,-0.00021481513977047344,-0.0007457733154296749,-0.000148773193359375,-0.00027656555175782497,-0.00014638900756835002,-0.0004110336303711,-0.000151634216308575,-0.0003103017807006617,3.814697265625e-06,-0.00010108947753904992,-0.00030636787414552657,-9.727478027342498e-05,0.0001364946365356633,-0.00014209747314452496,0.00013065338134765002,-0.0005059242248534751,-0.000919342041015625,-0.00012312829494475535,-0.000671386718749975,5.674362182617502e-05,0.0001220703125,0.0009152889251709,0.0012226104736328,-9.346008300779998e-05,0.001058578491210925,0.000438690185546875,0.0004174709320068586,0.0015625953674316343,0.001277923583984375,-0.0004096031188965,-0.00011509656906125116,0.0009591579437255499,0.022674560546875
2,0.00017642974853515007,-0.0001318454742432,-0.0004456639289855894,-1.6242265701254914e-06,-0.0002741813659668,-0.000873565673828125,-0.0002518296241760254,-0.002302169799804675,0.0007984638214111499,0.00057220458984375,-0.00034904479980467503,0.000194549560546875,-0.00014424324035644997,0.001244068145751925,-0.0006964206695556641,0.000644683837890625,0.00016689300537112503,-0.000497817993164025,4.756450653074375e-05,0.0003376007080078,8.201599121092498e-05,9.945034980771425e-05,0.0004835128784179501,-5.149841308592498e-05,-0.000199556350708025,0.00011098384857175233,0.000321149826049825,5.602836608867969e-06,0.000293731689453125,-0.0005512237548828,-0.00037360191345215467,0.00096845626831055,0.00023245811462405,0.000904083251953125,-0.00024652481079105,-0.000156402587890625,-2.1934509277349984e-05,0.00040727853775023785,-0.0004089474678039551,3.9927661418914795e-05,0.001227378845214825,7.176399230954998e-05,-0.000125885009765625,-0.0003046989440918,-0.0002380609512328945,3.3676624298150455e-06,-0.00023841857910155936,0.002410888671874975,-0.0006574392318725774,0.00014567375183105003,-0.0007514953613281502,-0.000370740890502939,-0.00027656555175780003,-0.00015568733215330782,0.00010108947753905,-0.00037044286727905273,0.004405975341796875,0.009033203125,0.00787353515625,0.0002698563039302826,0.000479698181152325,-0.002325057983398425,-0.00031280517578127505,0.005218505859375
3,0.00040429830551147304,0.000347137451171875,0.0014101266860961914,0.0008230209350586,0.00620079040527345,0.00064384937286375,-0.00014233589172359996,0.002803802490234375,0.0080108642578125,0.00026702880859372495,0.0014171600341797,0.0030078887939453,0.00396728515625,0.000206947326660125,0.002460479736328125,0.0007476806640625,0.00037384033203125,5.054473876952496e-05,0.0004081726074219,0.001010894775390625,0.0007548332214355469,0.001489639282226575,0.00025343894958497503,-8.940696716310003e-05,0.001783609390258775,0.0021190643310547,0.000942230224609375,0.000499725341796875,0.001071929931640625,8.583068847657502e-05,0.0008563995361328251,0.00095272064208985,0.0008155703544616645,1.1444091796875e-05,0.00014758110046390004,0.00020647048950194998,8.296966552733124e-05,0.00015926361083987498,0.000404357910156225,0.000577449798584,0.000713348388671875,-7.438659667970002e-05,-0.00015211105346677497,-0.00020027160644529992,-0.00028003752231596025,-9.53674316425061e-07,0.00046634674072264996,0.000329494476318375,0.001943588256835925,0.0005648136138916,0.001665115356445325,0.001931548118591296,0.00045871734619139996,0.006317138671875,0.003153324127197275,0.002321243286132825,0.000658512115478525,0.000820159912109375,0.0010089874267578,0.00047063827514645,0.001194000244140625,0.001386642456054675,0.0009069442749023249,0.0007137656211853153
4,-8.249282836912501e-05,-2.381205558774668e-05,-0.000148773193359375,0.00012445449829099999,6.461143493649999e-05,0.00014805793762207812,0.00017327070236204022,0.00011444091796875,0.000248432159423825,-0.00032430887222288163,0.00133514404296875,0.0002760887145996,0.000357151031494125,-0.00013525784015655206,1.478195190432501e-05,0.00012063980102539998,1.3023614883438478e-05,5.400180816647734e-05,3.5762786865234375e-06,0.000171661376953125,1.8596649169925006e-05,-3.4213066101085156e-05,0.0003164410591125379,-9.328126907356446e-06,0.0012405216693878237,0.000431656837463375,0.00034159421920774806,0.00010883808135986328,-0.000116109848022475,0.00017368793487545,2.7418136596742165e-06,-0.0001656413078308074,0.00163984298706055,0.00048637390136717503,-0.00040578842163084994,0.00063276290893555,0.0008144378662109249,0.000366687774658175,-0.00011217594146727423,-0.00030398368835447343,0.0005377531051635742,0.000102996826171875,0.001188278198242175,0.001319408416748025,0.000183582305908175,9.536743164250067e-07,-0.00031185150146485004,-0.0005328655242919751,0.00041389465332025,0.00437164306640625,0.031036376953125,0.0001772642135619789,8.088350296017694e-05,9.13739204406457e-05,0.0016685724258422743,0.0003992319107055273,0.004425048828125,0.000466346740722625,0.0007131099700927609,-0.000274181365966775,0.00632476806640625,0.001825332641601575,7.879734039305e-05,0.000282287597656225
5,0.001506805419921875,0.0067138671875,0.00091266632080075,5.7220458984375e-05,0.0001258328557014559,0.004146575927734375,0.0010387897491455,0.000173091888427725,0.00392913818359375,0.003210067749023425,0.001026153564453125,0.001305580139160125,0.0017008781433105,0.0077362060546875,0.00301551818847655,0.041839599609375,0.00150299072265625,0.00017833709716797504,0.0008058547973633,0.0002279281616211,0.00028228759765625,0.00137710571289065,0.0002875030040740842,1.5020370483425e-05,0.0103912353515625,0.000392198562622075,0.006805419921875,0.0008831024169921749,0.00567626953125,0.001119613647460925,0.0006533265113830566,0.0005692243576049742,0.0005965232849121,-6.765127182008867e-05,0.00013923645019532502,0.0001176595687866211,0.00011706352233890859,0.000411510467529275,0.00060105323791505,0.0009326934814452999,0.0103139877319336,0.00159931182861325,0.01438140869140625,0.0293598175048828,0.0028853416442871,0.0021958351135254,0.056182861328125,0.028076171875,0.001367568969726575,0.001100540161132825,0.00078487396240235,0.002513885498046875,0.001766204833984375,0.0018463134765625,0.001430988311767575,0.000992298126220725,0.00803375244140625,0.001749038696289075,0.00044822692871095,0.00165557861328125,0.0011278390884399414,0.00015008449554446482,0.000366926193237275,0.000915288925170875
6,0.000539064407348625,0.000173091888427725,0.00049877166748045,0.00415802001953125,0.001035690307617175,0.001544952392578125,0.001140594482421875,0.0016937255859375,-5.7220458984375054e-05,0.003721714019775375,0.0021991729736328,0.0008530616760254,8.0108642578125e-05,0.000977993011474625,0.0006852149963378906,0.0007610321044922,0.0011739730834961,0.000150918960571275,0.0004215240478515499,7.963180541989997e-05,0.00011587142944335,0.001251220703125,2.9802322387699988e-05,0.00019645690917967186,0.0018172860145568848,0.0005130767822265499,0.00164794921875,0.0012989044189453,0.0002893805503844996,0.0006539374589920044,0.0014657974243164,0.00667572021484375,0.00092315673828125,0.010029554367065424,0.000549316406249975,0.00225067138671875,0.0008401870727539,0.004960060119628925,0.00194549560546875,0.001750946044921875,0.0009484291076660156,0.00052642822265625,8.964538574219997e-05,0.0009126663208008,-3.0040740966773443e-05,0.00046211481094360666,-0.00010800361633298906,-0.000518798828125,0.00173187255859375,0.000381290912628155,0.000324249267578125,0.003814697265625,5.388259887693437e-05,0.00016784667968749686,0.0007336139678955,0.000701904296875,-2.7656555175775016e-05,9.369850158692499e-05,-5.9545040130615234e-05,1.8298625946048046e-05,1.3113021850788954e-06,0.00026535987854002497,-0.00011149048805236034,0.0011119842529297
7,0.0404510498046875,0.007144927978515625,0.002979278564453125,0.00193023681640625,0.00665807723999025,0.00263214111328125,0.000274419784545875,0.00137901306152345,0.00030612945556637497,-0.00025224685668945,6.759166717527498e-05,0.0001885890960693,0.0021209716796875,0.00295257568359375,-9.894371032714844e-05,-0.000167369842529275,0.0194854736328125,0.00263309478759765,0.0038299560546875,0.0057373046875,0.0009365081787109249,0.00475311279296875,0.0020904541015625,0.0009365081787109249,0.03546142578125,0.00600433349609375,0.0172748565673828,0.0032671689987182747,0.002513885498046875,0.001979827880859375,0.001447677612304675,0.01564788818359375,0.027135848999023424,0.018144607543945326,0.000584602355957,0.00142669677734375,0.0004920959472656,0.00016021728515625,0.02459716796875,0.002221107482910175,0.0032196044921875,0.0005955696105957,0.00064945220947265,0.0004825592041015499,0.0018787384033203,0.0008831024169921749,0.005718231201171875,0.001764297485351575,0.0013446807861328,0.000949859619140625,0.00484466552734375,0.000782012939453125,0.00027656555175780003,0.0003395080566406,0.000236272811889625,-0.00012791156768795857,-0.00022375583648682578,3.814697265627499e-05,0.0011472702026367188,0.00077056884765625,0.0017824172973633,-0.00012588500976558125,0.0011749267578125,0.00012302398681640002
8,-7.152557373045e-05,-5.722045898425032e-06,0.000762939453125025,0.00017535686492916328,5.781650543211797e-05,2.5272369384799967e-05,0.00014877319335940002,4.0292739868156256e-05,0.000441074371337875,0.000146508216857875,0.00982666015625,0.000506401062011725,2.4318695068349997e-05,0.0001239776611328,0.0044708251953125,0.00020909309387205004,0.00038290023803709994,0.0010104179382324,0.0002453327178955,0.003936767578125,0.0038604736328125,0.001634597778320325,0.000800132751464825,0.00010293722152707462,-0.000310897827148475,0.0003979206085205,-0.0002651214599609,-0.0001676082611084,-0.00036621093749997495,0.00042414665222165,-6.69956207275e-05,0.00017452239990235004,0.000293254852294925,0.001148223876953125,0.000518321990966775,0.00034713745117190005,0.0002288818359375219,0.000905990600585925,9.632110595702496e-05,0.00215911865234375,0.00048065185546875,9.575486183167753e-05,0.0005035400390625,0.00030040740966800003,0.00017058849334715545,0.000280857086181625,0.0009250640869140751,0.0003871917724609,-8.773803710935313e-05,-3.504753112793281e-05,1.7702579498319923e-05,-0.000335693359375,-0.00182533264160155,0.001333236694335925,0.00098276138305665,-0.00035309791564939997,0.0043182373046875,0.00013518333435059998,0.00249671936035155,0.000682830810546875,0.006331443786621075,0.00168609619140625,0.00010991096496577499,1.6629695892333205e-05
9,0.00024664402008057497,-0.0007343292236328,0.0008831024169921749,0.0018482208251953,0.0005855560302734249,0.00014209747314452502,0.000987052917480475,-7.343292236327499e-05,0.0004143714904785,0.001781463623046875,0.00047111511230467503,7.438659667970002e-05,0.0008068084716796749,7.62939453125e-06,0.00055694580078125,0.000743389129638675,-5.758553743363364e-05,0.00021123886108394998,-5.0544738769500025e-05,3.445148468017497e-05,7.462501525877188e-05,0.00012707710266115,-0.001384735107421875,3.290176391600001e-05,0.0018293261528015323,-0.00017738342285155003,0.00010514259338375,1.3530254364015244e-05,-0.000501751899719232,0.000121116638183575,0.00014392286539076978,0.00679779052734375,4.902482032775879e-06,-0.000274658203125,0.0004711151123046749,0.00045800209045410004,0.001140594482421875,-1.811981201172657e-05,0.0006027221679687251,0.00234222412109375,0.0003170967102051,-0.0001595020294189453,0.00066375732421875,0.000931739807128925,0.000883579254150375,-8.332729339598352e-05,0.00028610229492185,0.0002870559692383,0.000486850738525375,0.0004425048828125,0.000821113586425775,0.001064300537109375,-0.00299072265625,8.773803710935001e-05,0.00012350082397457495,0.000383377075195325,-0.0008401870727539249,0.00037097930908205,8.1062316894525e-05,-0.000274658203125,-0.00034856796264644995,0.0001916885375976749,0.001810073852539075,-0.0015106201171875
