layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.00043154629794034003,-0.00048762234774502543,-0.0011931679465554017,-0.0017169258811257093,-0.0005498365922407636,-0.0006728085604580964,-0.0014064442027698874,-0.00032797726717862,-0.0009480909867720128,-0.0002182700417258582,0.0026942166415127836,1.2796575372870927e-05,-0.0013022336092862236,-0.00041861100630326904,-0.001496020230379973,-0.0006889516657048964,-0.0007905439897017019,0.00023231506347656908,-0.00014133453369141274,-0.0014877319335937528,-0.0010910034179687509,0.0002345258539373164,-0.0011852957985617838,-0.002829985185102982,-0.0018885178999467327,-0.0006630464033647,-3.3395940607249297e-05,-0.002125549316406247,-0.0005472291599620495,0.0003563447432084564,-0.0008728720925071037,-6.499182094226638e-05,-0.0008469191464510848,-0.0009042566472833801,0.003247347745028409,-0.0021008578213778397,0.0004738547585227273,6.136145781506294e-08,0.0018718025901100872,-0.0017645402388139218,-0.00016111894087356932,-0.0008818366310813146,-0.0009598125110973018,-0.000174635106867004,-0.0010870500044389236,-0.0007655403830788346,-5.82261518998487e-05,-0.0003993988037109382,-0.00011538592251865274,-0.00013835213401100363,-0.0006935986605557509,-2.0772760564627276e-05,-0.0004480882124467327,-0.001032343777743251,-0.0009578704833984382,-0.0013840241865678265,4.617517644709354e-05,-0.00012635317715730207,6.788427179509818e-05,-0.00023845325816760393,-0.0007744962518865364,-0.0007338957353071709,4.8169222745032724e-05,-0.0001868161288174709
1,-1.8991123546251054e-05,0.00010526830499822834,-8.708888834173732e-05,-9.03172926469264e-05,0.0007616086439652812,4.9105557528403414e-05,-3.3847852186721136e-05,-0.0002722285010597856,1.7959421331229974e-05,0.00013387636704878484,8.36632468483655e-05,0.00034896460446443716,-2.1089207042354108e-06,-6.475015120073969e-05,0.00036468505859374727,0.0010726018385453643,-3.643361004917611e-05,-0.0010283556851473706,-4.850734363901059e-06,0.0001457571983337367,0.0002476432106711633,0.00013188882307571878,-0.0001374006271362282,0.0002510590986771964,0.0002626332369717675,-5.812644958495304e-05,9.258877147327781e-05,-3.90453772111335e-05,0.0001282198862595846,-0.0001222870566628195,-1.2603673067960383e-05,-0.00011214451356367018,-0.00010619597001509243,0.00035062052986838083,0.00024070685560053265,8.421160958030284e-05,-8.188160982999162e-05,-0.0001369557597420401,-7.828365672718111e-05,0.00019850622523915132,0.0003251075744628911,-0.00021683953025123482,3.192208030006761e-05,6.215138868853325e-05,0.00019424720243973664,0.000188198956576253,-0.00017194747924804442,7.207935506647271e-05,-9.95787707242026e-05,0.00011970563368364002,7.059140638870753e-05,7.456432689319513e-05,0.00018360614776611106,0.00013804002241654,0.0001614733175797796,0.0002897566015070075,6.884444843638313e-05,0.00015264857899058393,0.0011626720428466709,0.0009437051686373493,6.682656028054443e-05,-1.755410974675345e-05,0.00030478347431529704,0.021768465909090907
2,-0.00046807635914195624,2.073157917373073e-06,9.789466857910542e-05,2.1973523226651846e-05,9.948557073419744e-05,7.369789210232782e-05,-0.00011304833672262474,-0.0006359696388244632,4.3162161653698895e-05,0.00030562660910866875,-8.871772072532425e-05,-0.00045179887251420954,0.00013081810691139734,0.0006249612027948485,-1.9893321124000943e-05,0.0010318539359352762,0.00017234628850761638,-6.967024369673476e-05,2.9249184510916817e-05,-0.00011426752263848709,0.00012105649167840459,1.024658029729749e-05,-0.0001441608775745782,9.111328558488223e-05,-4.3861432508988014e-05,-1.76283446225211e-05,0.00011507814580743424,4.552467302841432e-05,4.648295315828816e-05,-1.4430826360530984e-05,3.413828936490776e-05,8.287429809570043e-05,6.955753673206795e-05,0.0006099007346413327,6.9249760020785654e-06,0.00032293363050982086,7.640881971880616e-05,0.00021163550290194424,0.00010282126339999078,1.8231435255566868e-05,0.0003030256791548218,8.556084199384773e-05,0.0002898367968472543,-9.84451987526236e-06,-2.2879513827231535e-05,4.7679380937055367e-05,-5.359866402365536e-05,0.0001941074024547218,-2.4066188118675225e-05,2.4079192768446785e-05,6.765452298250919e-05,-8.77380371093068e-06,4.3895027854221194e-05,-2.6774948293509213e-05,0.00010466467250476389,0.00021241144700483196,0.001854567094282671,0.0030293551358309655,0.0019123424183238636,6.334077228197931e-06,-1.2589584697373759e-05,-0.0009878418662331273,0.0003214554353193806,0.0017908269708806818
3,-8.433081886984842e-05,0.0003523371436379192,0.000929759849201544,0.0008019534024325273,0.003145217895507809,0.00034678199074484483,-0.0001667521216652535,0.0004857843572443182,0.002086570046164773,0.00020991997285322664,0.00025714527476917206,0.0002519260753284782,0.0013570612127130693,0.00017586621371181642,0.0005598588423295418,0.0003397508101029818,0.00018229051069778795,0.00020255825736306124,0.0001590176062150319,0.0007354302839799299,0.0001387856223366473,0.0009033029729669782,5.795738913796795e-05,0.00011013123122128811,0.0006576800888234936,0.00038197961720553517,5.9990449385213395e-05,0.00011223825541408895,0.0008652860468084129,-0.0001178177920254796,0.00043506405570290527,0.0002408764579079392,0.00016900192607532643,6.167671897194112e-05,0.0003360574895685364,0.00020059238780629254,-0.0001307400790127742,0.00018935962156815862,-0.00015963857824152972,0.00012829520485618137,0.0003764737736095095,0.0002527973868630174,-0.00023413571444425092,8.821379054676822e-05,-1.3838302005427343e-05,-0.00033042214133522946,3.1371550126509574e-05,0.0003192459995096335,0.0010519764640114526,0.00021992271596735788,0.0004373030229048273,0.001007808338512071,-0.00011769208041104654,0.0024139404296875,0.002173792232166641,0.0012028347362171602,0.0005183219909667928,0.00020002885298295637,0.0004072752865877997,0.00021668564189564104,-5.327571522112997e-06,0.0003474842418323831,-1.1322715065701823e-05,0.0002261573618108639
4,3.3357468518343946e-05,-1.1679801073952692e-06,-0.00016683231700550575,1.911466771905987e-05,1.5185096047141052e-05,0.00011416131799870123,7.234757596795125e-05,7.955377752130739e-05,0.00029181567105379707,-0.00015616633675314198,0.00040005770596590726,8.834492076526292e-06,0.00016819780523126698,-2.468499270351359e-05,6.151416084982961e-05,5.471706390396035e-06,9.20864668759944e-06,3.657395189457526e-05,4.713508215817538e-06,-8.76946882767792e-06,2.5892257690433606e-05,7.970766587695992e-07,1.1902505701241357e-05,1.027231866665425e-06,0.0003309423273259946,0.00015747113661331952,-4.3435530229109054e-06,5.1127780567517686e-05,-0.0002566532655195619,4.263791170986346e-05,-1.6669793562456465e-05,6.1015649275342086e-05,0.0005765741521661983,0.0003782900896939403,-0.00012855529785155972,0.00034008893099698084,0.00025093772194601817,8.753158829427806e-05,1.3548677617846123e-05,2.789497375487622e-05,0.00021383112127129912,0.00011252164840698208,0.0006730859929865073,0.000545657764781607,-8.508508855646118e-05,6.636489521372641e-05,-5.1827864213425564e-05,-2.1024183793496306e-05,0.0008969913829456272,0.0008774497292258528,0.016258170387961644,7.566064596174096e-05,-1.845562999898345e-05,6.195496429096154e-05,0.0006714455106041523,0.0002401340414177086,0.001405689933083268,0.0003279252485795418,0.00013412562283602564,-0.00026554844596169796,0.0020758195356889216,0.00050927942449396,4.760731350292109e-05,0.00012925863265991232
5,-7.317282936790729e-05,0.0012883966619318182,-2.0304593172947295e-05,3.571401942859183e-05,-0.0003740294413132968,0.0005160245028409054,-0.0007959409193559067,-3.417188471014514e-05,0.0018464088439941455,0.00116937810724432,-7.043751803312127e-05,0.000487275557084519,-0.00017332380468194808,0.003245490247553047,0.0008819038217717949,0.018103096701882107,0.0006650036031549564,4.8696181990891056e-05,0.00044644637541336687,0.0001003574241291322,0.00015711838548833186,0.0005468772216276645,9.212087501178935e-05,5.653554742986567e-05,0.002947998046875,0.00012524669820611331,0.0018436778675426126,0.0002739299427379218,0.0010199806906960218,0.0001989538019353727,0.00027179934761740684,0.00021366639570756364,0.00020952658219771064,-7.412650368428866e-06,2.016316760670088e-05,6.961118091235336e-05,3.9898265491846935e-05,0.0001390077851035336,0.00020159374583851125,-0.00012210499156604682,0.005402536825700233,-4.858753897927371e-05,0.013131731206720525,0.012658587369051837,0.0020110433751886433,0.0012310970913280113,0.029724675958806818,0.012221960587935005,0.00017981312491677058,0.00039257515560496445,7.83405520699237e-05,0.0010345112193714528,0.00041220946745438707,0.000795234333385117,0.00020212368531660852,0.00027793916788968777,0.0021501020951704545,0.00033095966685902213,9.777329184792265e-05,0.0005695343017578091,7.92460008100994e-05,0.0001592598178169959,6.2747435136266816e-06,0.00022915710102427338
6,0.00013239166953346606,6.283846768465648e-05,9.353377602317186e-05,0.000980507243763311,0.00021617195822976182,0.0004553187977183964,0.0003454555164683919,-2.8020685369318183e-05,-0.00031066374345258604,0.0021100997924804656,0.0009175073016773564,7.58463686162724e-05,-5.027814344927054e-05,0.00019213232127102904,6.33153048428504e-05,0.00014759410511363248,0.00020122528076172363,6.9011341441755e-05,3.864114934747142e-05,0.00012872869318181638,1.8050453879612725e-05,0.0004182295365767073,8.373693986372462e-05,0.00010399114001880589,0.0006548483263362474,9.384155273436778e-05,9.78123057972273e-05,0.0003284107555042618,0.00010852596976540094,0.00017189546064896313,-0.00019045743075284547,0.004418910633433945,0.00036127784035422497,0.004997680403969496,0.0003435308283025582,-0.0010054154829545491,0.0001426956870339064,0.0022978713566606645,0.0007774179632013473,0.0001654018055308901,0.0001436358148401435,0.00022189400412819818,0.00024986267089843457,0.00037428899244827966,1.565109599720939e-05,1.327341253107767e-05,-4.031549800526563e-05,0.0004668669267134198,0.0005039561878551164,0.00010379498655144898,4.74062832919e-05,0.00032792524857954547,4.051381891423329e-05,4.1481581601223675e-05,-0.00035645745017312346,0.0004802530462091618,4.1211735118520997e-05,4.026131196454391e-05,-0.0002415613694624435,3.700364719736955e-05,5.460381507873149e-05,1.0937994176689975e-05,-7.545406168114765e-07,0.00019439350474964
7,0.017401764609596946,0.005219966715032392,0.0010741981593045363,0.001158280806107958,0.002668430588462139,0.0009287400679154872,3.733418204567876e-05,0.0007503249428489015,-0.00011359128085049998,-4.263276403600183e-05,-7.289539683949989e-05,6.310831416736189e-05,0.00032196044921874547,5.9821388938209075e-05,2.9286471280187605e-05,5.323778499262956e-06,0.004029984907670455,0.0004949743097478691,0.0016822121360085237,0.00012567693536931818,-0.0005104931918057582,0.0021501020951704528,-0.0023531827059659113,0.0002462213689630654,0.02597406560724432,0.0020706523548473035,0.009791010076349426,0.0016482830047607321,0.0006269281560724437,0.00083174272017046,0.0008182005448774908,0.007421060041947796,0.015435097434303971,0.010740765658291901,0.00044299011880698566,-0.0038720564408735872,0.0003198601982809973,-0.0009591145948930286,0.016093583540482955,-0.0021218039772727274,0.0005713679573752638,0.00018542896617542906,0.0001313296231356452,0.00024516365744850363,0.000618986649946731,0.0002092058008367319,0.0022909164428710923,0.00032398700714111076,0.00035712935707785587,0.00032712763006036914,0.0009041526100852273,0.00034710277210582184,0.00012383460998535223,-1.9386681643399213e-05,0.00015572417866100042,-0.00014828064224935462,-0.00010753219777886848,0.00012240951711481402,0.0004437359896573109,-0.0008719877763228001,0.0009723663330078127,1.154162667017613e-06,0.00037734616886485204,-0.0002675489945845199
8,-7.24640759554899e-05,9.043866937809838e-05,0.00018083398992365177,5.085955966603207e-05,1.2419440529525697e-06,7.771605795079631e-05,2.7278336611662916e-05,0.0001317704265767842,8.915987881746363e-05,5.405938083472615e-06,0.0007917924360795455,0.00014287341724742337,4.481239752336033e-05,-0.0001124512065540777,0.0004732825539328854,0.00021935809742319894,7.501515475186344e-05,0.00016460852189496608,0.00013883520256387897,0.0005959857593883131,0.00042766224254261087,0.0004768284884366204,0.000263363664800466,-1.155896620316427e-05,4.9301710995752095e-05,8.658062327991093e-05,0.0004226294430819412,8.841644633899729e-05,0.00020376552234996427,0.0001146663318980816,9.126663208006898e-05,0.00030668648806484627,0.0001090380278500621,0.0005258386785333819,0.00015877810391511543,0.00010767850008878409,-5.2007761868568564e-05,0.0004111701791936615,0.00015947385267777722,0.0006545847112482291,0.00020003102042456943,2.2119148211041038e-05,0.0001550891182639332,-0.0001289324326948727,-0.00012491399591619038,5.472031506624576e-05,1.2716380032618164e-05,0.0001850821755149109,-7.588755000790655e-07,6.235729564317115e-06,-3.253871744329375e-05,-8.479465137827928e-05,0.00031661987304687814,0.00072420293634588,0.0006443560123443604,-0.00023548603057860408,0.0005480787970803051,3.324909643693058e-05,0.0007527091286399182,0.0001917795701460406,0.0018645546653053983,-0.00011230815540660785,4.961057142777729e-05,-1.914121887900383e-06
9,7.820129394532735e-06,-9.693665937944747e-05,0.00041829889470881094,-5.964799360800028e-06,0.00015542073683304588,9.043379263442906e-06,0.00015804984352804,0.00016303712671453312,0.0002392292022705086,0.0008775093338706247,0.00029474496841430187,-8.077187971636433e-05,0.0003098921342329527,0.00014565857973965768,0.00046298287131569615,0.0004390976645729766,-9.194016456603589e-05,-1.1296705766168347e-05,0.00014107010581276713,-1.1639161543493898e-06,6.313974207096606e-05,-0.0001993309367786765,-0.00025008158250288515,-0.00018110492012718467,0.000906749205155801,0.00016839287497779083,-5.1064924760298866e-05,7.2663480585252365e-06,-7.423921064896938e-05,0.00022213242270729098,-4.7528743743893014e-05,0.0049032211303710925,-5.890361287375564e-06,-0.0006301446394486824,-0.0004882812500000018,0.0001250288703224834,0.0002148238095370207,-1.3849952004171564e-05,-0.0001882379705255782,0.0013515125621448836,2.5148825211956748e-05,0.000251336531205609,8.617747913706466e-05,0.00010877414183183633,2.4398890408608247e-05,-9.77689569646621e-05,-7.143562490289561e-05,0.0003806005824695922,0.0005543968894264897,0.00021204514936966728,-0.0001388116316361749,0.0011692393909801108,-0.002886130593039773,-4.751032049004196e-06,5.924051458184677e-05,4.2554465207181045e-05,-9.803771972656545e-05,0.00020200555974786807,-9.66841524297586e-06,0.00026202635331587054,-6.876858797940329e-05,7.950609380548796e-05,7.236654108220547e-05,9.127096696332222e-06
