layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0018539428710937,0.003021240234375,0.005462646484375,0.00799560546875,0.0030364990234375,0.0016632080078125,0.00421142578125,0.0016632080078125,0.006011962890625,-0.0018463134765625,-0.01611328125,0.0,0.005126953125,0.005706787109375,0.005157470703125,0.0028228759765625,0.0035400390625,-0.0015487670898437,0.0006141662597656,0.00555419921875,0.0024566650390625,-0.0008964538574218,0.0018157958984375,0.0074462890625,0.0103759765625,0.0016555786132812,-0.0015182495117187,-0.0009193420410156,0.0023040771484375,-0.002593994140625,-0.01385498046875,0.0006828308105468,0.0012588500976562,-0.0005455017089843,-0.0191650390625,0.0140380859375,-0.0003852844238281,-3.665685653686523e-06,-0.002044677734375,-0.01495361328125,0.0008277893066406,0.0028228759765625,0.003509521484375,0.00225830078125,0.0019683837890625,0.0019073486328125,-0.0006828308105468,0.0026702880859375,-0.001983642578125,-0.00286865234375,0.00439453125,-0.001739501953125,-0.0024871826171875,0.0018157958984375,0.007354736328125,0.0002460479736328,-0.0016708374023437,0.0009918212890625,-0.0009422302246093,0.001190185546875,0.0016098022460937,0.0035247802734375,-0.001190185546875,-0.002166748046875
1,-8.058547973632812e-05,-0.0005607604980468,0.0009994506835937,0.0007247924804687,-0.00421142578125,-0.0007057189941406,6.198883056640625e-05,0.001556396484375,-0.0004158020019531,-0.0005226135253906,-0.0005950927734375,-0.001861572265625,-0.0001945495605468,-0.0026702880859375,-0.0004615783691406,-0.00665283203125,-0.0015487670898437,0.0033111572265625,0.0006599426269531,0.0002040863037109,-0.0009269714355468,0.0004596710205078,0.0007972717285156,-0.0038604736328125,-0.001007080078125,7.104873657226562e-05,-0.0001630783081054,1.704692840576172e-05,-0.0007286071777343,0.0004749298095703,-6.771087646484375e-05,0.0002393722534179,0.0008316040039062,-0.001068115234375,-0.0002899169921875,0.0001497268676757,0.002197265625,0.0006790161132812,0.0004615783691406,-0.0006027221679687,-0.0015945434570312,0.0008926391601562,-0.0004081726074218,0.0020904541015625,-0.0013580322265625,-0.0005989074707031,-0.0001354217529296,-0.0008277893066406,0.0,0.0002126693725585,-0.0004692077636718,-0.0006675720214843,-0.0006904602050781,-0.00091552734375,-0.000396728515625,-0.0017166137695312,-0.0008544921875,-2.3245811462402344e-05,-0.0015106201171875,-0.0009346008300781,-0.0008468627929687,0.0001325607299804,0.0015411376953125,-0.01025390625
2,0.0023956298828125,0.0001373291015625,-1.5497207641601562e-05,-2.47955322265625e-05,-0.0004920959472656,-0.0009841918945312,0.0002574920654296,0.0005836486816406,1.0788440704345705e-05,-0.00213623046875,0.0010528564453125,-0.00128173828125,0.0002460479736328,-0.003173828125,0.0004425048828125,-0.004150390625,-0.0012054443359375,-2.694129943847656e-05,-0.0001335144042968,0.0005035400390625,-0.0009765625,8.7738037109375e-05,-0.0020904541015625,-0.0004959106445312,0.0001630783081054,2.5510787963867188e-05,-0.0004043579101562,-6.67572021484375e-05,-0.0011062622070312,5.674362182617188e-05,-0.0001659393310546,0.0001049041748046,-0.0001382827758789,-0.0023345947265625,-0.0007171630859375,-0.0002212524414062,-0.0001182556152343,-0.00030517578125,-0.0001039505004882,-2.431869506835937e-05,-0.0017929077148437,-0.000105857849121,-0.0015029907226562,0.0004615783691406,0.0008201599121093,-1.7881393432617188e-06,0.0005416870117187,-0.002655029296875,0.0002727508544921,0.0002155303955078,0.000457763671875,0.0001688003540039,-0.0002031326293945,0.0007591247558593,-0.0004997253417968,-3.981590270996094e-05,-0.0027618408203125,-0.01708984375,-0.0111083984375,2.6226043701171875e-05,-0.0005073547363281,-0.0002202987670898,-0.0006523132324218,-0.00616455078125
3,-0.0004959106445312,-0.0009765625,-0.00323486328125,-0.00311279296875,-0.0120849609375,-0.0009269714355468,-0.0003700256347656,-0.01080322265625,-0.022705078125,-0.0016860961914062,-0.0015411376953125,-0.0012130737304687,-0.005584716796875,-0.001800537109375,-0.005035400390625,-0.002227783203125,-0.0018157958984375,-0.0010528564453125,-0.0006446838378906,-0.0013809204101562,-0.006011962890625,-0.00341796875,-0.0001716613769531,-0.0005569458007812,-0.0006866455078125,-0.0015335083007812,-0.002044677734375,-0.0014572143554687,-0.0010147094726562,-0.0002822875976562,-0.0004634857177734,-0.0014190673828125,-0.0002593994140625,-0.0016021728515625,-0.0004825592041015,-0.0005455017089843,-0.0004634857177734,9.72747802734375e-05,0.000396728515625,-0.001708984375,-0.004974365234375,-0.0014801025390625,-0.0001850128173828,0.0001583099365234,0.0006217956542968,-0.0006370544433593,-0.000946044921875,-0.0007171630859375,-0.0037994384765625,-0.0004043579101562,-0.0005874633789062,-0.001678466796875,0.0001640319824218,-0.007598876953125,-0.007293701171875,-0.0009384155273437,-0.002655029296875,-0.00323486328125,-0.0012741088867187,-0.0007171630859375,-0.0004653930664062,-0.002685546875,-0.00079345703125,-0.0018997192382812
4,-0.0002479553222656,-0.0001239776611328,0.0001678466796875,-0.0004920959472656,-0.0007705688476562,-0.0003223419189453,-0.0004959106445312,-0.0005416870117187,-0.0024566650390625,0.0005073547363281,-0.001220703125,-0.003692626953125,-0.0009422302246093,-0.0007972717285156,-0.0004539489746093,-0.0004425048828125,-7.724761962890625e-05,-0.000157356262207,-4.410743713378906e-05,-0.0003223419189453,-0.0002975463867187,-3.361701965332031e-05,5.197525024414063e-05,-4.8160552978515625e-05,-0.0010604858398437,-0.0017852783203125,-0.0004920959472656,-0.0002384185791015,0.0004997253417968,-0.0001420974731445,-9.298324584960938e-05,3.123283386230469e-05,-0.00201416015625,-0.0011062622070312,0.0002460479736328,-0.0013961791992187,-0.0013504028320312,-0.0005111694335937,-5.91278076171875e-05,-0.0002994537353515,-0.0013885498046875,-0.0006904602050781,-0.00390625,-0.003692626953125,-0.0001888275146484,-0.0002765655517578,-0.0010833740234375,-0.0001029968261718,-0.000314712524414,-0.0030670166015625,-0.005828857421875,-0.0001077651977539,0.0001487731933593,-0.0003337860107421,-0.0006179809570312,-0.00054931640625,-0.0010757446289062,-0.0014801025390625,-0.0005760192871093,0.0003604888916015,-0.0036468505859375,-0.0010452270507812,-0.000101089477539,-0.0001306533813476
5,-0.0034332275390625,-0.01171875,-0.001068115234375,-0.003936767578125,0.0004959106445312,-0.00323486328125,0.0009689331054687,-0.0013656616210937,-0.0038299560546875,-0.0020751953125,-0.0008354187011718,-0.000518798828125,-0.0002002716064453,-0.0067138671875,-0.00360107421875,-0.00775146484375,-0.0034637451171875,-0.0008354187011718,-0.00140380859375,-0.0004653930664062,-0.0016403198242187,-0.0016708374023437,-0.0006523132324218,-0.0003585815429687,-0.01513671875,-0.0004196166992187,-0.0062255859375,-0.0018997192382812,-0.00738525390625,-0.0020599365234375,-0.0009651184082031,-0.00335693359375,-0.0003662109375,-0.0002021789550781,-0.0005569458007812,-0.0009231567382812,-0.0002899169921875,-0.0007286071777343,-0.001190185546875,-8.821487426757812e-05,-0.003936767578125,-6.532669067382812e-05,-0.0018844604492187,-0.0033416748046875,-0.0001678466796875,-0.0005912780761718,-0.015625,-0.004364013671875,-0.0016021728515625,-0.00286865234375,-0.0009193420410156,-0.003936767578125,-0.002685546875,-0.0016021728515625,-0.0020599365234375,-0.000823974609375,-0.002655029296875,-0.0027618408203125,-0.0012130737304687,-0.00213623046875,-0.001220703125,-0.000314712524414,-0.0007057189941406,-0.001708984375
6,0.0014114379882812,-0.000157356262207,-0.000518798828125,-0.0016937255859375,-0.0005073547363281,-0.0007972717285156,-0.0019989013671875,0.0006256103515625,0.0009117126464843,-0.015625,-0.002838134765625,-0.001007080078125,-0.0014801025390625,-0.0017929077148437,-0.0017623901367187,-0.0015411376953125,-0.0003681182861328,-0.000436782836914,-0.0004234313964843,-0.0015640258789062,-0.0010528564453125,-0.0009994506835937,-0.0003185272216796,-0.0004749298095703,-0.0012969970703125,-0.0009307861328125,-0.0028228759765625,-0.004058837890625,-0.0019683837890625,-0.0016326904296875,-0.004302978515625,-0.00628662109375,-0.0011978149414062,-0.006103515625,-0.0022735595703125,-0.0009841918945312,-0.0012130737304687,-0.0031280517578125,-0.0030975341796875,-0.0005226135253906,-0.0008811950683593,-0.0020904541015625,-0.005889892578125,-0.002105712890625,-0.0001449584960937,-0.0004749298095703,-0.0007476806640625,-0.004791259765625,-0.0013809204101562,-0.0004730224609375,-0.00140380859375,-0.0101318359375,-0.0003433227539062,-0.0002155303955078,-0.000579833984375,-0.0022430419921875,-0.000335693359375,-0.0004043579101562,0.0007781982421875,-0.0001430511474609,-0.0004997253417968,0.0006828308105468,0.0003414154052734,-0.0025177001953125
7,-0.01123046875,-0.0002098083496093,-0.0016403198242187,-0.0026702880859375,-0.0018157958984375,-0.003631591796875,-0.0008316040039062,-0.00115966796875,-0.0007972717285156,-0.0012969970703125,-0.0002727508544921,-0.0003013610839843,-0.003753662109375,-0.00616455078125,-0.001007080078125,-0.0005149841308593,-0.0172119140625,-0.0037384033203125,-0.006561279296875,-0.01507568359375,-2.0742416381835938e-05,-0.006378173828125,-0.005157470703125,-0.0030364990234375,-0.021728515625,-0.002655029296875,-0.0034942626953125,-0.0013275146484375,-0.0021209716796875,-0.0018768310546875,-0.0023345947265625,-0.00299072265625,-0.011962890625,-0.01373291015625,-0.000218391418457,-0.00115966796875,-0.000457763671875,0.0005378723144531,-0.0118408203125,0.0034637451171875,-0.0012893676757812,-0.0003509521484375,-4.887580871582031e-05,-0.003204345703125,-0.0027618408203125,-0.0005073547363281,0.003662109375,-0.0004444122314453,-0.0019302368164062,-0.0006866455078125,-0.00469970703125,-0.002838134765625,-0.0003604888916015,-0.0010528564453125,-0.0005111694335937,0.0002574920654296,0.0001678466796875,-0.0002632141113281,-0.001495361328125,-0.003448486328125,-0.005828857421875,0.000131607055664,-0.0017852783203125,-0.0001544952392578
8,-0.0009346008300781,-0.0006790161132812,-0.0009040832519531,-0.0001726150512695,-0.0002202987670898,-0.0001101493835449,-0.0005607604980468,-0.0007972717285156,-0.0002040863037109,-0.0001506805419921,-0.0093994140625,-0.0008354187011718,-0.000701904296875,-0.0019989013671875,-0.003631591796875,-0.0012130737304687,-0.0009346008300781,-0.0013961791992187,-0.00128173828125,-0.0019989013671875,-0.006103515625,-0.0042724609375,-0.0031280517578125,-0.0004692077636718,0.0017852783203125,-0.0009231567382812,-0.0011825561523437,0.0004348754882812,-0.0010452270507812,-0.0006141662597656,-0.00054931640625,-0.0023193359375,-0.0016860961914062,-0.00469970703125,-0.0031280517578125,-0.00311279296875,0.0001411437988281,-0.0045166015625,-0.003662109375,-0.0038299560546875,-0.0015182495117187,-0.0011367797851562,-0.0031585693359375,0.0001149177551269,-0.001007080078125,-0.0005149841308593,-0.005645751953125,-0.00140380859375,-0.0003414154052734,0.000396728515625,1.3113021850585938e-05,0.0023651123046875,0.005035400390625,-0.0019149780273437,-0.0004711151123046,0.0012435913085937,-0.0036773681640625,-0.000197410583496,-0.0025482177734375,0.0003662109375,-0.0068359375,-0.0091552734375,-0.0006294250488281,-0.0003299713134765
9,-0.0025177001953125,-0.00421142578125,-0.002410888671875,-0.00469970703125,-0.0019989013671875,-0.0003681182861328,-0.0016860961914062,0.0004806518554687,-0.0006370544433593,-0.006683349609375,-0.0009117126464843,-0.0011138916015625,-0.0017852783203125,-0.007232666015625,-0.00665283203125,-0.002532958984375,-0.0003242492675781,-0.0013809204101562,-0.0021514892578125,-0.001068115234375,-0.0006790161132812,-0.001312255859375,0.000375747680664,-0.00250244140625,-0.001434326171875,-0.00360107421875,-0.0012283325195312,-0.0001006126403808,0.002960205078125,-0.0017547607421875,-0.0008964538574218,-0.00762939453125,-7.301568984985351e-06,0.00469970703125,-0.00836181640625,-0.0037994384765625,-0.00201416015625,-0.0003299713134765,-0.004425048828125,-0.041015625,-0.002044677734375,-0.0135498046875,-0.00244140625,-0.00201416015625,-0.0018768310546875,-0.0015869140625,-0.0017852783203125,-0.003662109375,-0.0037994384765625,-0.004425048828125,-0.00250244140625,-0.0166015625,-0.032958984375,-0.002105712890625,-0.00201416015625,-0.0030517578125,-0.00225830078125,-0.0016708374023437,-0.0007553100585937,-0.0013580322265625,-0.0002861022949218,-0.00555419921875,-0.002044677734375,-0.005157470703125
