layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.00015148874056541267,-0.0002514548220876907,-0.000232098466258939,0.00034637774451304576,-0.00019753181328207626,-0.0003746889405331373,-0.000154640715000989,-4.403065826933051e-05,-0.0006617691557286153,0.0003967285156249974,-0.00029030492750265,0.00030188641305697037,-0.00013610063973119575,0.00013256072998046528,-0.0006241232661877653,-0.0003085217233431585,-5.495750297928808e-06,-0.0002904827311887593,-9.821229061837516e-05,-0.00018103648040254493,-0.000284469733803961,-0.000314680196471138,-3.23602708719534e-05,-0.00018912654812053135,-0.0011247537903866542,-0.00042662782184148485,-2.0407013973950865e-05,0.0020929271891965695,-0.00015489782317208996,0.00022490549895722882,0.0013546377925549526,-4.8588393098215217e-05,-0.00025528568332478023,-0.00042834524380958646,0.0002826916969428635,-0.0011863870135808397,-0.00011890217409295725,-1.034092639525563e-06,-0.00015336376125529746,4.2519326937400835e-05,-4.11453893629161e-05,-9.409047789492146e-05,-9.876186564817205e-05,-8.637218152061988e-05,-0.0001938787557310983,-0.00020127377267611525,-2.972554352323983e-05,-0.0001302250361038423,3.9310778601691036e-05,1.3375686386883403e-05,-0.0004525103811490303,-6.824428752317796e-05,4.519446421478053e-05,-0.00018244274591995254,-0.0006093817242121271,-0.00028585175336417627,5.375328710523136e-05,-0.0001670910140215298,-3.3972627025542856e-05,-0.0001567682977450049,-0.0001657615273685724,-0.00030807721412787496,3.812272669905299e-05,0.000102123971712789
1,5.282663692862518e-05,6.681731191731783e-05,-0.00016203270120135433,-9.339542712195233e-05,0.0008444745661848708,3.522230406939444e-05,-0.00011310334933005919,-0.00020071409516415203,3.201059870800268e-05,0.0002930629051337823,3.727664381770817e-05,0.00011388225070500085,1.288622112597619e-05,7.125533233254444e-05,9.962411250098197e-05,0.00047341039625264746,0.00013904046204130335,-0.0003265910229440432,0.0001510230161375948,0.00031322897490808273,5.629507161803163e-05,3.38647830284209e-05,-1.4680421958529497e-05,0.000195941682589254,3.6283064696743085e-05,1.2007305177589446e-05,9.986909769348723e-05,5.0884939856439836e-05,5.702548107857992e-05,0.00012770648730002938,-2.3355675955997358e-06,8.431026491064285e-06,8.10688835079358e-05,0.00020368220442432968,0.00019843548031176544,4.233344126556999e-05,0.00013402154890157202,-1.2062868829497942e-05,7.621059983465196e-06,-0.0001038797831131223,0.00016177912889901377,6.782402426509513e-05,7.960250822162576e-06,-3.525665250874928e-05,0.00030301132444607857,-2.223392159252193e-05,7.866600812491282e-05,-4.859293921524171e-06,-0.00014763464361933402,8.942111063811794e-05,5.931167279263633e-06,8.952415595620488e-05,4.345986802699321e-05,1.581947682267661e-05,3.7490563877557144e-05,-1.905934285309302e-05,5.871360584841233e-05,-9.304133512211533e-06,2.4746030063947452e-05,7.462804600343651e-05,0.00027613316552113415,0.00014157113382371782,-8.090269767631098e-05,-2.0410044718596216e-05
2,1.4644053022741309e-05,-5.2995600942834574e-05,-2.6938268693834585e-06,-3.2795940415335773e-05,4.154645790487911e-05,9.375002424595465e-05,-5.2069455890330675e-06,-0.00022770237114469954,2.8321677345332508e-05,0.00031201415142770794,-4.055793002499814e-05,-0.0005171642465106479,6.698551824537723e-05,0.000624050528316172,3.414638971878199e-05,0.0004487401348049356,-1.0647005954031804e-05,8.405265161545956e-06,-1.1365544998037487e-05,0.00020386809009616266,2.1727092690390933e-05,3.1688582088985396e-05,3.2748206187099985e-05,-1.4594298298142285e-06,-4.3625548734507726e-05,-9.552654573475712e-06,3.817525960631059e-05,2.6419869292585068e-05,8.68722543878042e-05,3.221201694618131e-05,2.2167876615363073e-05,-3.717208312729131e-05,-4.138734381077385e-06,-2.5062237755727312e-05,-3.283104654086243e-05,4.2458712044408027e-05,-1.15521883560425e-05,0.00010551865828239438,2.74332903199403e-06,-2.3348983061517668e-05,8.163310713683903e-06,1.0748535899794965e-05,0.00013808628260079085,-6.412765232182911e-05,-2.693489067635238e-05,3.566251972974489e-05,-9.604284571389257e-05,2.2322444592492362e-05,8.259309550462515e-05,0.00011476924863911917,0.00011510162030236073,2.8101443234140096e-05,2.5705513307600434e-05,-4.317800877457731e-05,2.921094833794472e-05,-0.00027370048781572714,0.0001893690076924983,-0.00021814895888506357,0.0009528984457759542,-3.253693802882245e-05,2.4883423821395468e-05,-0.00013034121464874655,-0.0001334214614609564,4.9526408567266946e-05
3,-8.953223794193838e-05,-7.8568014047912e-05,0.0003138320930933523,1.0114605143920027e-05,0.0006621126401222351,8.624286974890272e-05,3.7046812348443454e-05,-0.00022164037672139467,0.0008153753765558787,-4.3646763947049014e-05,-0.000217629691301768,0.00019319178694385592,0.0003055637165651483,-3.780752925550085e-05,5.563638978085169e-05,-7.107298252946527e-05,0.00014034582901809102,9.744728015640749e-05,3.564357757568051e-05,0.00026305146136526174,0.00021245924092955424,0.00020155563192852355,4.7976182678993246e-05,4.335505477452365e-05,-0.00010630261089842568,0.00013642467684665092,0.00013669466568251243,7.931370351274208e-05,5.5292147701071004e-05,-4.3087086434998714e-07,-2.3028860657907637e-05,6.381030810081298e-05,-0.00021840152093919685,0.00020155512680442047,0.00015330421975103656,-5.4821119470130975e-06,0.00011623991748033832,-6.192518492876313e-05,3.306794974763749e-05,0.00020426713814169684,0.00022720886489092617,0.00014361789671040885,-9.57058647931572e-06,-5.925509889247123e-05,6.545625500759146e-05,-0.0001640693616058869,-1.2267444093345795e-05,0.00016549431671530207,0.00022435289318278534,6.322739487987137e-05,7.354607016354246e-06,0.0002310276031494114,0.00012942289901991412,0.0004710747023760263,0.0004128945075859443,6.949093382237513e-05,0.00019750756732487735,9.318125450004689e-05,2.3595357345322305e-05,1.789402153532109e-05,-9.23871994018561e-05,2.2280014167396633e-05,-7.0363788281484475e-06,0.0001442897117744043
4,8.264714378420323e-06,-8.296663478273757e-06,-0.00025356523061202826,1.5903832548739822e-06,6.678801471904361e-05,8.422161562967912e-05,6.989781129157062e-06,8.1180705357387e-06,6.126334606590915e-05,-9.256853895672201e-05,9.569071106991526e-05,1.9432124445027786e-06,2.898755720106439e-05,-5.638094271643714e-05,6.486854310763156e-05,1.5756841433248892e-05,2.822365169809155e-06,4.245946973055686e-06,1.2781849857104819e-06,-1.5433562003958107e-05,1.4317916485210656e-05,5.7521007828769985e-06,1.7856010946177666e-05,5.027784381882593e-06,4.049327413915198e-05,6.217067524541789e-06,8.318333302513859e-05,7.080728724851182e-05,-2.375093557066993e-06,2.8282656507973277e-05,1.8480596906070546e-06,0.00011477471029354393,-5.0340668629791246e-05,0.0002337997242555795,-4.116458407902791e-05,0.00014151405479948155,0.0001248889050241228,7.233326717958511e-05,1.4801651744525867e-05,1.065811868441784e-05,0.0002313559338197855,8.44567509021641e-07,0.00018327519045037815,0.0003500449455390566,1.930432804560639e-05,2.8829579636201173e-05,0.00021077212640793785,-0.0001782184561430356,2.2872651027418915e-05,0.0001123072737354339,2.4032794823080616e-05,-8.585026203568498e-06,-1.4902992268739593e-05,1.4946243520509448e-05,1.21194427296285e-05,2.177716311761438e-06,6.95636716939601e-05,0.00017176997863640127,0.0001299239821353219,-0.00015112189418177628,-0.00038268202442233814,1.3404478461061172e-05,-3.3137404312558793e-06,6.622682183472319e-06
5,0.0001046718177148864,0.000769566681425451,-1.6095274585788983e-05,6.97434958764995e-05,-8.944535659530757e-05,0.0002796528703075348,-0.00019143395504708926,1.020350698697087e-05,0.00015700065483481262,0.0001756761033656304,3.9741144341936825e-05,0.000150268613281899,-5.3337064840022966e-05,0.00048663656590348437,0.0003461797358626,0.00033980506961628365,0.00019359891697511906,3.919257956039726e-06,9.610541796280507e-05,4.099587262686955e-05,4.0480646036441464e-05,8.806055885250225e-05,5.989509113764697e-05,-2.3259070970244854e-05,0.0008451372890149128,3.4316363981209594e-05,0.0004327741719908636,0.0001430996393753305,-0.0002598520052635059,0.00012729127528303898,9.424555099616469e-05,8.859056032309217e-06,-1.1870416544281017e-07,-5.7950363320802975e-06,3.918702319516614e-05,5.1776168204964877e-05,1.7136840497034872e-05,-1.2392841153228041e-05,-2.6437816983558487e-05,-0.0002069513676530219,6.544135384640208e-05,-7.156800415556876e-05,-0.0001187162884211077,1.8379950927474216e-05,1.5262324931256906e-05,-2.0264695256440992e-05,-2.40034976248e-05,-5.424527798666238e-06,0.00017821889812663522,0.00019857438944153585,5.853504447613518e-05,0.0003335112232272926,0.00011438484919273305,0.0003190995272943533,0.00012244713508476307,5.28460842067904e-05,0.0006634421267751923,0.00014687392671229216,0.00011596740302393035,0.0003457897800510252,9.504150030976595e-05,-5.4331654209204854e-05,0.0001742690801620441,0.0001314737028994764
6,-9.132643877466147e-07,3.3344000072802425e-05,7.819321195895995e-07,0.00018507747326867226,3.3918073621849356e-05,2.391358553353087e-05,7.033449108318098e-05,0.00014596874431028304,-0.00029173240823260826,0.00030728416927790355,0.0002043519989918829,7.94365749520746e-05,8.162906614399924e-05,0.00029817375086121066,9.416195295624576e-05,2.0872233277656062e-05,1.188456001928051e-05,2.713425684783037e-05,2.9438633029739242e-05,5.7725583092642286e-05,4.4501433938207945e-06,0.00012691950393935592,1.9573938038389135e-05,1.6568575875232972e-05,5.937026718915386e-05,1.8991403660522766e-06,0.00018637437941664285,0.0002576920945765632,2.9758881714382104e-05,0.00022539294372170672,0.0002688957472979034,8.652775974596938e-05,3.5489009598556364e-05,3.763174606581087e-05,5.670321189750695e-05,0.0002014465251211437,6.692566103854195e-05,5.061394077236359e-05,0.0001448130203505664,6.793969768588502e-05,5.4332159333309195e-05,0.0001560563253144021,3.7076109547149053e-07,4.135274280936313e-05,8.404823177955377e-06,0.00024962513628652103,2.646256806486558e-05,0.00011818843372797533,9.840625827595509e-05,7.902666673820327e-06,5.13044454283661e-05,0.0003236027087195441,3.9090481349973234e-05,2.0822667974528383e-05,-8.43405723571748e-05,0.00011886277441250609,5.043916783083526e-06,-1.1460760892444497e-05,-3.936634225360227e-05,1.5463111764486832e-07,-1.6153868982295497e-06,-1.6893118114796544e-05,-1.9007062507881855e-05,0.00010806928246707986
7,0.00024174785209914165,0.00012993206412104848,0.00017235642772609912,-0.00022610769433489928,7.504426826864982e-05,1.933210987155694e-05,4.0562476141976814e-05,4.97340145757678e-05,5.166005280058391e-05,1.0431444240829516e-05,-6.764622057902379e-06,-2.979727114661422e-05,0.00014221062094478562,-1.4581922757425015e-05,-0.0001446117283934242,-5.991125510910566e-05,0.00017819162142478814,0.0002638687521724385,0.0002642890154305171,0.0010744212037425928,-0.0002423757213657206,-0.0006324153835490619,0.0009145575054621287,0.00014974303164724833,7.359961331900879e-05,0.0004024586435091761,5.5827831817880444e-05,2.755452010591189e-05,4.217180155091525e-05,-1.8685551012978817e-05,2.8016203540868636e-05,9.086576558775833e-05,3.832730196290065e-05,0.00011973865961623821,-3.820089465479969e-05,-6.303948871160029e-05,1.8158264584454941e-06,0.00031853530366542185,2.944065352617525e-05,0.0008195881116188163,7.101842912577633e-05,-1.0855117086638642e-05,1.7524775812184792e-05,7.966413336284936e-05,3.913196466739388e-06,3.973356748031114e-05,0.00014962634797823776,3.631640288789521e-05,-4.897683353747117e-05,7.097599870067736e-05,0.00041311878269001525,9.753542431330176e-05,6.19787280842404e-05,-8.486085018909997e-07,3.959061735767349e-05,-9.247938455160822e-05,-1.4993630475916124e-05,3.920609163025842e-05,0.00019444853572522555,0.00036223460051972966,0.0002099134154238931,-2.5049104528917284e-05,0.00010715904882398619,-0.00012484041310972723
8,0.00014999155270851303,4.818227331516431e-05,-9.797235666694689e-05,-0.00013285774295612542,-6.729162345498132e-05,5.20101353778683e-05,-1.0829860881155175e-06,2.222647101192095e-05,1.730959294205973e-05,1.0756112761418609e-05,-0.0001782562773106466,-3.2938637975923225e-05,1.785260135844523e-05,1.6717840049226587e-05,0.0002391691935264512,-3.0216524156476323e-05,0.00011247977361840868,9.376719846563315e-05,7.251359648623164e-05,0.00040507720688642373,0.00011667154603085341,3.803382485599507e-05,4.1641421237235126e-05,-6.0806840153088166e-06,-0.00016027385905637186,-4.3770014229469846e-05,0.00013225866576373126,-9.00373620501996e-05,-1.4705173039837712e-05,1.8548662379635115e-05,3.0162981000999133e-05,-0.00016071609521316045,7.174542899858743e-05,4.254357289459493e-05,0.00024544788619219486,0.0002060618440983587,3.4431784839949035e-05,0.000263989981958421,0.00014404131699416285,0.0002625806856963608,7.452298018892101e-05,4.344067331088074e-07,4.8976454694394834e-05,-3.188040296909822e-05,-5.518506139011786e-05,9.250842918783251e-06,8.074206820989489e-05,1.7465171167412722e-05,3.1132503586296984e-05,2.680491592924582e-05,3.8132134636085693e-07,-0.00012964919462042442,0.00036672818458686357,0.00016281564356917106,0.0003351660098059672,-0.00024045422925786977,0.0002941034607968118,-5.734446695295452e-05,-0.00030718011371159575,-2.1716295662578252e-05,-0.00032573837344929314,-0.0006184335482322559,-7.687483803700142e-06,-4.741802053936669e-05
9,1.7628326254376916e-05,0.00021559202064902404,0.00024546202966722083,6.575503591763984e-05,-4.690910800029085e-05,8.432668144419814e-05,0.00024231712696915592,-0.000357671309325659,-4.96026823076134e-05,0.0005091044862391592,9.44087060831342e-05,-1.6167002209170048e-05,-5.2961252503477135e-05,0.0003752950894630578,0.00026372933791855597,0.00017436682167700065,-1.635149878971444e-05,4.059379383668791e-05,-4.839088957188281e-05,-2.309124348527361e-05,1.8224877826202855e-06,8.681012412250053e-05,-4.3755870754435614e-05,-1.1206430903937019e-05,8.553367550090141e-05,0.000216007232666011,-1.8476934756263916e-05,-1.6071786314751303e-05,-0.00021314620971679465,9.196453680426105e-05,-6.0934131428345423e-05,2.2890204090181898e-05,-1.511928009784396e-05,-0.00023857819831977928,0.00021293607808776102,-0.00011253899942009661,-0.00011009280964479389,2.370800002149701e-06,5.327644994703654e-05,0.0003499216952566394,2.004736560886184e-05,0.0009730953281208616,5.1248881776454826e-05,3.925622519800226e-05,3.864060519105071e-05,6.0094615160410164e-05,-2.0446413654389374e-05,0.00045129101155167903,7.76133294832913e-05,-4.562887094789237e-05,-0.00012539150351184797,0.0005149578644057441,0.0007257623187566203,4.185635154529932e-05,7.301872059450556e-05,5.235661894588109e-05,7.906732922893598e-05,0.0002131105984671622,-3.275830866927162e-05,0.0003974074024265088,0.00010771114947432266,0.001228243617688194,5.258341967047733e-06,0.0005360296217061672
