layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.00716985974993025,-0.014698573521205358,-0.011073521205357142,-0.021623883928571428,-0.009074619838169642,-0.005385262625558036,-0.012586321149553572,-0.013360159737723214,-0.0172119140625,-0.00423431396484375,-0.012531280517578128,-0.0034310477120535715,-0.008271353585379464,-0.011349269321986608,-0.027500697544642856,-0.021815708705357144,-0.005837576729910714,0.0015647070748465428,-0.005850383213588171,-0.0036062513078962,-0.0062555585588727715,-0.0024476732526506717,-0.022011893136160716,-0.007548740931919643,0.008043561662946428,-0.0009170259748186501,-0.17232840401785715,-0.023049490792410716,-0.07500348772321429,-0.26443917410714285,-0.08220563616071429,-0.0028215135846819143,-0.018750871930803572,0.0012204306466238857,-0.08884974888392858,-0.00951548985072545,-0.008619035993303572,-1.175196043082646e-06,-0.010798863002232142,-0.0013704299926757858,-0.0091705322265625,-0.009881155831473214,-0.01206207275390625,-0.006943838936941964,-0.03212193080357143,-0.013480050223214286,-0.007886614118303572,-0.011359078543526786,-0.0035869053431919645,-0.009222848074776786,-0.012180873325892858,-0.003913947514125271,-0.025730678013392856,-0.016523088727678572,-0.018171037946428572,-0.007882254464285714,-0.008587428501674108,-0.0013816016060965285,-0.007911000932965958,-0.002536228724888386,-0.003877639770507807,-0.0115677969796317,-0.006737845284598214,-0.02825927734375
1,-0.0009281039237976127,-0.031205041067940847,-0.001227038247244707,0.00012384142194475,0.003255162920270643,-0.005412510463169643,-0.0011735643659319358,-0.0016715867178780687,0.00010365247726440296,-0.0006583418164934285,-0.000581817967551084,-0.00029924937656947143,-0.00042813164847235714,0.00039902755192346503,-0.007882254464285714,0.003687926701136993,-0.009165627615792407,-0.0026965822492327,0.0002210991723196686,-0.0008983612060546929,-0.0015514918736049142,-0.0038384710039411213,-0.0019621167864118287,0.002160208565848207,-0.0004586832863943828,-0.0007596015930175714,-0.0007209437234061143,-0.00041593824114117856,-0.0020709037780761714,0.0006128038678850286,-0.0003963879176548429,-3.114768436975033e-05,0.0004717963082449714,-0.012381417410714286,-0.0010888917105538502,-0.0009983607700892786,0.0015430450439453001,0.0008694784981863786,0.0008258819580078,-0.0031378609793526785,-0.004607064383370529,0.0005429131644112642,-0.022212437220982144,-0.0005734307425362571,0.0017629350934709788,-0.012568337576729914,-0.0015168190002441428,-0.004522596086774557,-0.000801495143345443,-0.001341411045619414,-0.0013642992292131715,-0.0028768266950334855,-0.003696169172014493,-0.0011392320905413002,-0.01128387451171875,-0.002010754176548557,-0.002116067068917414,-0.0012025492531912694,-0.010744367327008928,-0.015047345842633928,-0.002774374825613843,-0.0021064622061593144,-0.0022909981863839354,0.002856118338448657
2,-0.010616302490234372,-0.00397586822509765,-0.012200219290597092,-3.957748413086565e-05,-0.007341112409319186,-0.0009506770542689715,5.144732339039164e-05,-0.0012065853391374879,-0.0003522464207240357,-0.010748726981026786,-0.001328604561941957,-0.00093187604631695,-0.006173133850097657,-0.005022730146135601,-0.001136541366577143,-0.030920846121651784,-0.059779575892857144,-0.0338287353515625,0.0007828984941755072,0.009168352399553572,-0.021157400948660716,-0.01152120317731585,-0.011035374232700892,-0.06493268694196429,-0.003253766468593058,-0.002669266292027072,-0.006984710693359379,-0.0025018964494977645,-0.009552001953125,-0.0048828125,-0.010166985648018972,-0.008930751255580358,-0.005401611328124986,-0.03605869838169643,-0.005852631160191135,-0.006352475711277547,-0.0006310173443385533,-0.0023572444915771484,-0.0028946740286690856,-0.003034991877419608,-0.0007797649928501715,-0.0019427708217075927,-0.04905046735491071,-0.017932891845703135,-0.003711427961077007,-0.01683480398995535,-0.0006796973092215572,-0.0017679078238351004,0.00014802387782505,-0.01898166111537388,-0.0028130667550223146,-2.0180429731084708e-05,-0.0022433144705636216,-0.0005381447928292285,-0.00150953020368305,-0.0034332275390625,-0.0032817295619419645,0.021834237234933034,0.006290980747767857,-0.001358611243111757,-0.0009284019470214715,-0.013035365513392858,-0.020722525460379466,0.015616280691964286
3,-0.0012631756918770872,-0.004880087716238836,-0.005629794938223707,-0.004944937569754464,-0.015832083565848216,-0.0021198817661830355,-0.004263877868652336,0.0018950871058872856,0.016972133091517856,-0.005313464573451443,0.00466156005859375,0.002199990408761157,0.004062107631138393,0.0014433179582868285,0.0032784598214285715,0.0012457711356026857,-0.003771645682198657,-0.016477312360491072,-0.0017166137695312428,-0.00649034976959228,0.005780901227678571,0.0010498591831752215,-0.0009933028902326258,-0.005478722708565842,-0.002639770507812493,-0.003185502120426723,-0.014186586652483258,-0.0032466820308140313,-0.009331294468470978,-0.00097881044660295,-0.007671356201171879,-0.0021054404122488857,-0.0037791388375418497,-0.0010516302926199715,-0.01407466615949358,-0.006943081106458392,-0.00216075352260045,0.0006367479051862341,-0.00021835735866002165,-0.0018474033900669714,-0.008022819246564585,-0.0029933112008230928,-0.00263377598353795,-0.006820133754185264,-0.0014581680297851428,-0.0018829618181501143,-0.0022833687918526785,-0.0019293512616838713,0.0015377998352050786,-0.006863185337611607,0.0017983572823660715,-0.0019018990652901785,-0.0004243722983768919,0.03240094866071429,0.011771065848214286,0.004039491925920765,-0.004377501351492743,-0.00019196101597376426,-0.0009340388434273892,-0.0030708312988281285,-0.0011043207986014202,-0.0012512207031250072,-0.003874880926949636,-0.0007074901035853714
4,-0.01425770350864955,-0.011693137032645093,-0.004467282976422985,-0.0023177010672433,0.0002687828881399715,-0.002808570861816407,-0.003909519740513393,-0.0029588426862444143,-0.026970999581473216,0.00012973376682826808,0.0010070800781249928,-0.0020859582083565926,-0.006486483982631143,0.00012344121932982797,-0.0010395050048828,0.0003613063267299,-0.0038779122488839285,0.00285257611955915,-0.0028901781354631717,-0.00086212158203125,-0.034938267299107144,-0.02471460614885602,0.003474644252232143,-0.007523672921316964,-2.4352754865248504e-06,-0.0015226772853306357,-0.0011907305036272214,-7.01631818497143e-06,9.672982352128582e-06,-0.0025659969874790643,-0.0008462497166224786,0.000793601785387308,-0.0014613015311104927,0.0011801038469586972,-0.0011700902666364427,-0.0010288187435695192,0.0003967285156250071,-0.00029148374285017145,0.00016845124108448966,-4.3009008680059554e-05,-0.003246443612234936,-0.006522042410714286,0.0007296970912388357,0.003331320626395086,-0.0009446144104003929,-0.0026228768484933,-0.008410862513950892,-0.0015607561383928572,0.0018516268048967572,0.0036610194614955355,7.118816886628216e-05,-0.00023882729666571426,-0.0006598063877650714,-0.012043544224330358,-0.015337262834821428,0.0011678423200334788,0.009190150669642858,0.00021474702017646355,-0.005327497209821429,-0.003973824637276786,0.005381992885044643,0.005595070975167414,-0.0006896427699497785,-0.001213107790265764
5,0.002904721668788363,0.00563083376203265,0.0014926365443638358,-0.005750383649553571,-0.0010516302926199786,0.0035487583705357145,0.00254058837890625,0.0010543380464826367,0.003428867885044643,0.006845746721540179,-0.00022384098597934282,-0.006418500627790179,-0.0006589208330426714,0.005209786551339286,0.002404076712472093,0.0007572855268205929,-0.027673448835100443,-0.008324546473366865,-0.0021600042070661287,-0.00039733307702200573,-0.03503635951450893,-0.0033495766775948716,-0.0001963887895856683,-0.0041102245450019784,0.009772164481026786,0.00047690527779715894,0.005916050502232143,0.002477918352399557,0.0128173828125,0.0019636154174804644,-0.0014509473528180785,0.001005172729492188,0.00024904523577009283,-0.003432273864746093,-0.01627349853515625,-0.004621233258928571,-0.0008889096123831685,-0.0015362671443394287,-0.002260216644832075,-2.7792794363835694e-05,0.0017416817801339285,0.0002117156982421857,0.0002792286021368777,0.0003018890108380771,-0.008925301688058036,0.013471330915178572,0.0049789973667689795,0.0004013606480189714,0.00046161242893764286,-0.0018092564174107143,-0.0035250527518136216,0.0020850045340401785,-0.002108437674386164,-0.0007852826799665143,-0.0013678414481026714,-0.00034386771065847925,0.011084420340401786,-5.527905055453571e-05,-0.0015570776803153,-0.0022288731166294645,-0.0005231478384562893,-0.00285094124930245,-0.0010760171072823786,-0.00043542044503348576
6,0.0010153906685965428,0.001234991209847583,-0.0008005074092319979,0.007692609514508929,0.0009888921465192584,0.005109514508928571,0.003971576690673821,0.004189627511160714,-0.0040354047502790215,-0.00028010777064732144,0.0006933212280273499,-0.0006809234619140572,-0.00044611522129603523,-0.0023869105747767855,-0.0013694763183593785,-0.00010398456028528059,0.0013723373413085857,-0.0002361365727015922,-0.0002606936863490571,0.0035879952566964354,0.0005351475306919643,0.0016261509486607143,-0.0006611176899501318,0.0016610281808035715,-0.009769984654017858,0.0001795887947082582,-0.0015502486910138776,-0.0010670253208705357,-1.0200909205832042e-05,0.0009465898786272285,0.0009445462908063572,0.0027411324637276785,0.0014713832310267857,0.0035078866141183,0.0010563986642020073,0.0011262212480817498,0.00013910021100724997,0.0010103498186383928,0.004482814243861607,-0.0007815020424978984,0.0006141662597656285,-0.0007786750793456928,0.0006204332624162999,-0.003483908517020093,-0.0006656476429530615,-0.006390230996268128,-0.0007549354008265896,-0.013328824724469873,0.003986903599330357,-0.0007777214050292641,0.0013183185032435787,0.023611886160714284,-0.0006482260567801286,-0.0009725604738507872,0.00327137538364955,0.0008795601981026714,-0.001200420515877859,-0.00012927395956856147,-0.0034961700439453147,-0.0015068054199218715,-0.0021236283438546286,-0.0025041443961007284,-0.0002661645412445019,0.003292628696986607
7,0.0012385504586355928,0.0047536577497209785,0.00054591042654855,0.005610874720982143,0.002787453787667407,-4.6048845563621336e-05,-0.022545184407915385,-0.008498873029436386,0.00023514883858816296,-0.011017867497035429,0.0004317419869558928,-0.0018869808741978356,0.0018423965999058314,0.0012534005301339214,-0.024316515241350443,-0.002756663731166293,0.01202392578125,0.002816064017159607,0.0010801042829241072,0.016516549246651784,0.0014463152204241072,0.012682233537946428,0.033905029296875,0.0038670131138392855,0.0009498596191406236,0.004624911717006143,0.0004056521824428143,0.001000540597098207,0.0012130737304687428,0.000507082257952,0.0018108912876674,0.0024860927036830355,0.0002252374376569355,0.001083714621407643,-0.0007950919015066714,-0.0026528494698660715,0.0007868153708321793,0.006428309849330357,0.0011523110525948643,-0.0018985952649797713,0.00187015533447265,0.002227783203125,-0.0001655306134904973,0.010310581752232142,0.0015667506626674207,0.0005408695765904,0.003022875104631693,0.0006739752633231072,0.0013638905116490072,0.0007487705775669499,0.008986336844308036,0.0070953369140625,0.0012929098946707573,0.0012757267270769432,0.0010225432259695715,-0.0029360907418387212,-0.00019284657069614154,-0.0013241427285330624,0.003509385245186943,-0.024207523890904015,-4.141671316964286e-05,-0.001392773219517293,-0.031947544642857144,-0.0002818788800920642
8,-0.006084987095424107,-0.002955845424107136,-0.0024738311767578,-0.003106798444475443,-0.0012468610491071428,-0.009984561375209264,-0.002177851540701729,-0.0020000934600830143,0.00023385456630159107,-0.0008269718715122643,0.006051199776785714,-0.0001673357827322953,-0.005545479910714286,0.00024577549525669286,1.8000602722160813e-05,-0.0016701562064034643,-0.001647881099155957,-0.0012708391462053644,-0.008431570870535714,0.004061017717633929,0.004316057477678571,-0.005953924996512279,-0.0015226091657366072,-0.0028636114937918497,0.0007833753313337071,-0.002796718052455357,0.0006340231214250712,0.00027983529227120895,-0.02445943014962333,0.00018746512276785715,0.0002666882106235933,-0.027335030691964284,-0.0012684549604143308,-0.0018358911786760569,-0.0013942718505859499,-0.0027612958635602715,-0.0031642913818359284,-0.007101876395089286,-0.008039202008928572,0.00018896375383650003,-0.0012658664158412478,-0.0005369867597307571,-0.00309392384120395,-0.015842982700892856,-0.0038024357386997713,-0.00010832718440464785,-0.0013435908726283428,0.0003238916397094771,-0.008120945521763392,-0.002423422677176343,0.0002567768096923721,-0.023306710379464284,-0.018968854631696428,0.0008681161063057999,-0.00177233559744699,-0.00010418891906737342,0.0031498500279017925,-0.0004367828369140572,-0.004970550537109379,-0.00387491498674665,0.0027177674429757215,0.0005711146763392857,-0.004089219229561935,-0.00016174997602189442
9,-0.0002594334738595181,-0.009850774492536272,-0.0002395425524030212,0.0021193368094308,-0.001247269766671307,0.016222272600446428,-0.0023563929966517855,-0.006798880440848214,-0.0014218602861676896,-0.006785801478794643,0.0013671602521623857,-6.314686366490399e-05,0.0012653895786830357,-0.006432669503348214,-0.001318250383649557,-0.0009677069527762215,-0.005345787320818212,-0.00018092564174107144,-0.011901582990373886,-0.003956930977957586,-0.019332613263811384,0.0009175028119768339,-0.0015841892787388358,-0.00028848648071289285,-0.009940011160714286,-0.022626604352678572,-0.0011667524065290143,-0.0010072163173130571,-0.0005081721714564786,-0.0227203369140625,-0.004266977310180661,0.019169398716517856,-4.689395427703388e-05,-0.005717686244419643,0.0018912724086216535,0.000476343291146411,0.000594547816685257,-6.332567759922773e-05,0.0004026549203055429,0.007537841796875,-0.002050263541085386,0.021996634347098216,0.0019007410321916786,-0.0008223397391183072,-0.0012431825910295643,-0.008311680385044642,-0.0003863743373325857,-0.004844120570591514,0.0025264195033482145,0.0038175582885742144,-0.00069141387939455,-0.0007192066737583643,0.015328543526785714,0.0004989079066685358,-0.0003541707992553854,0.0005337170192173428,0.0017569405691964357,-0.0017309529440743617,-0.0025820050920759,-0.005009787423270086,-0.0010373592376708997,0.00710296630859375,-0.005305698939732143,-0.0006245204380580357
