layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-8.92822839776247e-06,-0.00010550457375998333,9.306352965685135e-05,0.0004680497305733826,6.709415085461927e-05,-5.3222082099136164e-05,-2.782685416085814e-05,0.0001439987396707329,-0.00036498965049276303,-0.00021669086144895057,-1.3864770227550493e-05,0.003564907580005881,-0.0002801819723479481,-0.0001973631430645214,4.9622691407495175e-05,-0.0007540206519924805,-7.865380267707373e-05,-6.892273620683734e-05,-0.0003395780008666273,-9.468927675363576e-05,-3.813480844303029e-05,-0.0001714083613181611,-0.0002314144251297909,-0.0003531319754464259,-0.0003634581760484337,-0.0001000585604687052,-0.00020530424555953336,-8.864366278355884e-05,-1.1400300629291935e-05,9.764213951272155e-06,0.0005439787494892905,-3.725290298461914e-09
1,7.08240027330338e-05,7.95527380339954e-05,0.0004889429831991355,0.00018420268078239255,4.8092433384476756e-05,0.00018316628981609616,0.00017006543217872817,0.0007940713240175844,3.6012609394221344e-05,0.0006536512958760157,5.454676491872849e-05,0.0002601657594953238,0.0005048635054607775,-2.003841254176554e-05,0.0004311654032493113,-2.6597356309700328e-05,-0.000142234776701251,0.00011599063873290563,-9.729765469626728e-05,0.00013692038399831485,-5.423414463899844e-05,-2.1264793313282824e-05,0.00016636751136000805,-0.015998132374821877,2.714930748453134e-05,0.00022549653539851653,9.191294713896113e-05,6.785319775949941e-05,0.0009721201293322505,0.0007052372912971352,-1.6111044251200173e-05,9.254533417369776e-05
2,-4.094170064347943e-06,0.0008092632099073749,3.357140385373539e-05,-0.0009992949816645471,3.260313248146711e-05,0.00028063083181575465,0.0008569639556261938,-1.873684172727831e-05,-5.26019353039379e-05,-0.0003812684088337071,0.0003414543307557347,5.029826139913798e-06,-0.00040230246222746886,0.0008809493512523399,0.0005742992673601421,0.0066077076658910645,-7.397516117412683e-05,-7.619480697477204e-05,1.1212971745701549e-05,0.002116582831557912,-0.13852738360969388,-0.019222549029758992,-0.054639234834787796,-0.10301675601881377,0.0009582188664650378,-0.020090526464034097,-0.0012012247224243238,-0.0010683025632585855,4.025320617519458e-05,-1.7155037850755575e-05,-5.3439327344595164e-05,2.2640641854728414e-06
3,0.0015022706012336562,0.003079745234275347,0.00011017557461650245,-6.387755274773342e-05,8.083058863269723e-05,6.705020763434937e-05,0.00019127556255885725,0.00024267483730704874,-1.0947943950180581e-05,0.00044227459905098486,1.3106939743150413e-07,0.0002805189210541378,0.0024916687790228387,0.00038930104703319395,-8.075745130075788e-06,-7.414240009931175e-05,3.803597421096681e-07,-2.5679946553950983e-05,5.494765177064663e-06,2.0069773403960785e-05,0.00016410983338647548,5.1045600248836804e-05,0.0021552820594943284,0.0009751405034746424,-2.4277184690756776e-05,0.0018769733759821646,0.00016343532776345705,0.01785840793531768,0.000289472998404983,0.0002114967424042335,0.0003662376987690799,0.0005659935425738903
4,0.0012271063668387234,0.0011819430759974874,0.0004749200781997346,6.583637120771246e-05,3.1915398276573636e-05,0.0026426120680205665,0.002017035776255076,0.0001622760782436402,0.0012940387336575225,0.0002850646875342496,0.0007513384429775911,0.00024828618886518495,-0.00017160846262562538,0.000689723053757025,0.00014591581967411142,0.00016308195736943325,-0.18958002207230548,-4.154382919781561e-06,5.249101288463797e-05,-0.008529001352738359,0.0010287810345085285,0.00446726594652448,0.00020163399832588734,0.0008204089743750454,2.7704907923324902e-05,-7.927881515756003e-05,-0.00019260328643175907,5.529547224238469e-06,0.0032666654002909724,0.006745747157505578,0.00015201617260368172,8.963687079292933e-05
5,0.0006441778066206957,0.00962835428666095,0.00027918268223197463,0.0005899456386663433,-0.0028800803179643624,-0.27919473453443877,0.02913250241960798,0.02383897742446588,-0.3400853993941326,-0.089996337890625,-0.3373961156728316,-0.04081181117466518,0.00012835677789180643,-4.998959448873396e-05,2.019358228663454e-05,1.90033900494424e-05,-0.00016209179041336825,0.010247970113948903,0.0026427884491122488,0.0018678781937579725,0.00038721853373001417,0.00410853356731181,0.018053716542769452,0.0008941183284837329,0.00019271276435072436,5.917889731177885e-07,3.8931032224566586e-05,0.0010694532978291387,-4.093744316880872e-05,3.677705416873084e-05,-0.00018246198187070044,0.0001575839230600563
6,6.767940156313034e-05,-4.23507536856449e-05,9.627609836811596e-05,9.2506408691401e-05,0.0012290429095832619,-0.0008068668599031429,0.0028862077362683367,0.00061385850517118,3.3479335964932966e-05,-0.0067464526818723156,5.111524036951678e-05,7.691492839734301e-05,-2.6790311141891202e-05,-2.5414500613600186e-05,0.0008972518298090707,3.374504799744691e-06,-2.6643354616755345e-05,0.00022437659149267296,-2.5114234612916477e-05,7.613609563936652e-06,0.0006605119121317967,-0.001688023002780213,-0.01839772049261599,0.0014615886065424734,0.002076129524075255,0.0027697037677375594,-0.000190773788763551,-0.0009880844427614856,0.0018594508268395277,-0.012718988924610371,-0.00026012926685566176,-0.001036872669142118
7,0.0015221761197459936,-8.461882873457159e-05,-0.0005561472201833938,-0.05058374210279815,0.0016000359414183346,0.00019520019390144918,-0.00014249159365284679,-0.00189971802185993,0.0020714000779755277,-0.0010071336006631693,-2.4141705766025952e-05,0.0013277384699607406,0.00048091460247428307,0.000942595151005957,-0.0004075595310756163,-0.00017198494502476092,-0.0001596102909166004,-0.000591404583989351,-0.00034541986426529184,-0.00011490011701777997,-7.004518898166914e-05,0.0009947990884586267,-0.007264285671467682,-0.04494306019374302,0.0005671929339973257,0.04473005022321429,-0.0006775223478979002,-0.00043896266392299085,5.9555987922507975e-05,-0.0005487957779242048,1.9949309679922956e-05,0.0009663068518346729
8,-0.019603554083376516,-0.1363047385702328,-0.001038250874499886,0.01214140288683833,0.0005108385669941799,0.0004898334036068014,-6.394483605209407e-05,2.0941909478637947e-05,-0.37283761160714285,-0.0034139983508051654,0.012012890407017298,-1.1476203762755102,-0.004462779784689148,-0.0011034206468231846,0.006484635022221781,0.0013030110573282014,0.0011438496258794058,0.0049645268187230975,0.006592515780001269,-0.002565228209203606,0.0003491433299317626,0.00018343146966427065,-2.294170613191974e-05,0.0010780412323620847,-0.0017451072225765317,-0.001893247876848495,-0.009037718480947067,-0.00299379776935188,0.002247795766713669,-0.002632773652368664,0.0007787821244220347,-0.023289738869180485
9,-0.005221814525370694,0.0016486693401725938,-0.007766490079918686,0.0004080363682338174,0.0017840424362494073,-0.000292831537674885,0.000548810374980071,0.0009564769511320211,0.0003785712986576287,8.705988222237703e-05,0.0001504518547836548,2.9747279322875883e-05,0.01672173519523776,0.05299408581792092,0.006346327917916436,0.003171920776367191,0.0004602549027423449,-0.0003779956272670225,0.0004242391002421482,-0.00030579372328154794,-0.005853193146841862,0.0025371580707783557,0.0018312882403938133,-0.001053055938409295,-0.0004863203788290113,-0.0009642717789630491,-0.0018563221911994782,-0.1410842817656848,-0.014722084512515944,-0.0007487164468181342,0.0028411125650211295,-0.21485246930803573
