layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.04255732783564815,-0.0012103275016502083,-0.004261988180655019,-0.011654818499529804,-0.006102667914496528,-0.007504551498978226,-0.008544992517541957,-0.00527671531394676,-0.016443040635850694,-0.013443628946940104,-0.001441394841229475,-0.039063347710503474,-0.0016134315066867388,-0.0011716242189760567,-0.003254219337745949,-0.0010229923107005962,3.315784313061368e-05,-0.00018079192550093332,-0.00036292605929904534,-0.00015215520505551481,-0.0050868988037109375,-0.0015656594876889843,-0.0024828204402217173,-0.012807634141710069,-0.013535111038773149,-0.015128806785300927,-0.009632251880787037,-0.01777027271412037,-0.0003602019062748491,0.00022304941106724468,-0.00040439323142722224,6.076772007401343e-09
1,-0.005618907787181713,-0.0004374627713803838,0.0020160763352005556,-0.0071147724434181495,-0.0002560151947869157,-0.006136241886350841,-0.004931811933164241,0.001204971913938167,-0.0009629991319444435,0.000931152590998896,-0.04000797978153935,-0.009167388633445456,0.0038155184851752406,-0.001515988950376156,0.00047914187113444164,-0.0011187880127518238,-9.66235443397794e-05,-0.012843723650331847,-0.00018080075581868057,-0.018364800347222224,4.4028792116367256e-06,-0.015042420614648748,0.003769768608940972,-0.3787864402488426,-0.0038023613117359307,-0.0035255220201280387,-0.006182538138495549,-0.0007808042897118469,0.0019823710123697915,0.00012206148218225373,-9.059906005858947e-05,-0.003066451461226852
2,0.0008805107187341656,0.0036639460810908527,0.0005041228400336435,0.005638054123631231,0.005954424540201819,0.0026924875047471767,0.004371947712368431,-0.0009528707574915004,-0.0001275324159198356,7.70677019048516e-05,0.002282789459934943,-0.0004486331233271898,-0.26251955385561343,0.12420421176486546,0.02908551251446759,0.03319023273609303,0.0006148793079234952,0.0018376288590607774,0.0001826992741337509,0.014064448851126213,-0.5151186342592593,-0.000928344998370696,-0.03209541462085865,-0.003693686591254337,0.023702126962167246,-0.0079642755013925,-0.7821361400462963,-0.5565123381438078,4.8357027548331934e-05,0.025360566598397714,-5.111650184349299e-05,-0.00034300651815202983
3,0.04077487521701389,0.021063115861680776,0.0013808850888852684,0.0017493632104661678,-0.0007386188264246342,0.00023924531760039058,-0.006638562237774883,0.01483737097846137,-0.002653731240166557,0.00040442855269820645,-0.0013247110225536162,-0.00020432472229003714,0.023741355648747197,0.00484548895447342,-0.0006080341559869314,-0.0016377678623905898,6.841067914609321e-05,-0.0002636291362621219,-0.00018036144751089512,-0.0022191294917353927,0.0019929916770369937,0.0019886052166974075,0.00963221655951606,-0.0005678115067658658,-0.00036003854539659597,0.006242306144149218,0.0017404975714506916,0.05581428386546947,0.007717079586452908,-0.01780541737874349,-0.009548752396195025,0.004889850263242369
4,0.008565054999457465,0.001239891405458803,-7.872228269223795e-05,0.0006877757884837935,0.00728051088474415,0.046589038990162035,0.014254393400969331,0.0004423812583640796,0.0035313676904748996,-0.0007075071334838875,0.004218154483371309,-0.0018320083618164054,0.0003944845111281723,0.014895827681929976,4.4043417330143396e-05,0.0067355191266095195,-0.9616156684027778,-0.00038658248053656383,-0.00017249584197997583,-0.08462354871961805,0.000850818775318287,0.007698156215526446,0.006791291413483796,0.001931912369198272,0.00015105141533746245,-0.0017125694840042685,-0.007334938755741825,0.0009280663949471935,0.010269120887473775,0.012784330933182328,0.0019733199366816757,0.0013391530072247601
5,0.015053771160267015,0.10961869910911277,0.002244931680184825,0.00779300265842014,-1.9151837384259258,-0.19005132604528358,0.6416490342881944,0.0514725579155816,-0.12676436812789352,-0.3642171223958333,-0.04800584581163195,-1.8646918402777777,0.017464988761478003,0.0003378258811102977,0.0007543221667960703,0.007174774452492045,0.008923283329716435,0.030361670034903067,0.022206076869258174,0.005531893836127387,0.006063708552607784,0.0560302734375,0.19546000162760416,0.009049450909649884,0.005214443913212524,0.0035375135916250722,-0.003390877335159866,0.006871099825258607,0.024671483922887733,0.00339172504566334,0.01204681396484375,0.0019492219995569315
6,-0.0023746843691225404,-0.0036636281896520544,0.004119791366435869,-0.0003316667344835075,-0.00012157581470630832,-0.004767806441695602,0.014174849898726851,-0.0024200722023292823,2.0305315653485242e-05,-0.23031121713143807,0.0005325343873765708,-0.0005227724711100287,-0.007133766456886573,-0.04260487909670229,0.002742484763816551,-0.01795899426495588,-0.0037609559518319564,-0.005566967858208549,-0.014321503815827545,-0.0008608146950050639,0.006627647965042679,-0.01611716658980758,-0.13521321614583334,0.01496837757251881,-0.0016000535753038195,0.026655744623254846,0.03446458887170862,0.006511520456384729,0.21565529152199073,-0.09772830539279515,-0.002892600165473091,-0.0048673417833116316
7,0.0009719265831841371,-0.011355064533374927,-0.008854936670373988,-0.13389446117259837,-0.009773536964699073,-0.0008174136832908316,0.009356569360803675,0.007900308679651332,0.02150938245985243,-0.008254121851038049,0.005054261949327256,0.004445464522750289,-0.008571660077130352,0.0010177537246986688,-0.012103681211118347,0.010687863385235823,0.002746546709979022,-0.012795660230848525,-0.005553916648582176,-0.0019806579307273574,-0.0033440766511140035,0.013175355063544381,0.011510690053304034,-0.7056443956163194,-0.08418026676884403,0.23706506799768517,-0.0004074661820023148,0.07877413431803386,-0.010540432400173612,-0.061225484918665,-0.015877264517324942,-0.010424296061197916
8,-0.564401697229456,-0.7937644675925926,0.14701539498788338,0.11906758061161747,-0.004654884338378906,-0.007122057455557363,-0.027399584099098487,0.007536093393961587,-1.118885181568287,-0.10517727887188946,0.08055058232060185,-2.8191550925925926,-0.06548454143382886,-0.026701432687264902,0.16295369466145834,-0.03159063833731192,-0.02077432915016457,0.0063173505995008684,0.017007677643387408,-0.030749797821044922,-0.02005993878399884,0.0029682583279079804,-0.018537282943725586,-0.010052733951144747,-0.025422837999131944,-0.033821565133553964,-0.030802232247811777,-0.011259149622034144,0.021267431753653067,-0.10702973824960214,-0.016680964717158565,-0.08955128987630208
9,-0.0008674550939489306,-0.022192248591670283,-0.006617192868833189,0.004047535083912037,0.013025248492205585,0.0001487467024061389,0.0034901919188322825,0.0010578102535671683,-0.020310437237774884,-0.006072203318277993,-0.03698433770073785,-0.0012047202498824473,0.08746634589301215,0.13401737919560186,0.01338852776421441,0.029474329065393517,0.0026695463392469618,0.0052297380235460066,-0.009497253983109086,0.011405167756257233,-0.022667001794885705,0.037465201483832464,-0.013749228583441839,-0.007074744613082322,-0.011744887740523726,0.08801038176925094,-0.012173604082178187,-2.6157814308449074,-0.032073020935058594,-0.03909711484555845,0.017018565425166377,-0.6715549892849393
10,-0.1483832465277778,-1.0410031919126157,-0.9579897280092593,-0.038360525060583045,-0.011817366988570601,0.006298241791901765,0.01790301005045573,0.039836865884286386,-0.03403275101273148,-0.022965678462275752,-0.01156386622676143,-0.020110271595142507,0.1399678830747251,-0.1389745076497396,-0.10576318811487269,-0.02945850513599537,-0.02491963351214373,-0.06230884128146701,-0.5057384349681713,0.0011628115618670426,-0.011360556991012008,-0.021637633994773583,-0.018024020724826388,-0.04589621225992838,-0.04258177015516493,-0.1627889562536169,0.0034760192588523605,-0.412806475604022,0.20453615541811343,-0.41148115087438514,-0.3006732022320783,-0.08652332093980578
11,-0.008129746825606736,-0.03768769016972295,-0.00010008282131619052,0.0048590412846318005,-0.19031213831018517,0.015866032353153935,0.05336266976815683,-0.000141143798828125,0.7937192563657407,-0.1555871257075557,-0.2126897176106771,0.021173547815393517,-1.9792751736111112,0.3902305320457176,-0.3657348067672164,-0.08924410078260633,-0.010787085250571924,-0.018444220225016277,-0.0033518296700936778,-0.005579983746563947,0.2070244683159722,-0.2131675437644676,-0.08200002599645544,-0.1869365550853588,0.05591237103497541,-0.15057768645109953,-0.011029031541612413,0.05985401294849537,0.002463252456099901,0.007790194617377387,0.009362618128458662,-0.004513912730746795
12,-0.009781519571940104,0.0015087834110966416,-0.07025160612883391,-0.040452038800274884,-0.10532898373074001,-0.08415589509186922,0.17254998948838976,-0.019093266239872685,-0.00017194394712094805,-0.06238972699200666,-0.05147474783438223,-0.08132171630859375,-0.014451806192044859,0.02187255576804832,-0.0723560474537037,-0.04829650455050998,-0.046675152248806424,0.0026435145625361704,-0.0012403594122992621,-0.002304112469708479,-0.05311739886248553,-0.05228226273148148,-0.1211899651421441,-0.0017078540943287037,-0.10014156058982566,-0.19529060081199365,-0.08187163317645038,-0.025864954347963685,-0.46647248444733797,-0.038826059412073205,-0.09288816098813657,-0.43617531105324076
