layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.028258256688963212,-0.00015906904852111247,0.003929992981977685,0.0069648015459245665,0.0034755336799749165,0.0040059615935768966,0.004615528527709552,0.002726168935514214,0.00922580068326714,0.007296635554387018,0.0009124334839275443,0.012281181820260242,0.0007541107892192726,0.0007574598127384251,0.0017021587461133463,0.0001967822428929749,0.00010211172709895194,0.00017640104261927624,0.00043844778003501104,0.00018454076454392073,0.001867708952530571,0.0009318769576158812,0.0016776662207766129,0.0031058780325695016,0.007260938153219064,0.005449071775710702,0.004314511914715719,0.009962509308371656,0.0003006466256336124,-8.906887526495644e-05,0.0004641316008806951,-3.1171516471707506e-09
1,0.004070435080639893,0.0002500269325281836,-0.0013276230930085963,0.004778443371571824,0.00014753704485685274,0.005495669451046945,0.004572814124882417,-0.0007406253878488188,-0.001140441384203859,-0.0007177276356164455,0.026280023581208192,0.006089851609041857,-0.002383732875453987,0.0016582438778319072,-9.678677970350213e-05,0.0010099745913094082,3.0357702121289627e-05,0.011804444335376136,0.0004517258609018989,0.014794595265468228,-3.230531877498349e-05,0.01594754425578293,-0.0008686792890363712,0.4457022880630748,0.0032476406033621194,0.0031270821357650487,0.005076679497658211,0.0003824186165595944,-2.5905494307194992e-05,0.0001302865835336541,-0.00012296816975774973,0.002166352543145119
2,-0.0006330045170608518,-0.0023244834663875896,-0.0004216592048721615,-0.0036366328746578794,-0.005756126199677637,-0.0012904999646853443,-0.002866674825100593,-0.00022963775838896522,-0.0001702804031180698,-0.0002794800992793406,-0.0017597826826931283,0.0003669955658673485,0.3054750372334866,-0.13833952428505172,-0.009160376711433946,-0.027526925638766592,-0.00030984926383232465,-0.0012276132768611798,-0.0003328865587113296,-0.008385843257840262,0.5549226588628763,0.0011486068716814485,0.03992647151883231,0.004068687209317514,-0.025539691631610576,0.009591463018819238,0.8167263273411371,0.5338191922293061,-2.549244807316721e-05,-0.02355850181452008,6.328538110025053e-05,0.00031274527211651944
3,-0.029903960467182276,-0.015167997034895781,-0.0010494101406339775,-0.001249760489001317,-0.0006332070532451101,-0.0003478176219008832,0.006343468375827955,-0.014121313158883694,0.0017711709574313437,0.0007534409845154408,0.0009643592962054479,-0.00013373687514493408,-0.014475950030578815,-0.003586861600843958,-9.504887571302705e-05,0.0010449368020762578,-0.00010749887064547732,0.00034735035338131294,0.00038440151756822453,0.0022674958442764574,-0.0011912755742918325,-0.0004940192436294809,-0.005170739215353263,0.0015109135554387078,0.0007659471951998222,-0.005016610773909452,-0.0009467896809147338,-0.0817471507400972,-0.006145598497677807,0.014226422262032296,0.009312492549220057,-0.004357159337072469
4,-0.006032899071939015,-0.0007237184007829645,-7.141872393247613e-05,-0.0008133805316427488,-0.00436062238686858,-0.028062495100857024,-0.004246823365074338,0.00011171545073340417,-0.002144266530422863,0.0010557812591858928,-0.0037036787307382015,0.0017826692715137691,-0.0002574949061192846,-0.013789301333220108,-0.00010139926221458309,-0.0065284971409418115,1.1361504494147157,0.0005375517650591468,3.3641738636413383e-06,0.09049842349661633,0.0011945233297188545,-0.005577702984762034,-0.004677501410544916,-0.001099377571539734,-0.00019238625083081533,0.0009910047652330685,0.006608408031654995,-0.00045512751193349635,-0.007577519751711434,-0.01007706823955013,-0.0011223040296879858,-0.0008796608966329848
5,-0.009198021330562321,-0.08666750738852,-0.0007046441170682891,-0.005110131458295229,1.9915865384615385,0.2150099125992893,-0.8174105743102007,-0.049289575787292275,0.14493747060514214,0.3914284594481605,0.05758718024926839,2.015363712374582,-0.01264849793552156,-0.00014922610892101134,-0.00040413942624094307,-0.00507563651604796,-0.0047934988270635194,-0.01850875803459448,-0.012765013653299082,-0.001646150314688283,-0.004552039015651946,-0.0579614416013992,-0.16900604145981396,-0.00479732309296777,-0.003385991157097955,-0.0021602461569285307,0.0020627465136473784,-0.005359687932757628,-0.016137617487572507,-0.002121727602138965,-0.006934813432470215,-0.0011279798271664006
6,0.0018108106377132734,0.004975743118337166,-0.0029282354590884816,0.00936340408580359,0.002074544645073422,0.007745864000607494,-0.0030511454196279265,0.008128871088442595,-0.00020276304072759709,0.22661904427518811,-0.0002956820969597554,0.0008363420747993004,0.005777333492419394,0.04222063555765312,-0.00424147130653611,0.013119562015086914,0.004215708544421752,0.0031772393446702213,0.013867394182594325,0.0015913953749232485,-0.0027323917401674202,0.03268394342632996,0.1615071886757943,-0.014374637284805146,0.0038773271949793576,-0.019868190471942607,-0.02783011752227477,0.0023500831629520292,-0.17477945181039664,0.10606294970049907,0.003443006687738425,0.0015630849627746783
7,7.305655591065316e-05,0.01054362549032256,0.007906893423967137,0.17579446747948893,0.010042200120396439,0.0005396102184435943,-0.008059549491142348,-0.00418398930476262,-0.011662741568574938,0.011198764660685357,-0.001967910141450505,0.004536721219984583,0.008441035165435895,-0.00045725972357402156,0.014670853630754859,-0.0044712143199499635,0.000659712979626097,0.014234204754781564,0.009725009318578203,0.003750222183788899,0.0036080720831319236,-0.008799292969464459,-0.006544240741028035,0.6747801917851171,0.061168415490600175,-0.20263998484531773,-0.0009781827894740276,-0.06273333444244487,0.011708594484871446,0.05430159999375359,0.019000911393691863,0.008292845659032714
8,0.5603156966907922,0.8654776991011706,-0.11706741996433424,-0.08618807075015678,0.005508167687865803,0.007134274894178512,0.026354448452442385,-0.005714869419467889,1.093591084049697,0.09770513936428721,-0.07327740009014423,2.9408183528428093,0.07461355840880736,0.031777528616098255,-0.2273472814655623,0.03522918854270093,0.021078792304099602,-0.0028227483947141515,-0.008136318678839948,0.04192072890673992,0.01978671989313336,-0.0002169146585623946,0.01671933330421065,0.009001428865668766,0.019025592102254914,0.03370400495752443,0.021379145491482024,0.008907611553485576,-0.01693064074053812,0.10006468910038671,0.009638043151651338,0.08894669650789089
9,-0.0006269244446004916,0.016252090301003344,0.002824036971382473,-0.0053396512034744725,-0.009542471589053355,0.0003258855047831966,-0.0019416346597830956,-0.00012095078178073745,0.01610674586981834,0.005205350576037148,0.024816994683000953,0.0006935265550645306,-0.08543108299025724,-0.18388943369173286,-0.01594933538532576,-0.032403331935206385,-0.004936052405315897,-0.005339772406230403,0.006248639977496603,-0.009982443972176132,0.028165925705313285,-0.0421547650493507,0.0013651193982382676,0.005000659853319659,0.010749459665355874,-0.08234217972261053,0.01072538816011869,2.5159814126515467,0.024092466934867527,0.04362574548625627,-0.009253568872560227,0.6878044613228993
10,0.15349948844782085,1.111188907687082,1.0625130643812708,0.0260123568633727,0.007736563283862876,-0.004253853124918347,-0.011467244712804074,-0.02183940338849224,0.0238134071579745,0.02119162250123295,0.010230380157164506,0.016548631980666348,-0.07855398120688754,0.11605089882943144,0.1521180832266409,0.021006504428825252,0.015193317247473675,0.058381581386196174,0.4693209542877299,0.0030321484824088123,0.012598522530750287,0.01798606796009485,0.012912928858728313,0.02760667705216934,0.020125628315086748,0.15153101535146452,-0.0036445716551713712,0.33455679647898595,-0.21270843812055812,0.5193314057927466,0.3028655674146569,0.1631816972458243
11,0.0056886481600860305,0.022697040468554034,0.00038171213207436217,-0.005797867790911109,0.154976682120741,-0.024770271020589464,-0.09512584265259197,-0.016744096940975124,-0.7493026886496655,0.12099617540238294,0.18436855456502144,-0.024231422704996473,1.7147163722826086,-0.4424742631688963,0.24969329323656983,0.06380590228332723,0.008108149404111118,0.012321488115699794,0.003314984682012958,-0.0018008273580799928,-0.2246612242631689,0.19929448258517976,0.07699152458471598,0.16929543536642325,-0.07814680373788278,0.12997446729985368,0.0048318244143074575,-0.08748215895432693,-0.00557473032769551,-0.0058232629578249115,-0.00888491155311814,0.004161040519790903
12,0.007767556104372975,0.0040796305423596215,0.06336361428965694,0.036005103069802986,0.1284889233949591,0.060079848885934886,-0.25170130394772944,0.0015833417707462375,-0.003269616576740175,0.0400235485472408,0.028919692023542016,0.057960854724896795,0.01319668683718678,-0.031992271193692516,0.06469629600295256,0.03451137478933685,0.03881217165535509,-0.0009503077503829509,0.0023826388611043986,0.0020606358314437653,0.04203431502632473,0.03751296741906616,0.10228124510085702,0.001343392209464491,0.07955417186520171,0.16798436601823788,0.06006804756496264,0.013853921539408707,0.4453698607990176,0.030638653299082882,0.10118577631819607,0.40872789465862774
13,0.10540095300578751,0.24572100687186454,0.03172683077911071,0.20518559994904892,-0.25186616521216554,-0.38439154226245686,0.5493940270465353,0.0034319262042093435,0.028238813215274876,0.22371691445443143,-0.0396345770079954,0.36212255165329743,0.12774637790029264,0.20178794222930602,0.02485261234551369,0.19374837205561507,0.25561763291374895,0.46478455202236624,1.4907447023933946,-0.288485217652592,-0.4410784667152226,0.9193874601536371,0.036368188252018444,0.010617131772248642,-0.0017314387803093645,0.010905351925853105,0.0019928348502985214,0.015870965045431385,0.012629084762522209,0.0002647769889703957,0.10990420950695025,-0.0033478370079627405
14,0.05893286255291075,0.08335310001437082,0.1229115234170869,0.09182800497099708,-0.2693793638095409,0.9578400168530519,0.07778940870610368,-0.014707010326576871,0.007117260259928115,-0.0010282187956232689,0.02034854569961395,0.0012006735721958135,-0.007940522005725465,0.4946363059972042,0.04056510797711121,-0.02368278248254272,0.1763061217241064,1.0600308319397993,0.12159009442281564,1.5340196488294315,0.2563619964497544,0.15887405242409594,0.12226852365959448,0.035200852614182696,0.20650887888012123,0.05627980439559273,-0.0005373287709261638,0.02044696871652252,0.040108875287416385,-0.01878572546917459,0.04100832731827446,0.06936841983858957
15,0.012794379805242737,0.03699657988787495,-0.011697571413174122,0.19746539265814433,0.036517181524066224,0.00146343397057575,0.008996239473987186,0.004667859412355963,0.008389922687441211,0.002985332323157269,0.08009178901595815,0.11231384787671143,0.0007690825191229876,0.02405526406788906,0.03615958236132976,0.05263111025194659,-0.009348445114084709,-0.005967800433819111,-0.0046570117657001205,-0.0030824571947588976,-0.006349442395876881,0.004439491093358069,-0.00429781145076688,0.02601275236710258,0.01810112765002809,0.001910404218080451,0.03828736372217287,0.0019758218108212266,-0.24862517800219483,0.11747098686703072,1.3003272627508362,0.002463985844998059
16,-0.017194333283797554,0.6866315758746603,0.0725434344747792,0.042619915710245086,0.0005306152994417436,-0.008554211428332886,0.0009002254958136816,6.698485600908609e-05,0.023893354728469082,0.00987497221267343,0.0019436424791214864,0.051829861159308696,0.0053863844345245875,0.000702625931704726,0.0038909361912654004,0.0016887313546145677,-0.009869757304622178,0.010785150687431412,-0.00251250761408471,0.07617868787070183,0.4986771803635817,0.06429123639263039,0.031991307950737485,0.6336073859479515,0.004778093318875418,0.10056584335888509,-0.001282420844138665,0.12688489422750313,0.0011374392238349032,0.0021177243229537506,0.00471882995554436,-0.00037917006374601836
17,-0.01611937328325865,-0.0007240237998324486,-0.013019395911175272,-0.0010919220072768605,0.0017207418397118806,0.0004794055402876971,0.0043668140934462535,0.004689601751474233,-0.035241685184746685,-0.05808288676284229,-0.0015048661758269755,0.0012338520292454384,0.0006412518861700464,-0.004478090981575956,-0.014241142017785521,-0.003355121931503449,-0.004076053466286547,-0.008639214429568288,0.0006677809367610468,-0.013542239083892925,0.0007473377878450631,0.011628728247805184,0.0015716648420761262,0.0041661246564476,0.21370074422064433,0.003890445798535808,0.016158451603407845,0.016159937931941107,0.007670745403072905,0.019471158949427782,-0.0011686784367896236,0.010182283395110165
18,0.0022407383424382517,-0.006711691119599102,-0.0028104686418105916,-0.0021946820925709395,0.02892750641175337,0.0012796236121136201,0.0002855997420473556,0.00357046175162529,0.014994184309024874,0.0067619639495543424,-0.002951012805951478,0.004602285531850962,0.0003279634941381791,-0.00024217058184951732,-0.017864673831391096,0.0005321183730926026,0.012638816068005005,0.00045608278102300686,0.0030321891491229733,2.885462847042652e-05,0.012899679483777305,0.0008870749967951422,0.023705268783314176,0.0016664406128950341,0.010855528821913294,0.0020643269337937992,0.0020719934067997244,0.005944614027654847,0.017457253956874478,0.009499508401621943,-0.01003273035770276,-0.0009047052134638232
