layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.034353402944711536,0.003280052771935096,0.002299877313467173,0.006171593299278846,0.004292121300330529,0.005895761343149038,0.0037243182842548075,0.003727252666766827,0.0038689833420973577,0.006665449876051683,0.0009707029049213086,0.033265920785757214,0.002422259404109075,0.002043724060058594,0.008532157311072715,0.002429301922137923,8.187844203068406e-05,0.00015467863816480502,-3.4038837139428845e-05,0.0008150247427133422,0.0038591164809006883,0.0012139907250037498,0.0017011349017803557,0.014110271747295674,0.011850210336538462,0.013643704927884616,0.010843130258413462,0.00958721454326923,0.0004671812057495077,-6.404748329750268e-05,-0.0005075748150165231,-3.377583477861033e-09
1,0.0035805335411658655,0.000533594534947319,-0.00039071303147535384,0.005412028386042668,0.00024475271885210533,0.002094929034893327,0.0015567999619704022,-0.0005225676756638718,0.0018474872295673077,-0.00023608024303728773,0.022627610426682692,0.005935082068810096,-0.0004782309898963365,0.0012829120342548095,0.0004837512969970708,0.0003442030686598577,0.0009560034825251663,0.00532282315767728,0.0021304516838147078,0.002959618201622596,2.1101190493655057e-05,0.02232651527111347,-0.008780259352463942,0.041550856370192304,0.0023786104642427885,0.001132378211388223,0.001667169424203725,0.0012717613807091328,0.0005917915931114788,-0.0014881904308612557,-0.00017407307258018826,0.001927229074331431
2,-7.046186006987139e-05,-0.0009161829948425155,0.0010036321786733807,-0.0004458060631385209,0.0007692116957444424,0.0005964682652400115,-0.0007063792302058308,0.0033438022320087133,-9.004886333759158e-05,4.9301064931426705e-05,-0.0004696249961852979,0.00025887672717755104,0.0004890882051908058,0.04259762397179237,-0.03209891686072716,-0.01029498760516827,8.969123546893274e-05,0.00039119903857891535,0.001056655095173766,-0.0036797340099628153,2.912374643179938e-05,-1.1909788904280199e-05,4.204419943001944e-06,-2.211747834316929e-06,0.00677490234375,-2.2296722118677732e-05,0.004678946274977466,0.0020507665780874424,0.0002509607718541208,0.00016256479116586538,0.00010437231797437801,0.00012391805648804313
3,-0.010849879338191105,-0.005552832896892839,7.871481088491346e-05,0.00012118999774639617,0.001004271782361546,0.0005726080674391531,0.0021004310021033655,-0.0026490596624521153,0.003154461200420671,0.002560652219332181,0.0020737464611346895,-0.00048155968005840456,-0.00501540990976187,0.0005864363450270442,0.00013312926659216843,8.102563711313074e-05,0.0010229165737445519,0.0006400438455435001,0.0008174914580125076,0.0009428537808931791,-0.0009432847683246362,-0.0006575951209435078,-0.0028562362377460176,2.9783982496998095e-05,0.0006695252198439371,-0.001153725844163161,0.000784603449014521,-0.11784054682804988,0.001639696267934946,0.009510480440579927,0.0015227978046123808,0.0011490308321439326
4,-0.0024392421428973826,-0.0005096609775836672,0.00010535350212683645,0.0008949866661658654,-0.003064375657301677,-0.017423739800086387,-0.005668933574969952,0.0005752856914813693,-0.0015841997586763777,-0.0005365976920494654,-0.0011670039250300463,0.0008818553044245788,-8.347859749427388e-05,0.0035729041466346155,0.00031203490037184033,-0.002174084003155048,0.020284616030179538,0.0021443733802208537,0.0018337689913236154,-0.023104300865760215,-0.002758026123046875,-0.002215126386055577,-0.0044594544630784235,-0.0002440305856557981,0.0020487766999464753,0.008601555457481971,0.005510220160851106,0.002337822547325721,-0.0008762066180889423,-0.0026862254509559,0.0002390788151667673,0.000470693294818584
5,-0.006472963553208564,-0.018903585580679085,-0.00047889122596153844,-0.0012491666353665865,0.009952105008638822,-0.002110554621769833,0.04830228365384615,0.0038287823016826925,-0.0014058649539947518,-0.005217148707463192,-0.0011282563209533676,-0.01440899188701923,-0.0047598893825824455,8.740791907677501e-05,-7.562912427462304e-05,-0.0013866791358360868,0.0005081616915189346,0.0013292752779447115,-0.007211630160991956,-0.004555775569035456,-0.00275391798753005,-0.03367966871995192,-0.030641995943509616,-0.004683898045466498,-0.0012931456932654768,-0.00045482928936298466,0.004339511577899639,-0.00039848914513221156,-0.011033278245192308,-0.0023709810697115385,-0.0010670148409329943,-0.0018145121060884942
6,0.0009886668278620788,0.0013295687161959135,-0.0009363522896399813,-0.006974146916316106,-0.003925506885235127,-0.0017720735990084135,-0.0060955194326547495,-0.0019069084754356961,0.0012675798856295096,-0.005540554340069111,0.0010689221895658037,0.0024030391986553474,0.0030026435852050773,0.013153076171875,0.007383493276742788,0.008683131291316105,0.002506916339580827,0.0008228191962608941,0.0019872922163743233,0.0010059063251201923,-0.0016518005957970251,-0.00644830557016226,0.015955411470853366,0.0017411158635066116,-0.005467781653771033,-0.008167853722205529,-0.021305964543269232,-0.004353743333082933,-0.026862511268028848,0.009514075059157152,0.0011954399255605847,-0.010870420015775241
7,-0.0003209572571974574,0.0012401709189781807,0.0031179097982553324,-0.013440939096304087,0.0012526878943810095,-0.00018946253336392946,0.0010274006770207345,-0.002524742713341344,-0.005784254807692308,1.500203059269805e-05,-0.002270808586707483,-0.0082553716806265,-0.0004634857177734366,-0.0014726382035475467,-0.0037959722372201826,-0.004382867079514723,-0.002274916722224308,0.0004678506117600673,-0.002684666560246396,0.0005278954139122615,0.0009927016038161058,-0.00383834655468281,-0.0025943701083843565,-0.04024564302884615,0.004190665024977463,-0.018272986778846152,0.0022295438326322115,0.0019742525540865385,-0.0006109384390024057,0.007346813495342548,-9.683462289663461e-06,-0.003387891329251804
8,-0.07630979097806491,-0.018719599797175482,-0.01250927264873798,-0.023529786330003005,0.0004137112544133116,0.001205150897686298,0.001425816462590148,-0.0001401167649489192,0.01568185366117037,0.006494668813852163,0.0001819317157451923,0.001793531271127552,0.0032410254845252405,0.0005888572105994558,0.06730475792518029,0.004072519449087287,0.003327296330378604,-0.001312310879047102,-0.0031977983621450596,0.0003531162555401154,0.0015208170964167655,-0.0026299036466158384,0.002195028158334585,0.0023993712205153286,0.001987127157358023,-0.004665594834547777,0.010237473707932692,0.010879333202655498,0.0012372090266301076,0.03512221116286058,0.016367692213792067,0.06935178316556491
9,0.005090126624474159,0.002597185281606819,0.010551452636718748,0.004945094768817606,-0.0020833382239708537,0.0004175442915696327,-0.0011590627523568981,-0.0014048539675199116,0.003234789921687198,0.000991234412560098,0.0052492985358604995,0.0004485937265249365,-0.004511906550480769,-0.010275033804086538,0.003053701840914214,-0.0016394395094651442,0.0006656646728515615,0.0022234916687011693,0.007596089289738582,0.0007748970618614789,0.0009006353525015039,0.011313218336838942,0.005780586829552284,0.006362548241248498,-0.002088473393366885,0.018324631911057692,-1.3223061194780787e-05,0.004535308251014123,0.020479569068321817,0.004117525540865385,0.0036530861487755403,0.000947931638130778
