layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-2.9370898292178108e-05,-7.357389207870173e-05,-6.569567180815139e-05,-0.00017521873353019366,-6.554618714347708e-05,-2.0087711394777785e-05,-6.633334689671097e-05,-7.924579438708648e-05,-3.013156709215772e-05,-0.0003433833046564984,-8.733026565071124e-06,0.0001876127152215864,0.00016624397701686796,6.262272123306476e-05,-9.188954792325161e-05,0.000576159310719321,4.932852018445815e-05,5.476626138837434e-05,0.00013430913289387263,0.00017805042720975546,0.00040668154519700624,0.000632785615466892,0.0003963727799672888,0.00016076602633037135,-9.874928565250882e-05,7.852296980599407e-05,8.397064511737824e-05,0.0001892447471618511,-0.00011615147666326033,-4.305158342634077e-05,-0.0003356441618904184,2.096457469705788e-09
1,-3.614832484532356e-05,-3.0113591088182867e-05,-3.4529065328924895e-05,-3.618285769507592e-05,-8.597260429745078e-05,-0.001648454439072381,0.00014838718232654637,2.988179524740864e-05,1.3560056686498094e-06,-0.00010149819510323653,-4.390024003527873e-05,-0.00017160082620287274,-0.0011463165283203127,-0.00044260895441449583,-0.00011056945437476027,-0.0003420738946823818,-9.24683279461307e-05,-3.538812909806506e-05,4.463589617184508e-05,-0.00017010597955612378,2.8953961436707183e-05,2.3616684807667518e-05,-0.0008795100545126317,-0.027866530039953805,6.009851183210913e-05,0.0001297186291407079,8.54267014397523e-05,-0.0001834460667201365,-0.000998391045464411,0.00010252755785745714,9.856053761138014e-07,-0.0001701059795561267
2,-0.00011982662337165573,-0.0002702592857300324,-0.0002359516090816835,-0.005434293595571366,-0.0001250122274671199,-0.0010944926549517951,-0.0008936685229104667,4.948131621833568e-06,4.13443361009843e-05,-3.5995765337867344e-05,-0.0012833126007564494,-8.381193592434638e-06,-0.0006154453943646005,-0.00015019613599019925,-0.003119112953307138,0.003619879011123907,-0.00011888178922825931,-0.0006298621495564825,-4.389503645517934e-05,-0.002170941186329675,-0.16370597718253968,-0.02588997189960782,-0.08977840249500578,-0.1270470997643849,-0.00012120367988707706,-0.029841449525621202,-0.001718991332583949,-0.0019526675580039848,-7.008370899018207e-05,-9.462308316002836e-05,5.097143233769021e-07,-2.201472128193697e-05
3,-0.006471694461883059,-0.008196891300261968,-4.190005480288695e-06,-0.000448395572011428,2.407826601512392e-05,6.357852428677489e-05,2.0984619382953965e-06,8.847292453523905e-05,-1.889934378956704e-05,7.034211404740165e-05,-3.9592385292044095e-05,9.124465878048166e-05,-0.005658830915178571,-0.0006639370842585491,-1.1089243113037976e-05,-0.0001991670283060191,-1.3302331642498004e-05,-3.975487890697155e-05,-2.6324024749172544e-05,4.706579068349759e-05,-0.0009838588654048873,-0.00038242955056447194,-0.00398247582571847,0.0002389181227911159,-0.0004647762056380949,-0.00021734691801525723,-0.00038512748858284587,0.0035701176476857018,7.582633268266435e-05,-0.00032622378969949107,6.690195628575222e-05,-0.00026381772661965546
4,-0.0011582450261191698,-0.0010866570094275087,5.479086013068121e-05,-0.00015409030611551551,1.2595029104323415e-05,-0.004106551881820439,-0.001218271633935357,-1.1220810905250565e-06,-0.00034218742733909947,0.00010151144057986026,-0.000658156379820808,-1.4049666268482359e-05,-0.00031030745733352924,0.00032141852000404115,-8.92875213470995e-06,-0.0002212675790938103,-0.2393143063499814,-7.164703002051191e-05,-9.144866277300089e-05,-0.01464964851500496,0.00019551837255084287,0.001001138535756913,-7.914739941793026e-05,-0.00012425676224722584,6.604596735938665e-05,-2.9667265831479346e-05,-0.0001882825578961967,2.0402764517110393e-06,-4.0180862896029103e-05,0.004372066921657989,-0.00012254714965819632,2.769250718391758e-06
5,-0.00013286017236255102,0.0004922473241412428,-0.0004337519880325116,8.530252509647488e-05,-0.0015854471259646912,-0.2513640873015873,0.020001532539488772,0.012029012044270836,-0.3638509114583333,-0.10228620256696429,-0.34083968874007936,-0.06195492214626736,-0.0002873681840442478,-0.00013943142922860746,-2.5209808160378508e-05,-7.410684511774298e-05,-0.0005183598351856997,-0.007270941658625522,-0.0041451340629940926,-0.00028198484390500636,-8.196773983183061e-05,0.00035164848206534763,0.0011803157745845778,-0.0004048347473144536,-0.00023236681544591892,-0.00022873211474645403,-0.0001534601998707531,0.0003894397190638949,-0.00045143635500045074,-0.0002614808461022728,-0.0004843009842766638,-0.0002561213951262211
6,0.00010149062625946458,-9.195199088448654e-06,-3.788300922937709e-05,-0.002611523582821803,0.0006492307025288783,-0.003684437464153954,8.023731292240253e-05,-0.00038135240948389515,-0.0002641545401679128,-0.015563011169433595,-3.1953766232434364e-05,2.333474537683958e-05,-2.786091395785928e-05,-1.73354905749092e-05,0.0002362841651553255,7.881354244938931e-07,3.3414375687409355e-06,-0.00014127495269925782,-0.00031287329537528014,-3.844524718938389e-05,-0.0018480202508351173,-0.013811505030071924,-0.025410303993830607,0.0007153512939574359,-0.008071657211061508,-0.0043377459995330315,-0.004013568635970829,-0.006229226551358663,-0.0025552038162473647,-0.023993355887276784,9.998158803060906e-05,0.00031410701691158096
7,0.0011267136959802542,1.474410768540188e-05,1.4520826793858558e-05,-0.10685154748341394,-0.00010431758941166052,-0.0003304124351531734,-0.003640598720974395,-0.008571776132734995,-0.0019179601517934652,-0.003664198375883557,-0.0005622960272289463,5.2103920588415813e-05,-7.768661256820524e-05,-0.0011964951242719399,-0.0007251936291891394,-0.0013558940281943716,-0.0006312340024917788,-6.096703665611819e-06,-0.0005992404998294889,-2.778971952105469e-05,-0.0010972278458731568,-0.00938584312560066,-0.024682938106476315,-0.06574188716827876,-0.0076731273106166314,-0.004327198815724206,-0.005082122863285129,-0.006591963389563181,-0.0009497470325893842,-0.004754793076288132,-0.0006664773774525413,-0.00011933795989505159
8,-0.02298373267764137,-0.11225067623077876,-0.010862199086991566,-0.012831006731305803,-0.00023678370884486558,-0.0015020521860274094,-0.000424152328854508,-0.0013272346012176014,-0.2955225384424603,0.010405525328621032,0.010978668455093626,-0.8252108134920635,-0.013206890651157925,-0.006786785428486175,0.009892128762744727,0.00126194953918458,-0.0021926940433562698,0.0001875408112056697,-0.0006363581097315263,-0.006130581810360863,-0.0019335425089276018,-0.0009224490513877295,-0.0012038104117862774,-0.0015226394411117289,0.0012863401382688492,-0.00340152922130766,0.0002773224361359127,-0.0005790014115590888,0.0009725661504836334,-0.0014779832628038206,-0.005048146323552208,0.020643870035807293
9,0.005161467052641368,0.0008012075272817475,0.009333716498480903,0.006289678906637526,-0.002474716731480194,-0.0009348354642353368,-0.0017419088454473605,-0.0011629755534822987,-8.009303183781978e-05,-0.00011380974735531684,-0.002531165168398902,-8.672629556958161e-05,0.0030610523526630714,0.03442861163426959,-2.9397389245409613e-05,-0.004606095571366568,-0.00040384322877914307,-0.00028186374240452136,0.0017977442060198112,-0.0012083961850120903,-0.005081721714564723,0.0019399249364459349,0.001799886188809837,-0.0021840882679772756,-1.0672069731174523e-06,-0.0007573687841021809,-0.0010256540207635794,-0.13718535408141122,-0.014672990829225572,-0.0003360093586028631,0.003352937244233627,-0.13158017113095238
