layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-2.2301307091352888e-05,9.180548099367747e-06,8.579400869517861e-05,0.00020760756272536154,2.366762894850103e-05,-6.837111253004614e-05,-3.630381364088853e-05,5.602836608886536e-05,0.00047571842487041915,0.0013896501981295038,1.2550216454730569e-05,-4.99211824857269e-05,0.0001586950742281239,0.00017677362148576573,0.0003330157353327923,-7.071861853966156e-05,-2.8779873481163132e-05,-3.977922292855962e-05,-5.169098193828108e-05,-7.565204913798834e-05,-5.8650970458982464e-05,-0.00046465947077825,-0.00011053452124963183,-0.00018559969388521155,1.1420020690332412e-05,-1.9772694661075495e-05,-5.434568111712803e-05,-3.907772210928302e-05,-3.4368955172019245e-05,8.436349722042788e-06,0.00031643647413987305,-2.1133858423966627e-09
1,0.00011274447807898671,1.5744796166055108e-05,0.00045365553635817306,0.00013710902287410767,7.739433875457453e-06,0.0005426406860351578,-0.0001256465911865196,0.00029772061568039974,3.8931002983672564e-05,-0.00013102017916166156,4.209004915677776e-05,0.00022543393648587695,0.0008241213285006,6.859119121844793e-05,0.00030833024245042307,0.0002502478086031446,-6.0525078039905085e-05,-0.00010310686551607693,-0.0002730889962269724,0.00021197245671198846,-6.721111444325539e-05,-8.197931142953931e-05,0.0003406818096454385,0.000751867890357977,-4.72068786621154e-05,0.00014462150060213358,-5.072813767652693e-05,0.00016982738788310768,-0.00012500469501201922,4.7683715820346026e-06,-3.640468303973534e-05,-2.8573549710782565e-05
2,9.293739612285295e-05,0.0006307088411771346,5.1058255709137504e-05,0.0011749267578125,0.00012619678790752535,0.0005318476603581346,0.0008260286771334115,-6.97488968189078e-06,4.6252058102530407e-05,6.551925952602677e-06,0.0008949866661658654,2.602946299771866e-05,3.8734422280232455e-05,0.00014275770920973464,-0.0007413350618802615,0.002716064453125,2.5458060778044223e-06,0.0001930686143728355,3.3261111149415815e-05,0.0026085193340594963,-6.97695291959409e-05,-8.41715014897932e-06,0.000660162705641523,6.954486553485768e-05,0.0008024802574744615,4.418079669660386e-05,3.507962593665682e-05,0.00011708186222957234,-2.4392054631186302e-06,1.3710214541504756e-05,-1.2731322875388964e-05,2.6269027820000283e-06
3,0.002657963679387019,0.006289848914513224,3.559314287625297e-05,0.0001007387271294179,-4.50760126113834e-05,1.6609063515302484e-05,-0.00023483083798334824,0.00013803977232712463,5.064102319574535e-06,0.00022493875943697128,6.8499491764970516e-06,0.0001287827124962381,0.004380886371319116,0.0005628695854773915,3.85538889811594e-05,4.1732421288121094e-05,1.1182175232801169e-05,7.265462325167807e-06,2.3949604768015486e-05,1.7624061841225353e-05,0.0005016693702110923,0.0001124109213168593,0.0029267164377065847,0.0002494225135216346,0.00013995629090528234,0.0014425699527446999,0.00022921195397009736,-0.0015533153827373765,2.6835845066944498e-05,0.0005285006303053497,9.639446551983463e-05,0.0001616111168494577
4,0.0011045382573054384,0.0013253138615534885,0.00040820126350108913,0.0001503504239595731,7.542280050421671e-06,0.002681438739483177,0.0022139824353731557,0.00012150177588828727,0.0008418743426983192,0.00010450069720927692,0.0005132235013521654,0.0001776860310481104,9.41432439363926e-05,0.0012605006878192615,0.00013644878680889614,0.0008685038639948924,0.0010789724496694654,3.0376590215226243e-05,6.907719832201039e-05,0.004004845252403846,0.0005438877986027693,0.0022260134036724425,0.00010787523709810986,0.0006980254099919272,-8.36299015926346e-06,-8.220856006325751e-06,0.00016367664703955705,5.190189068135697e-06,0.002900490394005415,4.0347759540261556e-05,0.0002048565791203364,8.321037659278235e-05
5,0.0004677405724158693,0.004989908291743352,0.0005765832387484072,0.00036392762110783595,0.00010138520827659712,0.0010355435884915924,0.001125629131610577,0.011852557842548076,0.00046289884127102685,0.0003567842336801345,0.0007400879493126534,0.0006826840914212615,0.0001230606665978077,9.857691251306077e-06,2.3322323193908733e-05,2.5162330040555287e-05,0.00019822326990274209,0.009899066044734077,0.0028241964486929077,0.0005810810969426077,0.000294832082895131,-0.0009812575120192308,0.005707960862379808,0.0009607535142165,0.00024278805806086758,0.00012870935293343786,7.209411034217163e-05,0.0006589155930739192,0.00023462222172663668,0.00018910834422478356,9.488142453706773e-05,0.00018947858076827684
6,8.629950193257879e-05,8.930380527787973e-06,0.00015592575073241683,0.001224517822265627,0.0006586771744948231,0.00098448533278245,0.0032455004178560615,0.0016178557505974417,0.0001443716195913423,0.0009001218355619001,6.209428493793075e-05,5.873607901425898e-05,6.477649395282693e-05,-1.032478534257896e-05,0.00032467567003690694,-3.7814562137305515e-06,-7.134145842145822e-06,0.0003059002069326567,0.000369933935312121,2.3112345773434013e-05,0.0015115004319411014,0.006972092848557692,0.0005871699406550502,0.0009034436482649511,0.003490741436298077,0.004585852989783654,0.001651763916015627,0.0017647376427283692,0.002975812325110794,-0.002960791954627404,-6.763751690205386e-05,0.0029750787294828013
7,-0.00042431171123798075,-0.00015738835701574109,-9.6135414563693e-05,0.004284198467548077,0.0005772893245403653,0.0003829329776076122,0.0006543673001802885,0.0009296123798076923,0.002795292780949519,0.001400287334735573,0.00036699955280011917,0.0035423865685096155,0.0006627119504488422,0.001814622145432696,0.0005006194114685118,0.0008721833045666049,0.00020746084359976155,-0.00022183931790865094,0.00013141448681171507,-6.225017400887142e-05,0.0003522451107318616,0.003414374131422769,0.004358731783353365,-0.003372192382812496,0.0076749508197491035,0.009915865384615384,0.0027377788837139425,0.0013873760516826923,0.00013545843271109612,-0.0017706797673152001,0.00041052011343149233,0.00071078080397385
8,0.00021553039550781158,-0.008339515099158654,0.0013925845806415232,0.0016279954176682692,0.000283360481262214,0.00047287574181190004,2.5712526761573075e-05,0.00020584693321814616,0.005430368276742788,0.011206260094275841,0.0012380159818209115,0.009701362022986777,0.00020159207857572308,0.000995342548076923,0.00457763671875,0.0001919086162860577,0.0009100253765399615,0.0016124523602999144,0.002927816831148589,0.0016181468963623047,0.0009830181415264462,0.0004566632784329923,0.0005807142991286115,0.0009900606595552885,0.0027942657470703116,0.0012548703413743192,-0.00034273587740384613,0.0033249488243689883,0.0008716583251953114,0.002669499470637395,0.0026392203110914966,0.02239990234375
9,0.004860511192908654,0.0054211983313927304,0.008062069232647238,0.0017070770263671845,0.0018109266574566163,0.0005983205942007193,0.0007726595951960653,0.0008911719689002307,0.0004074390117938753,0.0001199153753427229,0.0013029391948993383,8.184634722195695e-05,-0.0026058783897986767,-0.03278556236853966,-0.003822766817533054,0.0033250955434945923,0.0013072307293231693,0.0008045526651235762,0.00027759258563701925,0.0015667401827298732,0.0006888462946965154,7.042518028846153e-05,0.0012678733238807038,0.0012909082266000617,-0.0001161648676945615,0.00022484705998347302,0.001135495992807241,-0.0020091762909522355,0.005986140324519223,0.00015047192573547146,0.0006807217231163675,2.431869506836151e-05
