layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00807886216246966,-0.00014288641488281942,-0.0015661301736306992,-0.0023024722596202466,0.0008996157970243287,1.695472445688577e-05,-0.0008392627185216611,0.0011181630748761124,-0.006399262684448637,-0.0037143948008713213,6.937016175402748e-05,-0.0013243758562699105,0.0004997793524782249,0.00012943273994914952,-0.00104063922919116,-0.0004796071345752112,0.0001408652580285981,0.00012430731918434214,6.897935589562298e-07,3.8786999230246246e-05,0.0002020616747414796,-2.158922670728441e-05,-9.89707156678224e-05,-0.0012826981282157031,0.0022704485550667478,0.0028906763564421523,0.0028324250650251567,-0.0030013396130410598,-0.0001508290713658881,1.4012203247411288e-05,-4.454569523388488e-05,3.4772955230813974e-09
1,-0.0008506173069037284,-9.603677829877308e-06,0.00034082746042788433,-0.002142449798707438,-4.261539206148282e-06,-0.003091834316747473,-0.003993084804911441,0.0006247093376604145,0.0027819297074500025,0.00031773152860623135,-0.007356415288733819,-0.002353897372495781,0.00037536729115112614,-0.0008102778863752546,8.391485245096702e-05,-0.0009813153435111414,0.00025738256118444224,-0.00652361846857472,-8.549485777574004e-05,-0.009819722098440028,-1.8150241242336882e-08,-0.008330944817043046,-0.004061127943514234,-0.6098221960962783,-0.0035071276538194574,-0.0026346556962886666,-0.00348868339192906,3.2522145984090196e-07,-0.002563629335570104,-4.989892533682039e-05,0.00019927163725917734,-0.0013464484785752785
2,0.00021435614542667636,0.0007166648374020442,0.0004370054380793479,0.0009404545270123533,0.004551478574191096,-0.0011663946133215462,0.0009172144059610205,0.0002311886707170121,0.00010136031458292773,6.177946684043676e-05,0.0014630235900385128,-0.0005290484158352391,-0.35898404908411713,0.16126951199133419,-0.014360869200870057,0.026836181342794672,-0.0001106086672316851,0.0003220838250465753,0.0004212169585490342,0.003784428329529499,-0.6213734450849514,-0.001399046695462642,-0.04562741026137639,-0.004054631230129004,0.027768357286175476,-0.012532123084207179,-0.8686555041464401,-0.4678280037197866,-1.3679941109469764e-05,0.016395548014964872,-8.656004968198461e-05,-0.00019300536141040846
3,0.019983520014000555,0.006022256554909123,0.0005136691636637962,0.0004202663223334491,0.001224009672776588,0.00036016839607633775,-0.008054971694946289,0.01209668511325873,0.0012748343659064547,-0.0004310438162300577,0.0015231613973969418,0.0007493312690636095,0.002551297539646186,0.00149052139239018,0.00011187726722180058,-0.0020040919865605133,0.0003069095241213316,-0.0002508039516924306,-0.00045843311498080456,-0.0018399085813355714,0.0003174142158532998,-0.0010071036113504454,0.00045733930223582227,-0.0012403664851265862,-0.002218301145775806,0.002338761650628642,0.0004219523718441944,0.1111970302742276,0.0034547075870353426,-0.006639974402764082,-0.007083019392390082,0.0035080724549524994
4,0.002058925752115095,0.00012022324364547907,0.0008343035734972908,0.0008213666650469653,0.0013465356672465992,0.010138749304712784,-0.0039000171673722246,0.0002162387070146582,-0.00015781380983618162,-0.001571005602098978,0.003113616631640585,-0.0007569969279094808,6.211192790165955e-05,0.014630172630729799,5.061090185430954e-07,0.006985394314269032,-1.388049079376517,0.0005704306765281667,0.00031249480725877905,-0.09832037151052728,-0.0026779792069617212,0.0034918399304633757,0.0037875947057236367,0.00019803440686568753,0.0005911186964380686,0.0027900467412757257,-0.0014153313868254134,0.0019267282439667066,0.00536236099440689,0.008164213699044532,0.0003089040614254619,0.0005456988479713043
5,0.0044345666675505895,0.0488523063536215,0.00037908341892328934,0.0023979940074933,-1.8366722921723302,-0.2537509214530871,0.8973921988774272,0.04006690423465469,-0.157568675414644,-0.4735806659587379,-0.07213822151850728,-2.2605873280744335,0.006225287528485543,0.00014091309606064533,0.00016349853049589253,0.003511212404491832,0.0005904370527051414,0.0033268527305627717,-0.001466664295752072,-0.001663484233868546,0.003298129850220913,0.0477721544531171,0.1557086710019405,-0.00012452779850141894,0.0009553482617375143,0.0008389880356279374,6.91217126198184e-05,0.004304719974307953,0.009398241259133546,0.001260833447033533,0.00571465415090419,0.0002842489569704118
6,-0.0017601540945108636,-0.006143772872134706,0.002580133263733008,-0.0193880615110922,-0.006491995938001713,-0.01279804081592745,-0.01061332727327316,-0.009212072613169846,-0.0005057821574720385,-0.16487816005077177,-0.0013155368153717128,-0.0021605688391379955,-0.005553527943138938,-0.027436311190953917,0.0029720627374247824,-0.007566761044622628,-0.005010487578061792,-0.0004031743046535261,-0.008667747179667154,-0.001588951808349216,-0.0022519275208507153,-0.022866727464793183,-0.17358087335975425,0.011671727529235643,-0.005403166835747876,0.006664448957227195,0.017247129026740114,-0.019223336648786723,0.10090777480486528,-0.11762912219396301,-0.004215327667186947,-0.003206797016477122
7,-0.004755037116387129,-0.011716088044990613,-0.008304665389570217,-0.20966311951671218,-0.008362000814147752,-0.00016626469718599574,0.006234508502058998,-0.001056333190029107,1.3727972036812185e-05,-0.016649842648058646,-0.004360779589433887,-0.028316818780497827,-0.006869709607466911,3.111130982926469e-05,-0.016140035055216075,-0.001030554663401977,-0.002692754986216721,-0.016437514700164302,-0.014425705165924764,-0.0057337183782583696,-0.0035941577652125684,0.0018099467345425995,-0.0018880976828170833,-0.6274959971603838,-0.0531471122815771,0.13098421065938512,0.004200984744963908,0.053685351868663404,-0.017988178722295176,-0.0680805857513329,-0.01678355071922722,-0.006990974389233635
8,-0.5158063030551553,-0.8216912229470065,0.07146251394524929,0.06693049310480506,-0.008061155917960848,-0.011776843888859918,-0.029909555966028505,0.004842158660147955,-0.8381628635246006,-0.09023484905946602,0.07280533676394367,-2.8858022350323624,-0.08847976155265636,-0.05037886579445651,0.2828177665043803,-0.041813605811603635,-0.02036776588958444,-0.006291330825163709,-0.013436415434655248,-0.0707775497127891,-0.023616432757825143,-0.0027704562955689666,-0.016121367999265106,-0.00754689090074459,-0.012431471864768217,-0.036999339810467075,-0.010751073028663216,-0.004245361463923284,0.01625215660021143,-0.09347289742775333,-0.007236715273563916,-0.10845018281905783
9,-0.007920200384936286,-0.026957203269390613,-0.03216662607532489,0.002207287692715049,0.0037161810112616785,-0.0003463211183023283,-0.0008209702652249134,-0.0018082999874473019,-0.012210038873370025,-0.005465675712017565,-0.03509827724938254,-0.0004777426569207215,0.07779081585337815,0.1966554833075761,0.017838870823190436,0.025200593818738622,0.0014735163222624643,0.0008648144002871217,-0.006162580162961892,0.0029977972839256716,-0.043597216745024744,0.05656022932922956,0.000765135373112453,-0.014028043037093573,-0.02182847705088001,0.06101497940261001,-0.01673813120832721,-2.7444842193504755,-0.02891542379138539,-0.04371580568332117,0.01164371373198179,-1.1887390960767432
