layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.025181163441051136,0.002177910371260208,0.002578215165571733,0.008725166320800781,0.005678350275213068,0.006396120244806463,0.00798689235340465,0.004969856955788352,0.009243705055930397,0.011579816991632635,-7.029013200239772e-05,0.0007976185191761364,0.0017791444605047056,0.0015436410903930649,0.0039794661782004605,0.001898765563964843,7.192925973371152e-05,0.00019932876933704546,0.0003463571721857216,-0.00016369602896950682,0.004505005749789153,0.0012832880020141602,0.0023754293268377137,0.005805925889448685,0.010041670365767046,0.0120086669921875,0.006232521750710227,0.014072765003551136,0.0009985132650895403,-0.00013305653225291144,0.00027318434281782365,-4.077554132725875e-09
1,0.0030333779074928967,0.00020509416406804635,-0.0012167475440285408,0.0011535070159218535,2.4002384055740892e-05,0.0033709244294599996,0.002460986375808714,-0.0011226263913241283,0.0006455074657093421,-0.0007372173396023859,0.02147466486150568,0.004526918584650212,-0.0033556764776056457,0.0006422000852498133,-0.0006444779309359449,0.0006669068878347233,-0.0002229782668026969,0.005713321945884004,-0.0003881603479385387,0.0136566162109375,4.5184046030045796e-05,0.002763375639915466,0.003081755204634233,0.4139043634588068,0.001646995544433593,0.0025842189788818364,0.0017161315137689751,-0.0007117512551221013,-0.0010222304951060896,0.0008623600006103511,-0.00013420256701382523,0.002623644742098723
2,-0.0007851123809814339,-0.0037615515969016303,-0.0005780634554949691,-0.004631866108287466,-0.007841359485279427,-0.002349127422679552,-0.003771809014407068,-0.0013034777207808046,-0.0002647387710484595,-0.0007566321979869353,-0.0017889792268926475,3.2942403446549014e-05,0.2917702414772727,-0.1744739359075373,-0.028379960493607956,-0.04435606436295943,-0.0005037757483395613,-0.0014183710921894415,-0.0005892840298739352,-0.013230497186834162,0.5743741122159091,0.0008368004452098291,0.033188565210862594,0.003532583063299,-0.0229644775390625,0.009359879927201699,0.9083140980113636,0.5313970392400568,-0.0002845471555536442,-0.027468421242453835,-9.525770490819204e-05,0.0002168796279213689
3,-0.0382964394309304,-0.017737269401550296,-0.001765359531749375,-0.0016419176350940359,-0.0006648881191557121,-0.0004472028125416121,0.0020950924266468396,-0.01486880129033869,0.00012602589347145577,-0.0003680099140514034,-0.0003441111607985089,-0.0014517591758207856,-0.020343105901371342,-0.0044802318919788696,-0.00022864206270737395,-0.0038500617850910548,-0.0007124489003961707,-4.207071932878644e-05,-3.197247331792523e-05,0.0009927532889626297,-0.001904655586589467,-0.0018508217551491408,-0.008919222788377245,-0.00021715055812488633,0.0003890882838856136,-0.005772434852340005,-0.001140648668462576,-0.08286822925914418,-0.007765900004993786,0.006999405947598544,0.001532554626464843,-0.00806866992603649
4,-0.007084152915261008,-0.0010752569545399028,-0.000542803244157275,-0.0013714703646573124,-0.00627682425759055,-0.039758855646306816,-0.009780374440279876,-0.0016066377813165806,-0.0036305189132690417,-0.0006125298413363318,-0.005635911768132987,0.0009951943700963809,-0.00047435543753883907,-0.02763004736466841,-0.0002975951541553777,-0.008111823688853869,1.1485151811079546,-0.0005368969657204387,-8.500976995988942e-05,0.107837590304288,-0.00032286210493607956,-0.007677750153975058,-0.005163908004760741,-0.002222819761796434,-0.0005304210565306944,-0.0012888583269986245,0.004249984567815606,-0.002067728476090864,-0.011766720901836048,-0.009406003085049715,-0.0019476034424521665,-0.0016371228478171559
5,-0.013295184482227667,-0.11859384450045499,-0.0024529370394620036,-0.007485519755970348,1.8994584517045454,0.21367021040482956,-0.7769511829723011,-0.049354379827325996,0.12166109952059659,0.3879172585227273,0.053903059525923294,2.136496803977273,-0.014622739770195698,-0.000903021205555308,-0.0008088567040183211,-0.006476922468705611,-0.005387631329623135,-0.023442355069247158,-0.014464481310410936,-0.006539539857344193,-0.006203911521218039,-0.05532021956010298,-0.22305714000355115,-0.007728652520613236,-0.004724069075150923,-0.004263574426824399,0.0008951642296531,-0.007838704369284891,-0.03389575264670632,-0.004941810261119493,-0.010213808579878374,-0.0027139186859130855
6,-3.392046148126145e-06,0.002217206087979405,-0.003031438047235664,0.005112886428833007,-0.001687136563387784,0.003077160228382457,-0.008017453280362215,-0.002314047379927202,-0.00010245632041584232,0.21693836558948865,-0.00035734610124067955,0.0003422728993675976,0.001648631962862884,0.02572540803389116,-0.00468301773071289,0.007554574446244675,0.0027327998117967103,0.0010357119820334681,0.010560642589222301,5.418604070490924e-06,-0.007233435457403009,0.014034704728560015,0.12134890122847124,-0.013775392012162642,0.005705139853737571,-0.02526454492048784,-0.019204659895463425,-0.004753546281294389,-0.14553668282248758,0.09747045690363104,0.002226482738148082,0.002981402657248758
7,-0.0016638582403009578,0.007261102849786932,0.0055566050789573,0.15967490456321023,0.002070340243252841,0.00035802613605152476,-0.012417489832097834,-0.010790391401811079,-0.014668247916481712,0.006505185907537287,-0.007210406390103428,-0.004803050648082386,0.005389473655007102,-0.0009927939284931524,0.008355227383700285,-0.009691065007990059,-0.005900989879261364,0.00868214260448109,0.0023697939786044035,0.0002873377366499466,0.0014553070068359375,-0.010622165419838646,-0.007514644752849226,0.7160367098721591,0.07158591530539772,-0.17481301047585227,-0.003721930763938209,-0.06215190887451172,0.008069450205022638,0.057709000327370384,0.0064865459095348015,-0.0004123340953480114
8,0.6635879169810902,0.8149802468039773,-0.11018328233198686,-0.09373057972301137,0.0026328346946022725,0.0015537088567560363,0.02224974198774858,-0.010415055535056374,0.9129125421697443,0.08685441450639204,-0.07406442815607245,3.1414240056818183,0.05540240894664417,0.02835793928666548,-0.22565893693403763,0.02850428494540128,0.012220642783425072,-0.006844260475852273,-0.021691658280112526,0.028210271488536488,0.0169525146484375,-0.0037355206229469982,0.01396380229429765,0.005703004923733798,0.020915638316761364,0.034581357782537285,0.02045232599431818,0.007848739624023438,-0.016872514377940784,0.07959352840076793,0.016486428000710228,0.09870702570134943
9,0.0012032335454767397,0.034559770063920456,0.026685454628684303,-0.003805463964288885,-0.013689127835360441,-7.1633945811863765e-06,-0.0034117373553189338,-0.001556271856481376,0.01324959234757857,0.005822723562067205,0.03171313892711292,0.0009758960116993318,-0.0670991377397017,-0.11051559448242188,-0.011684298515319824,-0.03330762819810347,-0.008386915380304508,-0.0076304565776478175,0.003081104972145775,-0.011974551460959694,0.03077032349326394,-0.040976004167036575,0.00948433442549272,0.014015067707408558,0.018685210834849964,-0.07830394398082387,0.017748713493347168,2.6800426136363638,0.01859140396118164,0.03521654822609641,-0.015903559598055752,0.8903184370561079
