layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.034290313720703125,-0.0014694035053253187,-0.0031533837318420423,-0.0057048797607421875,-0.004915714263916016,-0.0043398141860961905,-0.0037822723388671875,-0.003769397735595703,0.00563502311706543,-0.0013784170150756827,4.541873931884999e-05,-0.021289348602294922,-0.0009091198444366468,-0.0008560419082641625,-0.002777576446533203,-0.00012230873107910154,-0.00016282498836516404,-0.00024560093879699685,-0.00023967027664183906,-0.0003020614385604828,-0.001176565885543822,-0.000302329659461975,-0.0002875924110412578,-0.00328075885772705,-0.00890350341796875,-0.009950637817382812,-0.0088348388671875,-0.006123542785644531,1.49756669999141e-06,1.9259750843045707e-05,-9.566545486457812e-06,1.2571490515256305e-09
1,-0.003786802291870117,-0.0005982145667076117,0.0006494075059890734,-0.006398916244506836,-9.33930277823987e-06,-0.00214063934981823,-0.0009641945362091031,0.00022429600358009206,0.0008221268653869625,0.00026217103004455154,-0.021686553955078125,-0.005652308464050292,0.0008557289838790875,-0.0008719488978385913,-0.0003607198596000625,-0.0008203685283660859,-0.0009689480066299467,-0.007722377777099608,-0.0019091702997684479,-0.004393100738525391,-8.548377081751386e-06,-0.02108161896467209,0.008502960205078125,0.009454727172851562,0.00011163949966430626,-0.0006746053695678703,-0.0008237361907958969,-0.0005100071430206297,-0.0013840794563293455,0.0008421540260314922,-0.00010249763727188598,-0.0017315149307250953
2,-0.00028707832098007083,0.0009726881980895938,-0.0009066313505172702,0.0003541633486747728,-0.0008622109889984141,-0.0001741945743560781,0.0006279647350311328,-0.0032494962215423593,-0.0003843903541564934,-0.00018901377916335962,-0.00024063140153885625,-0.0003318414092063875,0.0005990266799926735,0.008131980895996094,0.013767242431640625,0.006363898515701294,-0.0005400329828262281,-0.0006728507578372942,-0.0008017644286155691,0.0012797117233276359,-9.77925956249274e-05,5.242618499312494e-07,3.322679549455088e-05,-4.3395557440803685e-06,-0.011363029479980469,5.513429641722654e-06,-0.0010436922311782828,-0.004643887281417847,-0.00012464448809623407,-0.0028645992279052734,5.579367280007001e-05,-0.00016699731349944217
3,0.004676342010498047,0.0012611672282218911,4.281103610992656e-05,-0.00025659799575805626,-0.0008065961301326781,-0.0003377646207809441,-0.0010521709918975839,-0.0007468312978744542,-0.004270076751708984,-0.0036081075668334952,-0.0028519332408905016,-0.0010394863784313202,0.002634547650814058,-0.00018757581710815468,-0.00012527033686636987,-0.0007414221763610844,-0.0013300329446792583,-0.0006210058927536015,-0.0006419420242309594,-0.0007427483797073344,0.00029152631759643126,-6.355345249173437e-06,0.0014035552740097046,-0.00022023916244506717,-0.00044343434274196527,0.0006729215383529641,-0.0008432045578956596,0.08702826499938965,-0.0016282796859741202,-0.00105273723602295,-0.00020754337310791092,-0.0035789310932159424
4,0.0015755593776702874,0.00017803721129893877,-0.0009378343820571911,-0.0012938976287841797,-6.92158937454203e-05,0.004855453968048096,-0.001955747604370117,-0.001873776316642764,0.0009481608867645234,3.288686275482809e-05,9.8794698715213e-06,-0.0009736120700836172,-0.00031344778835772487,-0.005863070487976077,-0.00024557206779717803,0.00321948528289795,0.0005835294723510735,-0.0024046897888183594,-0.001169495284557339,0.00846099853515625,0.002094268798828125,0.0007299110293388332,0.0020291805267333984,0.00011384487152100313,-0.0015558153390884412,-0.009037971496582031,-0.005599468946456909,-0.003203868865966797,-0.00043404102325439377,9.767711162567029e-05,-0.00017522275447845627,-0.00041365623474121094
5,-9.474158287048589e-05,0.0235850065946579,-0.0013883113861083984,-0.004252016544342041,-0.010316610336303711,0.001156508922576903,-0.02823638916015625,-0.0018863677978515625,0.0010593309998512231,0.004714131355285645,0.0009318962693214361,0.012894868850708008,0.000742912292480472,-0.0006872415542602531,-0.00042966380715370547,-0.001612007617950439,-0.0016775429248809812,0.002299100160598756,0.0013088434934616095,0.0012993514537811281,0.000790491700172425,-0.004245758056640625,0.059094905853271484,0.0028619766235351562,0.00100063532590866,-0.0009619519114494328,-0.004488617181777956,0.0008778870105743406,-0.014790534973144531,-0.002950906753540039,-0.005450993776321409,-0.0010675191879272422
6,-0.0009897500276565547,-0.0019506216049194345,0.00017281249165534916,0.004120826721191406,0.0013684630393981938,-0.0009600520133972156,0.002222597599029542,0.0016689449548721337,-0.0005301237106323235,-0.010251045227050781,-0.0002893209457397422,-0.0016806572675704954,-0.0017119646072387687,-0.01502084732055664,-0.01568770408630371,-0.01047533750534058,-0.001891538500785828,-0.005400836467742917,-0.0038308128714561454,-0.00270843505859375,-0.002007797360420225,-0.0018520355224609375,0.0018777847290039062,-0.006215572357177734,0.005204677581787109,0.002589821815490722,0.00902557373046875,0.0037217140197753906,-0.0008376240730285625,-0.04277685284614563,-0.0005816221237182593,0.00824880599975586
7,0.00023537129163742185,-0.001031517982482911,-0.003063142299652097,0.04526519775390625,-0.005900859832763672,-0.00027404353022574663,-0.004825592041015625,-0.0005620867013931281,-0.005944728851318359,-0.0029991865158081063,-0.00029537081718444835,0.005212545394897461,-0.0009207725524902344,-6.773695349693576e-05,0.00021338462829589844,0.0008941888809204124,-0.001850888133049011,-0.00301307439804077,-0.0036310255527496342,-0.002355895936489106,-0.002785146236419678,0.00018808245658874458,-0.0005446299910545329,0.0522003173828125,-0.011020541191101074,0.022672653198242188,-0.009821891784667969,-0.015608787536621094,-0.0033652782440185547,-0.008788108825683594,-0.0008087158203125,-0.003531932830810547
8,0.08479881286621094,0.008779466152191159,-0.003825664520263672,-0.0004290342330932626,-0.00021658837795257658,-0.0012382864952087407,0.001380652189254761,-0.0012889206409454344,-0.0018982887268066406,-9.930133819580154e-05,-0.015131950378417969,0.001870036125183103,-0.002118676900863647,-0.001955300569534303,-0.0567169189453125,-0.004425704479217529,-0.003058969974517822,-0.0003743767738342297,0.002606898546218877,0.006762504577636719,-0.0028809309005737313,-8.271634578704376e-05,-0.0034258961677551283,-0.0073910802602767936,-0.000932127237319945,-0.003582000732421875,-0.014790534973144531,-0.01386404037475586,-0.008408546447753906,-0.025365829467773438,-0.016165852546691895,-0.0376133918762207
9,-0.014097452163696289,-0.0308840274810791,0.000152587890625,-0.018121957778930664,0.0004717856645584078,-7.66962766647328e-05,0.0003050863742828419,3.5092234611555005e-06,-0.007889330387115477,-0.00395655632019043,-0.007668495178222656,-0.0003615915775299031,-0.032077789306640625,-0.05756092071533203,-0.00498649477958679,-0.0018593072891235343,-0.0031235218048095703,-0.00314384698867798,-0.010425567626953125,-0.002071052789688114,0.0038421154022216814,-0.04638504981994629,-0.019862651824951172,-0.023660659790039062,-0.0021008104085922267,-0.037212371826171875,-0.0005562305450439469,0.007593125104904175,-0.024747490882873535,-0.0031342506408691406,-0.018710613250732422,0.0010207779705524414
10,-0.0003305710852146166,0.0021361261606216405,-0.0020487010478973376,0.01546621322631836,-0.0031626522541046156,0.0025100260972976745,0.0068611502647399885,0.014994800090789795,-0.014818668365478516,-0.007188439369201659,0.00032052397727966406,-0.003480166196823119,0.01657867431640625,0.034829139709472656,0.03314971923828125,-0.001550376415252686,-0.0025943219661712673,0.011072933673858644,0.011435531079769136,0.0006589889526367157,0.00947079062461853,0.0025949776172637952,0.003171205520629883,-0.002868443727493286,-0.01488250494003296,0.019804954528808594,-0.0005867555737495438,0.0024961978197097783,0.007159113883972169,0.0070987939834594735,0.004146039485931394,0.0014556730166077588
11,0.0004985928535461453,0.0016623437404632564,0.0024101734161376953,7.978081703185996e-05,0.005337253212928771,0.010837972164154051,-0.035350799560546875,0.0044057369232177734,-0.054132938385009766,0.005886554718017578,0.0023611187934875484,-0.0028327703475952174,0.0007446408271789515,-0.010668754577636719,0.0027182698249816877,0.02519938349723816,-0.0010619051754474597,-0.0033687353134155265,-0.0005105435848236095,-0.0017616748809814468,-0.016760826110839844,0.003599151968955992,-0.006859183311462403,0.003084003925323486,-0.0047609806060791016,-0.002521663904190064,-0.0015910863876342765,-0.0035366415977478014,-0.0007961094379425031,-0.0021643042564392107,-0.005140423774719237,-0.0009686946868896484
12,-0.002170681953430173,-0.00023315846920013428,-0.0035073459148407,0.001677930355072022,-0.004377484321594241,0.009602904319763184,-0.022388219833374023,-0.002799510955810547,0.008920669555664062,-0.004546821117401122,0.004244804382324219,0.0009847879409790048,-0.0016282498836517334,-0.0009551644325256361,-0.004169344902038573,-0.00018090009689330925,0.0014271736145019531,0.000941101461648938,0.0006907060742378212,3.078579902648997e-05,-0.007694244384765625,-0.012588977813720703,-0.0029469132423400888,-0.004778385162353514,0.0055696964263916016,-0.004210650920867918,0.0005854368209838859,0.0007640719413757312,-0.013469964265823364,-0.011927008628845215,-0.007032036781311034,-0.0048100948333740234
13,0.019688844680786133,-0.003117799758911133,0.003347754478454589,-0.0007581710815429688,0.04499244689941406,-0.00807499885559082,0.001621484756469728,0.006125092506408692,-0.028708457946777344,0.00025498867034912185,-0.022945523262023926,-0.03165459632873535,-0.0058126449584960955,0.0017661452293395985,-0.005115538835525514,-0.011441670358181003,-0.004903197288513183,-0.011814594268798828,0.0015846192836761483,-0.04558372497558594,-0.015390992164611816,0.0022830367088317875,-0.003991067409515381,0.00011114589869976017,0.005351185798645019,0.0035566091537475595,-0.0010928511619567858,-0.004008352756500244,-0.0038714408874511736,-0.0009059906005859405,-0.0015007257461547843,0.0023239850997924813
14,-0.010307431221008297,-0.00813785195350647,0.004754066467285156,-0.0072565078735351545,0.00910186767578125,-0.005895018577575683,0.00158028304576874,0.016013056039810184,-0.003630295395851136,0.0019512176513671875,-0.007206320762634275,8.149072527884933e-05,-0.019453763961791992,-0.002186924219131469,-0.009632468223571777,-0.02245306968688965,0.016357064247131348,0.005607128143310547,0.05433845520019531,0.0022198557853698717,0.010079324245452879,-0.0018351972103118923,0.004776358604431153,-0.008936643600463867,0.007589772343635561,0.0010637044906616187,-0.00532976072281599,-0.0004034042358398407,0.014271736145019531,0.010530471801757812,-0.006181001663208008,0.0020833313465118434
15,0.0013951659202575658,0.020442962646484375,0.010893583297729492,0.040441036224365234,-0.049375295639038086,-0.0017549581825733198,-0.0023915767669677734,-0.0033693313598632812,-0.0028798878192901616,-0.003582835197448733,-0.006478846073150634,-0.002604246139526367,0.0024629831314086905,0.0014510154724121079,0.0007402822375297511,0.001109719276428225,-0.0037899315357208235,0.0002298504114150999,-0.005566060543060303,0.0004632622003555271,-0.011892348527908325,-0.013533473014831543,-0.002304054796695708,-0.01513051986694336,-0.0018050968647003156,-0.0026086419820785535,-0.004480332136154173,-0.002908423542976381,0.02906644344329834,0.015911102294921875,0.027926921844482422,-0.0008761882781982379
16,0.004720062017440796,0.006295502185821533,0.0019773840904235827,0.03542661666870117,-0.00012060254812240847,0.0013408735394477862,-0.00020450353622436437,-0.00046081468462943434,0.003940246999263767,-0.0006565749645233156,0.0010062456130981437,0.0032575465738773402,-0.002206683158874511,-0.00018114596605300405,-0.0007477812469005604,-0.0005176290869712845,-0.010872751474380493,-0.005562305450439453,0.0011396408081054688,-0.0031800270080566406,0.03825119137763977,0.031093597412109375,-0.002632617950439453,0.14515423774719238,-0.009686946868896484,-0.02901017665863037,-0.009546756744384766,-0.02344226837158203,-0.0021535456180572514,-0.0011935830116271983,-0.005842804908752442,-0.0010236501693725577
17,0.00032188743352889895,4.0382146835328124e-05,-0.0017867088317871094,-0.0022967606782913217,-0.0008864104747772219,-0.0004407018423080422,-0.0012516975402832031,-0.0037984922528266894,0.0036485493183136,0.003477454185485839,0.0008326172828674328,-0.0014077425003051766,-0.004679739475250244,-6.198883056640625e-05,0.002066805958747869,-0.00022765994071960162,0.0004870295524597172,0.0012341737747192391,-0.0017922148108482326,0.0036761313676834185,-0.0018114447593688952,-0.0039600729942321795,-0.002239227294921875,-0.0029287040233612048,-0.003884911537170411,-0.0007156990468501954,-0.0003998428583145124,-0.005510568618774414,-0.0012170821428298922,-0.0008433163166046172,-0.0002251788973808269,-0.0012620091438293438
18,-0.0009744167327880859,0.0011067576706409545,-0.0005180239677429219,-0.0006577968597412094,0.004424691200256347,-0.00028607249259949376,0.00023493263870479,-0.001701816916465761,-0.00018891692161560004,-0.0008786506950855263,-0.0028689280152320844,-0.00170670822262764,-0.0008735656738281266,2.5883316993721897e-05,0.0015840530395507812,-0.0007481575012207051,-0.0009829550981521485,-1.4503486454480504e-05,0.0006472840905189469,-0.00012531876564026098,9.45478677749624e-05,-0.00018969178199767185,0.0005500763654708828,0.0006471425294876094,-0.008527159690856934,-0.0009961724281311003,-0.001762658357620239,-0.0023878663778305045,0.00013875961303710938,-0.004453808069229125,0.000487759709358214,0.00046113878488540487
19,0.00861862301826477,4.279613494873123e-05,0.005505383014678957,0.004659175872802734,0.00015562772750854115,-0.00011263042688369683,9.374320507049528e-05,-0.00195324420928955,-0.0006469041109085109,0.00399354100227356,-0.00022360682487488056,0.0014713704586029061,0.008252419531345366,-0.0007760673761367828,0.00028531625866889737,-0.0004353789845481435,-1.6074627637832802e-06,-0.00016457214951515715,-0.0009047836065292374,-4.4741667807108404e-05,0.004966884851455688,0.00019291043281555,-0.001594662666320801,-0.0009118914604187,1.9076745957134104e-05,0.0012736171483993452,-0.00012299418449401172,0.00033558439463376636,-0.0002607405185699368,0.00011567957699298676,-0.0008475482463836681,-0.00026260130107401934
20,0.005256354808807373,0.04289817810058594,0.004892170429229736,0.0021195523440837817,-0.0020486116409301766,0.0028989315032958984,0.0002200528979301394,0.0001165866851806658,-6.4969062805175e-05,-0.00031985342502593897,0.001359324902296065,-0.002685129642486575,-0.013071179389953613,0.003143161535263064,0.007417559623718261,0.0031173229217529297,-0.0010698139667510984,-0.0015198290348053,-4.0568411350263485e-05,-3.758445382118304e-05,0.004394754767417902,-0.0005204081535339327,-0.0010786056518554672,0.04091358184814453,0.0008689761161804195,0.0012854188680648782,0.0037883222103118923,-0.0022687911987304688,-0.00039443373680115,-0.0004898160696029583,0.0036330223083496094,0.0005540996789932235
21,-0.0004926547408103894,0.0032856315374374394,0.010029047727584837,0.0069999098777771,-8.42704903334283e-05,-0.0001954678446054418,-0.0005097091197967547,-8.08872282504971e-05,0.0033059120178222674,-0.0006761178374290416,-0.0011820793151855469,0.000333920121192928,0.0013523660600185422,0.0032546073198318503,0.003006588667631149,0.0003503533080220232,-0.002031080424785614,-0.00031785666942596403,-0.0014750361442565922,-0.00032661855220794217,0.0030547603964805616,0.06602740287780762,0.1386173665523529,0.0067081451416015625,9.415578097105648e-05,0.001052930951118473,0.0057297796010971095,-0.00029922276735306057,0.0003457227721810221,0.0007445812225341704,0.0010569095611572218,0.00217008590698242
