layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.00010866423447928348,0.0006595949331919069,4.0928522745766926e-05,0.013410568237304688,0.008518854777018229,0.004438757896423337,0.006310462951660154,0.009444872538248696,0.004961967468261713,0.0043917496999104745,0.0008803606033325,0.008895556131998696,0.003859480222066242,0.004994114240010579,0.005636692047119137,0.009903907775878905,-0.0023792584737141868,-3.9100646972669294e-05,0.0023585160573323543,-0.0030500789483388223,-0.007086594899495438,0.003927151362101234,0.0003465016682942708,-0.00024950504302977914,0.00389997164408365,0.005092938741048175,0.004918416341145833,0.00531546274820963,-0.006566743055979413,-0.0021523435910542703,0.0031023770570754983,-1.8737096524994988e-05
1,-0.00016981363296507458,-0.0004308621088663768,-0.004717191060384108,-0.0009453147649764842,0.0009168585141499709,0.0014932950337727916,0.0006012916564941375,0.004694938659667966,-0.001410047213236475,-0.0029756228129069,-0.00047657390435533014,0.0002235968907674052,-0.004756609598795575,-0.0011165142059326033,-1.9272168477383348e-05,-0.0012856920560201054,0.0004452268282572347,-3.166993459065831e-05,0.0019952083627382796,-0.0012977917989094917,0.0005642821391423531,0.0004329284032185689,-0.004486083984375,-0.0358727773030599,0.00014268110195794913,0.0005181531111399178,0.0008489886919657171,-0.00014179944992065666,-0.01754442850748698,-0.0027973055839538587,-0.0011856804291407199,-0.0032329559326171875
2,-0.0004571278889973841,-0.0002079308032989476,0.00033783912658691845,-0.0011264681816101167,-0.0051085154215494795,-0.006090799967447917,-0.015019734700520834,-0.0020825068155924417,-0.0006111059337854218,-0.00010210275650024636,-0.00035341580708822296,1.964966456094714e-05,-0.0024402936299641916,-0.0007462551196416008,-0.023482322692871094,-0.007963816324869791,-0.0015787432591120249,-0.0013831456502278626,-0.000900040070215848,-0.025970458984375,-0.23544820149739584,-0.04837636152903238,-0.08011595408121745,-0.14605712890625,0.0006655057271321617,-0.01735297838846842,-0.0022751390933990327,-0.000916913151741026,-6.629029909769903e-05,2.055366834004851e-05,4.072984059649167e-05,-0.00028202931086223466
3,-0.020631154378255207,-0.01610120137532552,-0.0009119311968485323,-0.0005382498105367051,-0.0002097909649213167,0.0003235091765721535,0.0004681547482808431,0.0009159247080484912,-0.000691056251525868,-0.00041254361470540005,-0.00022995471954345,-0.0007702658573786326,-0.024422327677408855,-0.010192712148030596,-0.0014663537343342834,-0.004927476247151687,-0.0012762546539306248,-0.0014586982627709593,-0.001239538192749005,-0.0015386641025542955,-0.009912490844726562,-0.005195776621500642,-0.03468894958496094,0.0016200542449951165,-0.010816574096679688,-0.008804003397623696,-0.0036246776580810543,0.003943125406901042,0.00046181678771971274,-0.014068603515625,-0.005695184071858725,-0.0023420254389444916
4,-0.007193247477213542,-0.00700863202412923,-0.012059529622395834,-0.0034875869750976497,-0.001700202624003079,-0.0015992323557535834,-0.010200619697570804,-0.005223115285237621,-0.014364242553710938,-0.0052725474039713545,-0.012579600016276041,-0.002212444941202787,-0.00014775991439818994,-0.0005976359049479166,0.0010954837004343637,-0.03079509735107422,-0.3835856119791667,-0.00012355546156565388,0.00015181303024290325,-0.03548367818196615,-0.007569313049316404,-0.007898330688476562,-0.0017528335253397577,-0.0058054924011230425,-0.0005123019218444824,-0.00015620638926823311,0.0034046173095703125,-6.513049205144793e-05,-0.0014355580012003584,-0.004033446311950684,-0.0046593348185221374,-0.0006195902824401627
5,0.00028903285662332283,-0.00024278958638508769,-0.000114659468332944,-0.0001781887064377472,-0.015469705065091455,-0.3863321940104167,0.033186117808024086,0.01755174001057943,-0.6388753255208334,-0.2637532552083333,-1.2967122395833333,-0.10671488444010417,-0.0001288304726282628,0.00048507253328957875,-0.00019852568705875287,5.4915746053036845e-05,0.016048590342203777,0.06334273020426433,0.020493507385253903,0.002980232238769529,-0.010911305745442709,0.006724119186401363,-0.012349208196004234,-0.01074981689453125,-0.0010814269383748415,-0.001012474298477154,-0.0007070675492286443,-0.017218271891276043,0.0003068546454111829,0.00044859449068704706,0.0012381076812744208,0.008489926656087242
6,-0.0016998449961344291,-0.0012061595916747876,-0.0027561187744140586,-0.008477528889973959,0.001004974047342933,0.012811024983723959,0.026561141014099118,0.016478220621744793,0.0005127266049384972,-0.002102295557657875,-0.00034989913304647513,0.00022017459074655571,-0.0019705096880594706,-0.0003107960025469182,-0.00020774205525716667,-0.0006910401086012192,-0.0010171731313069641,-8.431077003477285e-05,0.0006056427955627416,-0.00019260216504333712,-0.03174813588460287,-0.0042781829833984375,-0.04006195068359375,-0.002055724461873371,-0.009325027465820312,-0.0056878328323364214,-0.004520098368326821,-0.006510575612386063,-0.016013463338216145,-0.0473176638285319,0.001664454738299046,0.0039518674214681
7,0.001230080922444654,-0.0005611181259155306,-0.0009019623200098608,-0.1787999471028646,-0.009301185607910155,-0.0039068857828776045,0.00191537539164225,-0.0024068355560302747,0.01523733139038086,0.06835436820983887,0.0036598940690358364,0.041315555572509766,-0.0007537951072057112,0.007742245992024729,-0.022462368011474613,-0.0047499338785807295,0.006165742874145508,0.0026148955027262416,0.011984030405680338,0.0008061925570170136,-0.009766578674316405,-0.03461011250813802,-0.012149810791015625,-0.05475902557373047,0.0046774546305338545,-0.086181640625,-0.010691960652669271,-0.001840996245543177,0.004484335581461587,0.009436925252278646,0.008029818534851074,-0.009940783182779946
8,-0.07512966791788737,-0.2929890950520833,-0.014962196350097655,-0.05560429890950521,-0.0008226434389750251,0.0014350215593973744,0.00029786427815755006,-0.00018143653869629166,0.06765937805175781,0.013815244038899742,0.018970489501953125,-0.8237711588541666,0.002268135547637941,0.007675806681315099,0.084228515625,0.007827440897623696,0.007746378580729171,-0.007602016131083175,-0.009144902229309084,-0.0052773157755533874,0.0006513794263203967,0.0006763935089111084,0.0007950862248738416,0.0028223196665445997,0.013251880804697675,0.02959283192952474,0.06966145833333333,0.022040208180745438,0.024132410685221355,0.014061609903971354,0.024513641993204754,0.07763163248697917
9,0.03235499064127604,0.05135536193847656,0.016852060953776043,0.008061240116755164,2.199411392211249e-05,0.002400080362955725,-0.0011297265688578308,-0.004144748051961263,-0.0020705858866373584,-0.0005444933970768907,0.0006912251313527314,-0.0015377551317214742,0.020142873128255207,0.17870688438415527,0.03009796142578125,0.008855024973551433,0.003989557425181065,0.020095030466715496,0.011529286702473954,0.013792355855305987,-0.0005544821421305375,0.030305226643880207,0.017302831013997395,0.007163047790527341,0.003061850865681954,0.004329442977905271,0.005364259084065754,-0.351348876953125,-0.003823121388753254,-0.001431847612063078,0.022378921508789062,-0.14516703287760416
