layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.00034734054848000205,0.00028250835559984357,0.00017496391578954837,0.009297123661747685,0.004957411024305556,0.0013489899811921261,0.00252391673900463,0.004338017216435185,0.0021933096426504594,0.001971068205656826,0.0004791683620876667,-0.0005883817319516778,0.0037314097086588558,0.003937032487657331,0.003650806568287037,0.006912584658022281,-0.0009150681672272815,0.000376418784812637,0.0024371676974826333,9.789290251555548e-05,-0.003206888834635415,-8.325223569517412e-05,0.00013595157199435554,-0.000428411695692263,0.0005722045898437445,0.0025458159270109887,0.0021164505570023147,0.0027451691804108776,-0.0029241773817274296,-0.0006387675250017999,-0.00011798187538428548,-7.2421857179585275e-06
1,-9.439609668872965e-05,-0.00011448065439859216,-0.0021578470865885446,-0.00042957729763453724,0.00032288277590715773,0.0013618116025571447,0.0004737818682635281,0.0032699019820601853,-0.0007151232825385089,-0.00208381370261863,-0.0003322671960901296,0.0005412278351960222,-0.0036523607042100704,-0.00025471493049903315,0.00032214765195493487,-0.0007047299985532407,0.00024430398587826544,2.0234673111532356e-05,0.0007182227240668296,-0.0010579427083333372,0.0002141881872106398,0.00012130097106650364,-0.0022438632117377406,0.012808835064923321,0.0003572040134006101,0.0011540165653935088,0.00046620545563873125,0.00015059223881474986,-0.006939358181423611,-0.002047362150969326,-0.0007748427214445808,-0.0017197926839192703
2,6.110579879196087e-05,-0.0013416784780996766,7.023634733976617e-05,-0.000189021781638811,-0.002579583062065974,-0.004523665816695604,-0.006928196659794563,-0.0012648193924515298,4.7840453960276714e-05,0.00016053296901560554,8.123892324940733e-06,0.00016177142107926887,0.00025014524106628516,-0.0042798519134521545,-0.008400245949074073,-0.009352507414641205,-0.000678097760235811,-0.0008959593596281858,-0.0004782853303132111,-0.014492882622612847,0.16796875,0.016014099121093736,0.03672684563530816,0.1598533347800926,-0.0005753128616898105,0.01368706314652054,0.0018236372205945987,0.001727240505041899,0.0002484763110125432,-0.00014967609334873752,0.0003032154507107098,0.00019869760230735876
3,-0.01569903338396991,-0.011440983525028937,-0.00017385129575375047,-0.00023420651753741775,-7.307308691518769e-05,5.6635450433797095e-05,0.0014550950792100556,0.0008061815191198241,-0.0005147545425980047,-0.0012906745628074308,-0.00023663375112744316,-0.0005724518387405917,-0.009577433268229171,-0.0045095373083044,-0.0009134787100332667,-0.0021713398121021334,-0.0003999295058073659,-0.0006363038663510906,-0.0011185716699670862,-0.0006888265962953834,-0.006683914749710648,-0.0023324754503038113,-0.023992467809606483,0.001095383255570026,-0.005014772768373844,-0.00782793539541739,-0.002222555655020259,-0.04253994977032697,0.0002906035493921304,-0.01188038013599537,-0.003290529604311337,-0.0011552086582890314
4,-0.004581733986183452,-0.006310639558015045,-0.012514467592592593,-0.002198537190755207,-0.0007303025987413166,-0.0023884420041684813,-0.007236551355432581,-0.003135681152343752,-0.010937726056134259,-0.003048084400318285,-0.007776896158854167,-0.0011605024337768461,0.00041574902004665887,0.0005422168307834186,0.0006968886763961149,-0.014175132468894673,0.27390261049623843,-9.30273974383224e-05,-6.861156887477405e-05,0.0130517394454391,-0.008656254521122685,-0.008307280363859951,-0.0008094575670030334,-0.0050715163902000145,-6.358711807817589e-05,-0.0004392023439760675,0.002242194281684026,-8.815526962281165e-05,-0.0029116030092592557,-0.00946073178891783,-0.0019306430110224942,-0.00011711208908645013
5,0.000628789265950526,-0.008823253490306712,0.0003193837625008977,8.148617214625382e-05,0.0058366281014901635,0.37984664351851855,-0.04639010959201389,-0.016061853479456017,0.8419596354166666,0.20860460069444445,0.9558015046296297,0.13734379521122686,-0.00013800572465966183,0.0004871156480577229,-3.9065325701676505e-05,0.00011687808566622326,0.009663263956705725,0.017731843171296297,0.004486507839626733,0.0026730431450737854,-0.006477285314489293,-0.00899364330150463,-0.032831545229311344,-0.008817884657118056,-0.0005122467323585798,-0.0005941037778501071,-0.0001606941223144485,-0.011877837004484951,0.0003175293957745615,0.00028919290613244573,-0.00025131525816740765,0.0019726400022153454
6,-0.0027461581759982666,-0.0015901194678412554,-0.0044277332447193295,-0.005982151737919563,0.0014971273916739,0.007243686252170141,0.00784923412181713,0.023870538782190392,0.0002023025795265478,0.009707768758138023,-0.0001698423314977509,0.0005265341864691777,-0.0021062162187364284,-0.00022802529511626208,0.0006323832052725323,-0.0005999693164118945,1.1170351946797724e-05,0.0003690278088605,0.0010004396791811296,-0.00011015379870380465,-0.03184170193142361,0.00927480061848958,0.16700207745587384,-0.003855563976146559,-0.011463659780996815,-0.007085658885814529,-0.009276813930935334,-0.004174621016890915,-0.017526414659288194,0.05521110252097801,0.0004165437486436518,0.05080774095323351
7,0.0018655282479745406,-0.0011810638286449268,-0.0004032982720269048,-0.024653823287398718,-0.020300971137152776,-0.0022121447103994867,-0.006860238534432871,-0.009149339463975692,0.009539851435908563,0.02915332935474537,0.000590218438042537,0.023543746383101853,-0.00035761903833459417,0.002656088935004337,-0.017606099446614586,-0.0061598883734808995,0.006694864343713829,0.00022294786241319265,0.006611011646412037,0.0013424908673321703,-0.005384657118055556,-0.014753129747178824,-0.00015845122160734824,0.0676280834056713,0.03391407154224537,-0.31972023292824076,-0.005655359338831018,-0.004706347430193863,0.003486774585865163,-9.988855432581121e-05,0.006652690746166089,-0.006404452853732641
8,0.11094831537317347,0.27105931882505063,-0.008389366997612849,-0.04563847294560185,0.0011193310772931095,0.00013623414216218884,0.0030817102502893553,-0.0017918480767144113,0.6213559751157407,0.054662068684895836,-0.00982475280761719,1.6021773726851851,0.013165791829427086,0.010512881808810767,0.023030598958333332,0.003867679172092015,0.007286848845305266,-0.011391728012650103,-0.009234852261013445,0.006246213559751156,0.0016614419442635964,0.00037691990534464563,0.0013052269264503728,0.0019528424298321742,0.024134953816731766,0.06746984411168981,0.05970594618055555,0.0174713134765625,0.0050428885000723365,0.02560142234519676,0.0233612060546875,0.1263133861400463
9,0.03364393446180555,0.0636867947048611,0.06054546214916088,0.02356437400535301,0.0002433282357675074,0.0012100361011646442,-0.0009033415052625814,-0.0019673594722041405,-0.0015273623996310745,-0.0002778989297372184,0.00010843630190248149,-0.0013143596825776177,0.019477279097945603,0.012575502748842593,0.00832564742476852,0.017105950249565974,0.00744922072799117,0.019859031394675927,0.007570408008716726,0.011082260696976274,0.03508988133183232,0.004246888337311922,0.02761687172783746,0.025413036346435547,0.0025670086895978,0.01447154857494213,0.006632769549334493,1.6158582899305556,0.08713672779224536,0.00787461245501483,0.002853676124855326,1.2433449074074074
