layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.00011437279837471429,0.00025929723467145915,0.00036353724343434716,0.013950347900390622,0.0080413818359375,0.0042904445103236575,0.006532941545758929,0.008503505161830358,0.004375185285295757,0.004327910287039621,0.0008659362792968571,0.009906223842075892,0.004216057913643986,0.00535828726632255,0.005025046212332593,0.008963448660714286,-0.0015493801661900035,0.0010219131197247953,0.0033909252711704714,-0.000598634992327,-0.006562232971191407,-0.00018147059849329999,0.0010484967912946215,-0.00020326886858257855,0.0019809859139578645,0.0043787275041852645,0.0034550258091517786,0.003995622907366064,-0.005546842302594872,-0.0013369151524134928,-0.00040226323263984877,-8.145469369729294e-06
1,-0.00032978824206759255,-0.0004613740103585179,-0.004368645804268979,-0.0009731565202985429,0.0015009471348353713,0.0005278757640293756,-0.0002373286655971,0.003507069178989957,-0.0012581348419189436,-0.0019738333565848215,-0.00031476361410956997,0.0006204843521118147,-0.0019215175083705357,-0.0007337842668805606,0.0011698859078543642,-0.001469680241176043,0.0006979533604213,-0.0007532664707728705,0.0017310551234654,-0.0010038443974085928,0.0005139793668474356,0.0002874135971069215,-0.004916599818638393,-0.04500579833984375,-2.0361372402732546e-05,0.0008570126124790517,0.0009586811065673786,-6.716591971261425e-05,-0.012346540178571428,-0.001823697771344864,-0.0010992118290492328,-0.0030636787414550786
2,-0.0004505429949079259,-0.00021096638270785647,-0.00011271238327027037,-0.0023035321916852715,-0.004779270717075893,-0.005911690848214286,-0.011295863560267858,-0.0022822788783482075,-0.00010234543255395465,0.00045596063137052345,0.0001527922494071072,0.0003124752214976545,-0.0025424957275390647,-0.0005972726004464143,-0.02618408203125,-0.010005678449358265,-0.0011487688337053572,-0.001284599304199207,-0.0004871572766984846,-0.022657121930803572,-0.29384068080357145,-0.06237738473074777,-0.11254664829799108,-0.22202845982142858,0.0011643001011439644,-0.0299835205078125,-0.002652849469866064,-0.000724860600062771,0.00017734936305453727,0.00012792859758649374,0.00024345091411042224,0.00011312961578369676
3,-0.022975376674107144,-0.018294198172433034,-0.0005328314644949643,-0.0005097559520176322,-0.0003787108830043096,0.00046307700020926424,-0.00017615727015904019,0.000528556959969647,-0.0009836128779819949,-0.0007252011980329141,-0.001008987426757807,-0.00033337729317801424,-0.022495814732142856,-0.006392342703683036,-0.0012780427932739097,-0.0041926758629935125,-0.0012155260358537785,-0.0014558860233851608,-0.001215934753417957,-0.001470838274274532,-0.009264264787946428,-0.004502432686941964,-0.032741001674107144,0.003382274082728786,-0.009552001953125,-0.010252816336495536,-0.0026235665593828386,-0.0038670131138392855,0.0012657982962472072,-0.0111083984375,-0.0008038112095424142,-0.0017934526715959783
4,-0.006410871233258929,-0.006390162876674107,-0.006895882742745536,-0.0025307791573660646,-0.0015623910086495427,-0.0018299647739955357,-0.011711665562220986,-0.005487714494977679,-0.008999415806361608,-0.0032206944056919575,-0.009684971400669642,-0.0012157985142299142,-0.0006478173392159428,0.0018683842250279072,0.0021898533616747087,-0.023975917271205356,-0.4724818638392857,6.205695016043392e-05,0.0010014942714146285,-0.0325775146484375,-0.005072457449776786,-0.004962376185825893,-0.0008628198078700448,-0.0038670131138392855,0.00020643642970492388,5.0136021205349985e-05,0.003907612391880586,0.00015830993652343438,-0.0013460431780133858,-0.0033321891512189594,-0.0036370413643973215,-0.00047710963657921423
5,0.0005455911159515239,0.0005326952253069142,0.001040186200823093,-1.9852604184834124e-05,-0.005990913936070028,-0.43910435267857145,0.047793728964669366,0.020676749093191966,-1.0794503348214286,-0.33890206473214285,-1.1604352678571428,-0.21616036551339285,-0.00013254157134464628,0.000404707023075634,-0.0001491925546101117,0.00010532353605540656,0.014070783342633928,0.0539093017578125,0.013191802161080497,0.002814292907714843,-0.009691510881696428,0.004772731236049107,-0.012433733258928572,-0.010007585797991072,-0.002102988106863836,-0.0006111349378313131,-0.00025045871734618376,-0.013336181640625,0.0007945469447544643,0.0007540839059012143,0.0012760843549455714,0.008687155587332593
6,-0.0004096201487949737,-0.0010042190551757643,-0.0017874581473214285,-0.008121490478515622,0.0012758118765694572,0.006876809256417414,0.021670750209263394,0.008729117257254464,0.001640728541782907,-0.0011711120605468715,-0.0002945150647844864,0.0010286739894321787,-0.0014295407703944511,-0.00039097240992951585,0.0013778379985264187,-0.00055231366838725,-0.000752432005746028,0.0002453242029462666,0.00032868555613926615,-0.00010394198553902181,-0.017195837838309157,-0.008234296526227678,-0.1037376948765346,0.003134046282087057,-0.01175689697265625,-0.006178174700055807,-0.006900514875139507,-0.007662909371512279,-0.027120590209960938,-0.06918988909040179,0.0012630735124860358,0.018824986049107144
7,0.0008702959333147143,-0.0004446847098214366,-0.0007899148123604714,-0.19589124407087052,-0.008314609527587885,-0.004215649196079793,0.005881718226841514,-0.0029073442731584785,0.011028085436139786,0.055140904017857144,0.0018157107489449582,0.02236311776297433,-0.0012499264308384428,0.007553543363298691,-0.014229910714285714,-0.013639177594866072,0.005201441901070729,-0.0021912711007254356,0.00485992431640625,0.0004111698695591572,-0.006798880440848214,-0.03748212541852679,-0.026397705078125,-0.07786614554268974,-0.004450116838727679,-0.10989815848214286,-0.020448957170758928,-0.006968361990792414,0.006441661289760043,0.009051186697823657,0.006391252790178571,-0.0023721967424665215
8,-0.13152204241071427,-0.32938058035714285,-0.013490949358258928,-0.04767717633928571,0.000579833984375,-0.00014236995152065718,0.00135721479143415,-0.00044155120849609993,-0.049997874668666294,-0.002170017787388393,0.014362880161830358,-0.8722795758928571,-0.0010403224400111642,0.006093161446707586,0.08681815011160714,0.005821500505719871,0.006773812430245536,-0.010638645717075892,-0.014157431466238836,-0.016180855887276784,0.002421787806919643,0.0006565366472516518,0.0008648463657923785,0.003771815981183735,0.012119838169642858,0.029129300798688623,0.03877530779157366,0.010394096374511715,0.022988455636160716,0.006839071001325336,0.016623360770089284,0.000641277858189178
9,0.023450034005301334,0.016358511788504466,0.015217917306082593,0.009101322719029022,-0.00054618290492465,0.002415248325892857,-0.0025809151785714285,-0.003570556640625,-0.0011925697326660033,-0.00042652232306343167,0.0012170246669224287,-0.0011202607836042007,0.016945975167410716,0.15287126813616073,0.018231528145926344,0.015016828264508928,0.005239895411900107,0.014641898018973214,0.01000499725341797,0.012978690011160714,-0.005305630820138114,0.027994428362165178,0.010837009974888392,0.003841672624860486,0.0021266937255859284,0.006478445870535721,0.00413802691868373,-0.6465933663504464,-0.023040771484375,-0.002217429024832586,0.023535592215401784,-0.6302708217075893
