layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.30107421875,-0.01075286865234375,-0.02390785217285156,-0.017962646484375,-0.033056640625,-0.063330078125,-0.06435546875,-0.0306640625,-0.03623046875,-0.03316650390625,-0.00468292236328125,-0.0704437255859375,-0.009210205078125,-0.01502685546875,-0.032373046875,-0.00911865234375,0.0002742767333984399,0.00034446716308593993,0.00014495849609375,-0.0035491943359375,-0.0304443359375,-0.00021972656250000486,-0.009405517578125,-0.10849609375,-0.01064453125,-0.0572509765625,-0.018212890625,-0.05556640625,-0.0056060791015625,-0.001434779167175311,-0.0024244308471679703,1.4301318879007683e-05
1,-0.026849937438964844,-0.00426044464111328,0.004196739196777345,-0.01370849609375,-0.000917243957519525,-0.017595386505126945,-0.014337420463562008,0.0017779350280761803,-0.0218505859375,0.001842498779296875,-0.16185302734375,-0.0208526611328125,-0.003759002685546875,-0.00045957565307616996,-0.000744342803955075,0.00278472900390625,-0.0054816246032714745,-0.01624755859375,-0.002077007293701175,-0.01271514892578125,-0.000262355804443355,-0.029987096786499034,-0.003968429565429685,-0.3701416015625,-0.01171875,-0.005181884765625,-0.00681304931640625,-0.003577423095703125,0.01792564392089844,0.004145240783691405,-0.005065155029296875,-0.01241455078125
2,0.00024805068969726,0.0035449981689453097,0.00018749237060547994,0.008489799499511714,0.002275466918945315,-0.00802268981933594,0.0115753173828125,-0.028780746459960937,-0.00041058063507079013,-0.006648528575897217,-0.000861358642578125,-0.006467819213867185,-0.47349853515625,0.11165008544921876,0.10289306640625,0.0300537109375,0.0006000518798828149,-0.000946807861328125,-0.00135946273803712,0.03350830078125,-0.430322265625,-0.0009288847446441432,-0.030658721923828125,-0.007276725769042959,-0.01083984375,-0.16085872650146485,-0.6212387084960938,-0.1485076904296875,-0.006211900711059575,0.01163482666015625,-0.0018524467945098897,-0.011816310882568359
3,0.0353271484375,0.01659698486328125,-0.002155160903930665,-0.0003150224685668945,-0.000799846649169915,-0.00018072128295897998,-0.01522216796875,0.002469253540039065,-0.029807984828948975,-0.011676788330078125,-0.00515937805175781,-0.008244705200195315,0.013875579833984375,0.00251636505126953,-0.0003906250000000038,-0.005546331405639645,-0.002550506591796875,-0.0009647727012634278,0.000185930728912346,-0.00575103759765625,0.00596771240234375,-0.0056224822998046904,0.012494659423828125,0.000191497802734375,0.00021705627441406008,0.00944805145263672,-0.02180557250976563,0.02193756103515625,-0.008615493774414059,-0.057928466796875,-0.0604156494140625,-0.00120391845703125
4,0.007489776611328125,-0.0016013145446777352,-0.00248527526855469,0.0003124237060546899,0.002759170532226565,0.010931015014648441,-0.011550521850585934,-0.009226226806640625,-0.011598587036132816,-0.007407760620117184,-0.00232391357421875,-0.0038036346435546846,0.00010295510292052381,-0.010577392578125,-0.004328441619873045,-0.02304534912109375,-0.96484375,-0.00856599807739258,-0.001426315307617185,-0.209765625,-0.019170761108398434,0.007735443115234375,-0.0195556640625,-0.0006692886352539049,-0.01676177978515625,-0.02975311279296875,-0.023492431640625,-0.02514495849609375,0.01006278991699219,0.010772705078125,-0.0027309417724609352,0.002166461944580075
5,0.0058709144592285194,0.07515335083007811,-0.002990818023681645,-0.014917373657226566,-1.90823974609375,-0.3895751953125,0.62271728515625,0.0441680908203125,-0.395404052734375,-0.760546875,-0.06077880859375,-2.23046875,-0.0007129669189453149,-0.00877342224121094,-0.001834869384765625,-0.009202957153320309,-0.034633636474609375,-0.01666259765625,0.016670608520507814,0.0006420135498046899,-0.0075336456298828154,0.03443603515625,0.15554046630859375,-0.019146919250488288,0.005319976806640625,-0.016029739379882814,-0.024298095703125,-0.01241302490234375,-0.078472900390625,-0.0073272705078125,-0.0432769775390625,-0.017874908447265626
6,-0.03983383178710938,-0.0125457763671875,0.003897857666015625,-0.0003284454345703149,-0.022905731201171876,-0.03636474609375,-0.02802886962890625,-0.027716064453125,-0.003524017333984375,-0.11865234375,-0.0011217117309570298,-0.0077396392822265654,-0.03696498870849609,-0.11031494140625,-0.091064453125,-0.05316085815429687,-0.028733062744140624,-0.232977294921875,-0.019950103759765626,-0.03726005554199219,0.00650177001953125,-0.031884765625,-0.577734375,0.009653472900390625,-0.003935623168945315,0.02583160400390625,0.021032142639160156,0.009184646606445319,0.106982421875,-0.47349853515625,-0.0100616455078125,-0.082733154296875
7,-0.002808380126953125,-0.01794271469116211,-0.06779708862304687,0.0293701171875,-0.008164215087890624,-0.002526116371154787,-0.0025390625,-0.0264678955078125,-0.04608612060546875,-0.0707183837890625,-0.0010128021240234351,0.0167999267578125,-0.020965576171875,-0.000797116756439209,-0.0865447998046875,-0.03421630859375,-0.0135162353515625,-0.03523406982421875,-0.07422561645507812,-0.01131572723388672,-0.0322174072265625,0.01723442077636719,0.00903167724609375,-0.97451171875,-0.322314453125,0.33345947265625,-0.0888427734375,0.04820556640625,-0.06293106079101562,-0.17985076904296876,-0.08829269409179688,-0.038031005859375
8,-1.1967041015625,-0.844140625,0.0651092529296875,0.150457763671875,-0.007847404479980464,-0.028053665161132814,-0.04388427734375,0.020958900451660163,-0.8120361328125,-0.23584823608398436,0.06448898315429688,-2.9921875,-0.178302001953125,-0.03450775146484375,0.2666259765625,-0.1303577423095703,-0.0509979248046875,0.0007049560546875,0.003891754150390625,-0.11956748962402344,-0.0609832763671875,-0.0161376953125,-0.03284149169921875,-0.0315643310546875,-0.101953125,-0.33876953125,-0.1126953125,-0.0849365234375,-0.027795028686523438,-0.2386962890625,-0.145654296875,-0.5790771484375
9,-0.082177734375,-0.1148712158203125,-0.1896484375,-0.01319580078125,-0.0054248809814453096,-0.010760498046875,-0.00206298828125,-0.0051919937133789095,-0.04526214599609375,-0.022670745849609375,-0.046173095703125,-0.00740814208984375,0.07119140625,-0.0251953125,-0.042718505859375,0.02977294921875,0.00125732421875,-0.032611083984375,-0.0397705078125,-0.01199951171875,-0.099041748046875,0.05755691528320313,-0.0815185546875,-0.09302978515625,-0.0061004638671875,0.06753921508789062,-0.016473388671875,-3.628515625,-0.1532012939453125,-0.0491973876953125,0.02865447998046875,-2.9236328125
