layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-1.0972674334490742,-0.01268838953088831,-0.04998351909496166,-0.12622522424768517,-0.22028605143229166,-0.2412990993923611,-0.20347086588541666,-0.20368505407262733,-0.12939453125,-0.1785665441442419,-0.016357421875,-0.2483859592013889,-0.06608072916666667,-0.07236508969907407,-0.15626808449074073,-0.04721634476273148,-0.009578280978732642,-0.01187698929398148,-0.012366400824652778,-0.026176170066550927,-0.08516890914351852,-0.01155923914026331,-0.04070084183304398,-0.2892433449074074,-0.18851499204282407,-0.3424207899305556,-0.2219413474754051,-0.3192019992404514,-0.014688845033998844,0.002761028431080004,-0.004938973320855029,8.084347764790341e-06
1,-0.08489255551938657,-0.009862882119637947,-0.0006335929588035221,-0.04088931613498264,-0.002410535459165211,-0.026744162594830548,-0.028766941141199178,0.0012760162353515666,-0.10101318359375,0.011443809226707173,-0.3975513599537037,-0.04927119502314815,0.002097235785590278,-0.008650744402850111,0.0007473274513527259,-0.019033643934461806,-0.011684576670328769,-0.08186146727314701,-0.006350640897397636,-0.03335910373263889,0.00033203760782877037,-0.0561425420973036,-0.007453635886863426,-0.3405128761574074,-0.01712636594419126,-0.013720265141239866,-0.013247454607928241,-0.01287769388269495,0.0339120935510706,0.016807273582175927,-0.00988243244312428,-0.032460530598958336
2,-0.0025011521798592915,0.004582793624312792,-0.005349618417245374,0.007984867802372685,-0.011645705611617475,-0.01868806061921296,0.024507593225549767,-0.0718982837818287,-0.0011095824065031593,-0.012954897350735135,-0.005724589029947914,-0.030193752712673612,-0.6428855613425926,0.12093466299551504,0.15576623987268517,0.0641360812717014,-0.005400622332537622,-0.003076835914894389,-0.004272761168303301,0.0690646701388889,-0.48234953703703703,-0.0002901399577105327,-0.023125966389973954,-0.003004003454137722,-0.06681315104166667,-0.03518154003002025,-0.8101490162037037,-0.15633590133101852,-0.017007916061966503,-0.00453270806206597,-0.007359292772081166,-0.02697065141465928
3,0.08826135706018519,0.03906122843424479,0.0025096469455295114,0.0006482954378481253,-0.002834885208695015,-0.0004285441504584461,-0.025056061921296297,5.630210593894445e-05,-0.0993112634729456,-0.03126398722330729,-0.030690934922960066,-0.012950332076461228,0.040551362214265044,0.013411627875434026,0.0027784418176721557,-0.0023677614000108516,-0.01779570402922454,-0.002254680350974756,-0.00024245844946966835,-0.01208326551649305,0.02021506980613426,0.00810556058530454,0.05117458767361111,-0.00021270469382957406,0.007783536557798031,0.021143595377604168,-0.024283444439923318,0.017181961624710647,-0.03177381444860388,-0.1169399685329861,-0.01136158130787037,-0.006897255226417826
4,0.02247435958297164,0.014732078269675927,0.04806179470486111,-0.006734070954499418,-0.0030500623914930555,0.00430015281394676,-0.03206832320601852,-0.028838263617621526,-0.0030030851010923003,-0.008039827700014466,-0.001853660300925926,-0.014855137577763309,0.0005147545425980203,-0.015961823640046297,-0.004600736829969622,0.061679981372974535,-0.9504484953703703,-0.024241270842375574,-0.00518516257957176,-0.19968894675925927,0.004411485460069444,0.02729401765046296,-0.05923122829861111,0.005500828778302226,-0.048946521900318285,-0.06547376844618055,-0.05297682020399305,-0.06532965766059028,0.0017841480396412037,0.021335177951388888,0.0052984732168692185,0.020049766257957177
5,-5.98342330367482e-05,0.09710834644458911,-0.007880952623155382,-0.056807341399016206,-2.2340856481481484,-0.37645580150462965,0.12109375,0.031621297200520836,-0.25733326099537035,-0.8688512731481481,-0.07410798249421297,-2.5387731481481484,-0.009812849539297605,-0.012250335128219048,-0.0035276766176576845,-0.01778270580150463,-0.06986264829282407,-0.0886617589879919,0.004875041820384834,-0.014236167625144678,-0.010772563793041092,-0.0663158275462963,0.2352566189236111,-0.012083689371744788,-0.013480292426215278,-0.03563704314055266,-0.09744036639178241,-0.007640132197627315,-0.1874683521412037,-0.019484625922309026,-0.0899669505931713,-0.053394176341869215
6,-0.024565520109953703,-0.01927721941912616,0.041727701822916664,0.012889720775462963,-0.04919885706018518,-0.06811579951533565,-0.08678125452112269,0.035228587962962965,0.0004960519296151629,-0.3865017361111111,-0.01302478931568287,-0.014170346436677155,-0.07369373462818286,-0.2535389087818287,-0.24861653645833334,-0.1423885733992965,-0.043733950014467594,-0.33754249855324076,-0.03672945940936053,-0.10025448269314235,0.020354094328703703,-0.10261140046296297,-0.6923466435185185,-0.012752956814236112,-0.0290022956000434,0.04012100784866898,0.01149707370334201,0.025129530164930556,0.19618507667824073,-0.6932508680555556,-0.007350215205439815,-0.1304027416087963
7,-0.0067732775652850075,-0.01487520005967882,-0.08411877243607133,0.13329060872395834,0.03472900390625,-0.003811235781069159,-0.12180582682291667,-0.08412905092592593,-0.13448079427083334,-0.19300672743055555,0.002108326664677374,0.05479600694444445,-0.021947154292353874,-0.023681517000551575,-0.025646633572048612,-0.03800681785300926,-0.03225524337203414,-0.050814028139467594,-0.11663140190972222,-0.021893677888093172,-0.072357177734375,0.07457252785011574,0.010136215775101274,-1.0652488425925926,-0.5499131944444444,0.4798719618055556,-0.15568485966435186,0.005661858452690975,-0.08477020263671875,-0.043995044849537035,-0.16576357241030093,-0.0504913330078125
8,-1.9683159722222223,-1.2469618055555556,-0.015281394675925927,0.18793487548828125,0.005279258445457178,-0.035118950737847224,0.11629683883101852,0.04157737449363426,-1.4949363425925926,-0.3646556712962963,0.03932472511574074,-3.256076388888889,-0.23005054615162038,-0.05188892505787037,-0.1274131492332176,-0.12675419560185186,-0.07776783130787036,-0.015037536621093752,-0.017923567030164927,-0.14432779947916666,-0.08500219274450231,-0.029780635127314815,-0.051842583550347224,-0.06560601128472222,-0.30592529862015333,-0.6682219328703703,-0.39501953125,-0.2373679832175926,-0.06436665852864583,-0.4341453269675926,-0.34130859375,-1.2913592303240742
9,-0.25660988136574076,-0.2634006076388889,-0.6618561921296297,-0.18666020146122686,-0.015356558340567126,-0.02946867766203704,0.00558379844382957,-0.005148216530128767,-0.09747088396990741,-0.05119267216435185,-0.1043429904513889,-0.012745071340490263,-0.18095115379050927,-1.3247251157407407,-0.12413646556712964,-0.059632477936921294,-0.09655309606481481,-0.1590892650462963,-0.10129575376157407,-0.16262365270543983,-0.3121202256944444,0.06920030381944445,-0.2258572048611111,-0.28123191550925924,0.06070737485532408,0.043389214409722224,0.04092336584020544,-4.199074074074074,-0.326171875,-0.0920704029224537,0.11343553331163195,-4.829427083333333
