layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-7.716083676559132e-05,-4.350511158036682e-05,-0.00016932461246754003,-0.0001508214938565603,-0.0002309946144151941,-0.00039648184986233894,-0.0005020615439744811,-0.0004881912807248602,-0.0009578728825791066,-0.0010262615275832845,4.786627847443276e-05,-0.001999942011803206,-0.00022809610426801106,-0.0002649370229469114,-0.0004396738496216469,0.00013707718759212493,5.5763331599192455e-05,3.292425623478928e-05,0.0002545107085749691,9.711246070621266e-05,0.00027404491256617164,0.0008252041894684771,0.000394041433274366,0.00018574306799931073,-0.00010377562270973487,3.688290434064025e-05,7.516126962577516e-05,0.00010278614811926893,-0.0010014300076466609,-8.420524357248865e-05,-0.00035013717675359216,2.4879198966536133e-09
1,-0.00014880571350360053,-0.00019083664102373203,-0.0009522887895692037,-0.00022710449759314282,-0.0003450681578438119,-0.0018688537789590676,-0.00040204944850512776,-0.00014396283611561067,-0.00013105449436594163,-0.001002179751606103,-0.00013354814277503123,-0.0005717457465405662,-0.002006866647012578,-0.000669680301498309,-0.0005536255596568719,-0.0006567142294637768,-0.0003688624070125551,-0.00034847077708574404,-0.0005583575920863699,-0.00044687439060809843,-0.00013028319526767144,-6.964371639227697e-05,-0.0015036385014372056,-0.03911628363267431,-0.0003640625461842232,-6.762549937145398e-05,-0.0001932003962918556,-0.00036543645198988835,-0.0011662124837719414,-0.00027123337271827715,-0.0001192460270047795,-0.0003873327243253004
2,-0.00046526111146937715,-0.000514984130859368,-0.0005166972958066864,-0.0035231488305817616,-0.0005232358128769488,-0.0015144588062598263,-0.0018530551742457744,-0.0001836733997992663,-0.00015482723525484006,-8.631727230623617e-05,-0.001051476916427129,-0.00013768279327535694,-0.001108309945220459,-0.00035698008987137907,-0.00962500902091932,-0.0008191042726144825,-0.0008047894111969104,-0.0022683773400648567,-0.00045366407190478047,-0.004857525135736045,-0.20132772577633648,-0.03635700393772725,-0.09027425897946148,-0.17766643020341982,-0.0013861146363072434,-0.023554186401127268,-0.003976524625934144,-0.0037110789017107504,-0.00025362919711465365,-6.456645029894604e-05,1.4991177327973305e-05,-9.763663130922253e-05
3,-0.013402063141828813,-0.009091215313605542,-0.0004312992095947215,-0.0008312295067985087,-0.00012242844410285985,-0.00011046802472767551,0.0001278193491809874,-0.0001295580991409012,-0.0001555426315691382,-0.00037650642155100865,-0.00011197210482830456,-0.0006699641850196988,-0.007487147109313577,-0.001001684920592873,-6.646117043193995e-05,-0.0007167214867453851,-7.908233681563433e-05,-8.412352148091204e-05,-2.9312552146181454e-05,-1.8179416656493846e-05,-0.001417633872362051,-0.0013140260048632318,-0.00651018574552716,-0.0005628717770366478,-0.001462799760530577,-0.0019791081266583104,-0.0015193358907159703,0.008013359405709514,-0.00016784368071164757,-0.0015057167916927685,-0.004566377251403131,-0.0010024856471415567
4,-0.0013904571533203132,-0.0019845182790696253,-0.0007146668134245431,-0.00012788607639335853,-0.00011664741444136718,-0.003864384297304933,-0.005924062908820389,-0.0005054704423220571,-0.0009000113925094053,-0.000176464986501239,-0.0007524407884609704,-3.865726713862272e-05,-0.0004923587325234038,-0.000805798754002313,-0.0003765097016808341,-0.0020407835642496726,-0.3145013305376161,-8.219556660396033e-05,-0.0001471852356532801,-0.023108476362888167,-0.0002040923016626025,0.0002751590320899042,-6.0714359553343027e-05,-0.0004329696391363476,-7.794188253533517e-05,-6.27534288280382e-05,-5.773478334054637e-05,-4.8014071752430174e-05,-0.0007159395037956924,0.0010388692220052113,-0.0004693682088791813,-0.00016071061668154743
5,-0.00020665586369591774,-0.002698937302115577,-0.0003275878305705015,-0.00010773895671531053,-0.0018711018393624413,-0.2309063605542453,0.016288244499350492,0.0034715604482206917,-0.519014946319772,-0.1389293760623572,-0.578158012726022,-0.06264744164808742,-0.00013559494378430904,-1.583712280921348e-05,-7.96584213304796e-06,-3.4043998838218393e-06,-0.0014423071963232253,-0.010815044619002432,-0.0068703792380087015,-0.0008861298831004034,-0.0008219859135225833,0.003231450446746631,-0.004433613903117629,-0.002479806636114538,-0.0004274803887373194,-0.00022931078320028594,-0.00016140619163991946,-0.0004974513683678947,-0.0004812516506362927,-0.00037834966707528243,-0.0004588982219216105,-0.00029689560896194937
6,-0.00017938430204330255,-3.266728149269108e-06,-0.0004272513419576993,-0.002857917509738755,-0.0005641750194741444,-0.004433571917455904,-0.0016536030379481305,-0.0016302773787540436,-0.00020322709713341562,-0.009913888367466959,-2.803330151539542e-05,1.137923894438442e-05,-2.736677913545203e-05,-6.230536309424686e-06,8.672438327621741e-05,-1.0647301403977934e-05,-8.110683879948604e-05,-9.086072070042154e-05,-0.000404060636676324,-5.6488937317560365e-05,-0.0016498828084213924,-0.009958669074676322,-0.018796054072350077,0.0005021440158100222,-0.007215439898412932,-0.004328841683249802,-0.004079662778842374,-0.005258644151987518,-0.007667490521317007,-0.03200202318107557,0.00020489752667504304,0.0008403130297390899
7,8.012063848148139e-05,9.335577487942021e-06,-0.00021775301147556028,-0.1158071074095912,-0.0005807096853196185,-0.0004957919038316727,-0.0024919944739191765,-0.006617066245408929,-0.0010917494132083908,0.0006493712371250368,-0.0005749692706941757,0.0003129686199644087,-0.00034525170453688557,-0.0011997095443917506,-0.0011041209382830833,-0.0013306963743653694,-0.0006076959693956673,0.000505866494568638,-0.0002795052978227722,7.624971041888951e-05,-0.0010675055050999819,-0.014454487734620675,-0.033530568176845334,-0.08833694757905396,-0.009371682532928275,-0.02436032085298742,-0.005604923896069795,-0.007073777276764871,8.61924399369927e-05,-0.0010502398388940572,-0.00023462337517887738,-2.333756137942543e-05
8,-0.03468999022957664,-0.26673332550240764,-0.0174731121123212,-0.03108752748501376,-0.0005635435476243107,-0.0014426873165106651,-0.0006231976755010179,-0.0011403331966520081,-0.3016799620862277,-0.011568081453911163,0.008157136305323187,-1.219106230345912,-0.009901708027101911,-0.006278199969597582,0.012225224536919745,0.0016992665686697242,0.0005563280117586701,-0.0028761497833443925,-0.003420122389523492,-0.004834490002326248,-0.0017051506295519044,-0.00036358983261779556,-0.00035962218758444774,-0.0014395563857360434,0.007728864561836675,-0.006605905556828721,0.007122219733472141,0.0007260460523689327,0.001464411897479361,-0.0012443035653552184,-0.0021148447720509686,-0.0019545633837861837
9,0.007177892720924235,-0.0015319203430751564,0.018108715801119054,0.012557191668816333,-0.000692070655103001,-0.0008712624603847313,-0.0016625737244228133,-0.0008027238665886642,-0.0004512431486597504,-0.00010017601995721462,-0.0012121200561523414,-0.0003670720184374059,0.007542736125442219,0.06825738582970961,0.002178351084391278,-0.007310639387406641,-0.00025403724526459074,-0.000976677960569754,0.0008393143707851201,-0.004165505463222288,-0.008292657024455521,0.0029071337022121575,-0.001048521425739024,-0.001992871926265693,0.0005813026390735477,-0.0005285994811627855,-0.0009155783263392427,-0.14125536072928951,-0.022374682456442394,-0.0022382526277746036,0.003086082590451026,-0.18569709070073734
