layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-4.6860918085621946e-05,5.917962482001666e-05,-0.00017820507922070402,-0.00044645147120698554,-0.00023586699303160028,-0.00034661445211856863,-0.0004263999614309757,-0.0004727297640861315,-3.475635609728359e-05,-0.0007730017317102276,0.00013481315146100613,0.0007160217203992465,-5.276761156448292e-05,-8.887483718548334e-05,-0.00011992555983522129,0.0005013973154920187,3.6772514911401765e-05,3.776258610663629e-05,0.0002892575365431639,7.424963281509082e-05,0.00029534076122526663,0.0006591401201613372,0.0005403356349214528,-1.3712619213345363e-05,3.9523713132169135e-05,8.732892097309926e-05,0.00019336025765600843,0.00016611408680042313,-0.0009706558065211473,-0.00010311146999925818,-0.0004546368375737604,2.989009830189195e-09
1,-0.0002565994541695652,-0.00020826294067056804,-0.001375979565559549,-0.00035564924808257665,-0.00032299376548603723,-0.0012197088687977823,-0.0007890483166309081,-0.0017189502716064397,-0.0001572085187790114,-0.0014447090473580886,-0.00013432502746580442,-0.000633217426056552,-0.002971634966261845,-0.0003931556610350845,-0.0009495433340681325,-0.0005942196922099254,4.548468488329125e-06,-2.197306206885461e-05,0.00048689594928254693,-0.000516124735487258,-8.804563512192714e-05,-1.4611634802307116e-05,-0.0014708742182305485,-0.0009676141941800993,-0.00011911214666163095,-0.00014975121680725384,-0.00018329493542933593,-0.0002995425082267463,-0.004411624340300864,-0.0008583515248400062,-0.00015316183896773637,-0.00037814987466689185
2,-0.0003618646175303245,-0.001288034560832571,-0.0003567284726081872,-0.0017336743943234694,-0.0006364964424295552,-0.0019488841929334267,-0.002384835101188497,-0.00020240323340637702,-4.056525674271864e-05,-7.669827405442041e-05,-0.001044350482047869,-7.890431170766894e-05,-0.00012639608788996877,-0.0012603364092238388,-0.005181365317486702,-0.004721523853058511,-0.00044654886773291076,-0.0019218444824218735,-0.0003227944069720233,-0.008213513962765958,5.4417265222434595e-05,4.918587968704323e-06,0.0010922629782494136,0.0011249055253698505,-0.003237687780501994,0.0002927205664046307,-0.0006553041174056608,-0.0007262777774891872,-0.00020868752865079517,-7.880856382084813e-05,1.241184295491811e-05,-8.57845582860461e-05
3,-0.00808186632521609,-0.009701148499833777,-0.0004988345694034563,-0.00036560918422454575,-4.700596662276913e-05,-0.00015194314591426527,0.00030263002882613513,-9.868144989012934e-05,-0.00014711872060247307,-0.0006958159994571696,-0.00010440514442767002,-0.0003767170804612093,-0.0065932699974547045,-0.001250806767889791,-0.0001442225689583504,-0.00022306290078669155,-6.445988695671254e-05,-8.388041181766424e-05,-9.095719520080611e-05,-5.907848318839176e-05,-0.0013997382306038047,-0.000925315694606044,-0.008119984890552278,-0.0010178464524289374,-0.0012976088422409968,-0.004732416031208443,-0.0011816785690632232,-0.008992783566738697,-0.00035944657122833967,-0.001059558543753115,-0.00479027514762067,-0.0009795721541059736
4,-0.0031332918938170085,-0.0042475705451153695,-0.0021506897946621537,-0.00021819497676604538,-0.00029355167074405326,-0.00423018272886885,-0.006332188971499181,-0.0006773256241006959,-0.002064679531340904,-0.000430556687902885,-0.001335678202040653,-0.00020429980247577302,-0.0006344107237267947,-0.002155938617726587,-0.0005514487307122307,-0.0039555336566681545,0.010857082935089761,-6.896070343381606e-05,-0.0002268514417587338,-0.006393919599817155,-0.0011977987086519283,-0.005383519923433342,-0.00023014000121581682,-0.0008123570300163107,-0.00014837098882552018,2.2938403677430966e-05,-2.440746794355795e-05,-3.5972544487482615e-05,-0.005102027730738861,-0.004831975571652675,-0.000715064495167827,-0.00027638326616996254
5,-0.0004905046300685074,-0.011959167236977434,-0.0005266618221364094,-0.0004289260570039054,-0.0003171637337258446,-0.004341252306674389,-0.005135808092482546,-0.020023362180019946,-0.0009632475832675363,-0.0009644366325216089,-0.0016067383137155107,-0.000987890933422329,-0.00014856318210032402,-1.5112852796588645e-05,-1.9241053056204444e-05,-2.4270250442170362e-05,0.0004561373528013871,-0.01964748463732131,-0.0060228713015292555,-0.0011103701084218152,-0.0010578160590313864,-0.003953503547830786,-0.02394097510804521,-0.003602216598835396,-0.0006700376246837787,-0.0002564798010156352,-0.000182541443946498,-0.001822582711564735,-0.00048760353250705573,-0.00030302240493448645,-0.00024890221179798975,-0.00027998799973345015
6,-0.00044932847327373637,-4.374819233061445e-05,-0.0004316663488428583,-0.0029589795051737024,-0.0009513783962168521,-0.002008245346393991,-0.0033498642292428523,-0.000997108094235682,-0.00015316301203787325,-0.0034563409521224603,-6.220378774276714e-05,-9.306212689013719e-05,-5.4559809096310265e-05,-1.7654784816373264e-05,-0.000389400948869415,-2.0208701174306256e-05,-0.00013601873466308022,-0.0002987604191962581,-0.000487691290835111,-8.405687168556404e-05,-0.005650646128553025,-0.007364735704787234,0.0037966160064047925,-0.001137479822686378,-0.005892814473902925,-0.007791977740348653,-0.002992698994088679,-0.004053895016934007,-0.009494632355710294,0.004664810667646694,0.000256852139817895,-0.0018659992420927002
7,0.00016865223012071994,7.614823097878297e-05,-9.661152007731302e-05,-0.015199312250664893,-0.0011433971689102475,-0.0006146325709971927,-0.00218545933987232,-0.002920475411922376,-0.0034797409747509235,0.0010942611288517067,-0.0007131926556851011,-0.0016122914375142864,-0.0005393787267360227,-0.002003158407008393,-0.00026053266322359226,-0.0013517572524699743,-0.00029229559796920896,0.00048688593062948547,-0.0003830270564302468,8.571414237326678e-05,-0.0008658066074898874,-0.012248409555313434,-0.012236522106414148,-0.003020136407081117,-0.012855586599796376,-0.055358773089469744,-0.005193054929692694,-0.009966034584857049,0.000140364372983896,1.1254371480737973e-05,-0.00016937610950875214,-0.0007195839222441325
8,-0.0005367684871592403,-0.007067883268315742,-0.011006312674664434,-0.022773223227642952,-0.000804294423854092,-0.0015922668132376126,-0.00028798402623927727,-0.001018631965556043,0.006419571663470982,-0.016830168379114028,-0.0045926023036875615,0.0009227022211602409,-0.0008351552993693232,-0.0033699076226417026,0.0034957297304843344,-0.00026484601041103597,0.0010884548755402252,-0.005283838130058125,-0.006968278073249982,-0.0007281475878776364,-0.0014630216233273727,-0.0003160354938912784,-0.00015471894690330084,-0.0011212460538174219,0.005407276559383311,-0.003079574666124707,0.007489155708475316,0.0015154960307669136,-0.0017039471484245144,0.0010279249637684923,-0.0018504021015573048,0.008851867533744652
9,0.004227754917550593,-0.0012261289231320636,0.0094824344553846,0.006958338554869309,-0.0024729931608159475,-5.181698088950302e-05,-0.0012848864210412837,-0.0013897023302443482,-0.0005085711783551063,-0.0001149531057540272,-0.0009251097415355849,-0.00035617319827383116,-0.004775181222469249,0.01780960813481757,-0.001267372293675198,-0.005695214170090696,-0.0012436400068567136,-0.0017819100237907238,0.0017231220894671512,-0.0038951183887238183,-0.0028084110706410484,0.001064315755316555,-0.0022556649877669963,-0.0018034346560214405,0.0006208976532550581,0.0001729721718646115,-0.00024798119321782817,0.00709752300952343,-0.005286985762575841,-0.0017087413909587434,0.0006749564028800804,0.0014838160352503998
