layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0003578030146085221,8.324281527444751e-05,0.0004066531474773585,0.00042130763714129426,-0.000600565396822418,-0.00013781510866605332,-0.00020508857873769988,-0.00022883965418888914,-0.00031189551720252773,0.00047649970421423713,-0.00017074621640719283,0.0021820361797626176,-0.0007711337162898027,-0.0009092330932617123,-6.763751690204447e-05,-0.00297839824969952,-2.3045906653758872e-05,-4.604688057531509e-05,-0.0002848625183105328,-0.00017083974984974403,-0.00022661135746881403,-0.0007016658782959019,-0.0007866125840407051,-5.7114087618316515e-05,-0.00026358778660112605,-0.00030825321490947073,-0.00042825845571664323,-0.0003919473061194697,0.0007400457675640441,0.0001070948747488071,0.0007469177246093723,-3.6150875250593976e-09
1,0.0002967339295607209,0.0002471566200256246,0.0014765519362229538,0.0004315302922175369,0.00019087424645056083,0.001026182908278237,0.0011710827167217568,0.0014341189311100882,0.00017488919771634095,0.001683660653921274,0.0001679200392502841,0.0005469689002403738,0.0022430419921875,0.0002439572260929893,0.001037049293518064,0.000388541588416458,0.00011044832376332115,1.2957132779625024e-05,-0.00013173199616946116,0.0006176581749549185,0.0001021944559537379,6.435284247764063e-05,0.001345355694110574,-0.02197021337655874,3.7849866426900606e-05,0.00019860175939705884,8.903466738186426e-05,0.00018767576951245513,0.003879679166353664,0.001063930071317234,0.00015279971636257157,0.00020020374884970965
2,0.0004144962017352648,0.0020097585824819706,0.0002906579237717678,9.120060847355227e-05,0.0005905884962815437,0.002344982440655048,0.0026956411508413463,0.0002852513239933788,-2.7610504856488004e-05,-0.00023958407915554956,0.00054426926832932,-3.1319260597222176e-05,-0.00045420550383054234,0.0026284731351412295,0.0034266545222355767,0.007117366790771486,0.0003752598395714351,0.0013986440805288448,0.00016681964580827385,0.007786442683293269,-0.15415414663461538,-0.0220098642202524,-0.0474950937124399,-0.12829120342548078,0.0037169529841496384,-0.014155431894155643,-0.0018576145172119344,-0.0016139543973482742,0.00013358272038972276,0.0001243300162828635,-9.749543208341385e-05,6.462679459497546e-05
3,0.007849942720853365,0.00941936786358173,0.0007609037252572806,9.44554805755443e-05,0.00023793068069677615,0.00021425027113692552,0.0002446156281691311,0.00030526381272535144,0.00016377705794113799,0.0012205270620492758,0.0001454124083885711,0.0006297038151667646,0.00514074472280649,0.0015824244572566046,0.00018131274443405497,0.00010972206409159833,6.20603561401257e-05,8.263152379254851e-05,0.00019503556765041667,8.328236066375412e-05,0.0011606950026292076,0.0013033940241887047,0.00934894268329327,0.001339193490835337,0.0010580984445718571,0.0066087576059194715,0.0008111210969778188,0.024346102201021635,0.0006765218881460338,0.001365382854755106,0.006294202804565431,0.0015325546264648368
4,0.0036325307992788464,0.0041241279015174276,0.002619391221266532,0.00020027206494256837,0.00023397665757398343,0.0031191899226261986,0.004461028025700497,0.0003786930671104959,0.0021528170658991867,0.0004988817068246592,0.0013058148897611113,0.00020401661212626594,0.0006160974502563467,0.002528465711153467,0.0009441476601820682,0.0033454895019531233,-0.2283301720252404,5.007202808672431e-05,0.0002185280506427336,0.0011935894305889413,0.0014872624323918277,0.006471102054302506,0.00023981837125923496,0.0011195476238544191,0.00017846364241378698,-0.00010970876767082966,-7.669192094069102e-05,4.4312156163717996e-05,0.0056453998272235585,0.01480530958909255,0.000613355636596666,0.0003339749116163856
5,0.0007904767990112249,0.016368851294884315,0.0005571927015597908,0.0008498962108905435,-0.000542841278589691,-0.19755108173076924,0.036832325275127704,0.032840670072115385,-0.3976524939903846,-0.10011361929086539,-0.4701096754807692,-0.04534078744741587,0.000237058103084552,-3.403516916127488e-05,1.0072955718402792e-05,2.806553473838922e-05,-0.004145279297461871,0.0197607187124399,0.0069442895742563154,0.00031267312856821073,0.0017044800978440477,0.008490562438964842,0.032276124220628005,0.003982749352088344,0.0008450003770681454,0.0002857095920122465,0.0001962448541934591,0.0028037694784311135,0.0005747208228478,0.00034600771390473444,0.00021261435288648001,0.0001790619813478823
6,0.0008756128641275244,0.00011224230894674136,0.0006922575143667292,0.003054031958946812,0.001615700354942905,0.00024786729079026007,0.005009717207688551,0.0007413997099949772,1.795566998994248e-05,-0.0011840820312500014,0.00012948696429912048,5.179964579067558e-05,9.823120557343875e-05,2.0066591409534823e-05,0.0010599943307729792,2.5843656980070426e-05,0.00028525911844692783,0.00030107498168944417,0.0004914833949162362,0.00011428961387045786,0.0058594630314753645,0.0050495441143329324,-0.014715106670673073,0.0014427551856407695,0.0059917743389423074,0.007482440655048077,0.0031270834115835326,0.0011321728046123768,0.013031372657189,-0.0070188228900616,-0.00012180805206297979,0.0032496819129356922
7,0.00042836666107178185,3.775633298434084e-05,0.0004359969725975558,-0.03714951735276442,0.0029741067152756896,0.0008443740698007422,0.00214847051180326,0.001045421453622668,0.004419678908128007,-0.0008096474867600661,0.00017113410509549733,0.000891920236440807,0.0014669840152447035,0.0019001703995924722,-0.00022720556992751132,0.001440356327937197,-7.848464525662644e-05,-0.0008427216456486606,0.00025325371668888515,-0.00027808226071870105,0.0011198795758760869,0.012234379695012019,0.0021660437950721183,-0.043271328852726866,0.011898568960336538,0.15014085036057692,0.0058353864229642415,0.020044414813701922,9.59396362304677e-05,-0.001265379098745495,-0.00020247055934026232,0.0015395540457505508
8,-0.0157374748816857,-0.2019416222205529,0.010598589823796195,0.043373460036057694,0.0014566568227914675,0.00221264178936298,0.0006976751180795561,0.0017233628493088927,-0.4574864453421189,-0.0017753014197716354,0.01594687241774339,-1.3502779447115385,-0.0031768578749436604,0.002921588604266826,0.00017102314875675864,0.0016791380368746183,-0.0009536119607778675,0.009567392789400544,0.011152502206655654,-0.001574032123272236,0.0031050278590275654,0.0004647768460787174,0.00041234309856707287,0.0013029575347900382,-0.003775893724881691,0.0015444975632887628,-0.023201370239257814,-0.004526402400090143,0.003397340040940503,-0.0021086619450495837,0.0033478883596566988,-0.02453331580528846
9,-0.00948633047250601,0.00170494959904597,-0.03143463134765625,-0.0032591599684495182,0.0028177114633413463,-0.0010117860940786544,0.0010323744553786052,0.0011455829326923077,0.0006141589238093401,0.00013124461357408478,0.0006270445310152459,0.0002727123407217028,0.014103346604567307,0.039014390798715444,0.004497880202073318,0.0033579899714543276,0.0014477509718674867,0.0016372093787560091,-0.0030072579017052276,0.0030190101036658644,-0.004664252354548529,0.002858382004957932,0.004167758501493012,0.0010939818162184493,-0.00038190804995021815,-0.0014113793006310077,-0.0004136158869816769,-0.33430718642014723,-0.01745570256159856,5.392111264742304e-05,0.0035565156203049846,-0.16995233389047476
