layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00020585479317130047,-6.849359680007157e-05,-0.0002753184391902022,-0.0003153177408071726,3.356199998124689e-06,-0.0002886777395730484,-0.0004859049241621376,-0.00039442554934994136,0.00011622250735104285,-0.0003878153287447378,7.279266367901337e-05,0.00012318642584832243,0.00010722024100166217,0.00010677353366389468,-0.0002010471218234901,0.0006387102734911605,3.403359717061385e-06,7.691291662361703e-06,0.00017374688452415825,7.254605764870816e-05,7.361632127028232e-05,0.00041884118384057144,0.0005114707317981135,-0.00015602007017029865,0.00014613748906732243,6.240409809153328e-05,0.00012668868997594228,0.00011037863217867008,-0.00039766647003508455,-9.863062219304513e-05,-0.0005046509124420484,1.658998291611999e-09
1,-0.0002055426875313526,-0.00017931238635555177,-0.0010375976562499967,-0.00025819291125286534,-6.147007365802649e-05,-0.0010834369030627582,-0.0008222873394305841,-0.0012481972411438687,-8.423642797783828e-05,-0.0012533376505086704,-8.082127833103448e-05,-0.00030154972286014617,-0.001291227864695121,-0.00013354584410949904,-0.0007509713644509769,-0.000282887574080576,-0.00018459230988889154,-0.0001402647940667055,3.5431031342394595e-05,-0.00028695116986284614,-9.630211107022673e-05,-9.66600664369277e-05,-0.0006176875187800428,0.032106632714743136,-0.00011623429728077415,-0.0002236719969864714,-9.448728063603228e-05,-7.773231674025826e-05,-0.004078296514657826,-0.000907110643910835,-9.576697925942946e-05,-7.860477154070659e-05
2,-0.00010150867504077564,-0.0015441559173248614,-2.17039506513923e-05,0.0006953648158482176,-0.00027403988680995713,-0.0012313926612937836,-0.0016664777483258934,-0.00017329297222933468,2.6984692929872828e-05,-2.6327240598070686e-05,-0.00015166565612121868,-3.9000432569900715e-05,0.0007575108454777542,-0.001621896094018288,0.0006733988667582418,-0.004025218250987295,2.8222471803103257e-05,-0.0005995886666434132,-6.966014484782081e-05,-0.005412007426167582,0.17292131696428573,0.029751410851111777,0.05985561831966861,0.14525830614697802,-0.002746875469501201,0.017712016682048415,0.0030637466973000987,0.0026355942527016597,-4.8611681539924525e-05,-6.464549473353231e-05,2.9173771758647823e-05,-5.3441131507950646e-05
3,-0.0019107022128262363,-0.003886715396419987,-0.0004694645221416761,0.0001593160105275684,-0.00021034012456516628,-0.00011530289283165174,-0.000748093311603251,-0.0003807557808173855,-2.2374666654149042e-05,-0.0008298014546488692,-6.991461083128115e-05,-2.2856743781118678e-05,-0.0010414752331408825,-0.0008467265537806923,-0.00016187491652729273,0.00013230921147944937,-1.5857455494635757e-05,-6.202583784585147e-05,-0.00016137204327425236,-6.288224524192206e-05,-0.0003621866414835154,-0.0004589059850671728,-0.004205557016225962,-0.0006365304464822253,-9.23282497531747e-05,-0.004362546480618989,6.4670384585205e-05,-0.016993250165666853,-0.00045821430918934505,-0.0001883978372091758,-0.0021772541842617833,-0.0005900414435418065
4,-0.0022788833785843043,-0.0024787986671531573,-0.001509488283932867,-0.00010458912168229746,-0.0002431646808163159,-0.0007885105007297384,-0.002140129660512062,-0.00040423739087450355,-0.0015905401208898527,-0.00035372278192541363,-0.0007954691792582428,-0.00011384192403855537,-0.0004942630837251808,-0.0014063866583855634,-0.0005089139545356862,-0.0006375574803614363,0.21475448189200935,-1.3876092302925449e-05,-0.00011048998151506405,-0.001411857185782967,-0.0014327751411186507,-0.005294212928185093,-0.00019589885250552392,-0.0008001353714492324,-0.0001583246739355991,4.868880733027475e-05,0.00017946565544211426,-5.2402962695103184e-05,-0.004508720649467721,-0.013452404147976047,-0.0003558043595198736,-0.00023226947574825032
5,-0.000586436345027045,-0.014208253923353256,-0.00038659965598975677,-0.000813457992050678,0.00067173894290086,0.23311137105082416,-0.03542773278204949,-0.031443040449540695,0.4943093100746909,0.13192396897536057,0.5551945612980769,0.05277063558389852,-0.00016481011778442858,2.2925354622215282e-05,-1.7032436617124842e-05,-4.0541638384803506e-05,0.0004807324199886083,-0.014104319142771292,-0.0034117436670995007,0.00041273924020620347,-0.0014814858908181671,-0.007356025360442778,-0.02467497102506868,-0.003150143466152989,-0.0007113870028611076,-0.00021167050351152722,-0.00013352750421879856,-0.002683382767897388,-0.000194822038922978,-0.00012746486035021616,7.099895686895012e-05,-8.167080826811084e-05
6,-0.0006655788683629272,-9.228076253617651e-05,-0.0006083734742887802,-0.001271771860646678,-0.0011334052452674284,0.0010263841230790693,-0.004821583464905457,-9.17479232117366e-05,-3.0978040380714636e-06,0.004716810289320055,-0.00010136703213491736,-2.0930400261517562e-05,-3.6148006444448714e-05,-1.067314092274396e-05,-0.000866931873363455,-1.73731164617824e-05,-0.00013602827931497713,-0.0001876996113703762,-7.6240235632585e-05,-8.135968512230981e-05,-0.006294543926532453,-0.00018939343127575496,0.02003986232883328,-0.0026159024500584864,-0.004170176747081044,-0.004853720193380839,-0.0031884371579348385,0.0014823662055717726,-0.00847156231219952,0.017562614692436473,0.00010663729447584384,-0.0004993480640453275
7,-0.0005522455487932526,-5.51821111322776e-05,-0.00016405916475987082,0.06432317377446772,-0.0021308175810090786,-0.0006954538953173271,-0.0011187595325511928,0.0011479199587643802,-0.004868234906877789,0.00033311791472382117,-0.00034765096811147805,-0.0014251719464312585,-0.0009770003648904694,-0.0011761109907548505,0.0006995567908653846,-0.0005758620880462308,-9.107065724800688e-06,0.0005524394276377904,-0.00013227777166680864,0.00011128285428978901,-0.00045118227109804387,-0.004403669755537431,0.009577069963727678,0.06340989961728946,-0.007026337005279876,-0.15559068616929944,-0.003168064159351388,-0.010996257865821925,0.00019164137787871358,0.002497769974090236,0.00035758070893340094,-0.0008641677898365136
8,0.024893048045399428,0.2077804397750687,-0.0038292853386847534,-0.019071809538118132,-0.0009155483036250836,-0.0010723700890174273,-0.00036070373032119645,-0.0006208367400116976,0.45452289790897576,0.0008596063970209472,-0.015484002920297476,1.5268340058379122,0.005695273587991904,0.00034315507490556373,-0.005102917388245298,-0.0011401621849982235,0.0007611054640549868,-0.007441468291230259,-0.0074441485352568565,0.0026301761249919544,-0.0013859088604266814,-0.00017333292699121537,-0.0002234846681028957,-0.0004670279366629451,0.001147175883198832,-0.0004184848659641143,0.014441699772090703,0.0036025518899435514,-0.0036200743455153217,0.0025164268829010353,-0.0020381749331296133,0.016760857550652472
9,0.003419834178882641,-0.0025672807798280814,0.010334979046832076,-0.0038770528940054072,-0.0020403390402322307,0.00153256510640239,-0.00027321197174408004,-0.0008083228226546495,-0.00012854363892103913,-6.540389833868917e-05,-0.00019216013478708352,-0.00012473909409490321,-0.01077682369357937,-0.032117214831677114,-0.002022711785285029,-0.0029761660230028762,-0.0014066525868007078,-0.0021666366975386085,0.0020100520207331717,-0.0024543175330528845,0.005918324648678958,-0.002923923534351384,-0.0039137221954681075,-7.991476373358227e-05,0.00023303582118106407,0.004046272445511031,0.0006228148282229269,0.36969490889664536,0.017046493488353687,-0.0003836312136807312,-0.0032768465660430574,0.18482032189002404
