layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.059481486868351065,0.0034295071946813696,0.006457722440679023,0.014146585667386968,0.01053538220994016,0.010149334846658909,0.010802273040122174,0.008382594331781915,0.008976924165766292,0.013804853723404256,0.0012750179209607695,0.03747944933302859,0.0029510498046874997,0.0016616658961519277,0.010157548620345742,0.0017627391409366702,0.000294753338428245,0.0005593807139295112,0.0007593540435141675,0.0007824167292168783,0.008240208727248172,0.0018236931334150582,0.003221227767619677,0.02698822021484375,0.013144326717295545,0.021650387378449137,0.011258518949468084,0.021542131139876994,0.0015108189684279404,-0.00015516078218499367,-0.000533110030153965,-7.950175712083249e-09
1,0.005456139178986247,0.0007957684232833552,-0.00330235907372008,0.008342984382142414,0.00015095878154672764,0.0032196361967857805,0.00539475400397118,-0.003293211916659739,0.0010553806386095401,-0.0017757598389970496,0.04950756316489362,0.010134366218079912,-0.008431682180851064,0.0005313807345451143,-0.0003885938766154847,0.0011961541277296986,0.0009101375620415865,0.009732652217783818,0.0010147254517737805,0.013747194980053192,0.00018891720695697763,0.022632833871435613,-0.007768590399559508,0.34454826192652926,0.004960674935198846,0.00311927896864871,0.002076601474843127,0.0006695092992579643,-0.00985600897606383,-0.003553560946850067,3.610468925314208e-05,0.004088787322348738
2,-0.00033571162122360265,-0.004253517313206448,-0.0002098550187780543,-0.003943309378116686,-0.008349455163833943,-0.0026847677027925514,-0.005212418576504322,0.0018760599988572148,-5.1410401121100295e-05,-0.00042790199847931486,-0.002525614677591524,0.0006284328217202097,0.2664057305518617,-0.22520368860123005,-0.040498774102393616,-0.03667417485663231,-0.001133073644435153,-0.0018845943694419068,-0.00022462073792803533,-0.019824088887965427,0.4766289893617021,0.001217057666880004,0.03906193388269303,0.004365052568151591,-0.010072927272066157,0.009702982801072131,0.733843085106383,0.44468864278590425,-0.0001361846923828176,-0.013969003393294963,-5.818427877223398e-05,0.00040788498330623246
3,-0.047919090757978726,-0.020552030522772605,-0.00020378904139742185,-0.0007152110972302984,0.000805770336313455,7.531693641175565e-05,0.009850221999148106,-0.010876355272658325,0.005017111149240045,0.0019496633651408736,0.001998422500935006,0.00033178405558809257,-0.012335042750581782,-0.0032603060945551416,9.020338667200547e-05,0.004875090781678549,0.0012583134022164854,0.0011350185313123374,0.0016001361481686892,0.0046038607333568835,-0.0032832734128262135,-0.002372701117332946,-0.013079541794797207,0.00038249644827335433,0.002477503837423121,-0.009788204761261635,0.0009656327836057,-0.08409709524601064,-0.005103038219695395,0.019311669532288897,0.008932560048204786,-0.002963131032091507
4,-0.009289976891050947,-0.0028078038641747003,-0.0031908075860206113,-0.0009782425900723072,-0.0060824252189473895,-0.043531539592337104,-0.010775959745366522,0.0014465413195021604,-0.006876738527987865,0.005941646657091507,-0.00561362733232214,0.0019193365218791532,-0.00047011641745872435,-0.007722952010783744,1.3324047656769732e-05,-0.0202859269811752,1.1171230884308512,0.0023774190151945075,0.002119131291166265,0.10015560718292886,-0.004398816697140958,-0.012268472225108044,-0.009050555939370014,-0.0023081617152437223,0.001490074776588598,0.00515764114704538,0.0072547912597656266,0.001960870052905793,-0.012480975211934841,-0.014154008094300615,-0.0012447560087163374,-0.001929425178690158
5,-0.0124899519250748,-0.1079335314162234,0.0005546732151761991,-0.0008748318286652265,1.7955784574468086,0.14014165350731383,-0.7046049077460106,-0.05442404239735705,0.1420659491356383,0.36923204787234043,0.05145809092420213,1.5922872340425531,-0.013538003475108045,0.00015410869679552373,-0.00047023854357130477,-0.0036865802521401274,0.005651660675698139,-0.011739462994514628,-0.01622079078187334,-0.004368875381794384,-0.01070960430388755,-0.02312513310858544,-0.2602383228058511,-0.011493958818151595,-0.004305300814040166,0.00034579419075174515,0.007075074378480302,-0.007728674056682181,-0.020627512830369017,-0.0023321922789228725,-0.0034994977585812836,0.0025183251563538895
6,0.005450784399154338,0.007950279560494933,-0.007033092417615522,-0.004300381274933511,0.0012064832322140966,0.005972582228640292,-0.005748716313788232,0.006297042522024601,0.001617338302287651,0.23279847490026595,0.0018950472486780033,0.0029242490200286227,0.006204213487341048,0.04960946022196019,0.00667033094040891,0.020804088673693072,0.008136975511591486,0.008338522403798206,0.006626819042449301,0.002557340581366361,-0.023343479886968086,0.013144115691489362,0.11606250519448139,-0.013234743158868018,0.00680129680227726,-0.0247603233824385,-0.027184490447348737,-0.009282603162400265,-0.18489600648271276,0.14346943307430185,0.00442711038792387,0.0036779931251038895
7,0.00036585381690492047,0.018192088350336602,0.014118157041833754,0.1415766289893617,0.01626989486369681,-0.0003513914473513373,0.0015025037400265948,-0.00030283826462766,0.0017717564359624328,0.0200492392195032,-0.004871920321850067,-0.00867929661527593,0.00820159912109375,0.0015837385299358004,0.011209309354741523,0.00018178249927277104,0.0006104164935172873,0.014834562261053856,0.009997526128241356,0.004961289750768785,0.007719080498877992,-0.019006818406125333,-0.005240931409470579,0.6557637965425532,0.06094876553149933,-0.14378116688829787,0.01504318561959774,-0.06946255298371011,0.010148653070977393,0.06511251571330619,0.020512593046147772,0.00018913593698055233
8,0.5555665361120345,0.821615275930851,-0.07756380121758644,-0.09400868517287234,0.00437173234655502,0.003884595505734708,0.009000031491543384,-0.006040443258082613,1.1074052526595746,0.09708894770196144,-0.06986408639461436,2.738164893617021,0.06932914409231632,0.03104669692668509,-0.1329050916306516,0.007747974801570812,0.019852260833090923,0.002285977627368684,-0.013121957981840094,0.03130663607982879,0.015866527151554188,-0.00035078170451712085,0.010497832805552377,0.008761020416909076,0.019357965347614695,0.027614090290475398,0.02772323933053524,0.02077719505797041,-0.011339301251350563,0.13352472832862367,0.03149306926321476,0.13256667116855053
9,0.007389896473986038,0.02205705033971908,0.03280013064120678,0.01166498711768617,-0.00924736996914478,0.0022786079569065815,-0.0006590620000311672,-0.001546811042947973,0.025427578865213598,0.007024523045154329,0.02352924955652115,0.0010421002164800097,-0.034119228606528426,-0.06032344736951463,-0.004944042449301861,-0.025275429258955286,-0.00473481036247091,0.009707601019676694,0.012881964825569314,-0.009696652026886635,0.0290416068219124,-0.016416468518845578,0.008786026974941822,0.01756627508934508,0.01847784975741772,-0.0463587334815492,0.008710461474479516,2.47514960106383,0.06314236255402261,0.03713828553544714,-0.007756091178731716,1.028057552905793
