layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.01480083584045031,-0.0007838373598845109,-0.001605869079968944,-0.003870330241896351,-0.003768399635457104,-0.0034718246933836375,-0.0035716939416731365,-0.0028832003196574145,-0.0005494111813373444,-0.004288004051824534,-0.0004678142737157588,-0.001382898840104571,-0.0013004267437857868,-0.0012046979821246605,-0.002310515930933982,-0.0007436349525214715,-9.043320365573847e-05,-0.00028363814265091274,-0.0002969651488783961,-0.00035389461872740557,-0.0028192330591426873,-0.0005728946709484777,-0.001066415206245753,-0.005565951329580745,-0.004508498292532026,-0.005902527281956643,-0.004203464673913043,-0.005673971235381891,-0.0002247739282454031,6.553030902554234e-05,2.10578397194192e-06,2.0371777474047236e-09
1,-0.002014445962372773,-0.0003078837202202459,0.0011021809548324676,-0.003402013956389812,-6.723626059774609e-05,-0.0005025711859235099,-0.0011813314805119673,0.0008303511957204132,-0.0022322554025590788,0.00042009057465547395,-0.012789708486995342,-0.0026026068266874506,0.0013383812045458677,-4.564308972092075e-05,0.00010006176018566578,-0.0004199217565311427,-0.00020093725334783543,-0.003173377943335111,-0.00028047224749689487,-0.004091345745584239,-2.4794005088923857e-05,-0.005340005392613619,0.0018270741338315217,-0.005525008491847826,-0.00039129523757081605,-0.000530017829089431,-0.0001874636419071166,-0.0002780119824853753,0.0013956460893524351,0.0006091402184148773,-8.29022863636865e-05,-0.0012911920962126358
2,7.15070629712244e-05,0.001545438114900767,-3.269222212133758e-05,0.001327024483532639,0.0013849068872676866,0.0007482907786872827,0.001242012711045164,-0.000817396625968981,-0.00010495600493057628,9.334179925622437e-05,7.484492307864339e-05,-4.009911732644301e-05,0.0015252154806385866,0.011319746882278726,0.019133952833850932,0.008127437615246506,7.12834529995171e-05,0.0004978587168344061,-6.633885898943043e-06,0.005454495826863354,-4.660490877139633e-05,-1.2367963790898798e-06,6.31600063039639e-05,1.982224653967465e-06,-0.004298429311432453,6.974419081432895e-05,-0.0018108113211874647,-0.004415923764246591,-6.801223162539202e-06,-0.0024134031734111138,1.2979281615024534e-05,-7.708324408679463e-05
3,0.012038142044351708,0.006173749888165397,0.0003298128613774057,0.0003839042616186666,-0.00015919419549266774,-9.222504515084944e-05,-0.002225502677585767,0.0011792212539578069,-0.0017514254735863709,-0.0012991058160059198,-0.00046647039259442564,-0.000580278983027299,0.0052695303970242136,0.0010832466694138802,-4.625394477607449e-05,-0.0002529902487808125,-0.00012379699612256293,-0.00022728102547781847,-8.120966253814039e-05,-0.0006504777055349406,0.001051026101438155,0.0010102816990443632,0.0037901090539020042,-7.891210710039785e-05,-0.00033802423417938376,0.0030958637687730495,5.698796384823254e-05,-0.011299251769640431,0.001493880467385238,-0.0014377617687912467,-0.0012950304872500972,0.00010443918453240153
4,0.00377233280158191,0.0008339970748617047,0.0007961877384541192,-0.0007224586439428864,0.0015508047542216628,0.016637997597641088,0.006085703832022152,-9.183705963703509e-05,0.0013015225807332103,-0.00031182780769300713,0.0010420668939625985,-0.0004761115364406432,8.832899309833761e-05,-3.0730822071525814e-05,-0.00010673192717274031,0.0022620680909719525,-0.005403092188864762,-0.0014637664238118236,-0.0009535554773318826,0.0006989425753954773,0.0022282570785617235,0.004032645906720843,0.0007707406275020621,0.0007139585032966572,-0.0008653076539128461,-0.0035047234955781735,-0.0018799171684691627,-0.0014649740657450994,0.0033892489368130695,0.0016101102651276203,0.0005154269082205632,-1.4296229581654675e-05
5,0.002065886621889862,0.03336312311776676,-0.0008884542477056864,-0.0012069251966772617,-0.01251642452263684,0.0030386062882701804,-0.125097049689441,0.012752793590474572,-2.4883643440579933e-05,-0.0014987051116753807,-0.00039330254430356337,-0.0020777779336301435,0.0030648834216668737,-0.0002358566900217753,0.00013053565291884332,0.0005805144398849215,-0.0038939766261888585,0.003599119482573515,0.006180230134762592,0.0021172961833314124,0.0015371156775433074,-0.02955540959139048,0.061448375630822984,0.00262314932686942,0.001182541343736352,-0.0001476507009186345,-0.002422454194252535,-0.001308139066518463,-0.006083067899905377,-0.0007882058990668059,-0.001601201406917217,-0.004132643989894701
6,-0.0026946630537139703,-0.0007956946118277794,0.000385533208432405,0.002737483622864907,0.0011830448363878703,-0.0024300036223038383,0.00268685003245099,0.0017775808061872207,-0.0008764037434358764,-0.029024846805548815,-4.6340575129348876e-05,-0.000805440896786518,-0.002265497764445239,-0.01009951763271545,-0.008304880272527659,-0.005607969272210731,-0.0008361857870350705,-0.0035558590977828697,-0.0020677850853582365,-0.0007638753571125283,0.001619013199895065,0.004222822485503203,-0.004285785722436371,0.0006349160804511595,-0.000387274700662364,0.007573148478632388,0.006656623034743789,0.007281190860345497,0.03904619868497671,-0.054552072323627354,-4.695809405782919e-05,-0.005869823953379754
7,0.0005830133923832688,-0.0028279405202924837,-0.0028838866986102933,0.027666743497670808,-0.0033555238143257475,-0.00013722729238664015,-0.0007597289470411969,0.0010455765339158329,0.0017971785172172208,-0.002047503216666466,0.002961389766716809,0.00675300633685189,-0.0004742589796552006,5.656295681592302e-05,0.001990016202748932,0.0025088357629242885,0.0005797480944520951,-0.0012494732874520824,0.0004903544550356664,-0.0004082969997240146,-0.0008868874970430176,0.004525273482992042,0.0032673533658803626,-0.0221360485005823,-0.011349032384268246,0.041033632266595496,-0.0077901923138162365,0.02133929803504707,-0.0008830935318277477,-0.007429117001361728,-0.0027111361485830745,-0.0017028773053092252
8,-0.029563714258419062,-0.0009321426012501211,0.020938091396545032,0.009332502850834628,5.402179978649055e-05,0.0007283702400160137,-0.0005150700207822807,0.0003799177845072289,-0.011471955672554348,0.002728148276761452,-0.0016309252436857045,0.0010649402689489518,-0.0050234705765054835,-1.587778885172018e-05,-0.021264496797360248,0.0003385810378175332,-0.0024342388840195555,0.0005111635101507913,0.006002985912820568,0.0003755995945900869,-0.002136428904089128,0.0010223921781741324,-0.0018480194281347046,-0.0021927549231866876,-0.0006713867187499997,-0.0031665600604892526,-0.0051904405866350445,-0.0033975151014624177,0.001448329191030183,-0.006755396446085865,-0.004493938469738694,-0.007256430868776689
9,0.00131988525390625,-0.004085357144752644,0.011210494900342101,0.0009779722794242523,0.003034650909234278,-0.0002157436394543385,0.0006312435458165515,0.0008622578212193088,-0.0038419273329077302,-0.0011118509754631098,-0.005920918091483738,-0.00033961097646203564,-0.013390363373371385,-0.03714797215432114,-0.003736402677453084,-0.000663236061238354,0.001480372055717136,-0.0007586153397648969,-0.0035069270163589385,0.0022887768952742867,0.0012546059507760941,-0.0036911105517274854,-0.0035197453469223115,-0.0018023556063634268,-0.0016870084016219426,0.0059126978335173235,0.0009918064804551022,-0.0014291327932606577,-0.0016861909664935947,0.0031351865448566705,-0.0016915931464722438,-0.011081149304135245
