layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.46085133272058826,-0.002479104434742647,-0.015803168801700365,-0.03351189108455882,-0.05962775735294118,-0.07271082261029412,-0.07388126148897059,-0.05392635569852941,-0.04443359375,-0.05583639705882353,-0.004809211282169118,-0.094482421875,-0.01583682789522059,-0.018152573529411766,-0.04754997702205882,-0.014192468979779412,-0.0012108297909007354,-0.0014252382166245413,-0.003424251780790441,-0.007783328785615812,-0.030503216911764705,0.001121969784007353,-0.01136151482077206,-0.10986328125,-0.05286362591911765,-0.1140280330882353,-0.0656594669117647,-0.11328125,-0.002790787640739888,0.0004816055297851471,-0.0025755938361672766,1.5592213244147803e-05
1,-0.04270216997931985,-0.004831987268784453,0.0024541967055376882,-0.020193660960477942,-0.0007539917440975281,-0.019150509553797105,-0.01581769831040326,0.002302730784696682,-0.0340576171875,0.004015810349408318,-0.19641831341911764,-0.022014842313878676,0.008564668543198529,-0.0022334771997788343,0.0015225129968979825,-0.009023498086368341,-0.006948849734138034,-0.03271843405330882,-0.003439075806561649,-0.016845703125,4.148483276369025e-05,-0.03595110949348001,-0.001145306755514706,-0.41345932904411764,-0.010072147144990806,-0.0067668241613051475,-0.005067713120404412,-0.0050212635713465055,0.02815695369944853,0.009290582993451289,-0.004221214967615464,-0.014921300551470588
2,-0.0007798531476189182,0.005989747888901653,-0.0029652819913976473,0.009868509629193464,-0.002453972311580882,-0.005409689510569859,0.012385648839613971,-0.04020107493681066,-0.0005203134873334,-0.007572735057157624,-0.004797318402458647,-0.01590414608226103,-0.5503216911764706,0.08788277121151195,0.07080078125,0.04085854923023897,-0.0018727078157312787,-0.00042735829072839413,-0.001591626335592818,0.04071583467371324,-0.4608800551470588,-0.0009376283954171306,-0.03740288229549632,-0.0037754283231847354,-0.005248799043543195,-0.038426848018870634,-0.6856043198529411,-0.18943360272575827,-0.010448904598460476,0.011166740866268383,-0.004396326401654412,-0.020601384779986215
3,0.05477366727941176,0.024164312026079965,-0.0010259852689855234,-0.0006502936868106529,0.00015567330753101758,-0.00026568244485294115,-0.011031206916360295,0.0070354237275965,-0.047070671530330885,-0.010738933787626376,-0.01018389533547794,-0.007600896498736211,0.03029138901654412,0.008591483621036301,0.0012044626123764882,-0.005440655876608459,-0.0046763700597426475,-0.0013289732091567178,-0.0003777111277860765,-0.005968991447897524,0.009245031020220588,-0.0019091437844669119,0.026162540211397058,0.00032727858599495294,-0.0051803588867187535,0.013751759248621324,-0.014105235829072842,0.043774773092830885,-0.00546713436351103,-0.057049919577205885,-0.02322208180147059,0.005706787109375
4,0.012996897977941176,0.006048370810116041,0.013859243953929222,-0.004016427432789523,0.005844004013959094,0.022635964786305147,0.001145306755514706,-0.011126349954044117,0.0006150638355928294,-0.01516095329733456,0.006651934455422788,-0.0040886822868796,-8.302576401647426e-06,-0.008313796099494489,-0.003341492484597598,-0.009376077090992647,-1.1868106617647058,-0.015785273383645455,-0.0031114466050091885,-0.20522173713235295,0.00173568725585937,0.014982335707720588,-0.014457253848805147,0.0035503611845128648,-0.02449658337761374,-0.03084833481732537,-0.02411068187040441,-0.028491749482996324,0.010666791130514705,0.015782973345588234,0.002334426431094896,0.006668988396139706
5,0.002213421989889706,0.09951064165900736,-0.00917681525735294,-0.03316901711856618,-2.0353860294117645,-0.33504710477941174,0.5747824276194853,0.06464879653033088,-0.3027487362132353,-0.7514935661764706,-0.07500143612132353,-2.5215992647058822,-0.003049962660845588,-0.009890836827895225,-0.00280329760383157,-0.008180506089154412,-0.04449821920955882,-0.009507123161764705,0.015416762408088236,-0.0006960700539981646,0.0013243731330422823,0.02717141544117647,0.18378762637867646,-0.003882913028492647,0.0011343114516314354,-0.018838181215174058,-0.03424880083869485,-0.005694221047794118,-0.11426499310661764,-0.011275796329273901,-0.05118269078871784,-0.036376392140107995
6,-0.025379405302159923,-0.01302045934340533,0.01789407169117647,0.008966782513786764,-0.0066456514246323525,-0.02335851332720588,-0.014628690831801471,0.028691908892463234,-0.0034552181468290415,-0.22989430147058823,-0.006041190203498392,-0.007700751809512876,-0.028995289522058824,-0.14617560891544118,-0.10856404024011948,-0.08775598862591912,-0.03404953900505515,-0.2523893468520221,-0.024544884176815256,-0.06081973805147059,0.029954349293428308,-0.04044476677389706,-0.4847555721507353,0.014802820542279412,-0.0035458733053768355,0.03570197610294118,0.023041669060202205,0.014905144186580876,0.17775591681985295,-0.43310546875,-0.011316187241498158,-0.06314984489889706
7,0.0034020367790671,-0.007445447585162,-0.05984365238862881,-0.023918600643382353,0.010381362017463236,-0.0022504469927619414,-0.01976461971507353,-0.026321859920726106,-0.029140696806066176,-0.08565207088694853,0.0056304931640625,0.01965152516084559,-0.012901754940257353,-0.0007229973288143354,-0.04131002987132353,-0.003626206341911765,9.514303768382353e-05,-0.01701018389533548,-0.034089032341452205,-0.001425350413602941,-0.031011244829963234,0.03903736787683824,0.015653946820427395,-0.9636661305147058,-0.27495260799632354,0.39044189453125,-0.05898509306066176,0.07872839534983915,-0.02278406479779412,-0.17042451746323528,-0.07165886374080882,-0.0242919921875
8,-1.1096047794117647,-1.0542279411764706,0.05631031709558824,0.16646082261029413,-0.006459853228400736,-0.01543291877297794,-0.0012189079733455881,0.03698012408088235,-0.9904641544117647,-0.1777630974264706,0.11483226102941177,-2.9595588235294117,-0.20707612879136028,-0.043358746696920955,0.3158838608685662,-0.05254049862132353,-0.0301055908203125,0.004854763255399811,0.0159907621495864,-0.09673174689797794,-0.05010604858398437,-0.006453570197610294,-0.03115081787109375,-0.030533734489889705,-0.0823202694163603,-0.26018210018382354,-0.15797334558823528,-0.08286420036764706,0.03293744255514706,-0.3444967830882353,-0.14774816176470587,-0.8314568014705882
9,-0.050921271829044115,-0.07236615349264706,-0.2581571691176471,-0.03705193014705882,0.004073199103860294,-0.004613539751838236,0.005078484030330882,0.0003703622257008294,-0.05844587438246784,-0.020500631893382353,-0.059224970200482535,-0.006778492647058824,-0.00791302849264706,-0.22248391544117646,-0.03373089958639706,0.01807897231158088,-0.015287511488970588,-0.050109638887293195,-0.027106789981617647,-0.02586521821863511,-0.10968556123621323,0.09751353544347427,-0.07688275505514706,-0.08171530330882353,0.022452859317555147,0.10610513126148897,0.008891386144301471,-3.5704632927389706,-0.18582691865808823,-0.06201530905330882,0.09048641429227941,-3.3880974264705883
