layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.10639391447368421,-0.00036038850483141057,-0.0029236642937911215,-0.007298519736842105,-0.016126130756578948,-0.01679430509868421,-0.016665810032894735,-0.016004060444078948,-0.01289929841694079,-0.0054610402960526315,-0.0016223505923622526,-0.02303916529605263,-0.006106728001644737,-0.006129214638157895,-0.01582135652240954,-0.0073226125616776315,-0.0009629098992598685,-0.0015142340409128314,-0.001974808542351974,-0.0024023056030273472,-0.008879009046052632,-0.0016015705309416158,-0.0022028872841282896,-0.035233347039473686,-0.017937911184210526,-0.02533922697368421,-0.018394068667763157,-0.025403474506578948,0.0010983316521895527,0.0003975818031712474,-0.00028168527703536844,7.182665285649431e-06
1,-0.007651881167763158,-0.000920044748406663,-0.0012961939761513158,-0.005944502981085526,-0.0005562681900827527,-0.0022109182257401424,-0.0015082108347039367,-0.0023205405787417787,-0.009395398591694078,0.0003591838635896422,-0.035310444078947366,-0.004990427117598684,-0.00016222502055921053,-0.00040094475997121056,-0.00010907022576583159,-0.00146484375,-0.001968609659295334,-0.0066099668803968,-0.0010028387370862321,-0.00043688322368421053,-3.687958968313034e-05,-0.0037405428133512725,-0.0017330771998355264,0.0013074372944078948,-0.0017370926706414473,-0.0009380139802631579,-0.0015395315069901315,-0.001186973170230263,-0.005387155633223684,-0.00014013993112664728,-0.001214679918791121,-0.003173828125
2,-0.0005615635922080631,-4.57763671875e-05,8.894267835114739e-05,3.85485197368421e-05,-0.007425408614309211,-0.006262528268914474,-0.0018149928042763158,-0.009030793842516448,-0.0004332740055887213,-0.0021747789884868475,-0.0008436504163240052,-0.0022201538085937526,0.001064501310649674,0.003093518708881579,0.0024157072368421054,0.0008801912006578947,-0.0012882634213096315,-0.0005724053633840474,-0.000447072480854242,6.745990953947369e-05,-8.475153069746364e-05,-2.303405811912135e-06,-0.0005617894624408913,-6.791792417809309e-07,0.0012688887746710527,0.0004507177754452397,-0.0007908469752261528,-0.0019290321751644736,-0.0012546840466951018,-0.00025699013157894735,-0.00021261917917352112,-0.0014004707336425866
3,0.002505653782894737,-0.001811780427631579,-0.00019500130101253682,-0.0006312320106907895,-0.000500177082262543,-0.0003908307928788105,-0.002514487818667763,-0.00014566120348478948,-0.009039226331208884,-0.0014560097142269736,-0.004990427117598684,-0.0004939029091282895,4.818564967105263e-05,-0.0018149928042763158,-0.00016202424701891585,-0.0023698806762695317,-0.004054822419819079,-0.00034111424496298815,-0.00018070873461272508,-0.001419832831934878,-0.0008456581517269736,-0.0013793142218338841,-0.0036364103618421054,0.00048035069515830526,-0.003504100598787011,-0.00041279039884868423,-0.002098183882863895,-0.0012656763980263158,-0.004786441200657895,-0.016404001336348683,-0.009203057540090457,-0.00038227282072368423
4,0.0007404528166118421,0.0004327673661081422,0.001736289576480263,-0.0014118395353618421,5.722045898437902e-05,-0.004349557976973684,-0.0005396792763157895,-0.009458843030427632,-0.0031232331928453946,-0.003869307668585526,-0.003987362510279605,-0.0007937581915604475,-0.0002887625443307977,0.003576981393914474,8.60314620168559e-05,-0.001323499177631579,-0.0007388466282894736,-0.003654680754009042,0.000855194894891042,-0.004879600123355263,-0.0020013106496710527,0.001132362767269737,-0.010250292326274673,0.0001812985068873368,-0.0027128018830952,-0.004025308709395558,-0.005448190789473684,-0.011063073810778163,-0.002053511770148026,0.00012969970703125255,0.0009585932681435053,-0.0016431306537828948
5,-0.0002879092567845369,0.013755697953073605,-0.0008777819181743421,-0.011954859683388159,-0.02497301603618421,0.006229199861225326,-0.18246299342105263,-0.008268657483552632,-0.00031079744037828947,0.0007521980687191579,0.00016530563956813305,0.0012698926423725316,-0.0021478753340871686,-0.0028570074784128314,-0.0012945877878289473,-0.0038660952919407896,-0.0089874267578125,-0.014876516241776315,-0.0027899491159539473,-0.0021039059287623315,-0.0015170448704769684,-0.05892141241776316,0.02908485814144737,-0.0008914345189144736,-0.0037938168174342104,-0.0004354778089021367,-0.009452016730057564,-0.006026418585526316,-0.02414141203227796,0.0001212672183388158,-0.00876436735454359,0.008139359323601974
6,0.0010293659410978684,-0.0029065985428659525,-0.0001686497738486842,-0.002189234683388158,0.0036781712582236842,-0.001865587736430921,-0.003395482113486842,0.0144500732421875,-0.0011560540450246686,-0.018618935032894735,-0.0012940858539782,-0.0020193300749126284,-0.002191041645250829,-0.028700979132401317,-0.01916102359169407,-0.014773720189144737,-0.004049100373920637,-0.005317386827970812,-0.0020013106496710527,-0.012951097990337168,-0.010194477282072368,-0.015259391383120893,0.027051423725328948,-0.004143965871710526,0.004009849146792763,-0.003700657894736842,-0.0022077058490953946,0.001629478053042763,0.019049393503289474,-0.0621795654296875,0.004147579795435858,-0.009264494243421052
7,0.0009829872532894736,-0.0003698248612253316,-0.002991023816560437,0.01804713199013158,0.007910075940583884,-0.0005676871851870947,-0.014011583830180922,-0.014262952302631578,0.0007292094983552632,0.006054928428248358,0.005020241988332647,0.010012978001644737,0.0006171778628700684,1.1544478567021018e-05,0.01330606560958059,0.0081848847238641,0.001774035002055921,0.0067765085320723685,0.0049478631270559155,0.002195257889597037,-0.000692668714021379,-0.00017668071546052632,0.0008470635665090527,-0.031661184210526314,0.052495052939967105,0.012412623355263159,-0.009157682719983552,0.005002071982935858,-0.002911216334292763,0.040818866930509866,-0.006184226588199016,0.004411797774465463
8,0.019820363898026317,0.002322548314144737,0.00372314453125,0.028281763980263157,0.0008575037906044423,-0.0042068079898231955,0.017026499698036594,0.003992582622327306,-0.012916966488486841,0.0026598478618421054,-0.009478920384457237,0.019195857800935447,0.01177938360916941,-0.0005063508686266474,-0.006701017680921052,0.015724583675986843,0.0004802503083881579,-0.0029429385536595422,0.005419480173211353,0.014950400904605263,0.00482177734375,0.001514635587993421,8.191560444078947e-05,0.0018133364225688734,-0.0027208830180921054,0.023379677220394735,-0.008763363486842105,0.00046740080180921053,0.011400724712171052,0.02251233552631579,0.005947715357730263,0.23838404605263158
9,0.02299097964638158,0.01631566097861842,-2.5699013157894735e-05,0.017294733147872117,0.0006597418534128211,-0.001390758313630758,2.208508943257857e-06,-0.0007649471885279632,-0.010329397101151315,-0.0013716848273026315,0.0017768458316200688,-0.001129420180069769,-0.029271175986842105,0.031147003173828125,-0.020135176809210526,-0.023124293277138157,0.006258111251027963,0.007720947265625,-0.002434981496710526,0.016760374370374174,-0.0022346095034950627,-0.007361161081414474,0.002753006784539474,0.005838494551809211,-0.007867110402960526,0.01888997931229441,0.0007577193410772997,0.08092619243421052,0.04084135356702303,0.008950584813168174,-0.006019993832236842,0.02853232935855263
10,-0.0057513588353207265,0.003449690969366779,-0.008064972726922283,-0.011265001798930922,-0.009184184827302632,0.0029088070518092104,0.005075956645764806,0.006739566200657895,-0.024724056846217105,-0.0023450349506578946,0.0035434522126850314,-0.0033705861944901315,0.007092927631578948,-0.024085195440995067,0.0074362503854852,-0.0035561009457236842,-0.002627724095394737,0.017825478001644735,0.004538084331311679,0.02421931216591284,0.004809931704872536,-0.004367226048519737,-0.0010089874267578103,-0.005655389083059211,-0.01239977384868421,0.029160348992598683,-5.862587376644737e-05,0.009539152446546052,-0.020318282277960526,0.02252197265625,-0.005820826480263158,0.012120297080592105
11,0.003318786621093747,0.006452058490953948,0.004193757709703948,-0.001049644068667763,-0.0004226283023231893,-0.0006617495888157895,-0.008828414113898026,-0.005072342722039474,-0.07286955180921052,-0.00311279296875,-0.0007609317177220423,-0.008416426809210526,0.006635163959703948,-0.022660104851973683,0.007159584446957237,0.012952302631578948,-0.002205798500462579,-0.011121247944078948,0.004186931409333879,-0.006197477641858552,-0.036055715460526314,-0.0016226517526727,-0.015170448704769737,0.008218062551398026,0.007975929661800983,0.010687577097039474,0.009690134148848685,0.01839246247944079,0.0013141632080078105,0.0004995245682565789,0.0018439041940789473,0.0020089400442023053
12,-0.0007468775699013158,-0.0025763260690789473,-0.010703638980263159,-0.021087646484375,0.0004866750616776316,0.025418733295641448,0.04437577097039474,-0.0034340306332236842,-0.013427734375,-0.024805972450657895,-0.0017838729055304208,-0.005444175318667763,-0.0017415096885279632,-0.022589432565789474,-0.00972025017989309,-0.03445033023231908,-0.001636705900493421,0.0007561131527549315,-0.0004505358244243421,0.0008433492560135737,-0.025429173519736843,-0.044825503700657895,-0.0064404136256167735,-0.0025618703741776315,-0.04705489309210526,-0.00043688322368421053,-0.017970034950657895,-0.0017079805072985211,-0.01380358244243421,-0.023251182154605265,-0.013148257606907895,-0.00798596833881579
13,0.0684557462993421,0.00806627775493421,0.0021703619706003262,0.01288403962787829,0.034571597450657895,0.0294189453125,-0.002917239540501647,-0.00829114412006579,-0.009290193256578948,0.017652009662828948,-0.02064915707236842,0.03282567074424342,-0.09449607447574013,-0.016161466899671052,-0.022987365722656253,-0.098358154296875,0.0057083932976973685,-0.00024293598375822625,-0.0021828099300986842,0.039627878289473686,0.006167763157894737,0.0020014110364412045,-0.009810999820106905,-0.001882954647666537,-0.002592789499383226,-0.0083871138723273,0.002379768773129116,-0.0030569779245477,-0.028214304070723683,-0.007488250732421879,-0.024115713019120067,0.0031895888479132476
14,-0.0024256455270867633,-0.010514108758223685,-0.016373483758223683,-0.01050768400493421,0.03275339226973684,0.006052920692845395,0.009127165141858552,0.020086188065378284,-0.006582159745065789,0.005330135947779605,-0.020352815326891448,-0.0006340428402549313,0.00432405973735609,0.00912455508583471,-0.034346731085526314,-0.00017708226254112134,0.0015439485248766418,-0.01580971165707237,0.01708984375,-0.0022751657586348685,-0.001117907072368421,-0.0059712058619449,0.012700131064967105,-0.015008223684210526,0.017541182668585526,0.0011773360402960527,0.001388185902645717,-0.03330592105263158,0.0006745990953947368,0.03868986430921053,0.004969145122327306,0.017129596910978623
15,-0.0009357050845497577,0.005293996710526316,0.0019017269736842106,-0.002993935032894737,-0.036566884894120064,-0.04413032531738281,-0.0032750179893092104,0.0015700490851151315,-0.008766375089946541,-0.03278912995990954,-0.012794494628906253,0.0004645899722450632,0.0004073695132606894,-0.0010518525776110211,-0.0024928042763157944,-0.001356827585320721,-0.004882009405838816,-0.0009916707089072789,-0.0034741853412828946,-0.0023701316431949,-0.0005949923866673527,-0.0032744658620733947,0.0004937021355879895,0.002078407689144737,-0.0007476806640625,-0.0013897544459292737,-0.013128983347039474,-0.002606442100123358,-0.015205784847861841,-0.0017957185444078948,0.016119706003289474,0.0008401870727539054
16,0.002621299342105263,-0.006084241365131579,0.0010307713558799312,-0.009354440789473685,-0.00300156442742599,-0.003073541741622126,-0.004633621165626918,-0.0033167788856907896,-0.007144325657894737,-0.007195121363589632,-0.006898779618112659,-0.002108523720189142,-0.0038050601356907896,-0.012495191473709921,-0.0016277714779502528,-0.007674518384431538,-0.006879304584703948,-0.0035946494654605313,-0.014351292660361841,0.0004993237947162789,-0.022170217413651317,0.011712325246710526,-0.01801500822368421,-0.08768503289473684,-0.0064131084241365105,-0.005804764597039474,-0.009220324064555922,-0.018552679764597037,-0.005474391736482322,-0.002347042686060853,-0.010189257170024673,-0.009047156886050574
17,-0.011769646092465058,-0.002539484124434621,-0.0015219826447336298,-0.003150839554636105,-0.0036163330078124944,-0.002870660079152963,-0.006320351048519737,-0.008989032946134875,-0.00045696057771381577,0.0047607421875,-0.0010199295847039473,-0.0019043370297080577,-0.0034133509585731942,-0.003241288034539474,-0.0006537186472039474,-0.005338568436472043,-0.002832312332956416,-0.00013251053659538926,-0.004285611604389394,-0.0022446481805098685,-0.006882215801038237,-0.001886869731702305,0.0031162061189350314,0.0004372847707648001,-0.00018953022203947368,0.001300711380807979,0.0008332101922286159,0.006427965666118421,0.00043688322368421053,0.0008047003495065789,0.00021809025814658415,0.0008022659703304842
