layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00029263129601111537,-0.0010071167579063943,-0.000506914578951325,-0.002358509944035458,-0.0001324231808002308,-1.994806986589335e-05,-0.000179173854681164,-0.00016712683897752412,-0.00010509445117070203,0.00026201284848727,-0.0008967472956730769,-0.00010264836824856971,-0.0003797572392683682,-0.00031816959381102675,-0.00039256994540873947,-0.00015668685619647853,-0.012510739839993993,0.0013143466069148175,0.0008992782005896923,0.005516840861393856,2.4476876625642262e-05,-7.88947710624094e-05,0.001604043520413902,-9.188285240751823e-06,0.004590731400709886,0.006740570068359375,-1.6029064471907683e-05,-0.00018471937913160766,0.0034801868292001614,-0.00024140096054627562,0.0008028562252338165,-0.00014878866764214433
1,-0.0016322617347423877,-1.9376094524675043e-05,-0.00035356099788959306,-0.000715530835665187,-2.6858769930330794e-05,0.0004925911243145327,0.0005903427417461737,-6.99208332930719e-08,-0.000239001157192082,-0.10508933434119591,8.940696716379484e-07,3.091589762614094e-05,1.0718806431835277e-06,-0.0003379950156578623,-7.036328315734713e-05,8.612871170036913e-06,-0.00012019348259156314,7.685445822201882e-05,0.00014081826576820274,-0.00016957865311549187,-0.0004694840082755437,-0.0001640411523672261,0.0001349907654982289,-6.353568572264024e-05,-4.565715789794801e-05,0.0001171919015737673,-0.0007075025485112139,-6.254819723275847e-05,-0.0016150107750525866,0.0005901318330031173,0.00047827683962309,-0.0003016178424541846
2,0.019444832435021035,-0.0001113116741180328,-0.001859078040489781,-0.0005171849177433885,-0.0001102044032170155,-0.0001758592059979022,-0.0012824718768780015,-0.00020626961038663346,-0.00011234214672675271,-8.276807001004261e-05,-8.496900017445013e-05,-0.00025450782133982987,-0.001312989455003002,-0.0006686724149263788,-1.6876568014799966e-05,0.0005758633980384192,0.00016021441954832533,0.00018362185129753553,-0.0010915994644165,-0.002456605434417723,0.00022833622418918457,-1.2433143028846154,-0.08085867074819711,-0.03542768038236178,0.00016163834012471363,-0.0028635905339167637,0.00030056902995475996,0.00010816810222772529,-0.0002060521107453555,0.00017635008463493267,3.4694488231955736e-05,-0.0015137929182786143
3,-0.0008954359934880078,-0.0004164845897601084,5.6865123602130996e-06,-0.0007386803627014098,-0.0006654377167041501,-0.001510668259400591,-0.0007536365435673593,-0.0009645928557102588,-4.72910917149115e-05,-0.00010910630226134624,-0.000664079418549158,-0.0002571897437939202,-6.244503534756183e-05,-3.7877748791982605e-05,-0.00016167072149423379,-8.300577218715114e-05,-0.0012618051125453042,-0.0005387251193706693,-0.0012515187263488765,-0.004143421466533958,-0.00034561065527107226,-0.0005301942045871891,-0.00011613105352107489,-0.0015737827007587133,-0.00010689519918880693,-0.00040829081374864514,-0.0013101139607337687,-5.940147317372674e-05,-0.0002828630117269558,-0.00040423812774510417,-0.0004012538836552501,-0.00043038336130288545
4,0.0005033726875598734,-0.0012776301457331635,-0.005292819096491886,-0.003388038048377402,-0.00022685814362304274,-8.144236814515836e-05,-0.000580417422147896,-0.00028791737097958933,-0.00010657654358789539,-6.704376294063288e-06,-5.919106591205459e-05,-4.8083109924421216e-05,-0.10131894625150241,0.0008045343252328732,-0.0012214688154367213,-0.041184645432692304,-1.7395386329056133e-05,-7.096162209142533e-05,3.5451223643926115e-05,5.258963658272455e-06,-0.0005110593942495323,-0.00024782694303069805,-0.003532703106219952,-0.00032165188055770607,-0.0007663323329045089,-0.003704547882080075,-0.00024010011783011275,-0.00014599928489096638,-0.0005126781761646124,-0.04780153127817007,-0.0006301655219151313,-0.0008828364885770346
5,-0.0001667824645454954,-6.0844020201604274e-05,1.4490841959536537e-05,-8.119843327080918e-05,-0.00226593017578125,-0.0012833017569321827,0.02356896033653846,-0.0023755282163619956,-0.00022765306326058882,-0.0002600868734029522,-0.0013917776254507193,-0.0008770869328425462,-0.0010714714343731271,-0.00034094644853700963,-0.003980640035409187,-0.00040629448798985395,-0.00011357521781553808,-0.00026819453789636506,-5.8028560418336175e-05,-9.054719255520701e-05,-0.0005667043419984632,-0.001659873586434583,-0.0010788211455711751,-0.005821998302753149,-0.00028928713156625274,-0.0006407238543033346,-0.00034637287115819545,-0.0009157290825476904,-0.0011322360772352941,-0.004483443040114183,0.0004957410005422716,-0.0003199989979083755
6,-0.004921564689049348,-0.0013504028320312463,-0.8184368426983173,0.025836431063138522,-0.0008578071227440439,0.0001775542130837148,0.00015372016395514908,-0.00017848295661118498,-0.0010843643775352999,-0.017725967443906344,-0.001338612574797405,-0.002083191504845254,-0.00033709808037831254,-0.00010630660332165913,-0.0008858854954059195,-0.0003957880231050227,-0.004488504849947412,-0.0004072739527775502,-0.0005875367384690404,-0.0044259841625507,-0.00459025456355168,-0.0006991051710568847,-0.006763678330641525,-0.002585548620957591,-0.0018126832751127304,-0.0016089219313401364,-0.00897378187913161,-0.0604253915640024,-0.001131757520712333,-0.007823691918299748,-0.002097314366927513,-0.00042472235285318573
7,-0.00040324662740413007,-0.0002289849978226876,-0.003693653987004208,-0.003160770122821512,-0.003757550166203427,-0.002404176271878761,-0.0017228585023146385,-0.0030112358239980856,-0.0014103421798119103,-0.0024110995806180496,-0.0004961123833289443,-0.0023234440730168253,-0.000995525946983929,-0.04562979478102464,-0.004793467429968022,-0.02141681084266076,-0.01983055701622596,-0.007609587449293869,-1.1781850961538463,-0.1179340069110577,-0.0016339971468998771,-0.02595387972318209,-0.0012260583730844367,-0.001294264426598179,-0.001120750720684348,-0.0032574190543248013,-0.0026827683815589284,-0.0016822998340313223,-0.0015577903160682058,-0.004690317007211538,-0.0005291883762066076,-0.0059229227212759155
8,-0.00020117026108960875,6.488653329702884e-05,-0.002608042496901292,-0.003076842198005084,-0.004413868372256938,-0.01061777426646306,-0.00018311005372267336,-2.8050862825835035e-05,0.00019675034743089236,-0.0010659247636794923,-0.018479934105506312,0.0008103732879345243,-0.0004841805650637684,-0.011523393484262321,-0.003837512089655948,-0.001163303852081298,-0.003366617056039656,-0.002913814324599041,-0.0062638062697190485,0.00017373378460224038,-0.0030760982861885644,-0.011310650752140928,-0.005177131065955526,0.005691216542170594,-0.0008667065547062804,-0.0017410780374820314,-0.00273975959190955,-5.101011349604338e-05,-0.0001946680534344402,-0.0007957154884934459,-5.660721888908715e-05,3.883185294961024e-06
9,-0.0006232903553889303,0.0037274452356191768,0.201171875,-2.545576829176736e-05,-0.0013446807861328136,-0.002192203815166765,0.009124462421123795,-0.0013789809667147058,-0.005051539494441106,-0.02118844252366286,-0.00015305097286518555,-0.0016700946367703843,-0.0021766515878530656,0.003919638120211085,-0.003984231215256913,0.005243191352257362,-0.00040662632538722166,-0.004402921749995308,-0.0057697479541485176,-0.0009493483946873657,-0.0018023263949614348,0.0006608917162968608,-5.5432319641114135e-05,-2.1560834004335503e-05,-0.0008734877292926475,-0.04069335644061749,-0.3778639573317308,-0.010222728435809795,-0.019101436321551982,0.0026970689113323494,-0.002294586255000177,-0.0017494421738844673
10,0.005079196049616885,0.0012866166921762308,0.0017483417804424596,-0.0004203869746281577,-0.0004591027704568908,-0.00037316175607533174,-0.0010677851163423866,-0.0002173552146324735,0.12216276388901931,-0.003662737516256476,-0.006526639828315147,-0.018916790301983174,-0.0006471115809220444,-0.001771679291358364,-0.00041341323118943035,-8.65574066455496e-05,-0.0024569034576416033,-0.0020895554469181955,-0.0014503460664015628,-0.001980975843392887,0.001477993451631986,0.0051285578654362615,0.0013959980927980822,-0.0033933199368990346,-0.0008292519129239507,0.0013317511631892342,-0.0406957773061899,0.00023172451899602304,-0.005001728351299583,-0.0011202555436354384,-0.002544696514423077,-0.0001551921551044192
11,-0.0026736167760995776,-1.2839069733241471e-05,-0.00479373565086951,-0.0006480996425335165,0.014172150538517876,5.039400779284457e-05,0.023804572912362907,-0.003366736265329213,-0.0002407477452204676,0.020891336294320915,-0.000424330051128673,-0.002231304462139423,0.002097496619591348,0.014163952607374925,-0.04502729269174429,-0.02290931114783654,0.0005061809833233192,-0.0001735543975463234,0.0018269465519831693,-0.01360911589402419,-0.19849454439603365,0.0034583348494309613,-0.0019506307748647863,0.0009274253478417057,7.086304517892877e-05,-0.000552452527559725,-0.005533878619854266,0.00029792235447810165,-0.0016971918252798217,-0.06357398399939904,0.0008910710995013867,-0.003102540969848635
