layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00032812784022631197,-0.00028073973373460623,-0.00037311653481837117,3.277512725639886e-05,-7.055982993770593e-05,1.5243191585364223e-05,2.076042775424395e-05,7.387893593571097e-05,0.00011331882803610751,0.00012097328994132963,0.00020741729350104912,0.0001267688668034157,4.555317471703227e-05,3.609386188590321e-05,4.636907131872362e-05,-2.182904062238902e-06,0.0030267743678107813,-7.268721440870686e-05,-0.00022974638181311963,0.000305927431100626,6.994215127461661e-06,2.085721567040748e-05,-0.0005823058131327874,-9.13937886555959e-06,-0.00129257035775348,-0.0021467862470870456,0.000265434523609197,0.0004544480938777736,-0.0009629852675203223,0.00011842606467342922,-2.939938756164165e-05,3.1392615160837675e-05
1,0.00012246160724452743,0.0012378336113189976,0.00013796307401865075,4.3994912477297185e-05,-7.759150686293962e-05,0.00019502342675705207,-0.00017887483876070977,2.5578980505280356e-05,5.513624029924691e-05,-0.00011278795676067945,5.684087395296834e-05,2.7028901786818623e-05,1.0083185804778528e-05,6.627842110822375e-05,1.0631833445986312e-05,1.0971815508100696e-05,0.00012703828304727323,6.473231538433538e-05,3.3107037856200474e-05,-2.2444583916599825e-06,0.000263580675251385,9.746699248704577e-05,-0.00028586016265774283,3.9102271709857704e-05,0.00013442574260390575,5.318786124945621e-05,6.264977366010568e-05,2.655883630116703e-05,0.0005892013835015682,-0.0005023620581701164,3.30092286766518e-05,0.00020760613438496273
2,-0.0029593494450934578,8.285292815938561e-05,-0.0004119315065698843,0.007035086088091414,0.00015784479747308402,0.0001695143331619791,0.0005433754386188814,0.00017159942804466962,0.00012470236065509926,5.069369235514068e-05,7.068809423584005e-05,9.662991409941453e-05,0.000776157943630512,0.0005677212435879784,5.839078040136935e-05,-0.00010870420301443257,4.211570371255177e-05,6.514373365963002e-05,0.000969027433068578,0.0014666992927266057,5.774795820477797e-05,-0.0003953180580495706,-6.269322377499208e-05,-3.9072367841395935e-05,8.434412356848776e-05,0.0014001436508333182,0.00025830497947808805,6.237531202697081e-05,0.00021837117887359896,0.00012171679289541257,0.00011479560970516633,0.0008720859560268279
3,0.0007526831834858414,0.00031007754375629294,0.0001751151040335594,0.0005307365615048447,0.00016923014341484814,0.0012444582219435765,0.00021752112797487238,0.00035575729130398636,2.479924010896015e-05,6.39034905166246e-05,0.00032894427067022035,0.00012777770094782006,3.018056991222899e-05,2.9486403844063183e-05,9.28946425470958e-05,2.0691499729113077e-05,0.00038983879431013957,0.00035923257516551246,0.0007594528599320151,0.002415499583211642,0.00016940067118943828,8.976270337341913e-05,4.260645268304641e-05,0.0010441385696981556,0.0001276767177280883,2.5440634132541237e-05,4.8546218443833035e-05,8.064080203804005e-05,0.0002689584625472836,0.00013787218157746797,9.39043790009072e-05,0.00012097824538978875
4,0.0009110206012785217,0.0009575242936796837,0.004865518611539561,0.00335636762815101,0.00012210988645612144,2.2531872922755338e-05,0.0006713909662772523,0.0001893883623252306,9.52648875126571e-05,1.3339086624318359e-05,4.9370877746476796e-05,7.115931154411617e-06,0.0023714612206194633,0.0072961496044170815,0.0005932867851955437,0.010840374361317478,3.0436023570757655e-05,0.00012458194151659358,7.999126837121535e-05,0.00047450048436999104,0.0004998931075182214,0.00028742422753033034,0.004096467918324693,0.0003259392727943906,0.0004847086849985042,0.0024721451637529485,0.00019151242769023923,0.0002248037455609174,0.00016576640099007646,0.007556237164316148,0.0003860522049981072,0.0011329078971411186
5,9.406857610305053e-05,2.490431998748596e-05,4.3714786023824684e-05,6.201192214388106e-05,0.010215355971149195,0.0011491602826341279,0.03801167048397837,0.000863781506398756,8.261175913231205e-05,0.00010085003769656833,0.0019123606221326769,0.000961776091673659,0.00039556487884105,0.0001674169134870796,0.0011867615292748162,0.0002493727430004847,4.270451717844154e-05,0.00018118614348295366,2.7662740782408533e-05,6.352533293289841e-05,0.0003158131678156299,0.0007738530566202104,0.0005360169574107639,0.0028998874058233236,5.11016348533494e-05,5.166059449848753e-05,8.345953539894951e-05,0.00139562075383195,0.000479050468061566,0.008150898407552842,5.5529432504718166e-05,0.0003692273781678367
6,0.0035754713313973195,-0.00011788796041613561,-0.00812797011616074,0.0175815965527686,0.00027332661493545396,8.983097715169933e-05,-2.273927062659907e-06,0.00012637377133435768,0.00021260520704438428,0.0058934298631186785,0.0003373328584748247,0.0010646806327724745,0.00011747572542025789,6.752901034562645e-05,0.0004766530058465598,6.883673810883996e-05,0.0036026298814102104,0.0003214284452693772,0.0013280605601373103,0.0023390110408034264,0.0032207332667531985,0.00041093288505930967,0.003707846005757649,0.0004365708783408146,0.001963850772269415,0.001644907710708188,0.0043872134336429966,0.016927059565749122,0.000381104787376433,0.005841371078171833,0.0007187576958694881,8.917453980240911e-05
7,0.0002532783588191389,0.00016775295556148277,0.0019273483121877869,0.0020083330130651355,0.004405290538276839,0.0013648958592399993,0.0019143614627861896,0.0014822834005979739,0.0008585219071290206,0.0008129963993654805,0.0009444731046848946,0.0001839520032532135,0.00014591532704243538,0.021836383320460808,0.0008922265697491098,0.008115141562583661,-6.105060285869545e-06,0.010728330998405861,-0.0016058987453347804,-0.0002637759222419807,0.0003052613352689427,-0.03928002093068536,0.0024111727687800046,0.001695383746304615,0.0004093563909471203,0.000905879863140364,0.0004047151666563983,0.0003066510426292519,0.002063252472803228,0.004040697281977098,0.0004435989344231357,0.0017772547181150245
8,0.0005079814670984627,0.0009536891711463805,-0.00045098601100600666,0.0005521874851619709,0.0017740599741445523,0.0018783666634485355,0.00028659008745092495,0.001276203776445716,0.002273945050818897,0.00048033470676695205,0.0012745649272407691,0.0011427004203618122,0.0006270000125017462,-0.0007548347069095605,0.0026775997747141983,0.0009432099411420709,0.0012747917405541431,0.0013678216859930373,0.0030050455966842498,4.3877374346009005e-05,0.0016947357082664034,0.0006226824822826896,-0.001186984350376783,-0.001987246709449271,0.0008779140276329518,0.0017788871147922253,0.0004027667818039731,0.00045303048745864977,8.379548463123234e-05,0.00039681113931434555,1.9976380353680365e-05,-5.383121366161955e-06
9,0.00011246560889983703,-0.001215490596688054,-0.013035070116274824,0.0021561885548529217,0.0007253959542865688,0.0007297439367228941,-0.0022643719135415144,0.0002448089722532285,0.006641679092359691,0.010385208783491378,0.00017382218458942184,0.0007283332006210827,-0.004995305961537583,0.00027992272302740324,0.0009794705010648817,-0.0006030692118350606,0.00029829042351505814,0.0011567653525284144,0.0009079701803926344,0.00028239028104739855,0.0010256304919162625,-2.2589046264363922e-05,6.5045564716848e-05,0.00015068648388823688,0.00033781586963439503,-0.0006416807664889004,-0.004919631458888544,0.010912422821900554,-0.14061926607030945,-0.0014264583587646487,0.0011631167751977743,-0.006087751774773048
