layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.00021102938195379387,0.00020003265686714805,0.00020333706403362738,0.00028528269786877236,-2.1003004171798532e-05,-2.018506649076887e-05,-2.4523727081401605e-05,-3.977820177651658e-05,-2.127613681461842e-05,-8.175394317355354e-06,0.00042308206547607565,9.543911651409072e-06,-1.2012327168728068e-05,-1.3222142157949235e-05,-7.49704301490051e-06,-3.0188425081078335e-05,-0.00023982439911976155,-0.00021317913165867726,-0.00015269886942908056,-0.00030651708488209557,-1.0691881843559753e-05,-7.410374011654473e-06,-0.00013192831009692734,-6.605761088347886e-05,-0.000292249671069445,-0.00015715926155481159,0.0002952180885790722,-0.00016613712820550165,-0.00021760846033924697,4.930248461199175e-05,-5.191936259280395e-05,3.0493737096776537e-05
1,0.00028676522236093275,-2.3018278364083512e-05,0.00014356372749354087,0.0003135542080370513,8.436450050243497e-05,-3.2472982172975623e-05,-4.850795911521188e-05,-2.805500359737886e-06,0.0001081449367553995,-0.00021393371451405402,-2.723224544046524e-06,6.749178542193374e-05,6.457161208107232e-07,8.82725001111602e-05,6.928656225346118e-06,-3.9036479054684006e-06,5.522114795140969e-05,-9.30884500388868e-06,4.3804419199980896e-05,2.817495960435054e-05,-3.793852648517454e-05,-2.1303238508961854e-05,4.072052598795997e-05,2.6292791942710417e-05,-2.402239759143583e-05,4.9490539693089456e-05,0.00010353293610043909,2.990043276136805e-05,-5.999386708826615e-05,2.311677869019354e-05,3.839103310039099e-05,5.400034791908056e-05
2,0.00019741907948109516,-1.787462319456815e-05,3.988499896298111e-05,-0.00037265089413105514,1.6014102041584295e-06,9.355713968020817e-06,-2.3778138022634287e-06,1.4890897977590857e-05,6.56554205778697e-06,-7.1673986412792395e-06,-1.4165268053522391e-05,-2.553769468198536e-06,-1.9552447482577646e-05,-4.1850558368028105e-05,-8.089795609093047e-06,-1.7341400573407464e-05,-9.956684602395975e-06,-1.1010894049912123e-05,-9.250481569421788e-05,-0.0002454487411906816,-3.4957210209742385e-05,-8.896225544815097e-07,-5.283341110415739e-06,-5.235847288986477e-06,5.251257151432422e-06,0.0002714102477963628,6.216127873462755e-05,9.363720956814363e-06,-1.2614828573834037e-05,-1.2469550549053699e-05,1.9140964693376234e-05,-7.774095094549207e-05
3,-5.4554312691125197e-05,7.538095879926176e-06,-1.262142665202922e-05,-3.7150785227394515e-05,2.8043334063282288e-05,1.007238846844604e-05,2.0461517877726105e-05,-1.3000649173966938e-05,-3.0826113470950122e-06,1.1030751548059335e-05,-5.7615389537175055e-06,8.740995436043064e-06,1.5561497938260898e-05,-1.6422618703211543e-06,2.17198632773681e-05,1.1928408120951634e-05,8.5796505411904e-06,-1.6274349660278664e-05,-5.738764072048742e-05,-8.394776580062958e-05,-1.1873205414327691e-05,1.8277195155754423e-06,-2.487038857487475e-06,-6.271377703660407e-05,-8.261635513739716e-06,1.690801407287337e-05,-4.492534681293316e-07,-9.057848384490728e-06,-1.3438148843021754e-05,1.8139388453721606e-05,1.1736927408815068e-05,1.8199619511455746e-06
4,6.451049533346941e-05,-4.072855734878191e-05,-0.0003968294054468907,-8.749218454339727e-05,-1.3862964686817254e-06,1.6850516312068145e-06,4.3098128220285795e-05,1.052334149656344e-05,5.883876159620053e-06,-2.3524046674339945e-06,-2.0364104440324938e-06,4.544011514243501e-06,-0.00031799622261710045,-0.0002452926274662823,-9.814878813672974e-06,-0.0006281156051397857,1.2240595576292234e-05,2.402599635462057e-06,1.7502978558181348e-05,1.6298530859778115e-05,-1.4352406850109322e-06,3.42278677001201e-07,-0.00014603111420017555,3.1226063624263764e-06,-4.636700408229471e-06,-7.987633048824353e-05,-5.980308908131192e-05,-2.029353964302272e-05,-1.8056353475297921e-06,-0.00017259752830046577,-9.733922198779016e-06,-5.951702993006595e-06
5,-4.5124870747806754e-06,2.2147672732081572e-06,1.9280093707518204e-06,-4.267768067347907e-06,-0.0003171202069135972,-0.00019882456762487972,-0.0008305039065983354,-6.179551372018285e-05,1.3593741939432488e-06,-4.184977846315416e-06,-0.00010384509717435768,-5.801825188847062e-05,2.0021717904139687e-05,8.776684380852483e-06,-9.471709053872152e-05,6.828712245536707e-06,6.583268299930484e-06,2.8394311998364067e-05,-1.3740399317237255e-06,1.8934451690758419e-06,-1.5432276412477963e-05,-5.576178796572824e-05,-1.6864198353349492e-05,-0.0001336493278399344,1.0191243067218132e-05,1.3203889583724166e-05,9.07117729064939e-06,-5.7265427967486355e-05,-1.0676856229458766e-05,-6.026248623905246e-05,3.7821370668558214e-05,-5.4847324611349585e-05
6,-0.00011972362851778051,0.0002162713383247703,5.5695429676625126e-05,-0.0003983475317668278,-6.427826621219192e-05,-4.886767779268536e-06,6.242438462176981e-07,-2.7281072463657137e-06,6.058284461100045e-05,-0.0001444455509992909,-1.2717838243545531e-05,-1.4439590258693131e-05,7.672454199371328e-06,1.8713714758178376e-05,1.1143015328388767e-05,1.0078506365848934e-05,6.678298049355477e-05,-8.92327330949943e-08,-4.252413067891953e-05,4.001449635936957e-05,-5.492335703962333e-05,4.859935732886994e-06,-7.327806976165469e-05,4.513865390705526e-05,6.258531674775934e-05,-9.371841405176087e-05,-0.00017649824741423017,-0.00040667837605975533,-2.5458169275509123e-06,-2.7708576490194272e-05,6.0554386379989455e-05,1.1796774736755725e-05
7,4.063387358403903e-09,8.340535025820547e-06,-9.271641882066033e-05,-1.9375890294268348e-05,-0.00027605685465585455,-0.00011401749599749927,-0.0001452973730580057,-0.0002837668282948512,-3.160061708802895e-05,-1.77704478159792e-05,-0.00012392474375748163,-2.00028010625352e-05,7.601749392553993e-05,-0.0007121515167848039,-1.2098880015928697e-05,-0.00012432533276904127,-7.535991588725994e-07,-0.0012580578470548704,-0.00011083041473327155,-1.2336170222020434e-05,0.00021059309984899585,-0.00013677261454490881,6.674658216718606e-07,-8.47235554310684e-05,-3.67829522205089e-05,-1.3518837884168333e-05,-2.5848768867204327e-05,3.6478540414159784e-05,-0.00024132739196641413,-0.00026602628236358574,-6.852785171007474e-05,-7.08386600681298e-05
8,-5.0496251917629266e-05,-0.0001726266668740251,-0.0003454220587001871,8.015651961079166e-05,-0.00015117961473613614,-0.000460443225894579,-0.00010725975302120573,-0.00019792485608820942,-6.669378094790013e-05,1.198598463710649e-05,6.463506439480852e-05,-0.00017799437046050958,-0.00016424647285571793,-0.00037923285982391044,-0.00020512261475645803,-3.343931749828081e-05,-6.963521706765089e-06,-3.0401787141914406e-05,-6.989978735059274e-05,5.232332012966867e-06,2.3758972275229144e-05,-8.447956136181104e-05,0.0002121209832767069,-1.1693395856759828e-05,1.1087459551464988e-05,-9.888242971658106e-05,0.00016141070554941464,7.538990696315507e-05,1.406749266558545e-06,6.62357029909549e-05,-1.9988899672957032e-07,-5.5155468967757245e-06
9,0.00013435490943806817,4.98897514258303e-05,0.00042697422222995546,-6.809770928193925e-05,-5.47149399075586e-05,-4.6463015350307524e-05,-7.044923863060493e-05,3.949073215901277e-06,-0.00033078480404044586,-0.0007172692857500174,0.00013214162237660116,-6.077554748955697e-05,-0.0006403323005727246,-0.0002263347661840354,-9.863732386803654e-05,-0.00013924348593289247,-0.00023488026684801537,-0.0002601442066226613,-8.164943592054577e-05,-4.3461476774152306e-05,-3.820126731040016e-05,-2.833304798151707e-05,-8.609963950176254e-05,-0.00010131561676484169,-1.9316335430646757e-06,5.777070676298103e-06,0.00011452162982626267,-0.000332940660234549,0.003155541579282629,7.179160426082443e-05,-3.344029652780373e-05,-9.575187496193782e-05
