layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.007122039794921875,0.00458335876464845,0.0076274871826172,0.008493423461914075,-0.0007791519165039,0.0002948045730590664,0.0001823902130127,0.002698898315429675,0.0042004585266113,0.004634857177734375,0.01837158203125,0.0028543472290039,0.000515460968017525,0.000196218490600575,0.000982761383056625,0.0003836154937743797,-0.00341796875,0.008754730224609375,0.0183868408203125,0.01323699951171875,0.0008659362792968249,-5.163252353668213e-06,0.0121612548828125,-0.00043678283691405003,0.0280609130859375,0.002765655517578125,0.1259765625,0.0113067626953125,-0.0081939697265625,9.030103683471367e-05,0.1380615234375,0.03354644775390625
1,0.00629425048828125,0.0301361083984375,0.0343170166015625,0.000956296920776325,0.003299713134765625,-0.025909423828125,0.04461669921875,0.1258544921875,0.005100250244140625,-0.6820068359375,0.01206207275390625,0.005361557006835925,0.00396108627319335,0.030126571655273424,0.0012397766113280998,0.0006400346755981,0.00846099853515625,0.0009413957595824852,0.004737854003906225,0.008518218994140625,0.008640289306640625,0.009098052978515625,0.006072998046875,0.008575439453125,0.0007815361022949,0.002372741699218725,0.099212646484375,0.004985600709915161,0.01422882080078125,0.007106781005859375,0.109375,0.0278778076171875
2,-0.094085693359375,0.01305389404296875,0.1531982421875,-0.06795501708984375,0.00812530517578125,0.002735137939453125,-0.001570940017700175,0.006160736083984375,0.029541015625,0.004778861999511725,0.01853179931640625,0.004764556884765625,-0.00266647338867185,-0.004669189453125,0.002727508544921875,0.0281982421875,0.00609779357910155,0.001382350921630825,0.0042572021484375,-0.01007080078125,-0.000396728515625,-1.1552734375,-3.33984375,-0.140869140625,0.00254440307617185,0.0576171875,0.0264301300048828,0.003376007080078125,0.016559600830078125,0.00402164459228515,0.01290130615234375,0.005422592163085925
3,-0.004787445068359375,8.976459503175704e-05,0.001776695251464825,0.00245285034179685,0.002927780151367175,0.0153961181640625,0.0250396728515625,-0.002325057983398425,0.0014667510986328,0.0012941062450408686,-0.00148773193359375,0.004125595092773425,0.000917196273803725,0.022321701049804674,0.003299713134765625,0.001023292541503875,-0.00157690048217775,-6.4849853515625e-05,-0.0089263916015625,-0.022525787353515625,0.0257720947265625,0.03754425048828125,0.023101806640625,-0.01003265380859375,0.006197929382324225,0.006229400634765625,-0.2003326416015625,0.00342369079589845,0.002086639404296875,0.0054352283477783,0.001706600189209,0.011882781982421875
4,-0.00057220458984375,-0.007328033447265625,0.0506591796875,-0.01726531982421875,0.0017807483673095749,0.001531600952148425,-0.006847381591796875,0.00344443321228025,0.01992034912109375,0.004425048828125,0.0063629150390625,0.0032825469970703,-0.24853515625,-0.00782203674316405,-0.142333984375,-0.30078125,0.003304481506347675,0.0042591094970703,0.00194454193115235,0.00982666015625,0.01145172119140625,0.00090789794921875,-0.028778076171875,-0.0024242401123047,0.00030088424682615,-0.016330718994140625,0.003326416015625,0.001454353332519525,-0.00176835060119625,-0.2412109375,-0.001253128051757825,0.0155487060546875
5,0.001050949096679675,0.00040447711944579455,0.00071287155151365,-0.0003514289855957,-0.0146026611328125,-0.0086517333984375,-0.039306640625,0.00771522521972655,0.0050077438354492,-7.116794586185078e-05,-0.015228271484375,-0.008403778076171875,-0.01143646240234375,0.0019164085388183594,-0.023528814315795874,-0.000966072082519525,0.003176927566528325,0.00145864486694335,0.0008554458618164,0.001662254333496075,-0.002552032470703125,-0.003461837768554675,-0.0077362060546875,-0.023101806640625,0.00151824951171875,-0.52490234375,-0.00099062919616695,-0.010345458984375,-0.0027141571044922,-0.033477783203125,0.0158538818359375,0.009021759033203125
6,-0.0048863887786865,0.10687255859375,-0.9453125,0.16455078125,0.003650665283203125,0.00952911376953125,0.00119590759277345,0.01892757415771485,-0.004642486572265625,-0.2141571044921875,-0.02850341796875,0.00090789794921875,-0.00158262252807615,0.00171446800231935,-0.011310577392578125,-3.3974647521985125e-05,-0.01328277587890625,0.000247955322265625,-0.007506370544433575,-0.009961128234863274,-0.04846954345703125,-0.007236480712890625,-0.014745712280273425,-0.00336456298828125,0.00788116455078125,-0.006378173828125,-0.02606201171875,-0.3017578125,0.00038909912109375,-0.09137725830078125,0.002361297607421875,0.00425338745117185
7,0.00064826011657715,0.011020660400390625,-0.021251678466796875,-0.021240234375,0.00635337829589845,-0.014291763305664075,-0.018765449523925802,-0.0284271240234375,0.013057708740234375,0.003826141357421875,-0.004016876220703125,0.05218505859375,0.00777435302734375,-0.193634033203125,-0.0174407958984375,-0.0785369873046875,-0.00485992431640625,-0.10693359375,-0.55224609375,-4.453125,-0.00679779052734375,0.059112548828125,0.00994110107421875,-0.0086212158203125,-0.004276275634765625,-0.032318115234375,0.004650115966796875,0.012605667114257825,-0.0184783935546875,-0.01479339599609375,0.0703125,-0.018558502197265625
8,0.09124755859375,0.199737548828125,0.060943603515625,0.3955078125,0.005678176879882825,-0.022491455078125,-0.000530242919921875,0.023101806640625,0.01387786865234375,0.00626373291015625,-0.01279449462890625,0.0348358154296875,-0.0044403076171875,-0.1090850830078125,-0.00386810302734375,-0.008373260498046875,-0.010791778564453125,-0.017181396484375,-0.02733612060546875,0.0053863525390625,-0.02276611328125,-0.031707763671875,0.009674072265625,0.056671142578125,-0.002935409545898425,0.003238677978515625,-0.0023040771484375,0.001962661743164025,0.009352445602417,0.004100322723388675,0.00844764709472655,0.0016508698463439816
9,0.021148681640625,0.0242919921875,1.0538330078125,0.006927490234375,-0.019378662109375,-0.0039825439453125,0.0469970703125,-0.00518798828125,0.0010223388671875,-0.08985137939453125,-0.00191497802734375,-0.009967803955078125,0.1078643798828125,0.0240478515625,-0.002838134765625,0.0731201171875,0.02104949951171875,0.000624656677246125,-0.01532745361328125,-0.002134323120117175,-0.005247116088867175,0.0082855224609375,0.005001068115234375,0.00849151611328125,-0.002226829528808575,-0.34619140625,-0.2410888671875,-0.0847930908203125,-0.00762939453125,0.02325439453125,0.00415992736816405,0.00682830810546875
