layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,4.655481181325156e-05,7.516928929793981e-05,7.55909025536352e-05,0.00017903695393245878,-3.174996057438213e-05,-2.3738246718068344e-05,-2.616192556436604e-05,-3.116367123440289e-05,-4.7822572075179265e-05,-7.418189654106074e-05,-8.397803274719641e-05,-4.555494057840187e-05,-1.3030517871237332e-05,-2.753747863599873e-05,-3.0778829663791786e-05,-2.835999618394409e-05,-0.00038008488100727293,-0.0003934437554238369,-0.0002566934428395564,-0.0007350938622829368,-1.2144910997166183e-05,-4.345546984725006e-06,-0.0003592463537951086,-2.859828201327961e-05,-0.0006389256840559317,-0.000422677377815502,-0.0011395792122142086,-0.0005739717547240398,-0.0006500766643702582,6.058699304105968e-07,0.000260418932262667,0.0002574820096349398
1,-2.12548304772328e-05,-0.0003193279682660688,0.00010153893505810124,1.3738903808169214e-05,-1.5817267326576563e-05,-0.0003133382988400873,-0.0001539196362739682,0.0005062587542629454,-0.00010213624262862886,-0.00040128289458480845,-5.832971602611921e-05,4.2821058717230875e-05,1.192019883136672e-05,0.0002418107504568546,1.4847231601335255e-08,-6.823503891461971e-07,0.00018213228021804356,-4.7770932416342614e-05,8.994261246746394e-06,6.980427389421038e-05,4.1286172739381485e-05,1.2441308036413529e-05,1.6278705511963814e-05,0.00012347102165222184,-6.379621862568983e-06,-2.8073920438974798e-05,0.0007493118931827672,-3.978842350843304e-07,-1.294681914399593e-05,3.023827261807823e-05,0.0007272605641116544,0.0002097733036712444
2,-0.0008135755237332962,-0.0003030549709940275,0.0016425096643528589,-0.00123732050835157,-2.816950027028403e-07,-3.931702909066013e-05,-1.9420494215526353e-05,8.539998186192122e-05,-3.71824128590603e-05,5.548409204971561e-05,0.00013224850253166752,2.6880765545341844e-05,-4.494110566204993e-05,-0.00019345941947138356,-3.7160708272376814e-05,-3.370144850427159e-05,-3.413447823981139e-05,-3.816678555877223e-05,-0.00022990825712548065,-0.0005443823629604421,-5.000617089608635e-05,-1.1681448377851173e-05,6.967928998985398e-05,7.302014941228695e-07,-2.8711218876404343e-05,0.0008899363749276825,-0.0013067361904942909,7.052198550216976e-06,-1.8101758043594462e-06,-7.734611995501622e-05,-6.586777871860446e-05,9.183894286974277e-06
3,-0.0001210722997618678,-4.086674985482034e-05,-0.00012211106667805397,-4.591124094939655e-05,0.00010578888561784086,-0.00046900598402809207,-0.00018928656333804412,-1.149035509020261e-05,-1.0537535350412873e-05,1.639611438281757e-05,-6.425062107349553e-05,9.754731554231006e-05,1.5939181392602047e-05,0.00043451016092619,0.00010144697265794966,2.0557661895495993e-05,-2.656999834396229e-05,-0.00011338854420158544,-0.00039735841326299403,-0.00022927265124756402,-1.711516178530445e-05,0.00027690857715224367,0.0003670860239551434,-0.0004264920750811265,2.2951173357548942e-05,0.00017073860014467279,0.00014707452735815944,8.143932622897132e-06,-9.62688025493667e-05,-4.307623695424561e-05,-7.982810913587191e-05,-5.74784581539099e-05
4,-4.8876206965117696e-05,-0.0003318319341918671,-0.0001377390328388171,-0.00022203407202637818,9.576070282134927e-06,-1.2283427080757997e-05,-0.0005075501439831568,9.740162267451323e-05,0.00016523190755355618,2.9842147317389197e-05,3.4960978280727663e-05,7.301296847965797e-05,-0.0005366988065248077,-0.0009834145119036227,-0.0008467056172462243,-0.0024212877575167037,4.384052713623542e-05,2.5669158434283977e-05,-9.310836250374114e-06,0.00014254669835147985,0.00012130169135690499,4.2096676433536766e-05,-0.00022358034129663142,-2.2561619170259043e-05,3.388331568320764e-05,-0.0002051785687826789,-4.3781138209829574e-05,-3.187321873178541e-05,-2.3678111074231463e-05,-0.0008303381021410426,2.6975349753364903e-05,2.491447601658235e-05
5,9.313408277082026e-06,1.6009422612348584e-05,8.532491186942418e-07,5.544128025028642e-06,-0.0005506481518989683,-0.000285231987458295,-0.002190825668368945,-0.0002738473675564299,-4.6590521500211314e-05,1.180098954181612e-05,-0.00022397752859544648,-0.0001271041836133246,-7.900058028427005e-05,-7.542987708790496e-05,-0.00026404698335779264,-4.106540987911137e-05,-2.232253684233168e-06,-5.001480170507745e-06,8.78740392442736e-06,-1.2345164018644196e-05,-7.038916936164963e-05,-6.0628145468527235e-05,-5.444997137532778e-05,-0.0002601178557941805,-3.0929268335712775e-05,0.0006108868095550876,-3.7561546189709246e-07,-0.00028606997035393963,-0.00012824742459507466,-0.0006141612152745305,-0.00014031490929142647,-0.0001713948154237062
6,-0.0001031779632271006,0.0009866918381179095,-0.0004421066335155597,-0.004719281780693207,-0.0003173239778038656,0.0001078416616189188,9.546184991144502e-06,0.000216824971222399,3.6627253339125536e-05,-0.0006163157439709771,1.1051152490561412e-05,-4.465702116356506e-06,-4.076851502824116e-05,1.3445692763296084e-05,-3.837955024566309e-05,7.164538039397201e-06,-8.690874932337978e-05,-5.732187980532935e-05,-0.00017442682007107812,-0.00012654530709995212,-0.0003772259820543047,-6.637913081587581e-05,-0.00013525395722591,0.00011149214742443915,0.00012450600520008654,-0.00010189095424915475,-0.0003868137011283756,-0.0014774178078020602,-5.076284663449266e-06,-0.0008286487286234218,8.579404954124387e-05,3.719296646542956e-05
7,-4.082513280329015e-05,-0.00024724723501566575,-0.00040742814673612763,-4.356953508338857e-05,-0.0009691285131237822,-9.055551813546181e-05,-0.00013717829782872485,-0.000404102499607146,-4.6940848131753286e-05,1.4204755923264688e-05,-0.0006655733410127976,0.001060777889328173,-0.0008967321009306709,-0.0015573607786726583,-3.3389752054532386e-05,-0.00033804780921851057,4.235577999296349e-06,-0.0027965299270731833,-6.361416891582289e-05,0.00021360844440077871,5.309273777135505e-05,0.002330329742091801,-6.60568143848858e-05,-1.3294358030459325e-05,-4.174170356019754e-05,-9.987136568948776e-05,0.00020650022544945823,0.0002481634738981591,-0.000982152858130916,-0.0002401432640568451,0.00013503518561212415,-0.0001355473342079896
8,0.0005484561877686089,0.0003619969289393096,0.0004797342890885997,0.005037605098732861,-3.2684054300354836e-05,-0.000925489948162257,-0.00017679242089490283,-0.0004037026573130175,-0.00045517239644957515,-0.0005284582320725197,0.00031138209829351685,0.0002596404876369138,-0.00048410865936619117,-0.0005410502110929428,-0.0004266380998233378,-6.983580196355161e-05,-9.206076772812968e-05,-0.0001834224751903645,-0.0002575026854109392,-8.862905353639616e-05,-0.00015232132909558135,-7.457616334503131e-05,0.0002282127771186402,-0.0006363110446717529,-5.58802173504051e-05,6.519075491380788e-06,0.0001372011307884159,-0.00044275392137285295,6.503487350149434e-05,2.180023288939181e-05,8.111302730500775e-05,-1.3673897907305218e-05
9,0.00014055757586302895,7.382479967147077e-05,-0.002508286643930958,3.018596921041393e-05,-0.00043803493270364274,-0.0004207466652239352,8.986840534847423e-05,-9.078119273706159e-05,-0.0003163118935905749,-0.0009576015854731435,1.5010016001678407e-05,-9.61806567049768e-05,-0.00745715117932428,0.0005475768533209652,-0.0003428254732841374,-0.0009121714296744502,-0.0008102812055490062,-0.00034590765734292364,8.313108924237014e-05,-0.00010871688082382776,-9.114001535360367e-05,1.7799088577914264e-06,-0.00022051355621065984,-0.00012107309626046116,2.7526194905915667e-05,0.0004066093461816192,0.0003340515766483645,-0.00029502414117146163,-0.0007839372800559403,0.000220819146171179,-1.3967133842757285e-05,6.529483073007313e-05
