layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00044739280988724637,-0.0006545497048628184,-0.0004762472280112723,-0.0008065147759953638,-0.00025999499890603866,-0.0001053568354419225,-0.0002944967984460857,-0.00012112079262156713,-7.9118732330529e-05,-8.676428300944406e-05,-0.00018667493877429429,-6.163835756314817e-05,-0.0003519949700686999,-0.00041790368596212815,-0.00033146979617242045,-0.0002250797173868489,0.0004860212357438888,-5.006744000710881e-05,7.4345975508427e-06,0.0005236549045086339,-1.8796466096211825e-05,-2.0961462008873543e-05,0.00025523482079888943,-0.0001857359203918396,0.00012469130125535052,0.000718464809835015,0.00032662341347737826,0.00017625803176569708,0.0002526678397371594,-0.00011365921736946309,9.781831924128306e-05,-2.012253961627503e-05
1,-4.2733630852455295e-05,0.0007050935204239111,-4.674989048532216e-05,-0.00020985863561897975,-0.0001667121719183102,-0.00021679057502561793,-2.5246173345340837e-05,4.807377138534397e-06,-0.00028510495573137756,-0.12669161328503145,-7.870232204961649e-05,2.753728818568814e-06,-3.2628782721026634e-06,-1.0792230907735357e-05,-1.106199169205111e-05,-1.6705254732926173e-05,-5.552301044501021e-05,-3.2870172877280446e-05,4.0182070256666976e-05,4.13614690361491e-05,0.00015055551937450388,-1.1307976252802857e-05,-0.00031898547926807736,-2.801519280366071e-05,-5.541247065969605e-05,-0.00038837679704184226,-0.00015004162405259466,4.327683804225904e-06,7.360925517493022e-05,-0.00026985982726873535,-3.4043311149521838e-06,-0.00013339577201259726
2,0.07056913948243723,-2.2043599336905394e-05,-0.0016497192401276652,0.009015440594653768,-6.571360156012059e-05,-7.440517624950299e-05,-0.0003570780980275435,-3.2569293477297713e-05,5.5865899435202066e-05,2.269100736815609e-06,-7.324613133105016e-06,-2.3016646605378088e-05,2.1728518394626578e-05,-0.00014138371762093877,1.8930533271533281e-06,-6.686642924675495e-05,3.7816601074214387e-06,3.406734341919358e-05,-0.0007861402004755272,-0.002706833407354955,-8.20805490853467e-05,-1.0638991408518876,-0.09594442952867861,-0.01757077626083389,6.89836491227644e-06,-0.00157064597581271,-0.00016221663006739143,-1.2651668268273705e-05,3.1878156560433273e-05,-7.123474143481574e-05,-2.7435129401990124e-05,0.0002642921302810189
3,-0.000130005289024213,3.36729747397398e-05,5.7759641562407326e-05,1.0259701921773019e-05,6.91966938949391e-05,0.0004394000498911526,-0.00018106030240756175,8.663360438772109e-05,3.042674126665974e-06,6.035003641626908e-06,-0.00010891469323508187,6.300897589035621e-06,-2.3182770029965257e-05,-8.149865910134758e-06,-8.165351830112598e-05,-1.548221722490365e-05,-0.00043605324259570816,-5.80479278222859e-05,-0.00020601038549668862,-0.0008333156323502181,1.0438544706362701e-05,-5.0085691405171105e-05,1.736182903389742e-05,-0.0001580455527070174,7.311583632767254e-05,2.9716583010324576e-06,-0.0005544694483150268,3.741103488616117e-05,4.9750692962098994e-05,-2.3915400838573675e-05,-4.378048070171742e-05,-1.9469827644361607e-05
4,0.0012302795661268992,0.0001909213513857183,0.004281679173752969,0.0006965219916817299,1.0779675633610924e-05,-1.3838177736186022e-05,0.0003026380976310461,-1.2561960176484354e-05,1.5379714942741507e-05,9.690118378375051e-07,1.119124447964617e-05,2.128244283008056e-06,-0.08035212957155093,0.010750489913482519,-0.00022464280899357682,-0.01221421381164728,-2.8919702664464054e-05,4.284543644311901e-06,7.490871793289282e-07,0.00025335091300532673,0.00011586242816109222,9.677538220903716e-05,0.002482130820615017,7.802571124052004e-05,-2.8855312482199723e-05,-0.00047669936934376144,8.513020407428224e-06,7.235885589651222e-05,-0.00011734051372051667,-0.021147087259652655,1.989197191518033e-05,0.0012601170858362904
5,-9.827939694294306e-05,-1.0598761602938271e-05,-8.191964305063284e-06,-5.302209648708004e-06,0.007614557417641535,0.0007701538654633901,0.044145323300061594,-0.0007737937301310772,-0.00022882038487585167,4.8037160400733875e-05,0.0006308250944242816,0.00015481374616890982,-0.00027690842271658756,-6.301543474312742e-05,-0.0012765593127151897,1.1073964551483163e-05,-2.7978625094443566e-06,-1.2469040689715798e-05,-2.643035405602908e-05,-3.102351798669494e-05,4.620999386326733e-05,-0.00014821688814985003,0.00010884838090399973,0.0004699980300947658,-3.651930659374468e-05,-0.0006137325321139181,5.252970903679134e-05,0.0007055971306268176,-0.00021832162966917588,0.0034624526253743643,0.00017678022153841397,4.163312311902115e-05
6,0.00040627252905551186,-0.00021719136288874476,-0.8341533590724831,0.046130497942589374,-0.000551219888947479,-4.0259417813606224e-05,-2.5653273105217182e-05,-2.248004612594708e-05,-0.0005051289961852718,-0.007308895567148952,-0.0006103678917492448,0.0007627160366830175,-3.097772360252182e-05,2.5477126918699775e-06,0.00022425856675667983,-0.00018262928252587202,-8.116483630654085e-05,2.184080362094764e-06,0.0009352504226152822,-0.0006372243137119571,-0.00043496400089023773,-4.0503649720841115e-05,-0.0009146382940242495,-0.0005260290792581566,0.00030687774485563095,0.000492722113388667,-0.002338577447763832,-0.03050530591523428,-0.00015341566960324528,-0.00017866448996027852,-0.0005801837649719295,-3.6891589494777594e-06
7,-0.00011102073949410913,-0.0002581079608588553,-0.0009301823544940788,-0.00015026048215291776,0.0017546231841302454,-0.0005251198054975594,0.0005195135645575576,-0.001398950670949488,0.00034997931754600587,-0.00015762768548778885,0.0007909645992696362,-3.053673470008612e-05,-0.00043454036361827354,-0.007647633437150215,-0.002599233261959599,-0.006529618325099594,-0.013850534296912815,0.005798657427452656,-1.118577187197483,-0.11444280869963093,-0.0007165276877300783,-0.06349486418407399,0.0010930538639094462,0.00011644497268543824,-0.000322580049021778,-0.0009785570629799376,-0.0010306865755840041,-0.00044531305207864405,0.0009887174622940996,0.0005347149415953231,-2.9428422970313974e-06,-0.0010335136129226005
8,0.0003391165585624076,0.0008084007177325208,-0.004163507339684337,-0.0008659614223016796,-0.0011286478190315901,-0.008650824268928225,-0.0005855388355162813,0.0008583229255122349,0.0009686286774863365,-9.774521988566312e-05,-0.015902083471691506,0.0022428027658010163,1.8420835663019624e-05,-0.013861061181126583,-2.2353184303956222e-05,2.62123831013181e-05,-0.0009537209384323658,-0.0003242493252786535,-0.0015087183078053138,-0.00015704952620352228,-0.00032705982420358997,-0.006375753868007015,-0.0049972021799004444,0.0030193241152620277,-0.00010862493561174977,0.00029709464928995435,-0.0002994149605971676,-4.415313595146777e-05,-4.798503518681553e-05,-4.542947161694017e-05,-1.3633900739445407e-05,-1.5551963188149797e-05
9,-0.0006605403467161721,0.0013490151343479515,0.2069643136954146,0.0007141386550947639,-0.0021943053571437015,-0.001901955249117976,0.000548111157634251,-0.0004281043169690023,0.0021127325059829816,-0.007147197224856116,-0.0006977384774751823,-0.00048796557041474987,-0.021552252977192113,0.0008274735693548447,-0.0032079575253363855,-0.0009771750487985826,6.192755260633629e-05,-0.0024280244590929143,-0.003479619195823633,-0.0006155184139240689,-0.0010886347536195975,9.293281558868555e-05,-0.0002484052709780707,-0.0007626440264248531,-0.0007654227972723037,-0.04184369126917201,-0.4981021788782672,0.0073309323217607995,-0.12021011766136443,0.00037807924357411603,-0.00058406816447462,-0.006312921455730427
10,-0.00040261396941695563,-0.00079334439982057,-0.005843247010193167,-0.0003562361319321286,-5.61070119076732e-05,-6.552839729238981e-05,-0.00028846940135678767,-0.00012942291940458593,0.07418313308006796,-0.0010311969944491381,-0.0010147544213670717,-0.014904733087294099,-0.00012222904665079882,-0.001453660378036054,4.072697961203534e-05,-4.9024578706801775e-05,0.00012333228073415628,-0.00034187585548186845,4.102761378477424e-05,0.0005367025805119738,0.0023797144617485034,0.005834731450962535,0.000573975159376425,-0.0013798215901632326,-0.0008396360904180261,0.001126331085157071,-0.03963123886536767,-0.004655442879483869,-0.0007729579956926179,0.0010960189786100444,-0.00023796816878489708,0.0009957043037525344
