layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.00026546942221151646,0.0005363000405801297,0.00018738411568306216,0.0014849482355891056,0.000256744590965475,1.0390539427056099e-05,9.062483504011487e-05,8.643640054239974e-05,3.0607790560279832e-06,-7.645503894703247e-05,0.00174164127659153,-2.9306153993356776e-05,0.00016341660473796944,0.0001862564602413768,0.00019932437587429059,6.491429096943742e-05,-0.006493130245724238,-0.0011180155986064216,-0.0005235156497439838,6.417970399598377e-05,-2.5900634559414504e-05,-9.855708560426262e-05,-0.0010946376903637055,-0.000248689909239072,0.0014508221600506785,0.0033141471244193437,0.0017143713461386136,-0.0011395634831608892,0.0006446322879275784,0.0004657633803986218,0.0002099114495354648,0.00022521373387928727
1,8.563737611512594e-05,-0.004684280704807589,0.00023133690292770484,0.00020522684664340125,-0.00015006516430829023,0.0003988162891284892,0.0004155571396286394,3.1476085250443865e-05,-0.00011576188577188881,0.1227466480152027,-3.214623477008196e-05,-5.659058287335618e-05,1.8050541748871002e-05,1.8260366207840007e-05,-8.73771873680143e-06,6.59517339757916e-05,-0.00023671743032094061,-0.00012669369981095505,-0.00015701152182914663,7.755047566179519e-06,-0.00013393787918864305,2.9312597738739476e-05,0.0010633597502837271,3.0543353106555613e-06,-0.0004873855693920201,0.00030436870214100003,4.191656370427392e-06,-1.1553635468356294e-05,-0.0020341873168945243,0.0012030214876742028,0.0004405266529804976,-3.2888876425248646e-05
2,-0.058122377137880064,-0.0001824812309161899,0.0019817094545106647,-0.01495361328125,7.955448047536132e-05,-0.0001480289407678529,-0.0003698580973857044,2.9046390507674065e-05,-7.715780992764324e-05,5.949268469938685e-05,0.00010489370371843803,0.00011513925887442087,-0.0018952859414590353,-0.0014976295264991567,-8.924587352853572e-05,0.0006073262240435608,-0.00011524195606642315,-0.00011908041464315025,-0.0012449573826145512,-0.0010774071152145773,2.775683596327777e-05,0.976588893581081,0.08756070523648649,0.02372989139041385,-6.35699645892993e-05,-0.0022159009366422024,-0.00017342051944217387,-3.6966961783326475e-05,-0.0004943834768759165,-0.00019879115594398066,-7.761934319057499e-05,-0.002093315124511722
3,-0.0009792430980785432,-0.0008026586996542323,-0.00025725686872326756,-0.0012208642186345184,-0.00017003715038298615,-0.0014557451815218592,-0.0001801534278972673,0.0015380543631476288,-5.654990673064493e-05,-4.779084308727258e-05,-0.0003051564500138477,-0.00024547770216657317,-3.4782632782653424e-05,-3.939303191931957e-05,-0.0004344421464043614,-5.924001940198272e-05,-0.0003131918005041135,-0.0004110690709706809,-0.0011833036268079568,-0.0026652361895586974,-0.0005500751572686183,-0.00017114587732262296,-0.00015819475457473143,-0.0018868510787551423,-0.0004349348915589708,-9.335819128396318e-05,0.0006659820273115803,-0.00014582356891115357,-0.0001272510837864026,-0.0003818966246939967,-0.00015793539382315803,-0.00010634113002466869
4,-0.0024006173417374837,-0.002193966427364862,-0.00046157836914062164,-0.007528872103304471,-0.00018961647072352137,-3.528564765646845e-05,-0.00108429547902699,-0.0003963934408651699,-0.0002570877204070127,-5.1106351452901824e-05,-8.89458366342297e-05,-3.7338282610911e-05,0.06711887668918919,-0.029956869176916173,-0.0007693638672699783,-0.005738129486908784,-9.513263766829018e-05,-0.00019786224977389814,-0.00017688443531861008,-0.0013539340045001123,-0.0009695130425530432,-0.0005338900798075853,-0.011107573638091216,-0.0006282547035732692,-0.000755898855827943,-0.003619168255780189,-0.0002084140842025351,-0.0004234611988067478,-0.0003473114322971567,0.007791261415223819,-0.0006109250558389107,-0.004260295146220436
5,-0.0001690484382010714,-3.317509450622726e-05,-0.0001059061772114461,-8.438648404300522e-05,-0.026108612885346282,-0.0030493349642366973,-0.09876972920185811,-0.0019413844959155892,-0.00017983204609637294,-0.0004422600204879918,-0.0035000362911739836,-0.0016084619470544785,-0.0006610702823948168,-0.0002881095216080849,-0.0026552354967271916,-0.000494072566161274,-3.9057151691331556e-05,-0.00035864598042255905,-3.4992759292194873e-05,-5.36796208974463e-05,-0.0008603688832875837,-0.0010919023204494097,-0.0013978287980363118,-0.006189500963365708,-9.693487270457488e-05,0.00039751948537050896,-0.00039298550502672177,-0.0025733226054423567,-0.0014002516462996162,-0.016758274387668918,0.0002025913547825135,-0.0018917289940086567
6,-0.007844151677312077,0.000259115889265727,0.6426836993243243,-0.07950983820734797,-0.0015028070759128829,-0.0001791618965767527,-0.00010213960666914059,-0.00029284647993139284,-8.638968338837943e-05,-0.005874066739468956,-0.0005507630270880533,-0.0035397813126847545,-0.0005925515213528043,-0.00016710242709596555,-0.001451936928001615,-3.628734801266171e-05,-0.005998456800306163,-0.000532871968037358,-0.0047390396530563785,-0.006808616019584032,-0.006601591367979305,-0.0010656730548755547,-0.008802053090688343,-0.0006879858068517622,-0.0025590625969139262,-0.0029262336524757166,-0.006011138091216216,0.0041833310513883,-0.0005500671025868851,-0.01021030786875132,-0.000666154397500534,-8.09592169684168e-05
7,-0.0009173831424197617,-0.00024386032207592587,-0.0022030907708245327,-0.0038616077319995785,-0.013014922270903716,-0.002010036159206084,-0.003702962720716324,-0.0030568097088787974,-0.0030488452395877343,-0.000927925109863279,-0.003481375204550259,-0.0025760805284654785,0.0005198298273859816,-0.050850017650707346,-0.0010770462654732405,-0.011223767254803632,0.014474404824746621,-0.022075962375950168,0.9986275337837838,0.09843486064189189,-0.0005286190960858324,0.09356643058158257,-0.005218712059227195,-0.004404093768145587,-0.0008747158823786531,-0.0017746074779613542,-0.0010941866281870256,-0.0019328143145586974,-0.006186150215767527,-0.008134996568834459,-0.0007003191355112389,-0.0033218796188766893
8,-0.0011452082041147644,-0.004119853715638854,0.009990460163838156,-0.00030368083232157296,-0.0035452971587309995,0.003066133808445287,0.0005004631506430149,-0.0024841927193306568,-0.0029806317509831594,-0.0002370009551177083,0.01708455987878748,-0.0044986364003774286,-0.001505722870697846,0.016204833984375003,-0.0038595972834406674,-0.001807702554238808,-0.0017189850678315027,-0.0026837684012748107,-0.004463402000633443,0.00018746144062764322,-0.002911374375626852,0.005947576986776818,0.007647192155992663,-0.002650157825366866,-0.001645500595505173,-0.0020581193872400297,-0.0005976509403538046,-0.0003735487525527581,0.00015269099055109425,-0.00016450479223921376,3.3797243156944295e-05,5.198468932428318e-05
9,0.0009399733027896401,0.0006332912960567892,-0.13698103621199326,-0.005459759686444257,0.0018429498414735618,0.00010248132654138377,0.0009220226390941703,5.950154484929502e-05,-0.012208268449113175,-0.007566709776182432,0.0011856539829357153,-0.00022355446944364853,0.024129429379025017,-0.0002695289818016243,0.0017979853862040826,0.0032753042272619286,0.0002678020580394738,0.0008633587811444215,-0.00021712844436233244,0.0001579426430367356,-0.0011158762751398853,-0.00013056639078501091,0.0005961237726984787,0.0005196365150245439,-0.0005680612615636848,0.04053641654349662,0.6987436655405406,-0.01953125,0.24605086043074326,0.003040313720703124,-0.0010735924179489514,0.01189289866267024
10,0.008445559321223078,0.0005157058303420648,0.009242199562691355,-0.00023241300840635084,0.000261126337824649,1.690838788006537e-05,-0.00047624433362804047,-0.00012744600708421426,-0.050153990049619936,-1.4047364930849533e-05,0.00036316948968011085,0.01895791131096917,0.00016931263176171114,0.001293117935593068,-6.747890163112127e-05,8.586230310234818e-05,-0.0011066230567725892,-0.0007692285486169709,-0.001962803505562443,-0.0017618746370882512,-0.0019106027242299698,-0.0013578260267103,-0.0006227074442682983,0.001890098726427223,0.001035548545218817,-0.000918555904079134,0.04479320629222973,0.01657568441854941,-0.0015812113478377056,0.0037958944166028782,-0.0028523947741534235,-0.0012695724899704352
11,-0.0041339977367504215,-0.00022698737479543216,-0.005497056084710197,0.000256995897035349,-0.027037904069230363,-0.00027948779028814566,-0.017585341994826854,0.0020131549319705407,0.0001680109951947356,0.021973017099741345,-0.004646043519716008,0.016630327379381336,0.01010997875316723,-0.058787784060916386,0.11683201145481419,-0.0160318323083826,-0.0034895200987119946,-0.00010981249648171434,-0.0018170717600229584,0.015282321620631862,0.5641528980152027,0.005319337587098816,-0.007906733332453548,0.006213742333489499,-1.2001475772342758e-05,-4.788991567251454e-05,-0.002625336518158784,0.0027718286256532437,-0.00011078087059227028,0.06723104940878379,-0.007771466229413005,-0.016129261738545186
12,0.00016314596743196783,-4.921007800732502e-06,-0.0003147254119048194,-0.016253497149493243,-0.015658404376055743,5.974333632636714e-06,0.5301282728040541,0.9324852195945946,-0.3250990171690245,0.04326773978568412,0.000699152817597231,0.3769465266047297,-0.002256973369701484,0.009066195101351352,0.0010432874834215178,-0.005058649423960092,0.002634151561840162,0.003744897004720326,0.016229577966638514,0.09284643224767737,0.02819576778927365,0.03067325901340794,0.008099169344515414,-0.0076516641152871625,0.0004467062048009918,0.0002688072823189406,0.014784117002744932,-0.0016018120018211513,0.022513518462309968,0.0010478303239152239,0.0011791941281911462,-0.00014078939283216276
13,-0.0012087950835356878,-0.004844510877454603,-0.0024754292256123295,-0.0009790344818218326,-0.0005507243646157739,-0.01839055241765203,-0.0016630146954510672,0.0025938910406989027,-0.0007301472328804704,-0.00027487729046795175,-0.0008477262548498183,0.004936269811681801,0.0001107357643745943,-0.0014546884072793515,0.0018475506756756757,-0.00010874142517914566,-0.0004368601618586406,2.345523318722374e-06,0.00036920083535684053,-0.0019976319493474138,-0.00037378233832282334,-0.00017432908754091622,-0.000210014549461573,-0.002016998626090383,-0.001638902200234901,0.0013047682272421216,-0.00036788631129909733,-0.000847294523909284,6.124135610220007e-05,0.00013536456468942994,-0.00019891197616989743,-0.0001287653639509899
