layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0007484132880406662,0.0006384502183522603,0.0007753166931354448,0.001117226303807947,6.73919324053816e-05,1.377459393431838e-05,4.749898089478147e-05,0.0003537642245261026,2.8840753416352453e-05,0.00020422682856881385,0.0005160530671378653,3.7003826621348714e-05,8.917881163539597e-05,0.00011641142384105547,0.00015529733619942088,7.097926360881243e-05,0.00045317845628751,0.0010570374545672086,0.000998099118668512,0.0005275587372432476,4.677583050253564e-06,1.00041067363406e-05,0.0009109105495427603,8.094547600146304e-05,0.0015776867898094772,0.0017706384721970715,-0.00020686364331782352,0.00038056026231373985,0.0009277103752489907,0.00016791556055182212,-0.00013477439122483963,-3.778668034155515e-05
1,0.0002978641465799714,-0.0004496984923912205,-0.00024287274341709553,0.001328099050269222,0.00042296837497231407,-0.00037875080740215166,0.00010028895952843915,-1.1198568028320679e-06,-9.137841052567725e-06,-0.0006755077286271879,2.702271306751607e-05,0.0001448166883544504,1.1048569584582958e-06,0.00012055098615735048,-8.410990040819079e-06,-2.0509524061186234e-05,0.00018723239961839012,2.1620696743591153e-05,-4.2892647105337666e-05,5.36262199578744e-05,-0.00011848411615321656,-9.456020317331026e-06,0.0005142720329840502,4.078102427602831e-05,-6.972401347381286e-05,6.0108323760383474e-05,0.00023269890159960816,2.803194601802933e-06,8.848645039741674e-05,0.0002612751840755583,-0.00029428194690224116,-9.14374724129126e-05
2,0.0016867025009054226,3.519466775932341e-05,0.0006883918054845931,-0.004757104330504967,-0.00011798285490629239,-0.0001098939914577101,-0.0001982142593686972,-9.887818469116987e-05,2.736805487941911e-06,2.1090502819870985e-05,2.8247716805790362e-05,2.1597222480552546e-05,-0.000280874454422502,-0.0005927310874130543,-3.2223267665757634e-05,-0.00013849415526484383,-5.6538656847359415e-05,-1.9281214436153263e-05,-0.00040649815110971023,-0.000971070978025728,4.130720302758546e-05,0.00012200715526050595,1.0655909184588044e-05,6.985819793696349e-06,-5.887330367865237e-05,-0.0026905678755400216,-0.0003074551654967301,-4.307965791185817e-05,-0.0001440429134874122,-5.127390883615937e-05,3.912255464011432e-05,-0.0002337970481013622
3,-0.00042283377110563264,-0.0001419664218725717,-7.450679280109853e-05,-0.00013886934874073154,-5.712888098710164e-05,-0.0007271150879512567,-6.723798663410415e-05,2.4843085187164095e-05,-3.2449671566877304e-05,3.547815063240446e-05,-0.0002230256795883163,-8.5677038754842e-05,4.264445889074948e-05,-2.9075705748515864e-05,2.2731869425993347e-05,1.5677680687002378e-05,-2.6362621231580717e-05,-0.00012822222235976297,-0.00034570693969726774,-0.0013867308761899826,-7.832879262254706e-05,-4.553834334120881e-06,-2.0345315238492173e-05,-0.0004060694713466172,-5.328467744864542e-05,3.913861532876852e-06,5.6447381067355e-05,3.502957078793196e-06,-2.950390443106566e-05,-5.242682450654207e-05,-2.408461854944301e-06,2.2170164727199316e-06
4,-0.00103571951784045,-0.000794115445471759,-0.004123409852286838,-0.0035662619483391965,3.824723477395622e-05,3.491657853917357e-06,8.314453213420394e-05,-5.6604478532904283e-05,-7.147267954238635e-05,3.0292037701769605e-06,-5.074447353943672e-05,-1.5695116772553664e-05,-0.0004883570386873962,-9.299903515948278e-05,-0.00017122796039707483,-0.00861272748732409,-2.325567978107813e-05,-0.00024555978790813014,-1.5843591794674877e-05,-0.0004943074374798886,-0.00046412242169411764,-0.00021534092378931757,-0.002369305945390108,-0.00025328184595171016,-0.00032442650258146175,-0.001759617533904828,-0.00014135498084769107,-5.0578685785753925e-05,-0.00010892107391988788,-0.004744305515920879,-4.261376841968255e-05,-0.0008995359307093344
5,-5.132246096402434e-05,-4.132753176404465e-06,4.923316520573737e-06,-9.505830655819737e-06,-0.011303983776774629,-0.0009317398071289099,-0.03508466758475398,-0.0006850034195855784,1.9476113729973253e-06,-5.2013144587838784e-05,-0.0013216789195079689,-0.0007684215015133456,-0.00010421368854724827,-3.8264491996224616e-05,-0.0007784082400088291,-8.289427157268784e-05,-8.484558356518717e-06,-6.453643571462195e-05,-1.553320233395334e-05,-2.7162645826275876e-05,-3.683172314371789e-05,-2.655959287225957e-05,-9.735609521928684e-05,-0.0008771656364794584,-2.523489444460221e-06,-7.397152401740962e-05,-1.8259843453660914e-05,-0.0008185768364281051,-0.00043924399559071476,-0.004696624957962542,-0.00015776678426376138,0.00026645723557630705
6,-0.0022394167666403672,0.0001872738465568086,0.007100503176253363,-0.010159031444827452,-0.0004622636251891685,-0.00010093375547042937,7.330812513828015e-05,-5.95967501204499e-05,-4.441848653830677e-05,-0.005744176195157285,-0.0002977196743946209,-0.0006334371124671741,-9.169834141699025e-05,-9.694118176074413e-05,-0.0005937575899212618,-4.478287420524812e-05,-0.002217696991977313,-0.0003099662578658507,-0.0010729341317486291,-0.0019493103027343754,-0.0032897469223729815,-0.0005104115467197866,-0.00264499992724286,-0.0005606215521199814,-0.00017762342036165105,-0.001433378813282547,-0.003072372335471854,-0.013541922664010761,-8.017537708313743e-05,-0.00284180578017077,-0.0004842952387222398,-1.2411877808952192e-06
7,-7.075722643871004e-05,8.835539912546158e-05,-0.0014915584728417803,-0.0016686916351318355,-0.005467414855957031,-0.0015247839176102198,-0.002096019833293182,-0.0019560365487408153,-0.0012677307949950371,-0.00036117730551207957,-0.0006921607137515855,-0.0008011251095904406,0.0002646971222580672,-0.01702332654536165,-0.0009659662941433712,-0.006475688605908527,1.9941404955273176e-05,-0.006840787975993377,0.0014091467620521202,-8.890131451436345e-05,0.0003096735635340605,0.022784934138620136,-0.0019895351485700783,-0.0015782062581043367,-0.00047549506686380864,-0.0004097910116839894,-0.0002652359324575261,-0.0003414556680136191,-0.0013881203354589192,-0.002139514645203849,-0.00020690627445447987,-0.0008766856414592829
8,-0.00038821965653375166,-0.0029375158398356675,-0.0007170525607683796,-0.0004669214716020795,-0.0015702302882213447,-0.0020321347066108763,-8.286071928921012e-05,-0.0012633895242451017,-0.0013423534418573458,-8.640581408872704e-05,-0.002797770973862402,-0.002428138492912644,-0.0007124450427806905,-0.0008981401557164476,-0.00164051087486823,-0.0007016883780624703,-0.0009344555684272827,-0.0005607920766666232,-0.002127287403637211,-7.297740077340807e-05,-0.001536711951754742,-0.002169803278335668,0.0020742226910117436,-0.0015897561382773669,-0.0004735561396112581,-0.0008512210372267966,-0.00023620570732268335,-0.0001922534001584121,-6.432712867559532e-05,-1.7510542016947865e-05,5.49659182299056e-06,-1.7257024910276737e-05
9,0.00010555864169897503,6.426249118830374e-05,0.03087247128518212,-0.0022855657615408983,-0.0001104683276043796,6.349039393545021e-05,-0.0004652035946877624,-4.2765345794427736e-06,-0.0034339096372490692,-0.007045133224386255,-0.00041834565977387283,-0.00025311842659450786,-0.00023785647967003695,-0.00122468518895029,-0.0007333202867318457,0.0005499242946801628,-0.000166971162454972,-0.0006954354166195093,-0.0004806749473344424,-4.065392033153617e-05,-0.0007808540041083537,3.652856839413511e-05,3.338728519464953e-05,7.298924275581675e-05,-0.00014344745913878415,0.0003602658675995861,0.004000152183684293,-0.006042278365583609,0.09475008225598872,0.0019624470085497733,-0.000719269379874731,0.008167292108598925
