layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00032588094472885137,-0.0005375780165195473,-0.0004448269804318751,-0.0005573704838752721,0.00024519426127274385,4.628859460353559e-05,8.500739932059954e-05,-5.9162576993297644e-05,0.0002491573492685888,0.000304449349641801,-0.00025534133116403946,7.72420316934589e-05,1.9545977314313885e-05,2.146201829115244e-05,5.97791125377002e-05,4.9741938710211535e-05,-0.0007472634315490731,0.00082304577032725,0.0006889601548512771,0.0016099413235982245,3.867006550235532e-06,-9.606592357157814e-06,0.000632072488466899,-0.00020473947127659924,0.0015383909145991,0.0011490980784098312,0.0003729419161876046,0.00043811897436777953,5.919237931569473e-05,-0.00013954283591980455,0.0004992497464021074,2.723016465703334e-05
1,-9.281188249587693e-05,-0.0002841303745905581,7.290703554949369e-06,-0.000972901470959188,8.317176252605111e-06,0.00025921314954757853,0.0001281223570307096,5.752903719742752e-05,4.638217311973518e-05,0.0004648740092913312,8.761727561552383e-06,-0.0001540879408518493,1.822202466427663e-05,-3.2699046035609644e-05,-1.347390934825264e-05,2.2210335979854007e-05,5.87024648363376e-05,3.410192827384242e-05,-0.0001269330581029274,-6.999261677265738e-05,-0.00020918405304352225,8.623426159222977e-06,0.00029332470148801527,6.288910905519803e-06,0.00011778064072131746,2.240513761838036e-05,0.00020890776067972083,5.1085681964951805e-05,0.0005234976609547907,0.00045020878314972005,0.00012186293800672047,0.00037690376242002077
2,-0.004540443420410156,5.480445300538928e-05,0.0006406232714653068,-0.0029189586639404297,1.5964731574054104e-05,3.125999743739881e-05,-9.679049253463771e-05,7.331060866526378e-07,3.348570317029982e-05,1.6904120760346007e-05,2.6951786518717725e-05,1.2491926706083047e-05,-0.00016444921493530208,-4.631839692592585e-05,8.04208684712445e-06,5.141831934452331e-05,1.4090677723286468e-05,2.668045150738024e-06,-0.00011049707730611056,-0.00012679398059845098,6.070043309591406e-05,-0.0002297659715016677,-4.946595678726793e-05,-6.197175631920968e-07,4.367720490942252e-05,0.0006095965703328431,0.00015056932655473768,5.069879504541725e-05,-8.366412172714867e-05,3.482874793310905e-05,7.025532734890872e-05,-0.0003485353663563713
3,-0.00011556098858515314,-8.401934367914997e-05,1.724751200526302e-06,-6.390921771525934e-05,-9.464565664529907e-06,-4.166535412271875e-05,3.275461494922015e-06,8.769147098064038e-05,-3.264911356381975e-06,-9.988533565774332e-05,-6.913580000400382e-05,-5.105307597356534e-05,2.371975764011687e-05,1.052968339839108e-05,3.9847111717491384e-05,2.3157917894466956e-07,-6.453320384025827e-05,-6.0196189830700785e-05,-4.5893713831905453e-05,-0.0005136926968892422,2.8927189608414923e-05,-1.2618877614541003e-05,6.65036107723783e-06,-0.0001994172732035302,-1.4699665674319455e-05,-1.0129103126628477e-05,3.436975021031705e-05,-8.76241635220759e-06,1.674471423029898e-05,5.632813554257084e-05,-7.145339623095822e-06,2.2167184700568177e-05
4,-0.0003478725751241097,-0.00025582150556147093,-0.0016409953435262052,-0.0006406009197235119,1.4180589156849949e-05,3.1358213163908705e-06,0.00015972120066483784,4.3756435237207236e-05,-1.13636876145997e-05,4.4492965874505805e-07,-2.0105702181656666e-05,-5.214673971445078e-06,-0.00019562244415283228,-0.0013976643482844031,-0.0003492397566636425,-0.0071831146876017255,1.8242765994088744e-06,1.9359091917671437e-06,2.0512088667600795e-05,-3.8775848224759597e-05,7.545265058679476e-06,-1.9143801182508235e-05,-0.0009368260701497392,-7.684653004010452e-05,-7.375888526439397e-05,-0.00047102073828379407,0.00014835790110131062,-5.744708081084017e-07,-5.577027332037517e-05,-0.001147975524266562,-4.9163742611802966e-05,-0.00019539209703604257
5,1.8191475343580973e-05,3.5331662123413515e-06,1.0566824736696688e-05,1.1430616723373404e-05,-0.002931937575340271,-0.0007099161545435579,-0.019632345686356228,-0.0005346226195494343,-7.288437336682878e-05,-4.623302568991689e-05,-0.0007624427477518713,-0.0003794729709625234,-9.8338040212789e-05,1.3433629646897723e-05,-0.0001992747808496157,-3.672682214528093e-05,-1.623790012672529e-05,1.19647011160873e-05,-1.680850982665659e-05,8.583835248524229e-06,3.2509366671247716e-05,-0.0002488140016794205,-9.205595900614899e-05,-0.00024382273356119842,8.393913352240355e-06,-3.491125244181524e-05,-2.2278710578874342e-05,-0.0003101780700186888,-0.00011162630592783067,-0.0022802750269571943,0.00021217142542203144,-1.0507802168532047e-05
6,-0.0009309674302736935,-0.00018917769193649582,0.002646366755167643,-0.0020153125127156573,3.543123602866864e-05,-2.160854637622786e-05,-9.525198644640824e-07,-2.575324227412589e-05,0.00017588791282226963,-0.0017015586296717318,-0.00014058096955219676,-3.753788769245101e-05,-8.129786389569418e-05,-4.5008181283870626e-05,-0.00017178726072112997,-3.626564284786683e-05,-0.0016169597705205277,-0.00013019020358721317,-0.0002546980977058439,-0.0007411589225133276,-0.0009131679932276419,-0.00016039547820885793,-0.0007264564434687283,-8.447514846921119e-05,0.0008580243835846598,-0.0002815558885534612,-0.0006449793775876374,-0.0045223236083984375,-8.760788477957163e-05,-0.0028412529112150273,-0.00013968472679456211,-2.309918393924371e-05
7,-0.00014266396950309856,0.0002046112592021565,-0.0005829346676667513,-0.00016091763973236144,0.0003376205762227365,-0.000647129490971564,-0.0010600757474700606,-0.0002903553346792855,-0.00023687692979971564,-0.00042890074352423645,-0.0002681761980056762,-0.00030206764737764796,0.00036727761228879356,-0.006187458833058677,-0.00040008748571078104,-0.002132753531138102,6.568131599730356e-05,-0.00462194283803304,0.0005672299303114411,8.210213854909056e-05,-0.00025963876396417466,0.008400877316792807,-0.000523647914330165,-9.629875421524247e-05,8.034675071636893e-05,-0.00030501497288545383,-6.095816691714806e-06,-0.000232493970543147,-6.914138793945208e-05,-0.00025884310404459583,6.560919185479763e-05,-0.00010763605435689482
8,0.0003879495585958127,-0.0009276432295640307,0.0017450923720995603,-0.0003089246650536915,-0.00025786707798640336,0.00012804567813873128,0.0004415040214856469,0.0001791057487328826,0.0005237087607383712,0.0003113322115192796,0.00047728419303894005,0.0008940451468030619,0.00019730565448602088,0.0016669072210788699,-0.0004285735388596849,-7.317083266874452e-05,-0.00030618409315745,-0.00042799611886342983,-0.0006549358367919927,0.00024706249435742114,-0.0006264771024386116,0.00024628515044848316,0.0013134243587652862,0.0006383831302324923,6.22558097044647e-05,0.00012285107125838528,0.00010801106691360284,5.222763866186329e-05,5.482276901602144e-05,-1.7293961718677204e-05,1.7987569056759355e-05,-9.34215495363031e-06
9,0.0001057268430789311,0.0006561173746983191,0.016501108805338543,-0.00017377982536951535,-0.00025756160418192786,0.0001052133738994589,0.0010886813203493766,-3.279621402422651e-05,-0.0013209333022435512,-0.0019974311192830405,9.08460157612904e-05,-3.1428411602975286e-05,-0.0014095008373260492,0.0009846637646357221,-0.00018913547197977771,0.0008316934108734121,0.00019561623533567005,0.0003997211654980986,-0.00010886912544568401,7.217346380153823e-05,-0.0001550503075122837,-8.308639129005976e-06,0.00010547973215580229,0.00010743488868077151,-0.00021689028168718285,0.00017332844436168646,0.0017013003428777054,-0.003384272257486979,0.05049818754196167,0.0007856364051500942,7.449959715207664e-06,0.00470245877901713
