layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0041859600995038,0.004391850651921454,0.007103224058408986,0.0076525920146220455,-0.0004716821618982027,-0.0001362723273200037,-0.0002938251237611598,0.0004236375963365703,0.0006435561824489291,0.0007219056825380026,0.004128043716018262,0.0005251394735800215,-9.35567391885388e-05,-0.00040149688720703515,-0.00024168555800979858,-0.0002752639151908418,-0.010678832595412795,-0.0012933370229360217,0.004644033071157095,0.002724518647065027,0.00024030015275283448,-3.1449504800741243e-05,0.0004706511626372487,-0.0003977272961590667,0.007649189717060811,-0.0013023582664695892,0.033413448849239864,0.0017288311107738594,-0.007631972029402449,8.910330566199104e-05,0.06307406038851351,0.016949885600322
1,0.002592782716493354,0.010468354096283784,0.02115359177460541,0.0004160984142406595,0.0007461599401525513,-0.013225658519847973,0.02109836887668919,0.07347725533150337,0.0014422648661845485,-0.7326990076013513,0.002159582602011192,0.00453057160248628,0.0022614195540144677,0.01892726485793655,0.0007495485447548447,0.0003080529135626538,0.005791535248627536,-6.129612793794445e-05,0.0035232144433098842,0.003646447851851182,0.004008248045637803,0.006278476199588262,0.00304309741870777,0.0055214134422508524,0.00014065729605184225,-0.00042064769847974004,0.061858306059966214,0.0036277191059009457,-0.0008308307544605107,0.0017499408206424164,0.06960729650548987,0.004999727816195103
2,0.10792335304054054,0.0007839202880859324,0.0026322442132073465,-0.011407182023331925,0.002326411169928472,0.0003905940700221622,-0.0019725077861064188,0.0018755938555743217,0.009071556297508446,0.0024073574994061438,0.010736001504434121,0.0019093848563529324,-0.0023010872505806568,-0.006043717667863176,0.0013191635544235502,0.007296175570101352,0.0016098022460937487,0.0005530811644889038,-0.0006713867187499973,-0.015165586729307432,-0.0007101595401763624,-0.870143581081081,-3.078125,-0.12056752797719594,0.0007826573139912247,0.012177338471283784,-0.000334069535538954,0.0009868789363551812,0.005471925477723819,0.0010588104660446522,0.003730696600836677,0.003421216397672084
3,-0.0030334060256545594,0.00025826209300274015,0.0009368045909984613,0.00011136080767656481,0.001351227631440035,0.018208013998495566,0.009903727351008234,-0.00021245028521563658,0.0007982382903227727,0.0009696676924421964,-0.0012929503982131543,0.002594123015532627,0.0003813086329279616,0.014809273384712834,0.0016119931195233271,0.0006115758741224111,0.0005893965025205897,-0.0004469124046531757,-0.006215688344594595,-0.015990798537795607,0.011288720208245357,0.022367219667176943,0.014602248733108109,-0.012148470491976352,0.0034586674458271702,0.005996707323435188,-0.22504486908783783,0.002577936327135234,0.0014633423573261997,0.003475601608688762,0.0002592061017010623,0.006604478165910052
4,0.002998970650337838,-0.003388275971283784,-0.0013116372598184108,-0.01002914841110642,0.001713784965308925,0.0009297068054611566,0.0038658348289695946,0.0028518406120506476,0.010157610919024495,0.002612552127322638,0.0036868533572635134,0.002452876116778403,-0.24129671663851351,0.006804595122466216,-0.08220816947318413,-0.20202966638513514,0.0021732175672376517,0.0004824174417031747,0.0006785908260860908,0.009002273147170609,0.008273975269214527,0.0015388179469753,-0.012025575380067568,-0.0019576098467852594,-0.0002295519854571324,-0.009955741263724662,0.002103985966862854,0.001299986968169322,-0.001072793393521698,-0.2113548485008446,-0.0022085808418892566,0.013443508663692991
5,0.000897807043951909,0.000585530255291901,0.000532402782826804,0.0005657221819903273,0.017394916431323904,-0.005083857355891046,0.04313370988175676,0.0033771411792652027,-0.0002460866361050919,-0.00038606411701922724,-0.008979591163429054,-0.006048460264463681,-0.0046983151822476725,0.0023099538442250826,-0.01711788692989865,-0.0005721014899176449,0.0015306730528135567,0.0010503047221415676,0.0012824342057511568,0.0008886698130014595,-0.0015360342489706459,-0.000692831503378381,-0.0033806465767525374,-0.006335619333628065,0.000965769226486607,-0.5806917757601351,-0.0009055524259000134,-0.0031412485483530406,-0.0017879589183910458,-0.011977324614653716,0.0017225935652449324,0.0024133630701013487
6,-0.002998912656629406,0.056455869932432436,-0.7718530603357263,0.24046531883445946,0.001574335871516046,0.006328479663745776,0.0010081368523675027,0.012480400704048778,-0.003456837422138938,-0.16218690614442569,-0.029173464388460725,0.012547157906197216,-0.00027166830526815947,0.001644063640285182,-0.0033126521754909192,0.00022907514829891611,-0.006770726796743032,0.0016097506961307,-0.0027717384132179028,-0.0024459426467483107,-0.031083390519425675,-0.003997596534522805,-0.008918762207031248,-0.003918054941538219,0.0119169080579603,-0.003342499604096284,-0.013497842324746621,-0.20295302932326859,-0.0004770949080183703,-0.0698344256426837,0.0015291265539220812,0.002220521102080465
7,0.0010200191188502864,0.003457971521326008,-0.003705308244035049,-0.0063538422455658786,0.02016077814875422,-0.014382027290962838,-0.014537811279296872,-0.029964137721706082,0.0004745947348104919,0.0035648345947265595,-0.008406561774176521,0.013358451224662162,-0.0061963055584881785,-0.14782797323690877,-0.01871197932475322,-0.053162445893158786,-0.007707131875527867,-0.07364633921030406,-0.5633182010135135,-4.610008445945946,0.0011511622248469217,-0.11629547943940034,0.007082294773411111,-0.002927496626570416,-0.004189929446658572,-0.017110463735219593,-0.000499828441722973,-0.00426369744378167,-0.006867279877533784,-0.006943986222550676,0.033051361908783786,-0.00639137061866554
8,0.06952151736697636,0.16089527027027026,0.019465266047297296,0.23945411475929054,0.0002499142208614865,-0.030048782761032518,0.0009719487783071163,0.019344845333614864,0.0024462519465266053,0.0043824943336280625,-0.03287155563766892,0.022056991989548143,0.0009641389589051918,-0.09988279600401183,-0.0023636173557590756,-0.0020290065456081054,-0.004401748244826856,-0.007199261639569257,-0.011463062183277027,0.007993955869932429,-0.019144006677576018,-0.03526594832136824,0.010083585172086148,0.10093049745301942,0.0016091836465371595,0.004810384801916176,0.0038681545773067995,0.0005019162152264595,0.0027460987503464167,0.0011102831041490701,0.00494307440680427,0.0006306139198509368
9,0.004274935335726352,0.009933884079391891,0.5227578652871622,0.0058097066106022974,-0.019582387563344593,-0.00416771141258446,0.021243533572635136,0.001975394584037162,0.00047065116263724595,-0.10557762352195946,-0.0024154250686233133,-0.0017886806178737298,-0.12743398305532094,0.03499376451646959,-0.012146099193676102,0.02756706443992821,0.02195564476219384,0.003098358979096284,-0.00739066665237014,-0.001281222781619508,-0.004493297757329165,0.008064476219383446,0.003980404621845967,0.0049287950670397,-0.0001927324243493919,-0.7751794763513513,-0.3505595439189189,-0.019313502956081082,-0.08419645154798353,0.006750158361486487,0.00019274531184016483,0.011788857949746618
