layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.00012252579874067013,0.0005061875528364014,0.00048210371786089405,0.00048734180962861195,-6.781051407999478e-05,-3.033253683972453e-05,-4.297228001836856e-05,-0.00014522894104915796,-0.0006371327300569907,-0.0006458688138136205,-0.0021178971475629654,-0.0004680085538038547,-6.466659147347707e-05,-6.0529851201761565e-05,-0.00014601892499781135,-8.116195450968358e-05,-0.0033204662266062253,-0.0010684853169455463,-0.0015805372551305971,-0.0036266953197877805,-0.0001621495431928487,-3.2595734098069027e-06,-0.0022762924877565314,6.960399115263546e-05,-0.0014846574014692165,-0.0010635034361881983,-0.0161406104244403,-0.002612128186581739,-0.0013675405018365194,1.5125957442752419e-05,-0.011037342583955223,-0.0022728763409514924
1,-0.0010040055460004671,-0.0034434190436975266,-0.0037718815590018656,-0.0001126296484648252,-0.00027482189349274416,0.0013291088502798507,-0.004751860205806903,-0.010915272271455223,-0.000785884572498834,-0.0013288811071595148,-0.0008238678547873414,-0.00142254758237013,-0.00015927784478486417,-0.0018532311738427014,-8.422759041856776e-05,-3.121993434963398e-05,-0.0011825561523437509,-0.00016629162119395277,-0.0003714347953227015,-0.0017903384877674625,-0.0008407137287196821,-0.0007725046641791044,-0.0004648664104404717,-0.0008295543158232269,-0.00010911208480151703,-0.0006039889890756149,-0.006943432252798507,-0.0006886097922253955,-0.007702158458197295,-0.000523738007047288,-0.009112457730876865,-0.004279862588910915
2,0.003953620569029851,-0.0014011254951135403,-0.025979113222947763,0.00980103905521222,-0.0007246003222109627,-0.0006183083377667382,3.943514468064893e-05,-0.0005874633789062508,-0.004323817011135727,-9.12253536395179e-05,-0.0016014896222014926,-0.000176301643029967,0.00029498427661497017,0.0006521424250816238,-0.00023540098275710318,-0.003606312310517724,-0.0009343161511777044,-0.0001588855216752185,-0.0018299017379532988,-0.0017882603317943954,-0.00011442557199677341,0.00031062026522052014,0.0001261412207760015,1.5075527020355048e-05,-0.0002635486090361242,0.00015845227597364615,-0.00459033339770872,-0.00036138563013788207,-0.003042007560160622,-0.0009804056651556644,-0.0019371972155215135,-1.0803564270929825e-05
3,-0.00022034146892490743,-0.00013285964282590997,-0.0004705742223938866,-0.0004950352569124587,9.798647752448658e-05,-0.00036023268059118355,-0.0033944827407153683,0.0002914809468966767,-0.0002313861206396236,-8.53531841021855e-05,-0.00019357987304232088,-0.0005646890668726686,-7.983463913647593e-05,-0.0002473290286847015,-0.00012194220699480996,-3.391949098501343e-05,-0.0008099541735293234,-0.00035931459113732644,-0.0009749042454050549,0.0006832293610074627,-0.002454786158319728,-0.003986415578358209,-0.0008380946828358209,0.0009742850687966418,-0.0008420517195516551,-0.0019213833026031954,-0.0010719868674207104,-0.0002771135586411217,-0.000532128917637157,-0.0017779869819754943,-0.0002958525472612574,-0.001977913415254049
4,-6.379654158407465e-05,0.0005174039015129418,-0.004481358314628033,0.000990796445020988,-0.0002116445285170836,-0.00022967181988616347,7.139746822528069e-05,-0.00012459327925496967,-0.002063694284923042,-0.0006125151221431911,-0.0012982496574743478,-0.0009319533163042209,-0.0005777842962919776,0.0014712205573694029,0.0030535797574626866,0.01908669542910448,-0.00026411084986444934,0.00027208897604870874,-0.0003512652952279612,-0.0010719868674207089,0.0004387471213269582,0.00022313132214902274,0.0037354426597481344,1.2468935838388059e-05,-0.0007138679276651449,0.0008428772883628731,-0.0006514698711793881,-0.00025905424089574323,-2.0279813168649075e-05,0.00452912743411847,0.000400187364265103,-0.0019768102845149223
5,-2.5893325236304306e-05,-4.355943025047413e-05,-0.00011470513557319818,-1.5241886252784915e-05,0.003950062082774603,0.0006138815808652045,0.01915957322761194,0.00013391295475746268,-0.00016097168424236268,7.46392492038065e-05,0.00162995751224347,0.0007994922239388984,-0.00021305013058790326,-0.00010432770003134163,0.0009548414998979732,5.4510671701006446e-05,-0.0003665881370430593,0.00010897508308069401,-2.1833092419066956e-05,-0.00022410812662608566,0.00011984981707672388,0.0003332166529413447,4.7537817883850966e-05,0.0008874010683885225,-0.0003361435078862927,-0.003754573081856343,-0.00022614536000721466,0.00038455849263205376,0.0003818967449131299,0.0033891592452775193,-0.001626512897548388,-0.0010254988029821596
6,0.0004145921166263354,-0.0017226489622201493,0.0016692432005014001,0.015967525652985076,-0.000262317372791803,-0.00021560156523291941,2.2102425347517058e-05,-1.736541292560751e-05,0.00010251287204116439,0.002765712453358209,0.0016364481911730418,0.0021280601843079523,0.000244916375003643,0.00010141329978828653,0.002193351290119227,1.027868754828084e-05,0.00048519248393044917,0.0005520635576390478,0.0005597641218954074,0.0009924475826434223,0.0016825661730410447,0.0005812858467671388,5.383278006938059e-05,0.0007086796547049896,-0.0002618049507710463,8.600149581680748e-05,0.0016297297691231342,0.007189394822761194,6.025940624635805e-05,0.0010648129591301315,0.0009739434541161373,-0.0001065410784820985
7,-0.00022817013868645225,0.00034668196493120297,-0.0013288811071595164,0.0011297339823708597,0.0011480530696128717,0.0009338321970469899,0.0018943815088983804,0.00017117742282241334,-0.0010079910506063433,0.003609529182092466,-0.00018731871647621048,-0.004701984462453358,-0.0006095544615788255,0.002661519975804572,0.0009463651856379714,0.0017625894119490417,-1.0698595876570017e-05,0.0022983835704291043,0.00017758667357821702,-0.00038067262564132545,-0.0001635195604011209,-0.00335146775886194,-0.0007863400587395044,4.398289011486576e-06,0.0003878750018219433,0.0011675108724565656,0.0008652245820458239,-0.0021754022854477612,0.0012380116021455225,0.00035231860715951495,-0.005655317164179104,0.0005892497390063845
8,-0.00987949656016791,-0.015002350309001865,-0.007103763409514925,-0.011603967467350746,-0.0014287464654267716,-0.00638250094741138,-0.0027184842237785675,-0.0006020389386077418,-0.007097728216826025,-0.008603053306465719,0.0010544221792648076,-0.006405844617245803,0.001768140650507227,0.004693045544980177,-0.001219108923157652,0.0008269210359943478,0.0008061679441537388,0.0012213863543610074,0.0018060029442630598,-0.002768573476307429,-0.0006190058010727582,0.002094987613051685,-0.0006436020580690315,0.006681584600192398,-0.00017194605585354116,0.00027830209305037314,-0.0026165264755932285,0.0007596229439351075,2.4909403786729867e-05,8.382370222860449e-05,-0.000545434097745527,-0.00015530168120540848
9,-0.0020166653305736942,-0.0033652462176422585,0.04320195895522388,-0.00023318048733384032,-0.0021596880101445895,0.00016619554206506715,-0.01098575876719916,-0.001194284923041042,-0.0007955067193330224,0.009140697877798507,-0.0008135055428120574,0.0008357318479623358,-0.027585954808477146,0.0020816290556494865,-0.001050009656308303,-0.006126062193913246,-0.00510736721665112,-0.002529457433899834,-0.0012938513684628617,-1.6361919801623178e-05,7.695226526977433e-06,2.4610490941292505e-05,0.00014286610617566717,-0.0013315713227684824,-7.524063338094627e-05,-6.786744986007463e-05,0.0014493928026797134,-0.002370122653334888,-0.03450422144647854,-0.002885277591534515,-0.0008771953298084826,-0.0028666026556669775
