layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.006713049752371654,0.005540677479335236,0.006280899047851561,0.008989487375531876,0.001486505780901225,0.00016919204166957442,0.00020212786538258381,0.0006834268569946358,0.0007382461002894714,0.0018038749694824214,0.007127216884068079,0.0007137911660330678,0.0005687645503452873,0.0007228681019374142,0.001354932785034175,0.000650967870439788,0.015155247279575892,-5.326952253068924e-05,0.006488255092075889,0.001227923801967075,0.00037697383335658926,-0.00014122043337141425,0.004500797816685268,-0.0006636210850306893,0.004548481532505579,0.01069722856794085,0.007425035749162946,0.0017974036080496678,0.011074406760079519,0.002099801387105663,0.0034360885620117144,0.00033882686070032923
1,0.0011281967163086,-0.00162506103515625,9.79219164167107e-05,0.0021398408072335335,0.0020788737705775607,0.006930964333670479,0.0011539459228515608,2.5119100298202338e-05,0.0003484019211360376,0.0036332266671316965,-0.0004406401089259637,0.0010743524347032807,5.259045532767167e-06,0.00018441677093506442,2.5331974029529604e-05,0.00017019680568148928,-5.727154867990234e-05,-0.0005315031324114141,-0.0005544892379215871,0.0004393160343170148,0.0019475391932896216,0.0002621199403490216,0.0027214459010532896,7.353510175432444e-05,-0.0012163264410836232,-0.001097134181431368,0.002055100032261436,5.7169369288844974e-05,-0.015207290649414064,0.0014358248029436359,0.0005194459642682803,-0.00049567222595215
2,-0.0035008021763392855,-0.001600452831813263,-0.003676278250558039,-0.01842961992536272,-0.0023167133331298724,-0.001189964158194404,-0.0025448799133300786,-0.0011616093771798322,-0.0001411608287266278,4.946733159678479e-05,-4.726861204418913e-05,-9.649140494211029e-05,-0.008330208914620536,-0.010348728724888392,-0.002301284245082305,-0.006858042308262418,-0.0033474820000784704,-0.003367424011230461,-0.019866943359375,-0.013761247907366072,-0.00045191496610639067,0.006993285247257784,0.0008794058646474469,0.00022018807274954818,-0.0013754452977861628,-0.002466827630996705,-0.002145152006830483,-0.0010778393064226383,-0.004272392817905971,-0.0019527844020298534,-0.002108978373663754,-0.004079478127615791
3,-0.015873500279017856,-0.002734320504324775,-0.0016243798392159537,-0.007507051740373882,-0.0014901161193847715,-0.0027734892708914534,-0.0028206280299595396,-0.0006484346730368456,-0.002513229846954332,-0.0011206865310668856,-0.007069723946707589,-0.0012739236865724596,-0.0008254987852913887,-0.0009102480752127339,-0.0015474983624049594,-0.0004255005291529926,-0.003941535949707029,-0.00425638471330915,-0.027585710797991072,-0.018983023507254466,-0.0004002515758786787,-0.0008789407355444627,-0.0002969801425933906,-0.007226807730538507,-0.0024233439138957387,-0.0030027830174991,-0.00021378908838543277,-0.0013820379972457819,-0.0017058508736746572,-0.0025437899998256076,-0.0018567357744489357,-0.001585832663944782
4,-0.008727209908621653,-0.011950356619698657,-0.00961201531546456,-0.008887563432965961,-0.0011432373097964648,-0.0012110067265374259,-0.004137447902134479,-0.0015441903046199286,-0.0011129038674490784,-0.0012174674442836043,-0.007266725812639511,-0.0009653483118329667,-0.031087602887834822,-0.0543212890625,-0.0038586344037737073,-0.06529017857142858,-0.002769504274640757,-0.0016079970768519698,-0.004015173230852397,-0.003091701439448757,-0.0040624311992100235,-0.00203454494476317,-0.05678013392857143,-0.002771105085100443,-0.020806448800223216,-0.024959019252232144,-0.0028536149433680954,-0.010951723371233261,-0.0020685877118791747,-0.015553610665457589,-0.003031449658530102,-0.016556876046316966
5,-0.0008673178298132534,-0.0024769646780831464,-0.0034097943987165145,-0.0010001318795340214,-0.030913216727120534,-0.012709481375558036,-0.09044006892613002,-0.006394386291503907,-0.007509504045758929,-0.0031890869140624965,-0.010166168212890625,-0.005193437848772321,-0.004267965044294083,-0.0034302483711923797,-0.009770802089146203,-0.005466018404279432,-0.0005162741456712898,-0.001261540821620382,-0.0005765386990138449,-0.0009826847485133532,-0.009039470127650667,-0.005113874162946422,-0.0030574117388043995,-0.007504429136003768,-0.0026004655020577497,-0.00013183270181927245,-0.006290435791015621,-0.009301321847098214,-0.002460752214704236,-0.02448763166155134,-0.0014370850154331678,-0.06844220842633929
6,-0.020932878766741072,0.004272903714861189,0.016389029366629466,-0.030181884765625,-0.0018907955714634536,-0.0016371522630964,-0.0007846131920814386,-0.0014400460890361226,-0.007976395743233814,-0.018172127859933034,-0.0008505582809448126,-0.014783041817801339,-0.002147640500749865,-0.0017187595367431608,-0.006498370851789204,-0.001068856034960062,-0.00825396605900356,-0.003879002162388393,-0.004251548222133093,-0.005041531154087611,-0.022464207240513394,-0.012909208025251114,-0.021816798618861606,-0.022855009351457872,-0.011887141636439733,-0.008458273751395089,-0.016766139439174106,-0.037800380161830356,-0.0009232035705021308,-0.009444100516183032,-1.420293535505535e-05,-0.001928400248289085
7,-0.0033926112311227015,-0.021651438304356167,-0.007768494742257254,-0.05385862077985491,0.00020858219691684643,0.0033487422125680105,-0.0025557790483747215,0.07082366943359375,-0.03248664311000279,-0.014261790684291297,-0.018678392682756697,-0.01077502114432199,-1.4781951904303567e-05,-0.041660853794642856,-0.019291332789829797,-0.01977838788713728,-0.0005769048418317517,-0.019695281982421875,0.006880044937133797,0.000952822821480885,-0.004437855311802457,0.13099016462053573,-0.014121736798967633,-0.0156665529523577,-0.022256033761160716,-0.006226130894252232,-0.015683582850864953,0.003224832671029225,-0.012090138026646208,-0.023820059640066966,-0.0034356798444475393,-0.044189453125
8,-0.022403308323451446,0.0005288805280412928,0.03679166521344866,0.0006456630570547814,-0.0007437978472028533,0.02941404070172991,0.005180478096008303,0.008698940277099608,-0.008663041251046314,-0.029199872698102678,5.807195390974646e-05,-0.02368654523577009,0.01899191311427525,0.0988633292061942,-0.001591546194893975,-0.0001720445496695353,-0.011953081403459822,-0.011283329554966517,-0.012920924595424108,-0.0027711732046944715,0.0014172962733677498,0.042774200439453125,0.014139039175851006,0.07201276506696429,-0.0015619141714913606,-0.0036219188145228784,-0.007596969604492189,-0.009993314743041992,-0.00010526180267334926,-0.0003011992999485505,-4.493977342333314e-05,-0.00034087896347045785
9,0.0023745809282575353,0.0026948111397879504,-0.017790113176618303,-0.010094233921595983,0.007516622543334962,0.005608694893973221,0.02355684552873884,-0.00015580920236451384,-0.010437284197126117,-0.02256420680454799,-0.00482177734375,-0.0062070574079241035,0.15564421245029994,0.015951701572963172,0.016548429216657366,0.01065288271222795,-0.0032396316528320286,-0.03415734427315848,-0.002765757696969171,-0.0036536625453404,-0.0034376553126743933,0.002040232930864607,-0.0002205712454659571,0.00204196998051235,-0.0018318721226283504,0.002150944301060257,0.024805341448102678,0.027108328683035716,0.30479213169642855,0.007563863481794082,0.0038102694920131215,0.051513671875
