layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.0045499801635742,-0.006710052490234375,-0.0071887969970703125,-0.005420684814453125,0.0024721920490264958,-0.0004577338695526111,-0.00024384260177609727,-0.002543449401855475,-0.00021505355834958747,-0.0012667179107665875,-0.0026226043701171875,-0.0004072189331054719,-0.00033235549926758745,-0.0005502700805664125,-0.0002353787422180082,8.201599121096249e-05,0.003387451171875,-0.003902435302734375,-0.008930206298828125,9.25064086914125e-05,0.002316951751709,-0.00010102987289430001,-0.010034561157226562,-0.001353979110717775,-0.00478363037109375,-0.00986528396606445,-0.0018157958984375,-0.005672454833984375,-0.008769989013671875,-0.000665783882141096,-0.0019514560699462626,6.902217864988749e-05
1,0.0012096166610717836,0.0012657642364502,0.00051403045654295,0.0006351470947265625,-0.0012898445129394375,-0.0040060281753540004,-0.0003913044929504191,-4.9471855163557034e-05,0.000845193862915025,0.0420989990234375,0.001591801643371575,-0.0008015632629394501,0.000213682651519775,-0.000278234481811525,-0.00023031234741211252,-0.00030875205993650625,0.0002961158752441375,0.001367449760437,0.001509189605712875,0.0008053779602050751,0.0006676912307739,-0.00017073750495911116,-0.001693487167358375,-8.699297904968655e-05,0.001275062561035125,-0.0001816749572754,0.00045724213123322314,4.0203332901007224e-05,0.015460968017578125,0.004751443862915025,0.0009386539459228375,0.0007238388061523375
2,0.0052642822265625,0.001050770282745358,0.007430076599121088,0.007294893264770513,0.00524258613586425,0.0016438364982604876,0.0046901702880859375,0.0021541118621826124,0.0012099593877792148,0.00032785534858700567,0.0002197921276092381,0.001071214675903325,0.0114593505859375,0.006171226501464838,0.004086494445800775,0.006137847900390625,0.001453876495361325,0.001827359199523925,0.021908760070800788,0.011209487915039062,0.001245915889739981,0.9677734375,0.04136466979980469,0.09394073486328125,0.000920295715332025,0.0028362274169921628,0.00380706787109375,0.0003042221069336,0.0022702217102050877,0.000593185424804675,0.0008053779602050874,0.0032558441162109375
3,0.0146484375,0.0013387501239776548,0.0006799697875976375,0.0033473968505859375,0.00176572799682615,0.002048015594482425,0.0029388666152953997,0.0032482147216796875,-0.0006883144378662219,0.00353121757507325,0.007572174072265625,0.0005199909210204874,0.0002355575561523625,0.000866234302520725,0.000807523727417,5.32716512658966e-07,0.003871917724609375,0.002857208251953125,0.04103851318359375,0.01800537109375,0.00021716952323912325,0.00012540817260741794,4.622340202330215e-05,0.005359649658203125,0.0009480714797973625,0.0015826374292373798,0.0013566017150878876,0.0013928413391113125,0.00104618072509765,0.0087604522705078,0.003827795386314395,0.005513191223144525
4,0.0012362003326416,0.01029205322265625,0.008518218994140625,0.0041942596435546875,0.000869035720825175,0.00150537490844725,0.004282534122467035,0.000760555267333975,0.0015385150909423852,0.0012478977441787564,0.006977081298828125,0.0013726651668548458,0.19012451171875,0.01446533203125,0.001156449317932125,0.058319091796875,0.0009820461273193,0.00029361248016355,0.0005515813827514492,0.00052011013031005,0.0020601749420165877,0.0012412071228027125,0.01085662841796875,0.000990629196166975,0.01448822021484375,0.0146331787109375,0.002475738525390625,0.00476837158203125,0.00219154357910155,0.040523529052734375,0.0060272216796875,0.01490020751953125
5,0.000716924667358375,0.00376427173614501,0.004157543182373037,0.00093254446983334,0.00691986083984375,0.0179901123046875,-0.012449264526367188,0.00553297996520995,0.004482269287109375,0.0031070709228515625,0.005458831787109375,0.0065135955810546875,0.0023913383483886623,0.0026904344558716002,0.015468597412109375,0.004913330078125,0.0010353326797485375,0.00057268142700195,8.964538574219997e-05,0.00026094913482666254,0.017307281494140625,0.0068984031677246,0.0038964152336120605,0.007030487060546875,0.0093841552734375,9.01930034160536e-05,0.012735366821289062,0.011793136596679688,0.005446195602416987,0.015430450439453125,-0.0006842613220214874,0.0880126953125
6,0.0247039794921875,-0.00182485580444335,0.364013671875,-0.025577545166015625,-0.0007973909378051946,0.0006220340728759625,0.00011122226715088753,0.0003065019845962587,0.0084686279296875,0.018323898315429688,0.0007338523864746125,0.008403778076171875,0.0024783611297607374,2.8848648071287504e-05,0.0005197525024414,0.0006401538848876875,0.0053267478942871,0.00229740142822265,0.00084829330444335,0.002521514892578125,0.01378631591796875,0.010141372680664062,0.012844085693359375,0.02434539794921875,0.026384353637695312,0.010211944580078125,0.01849365234375,0.0418243408203125,0.00057578086853025,0.0029449462890625,0.00011157989501953751,0.0011029243469238377
7,0.0005362033843994125,0.016237258911132812,-0.00061893463134765,0.0198516845703125,-0.00288963317871095,-0.003130584955215455,0.00127506256103515,-0.04166412353515625,0.016384601593017575,0.0076751708984375,0.03372955322265625,0.00777435302734375,-0.0006544589996338,0.01685476303100585,0.00881195068359375,0.01885986328125,0.033893585205078125,-0.002895355224609375,1.0791015625,0.031444549560546875,0.0023479461669921875,0.007134437561035149,0.00966644287109375,0.0318145751953125,0.00983428955078125,0.00167179107666015,0.02106475830078125,-0.001963019371032715,0.00567626953125,0.007720947265625,0.0015935897827148375,0.0390625
8,0.018001556396484375,0.008659601211547862,-0.0052852630615234375,0.00033521652221678755,0.00018405914306641248,-0.011842727661132812,-0.0001678466796875,-0.015545129776000987,0.0006657242774963472,0.023692607879638665,0.010443687438964837,0.013738632202148438,-0.007623195648193363,0.01441097259521485,0.00054824352264405,0.0009910464286804232,0.013946533203125,0.01409912109375,0.017513275146484375,-0.0012416839599609375,0.0021829605102539123,0.0622406005859375,-0.0018834471702575684,-0.06673812866210938,0.00023376941680906252,0.0023250579833984375,0.0076045989990234375,0.0025540292263031067,0.0015826821327209126,0.0007070899009704574,7.29709863662501e-05,0.0007045418024063024
9,0.0009364485740661558,0.003633975982666025,-0.1312255859375,0.014731407165527337,0.00038957595825195,0.0012252330780029375,-0.013378143310546875,0.0005877017974853499,0.008975982666015625,0.017608642578125,-0.002048492431640625,0.0054111480712890625,0.04615831375122071,-0.01747894287109375,-0.000244140625,-0.008668899536132812,0.00035953521728514996,0.05732154846191406,0.007261753082275375,0.005684375762939463,0.0031991004943847626,-3.242492675782505e-05,0.0008335113525390625,-0.0030040740966796875,0.0014660954475402802,0.06803512573242188,0.4335174560546875,0.03356170654296875,0.08186912536621094,-0.00420379638671875,-0.008006215095520025,-0.005401611328125
