layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,9.315892269736843e-05,-0.0012194984837582158,-0.0017666189294112396,-0.003276624177631579,0.0002405768946597395,-0.00030467384739923687,-0.0002715964066354684,-0.0021829103168688364,-0.000619787918893921,0.0022933357640316735,-0.0002024299220034947,0.0004574625115645579,0.000857139888562664,-0.0001550097214548195,-0.00011055093062552288,-0.0005393655676590716,-0.04009648373252467,-0.0042098195929276315,-0.004227086117393095,-0.0041383442125822265,-0.000204851752833303,9.977190118085783e-05,-0.008008454975328948,0.00012257224635073684,-0.005117717542146384,-0.0055678518194901315,-0.0015580026726973685,-0.004706533331620063,-0.0036498621890419373,0.0002133469832570834,-0.0016145204242907106,0.00010852437270314609
1,0.0007130095833226228,-0.002565785458213395,-0.0001823023745888,0.002055318732010679,-0.0003455312628495158,-0.001458820543791121,-0.000771070781506971,-0.0001754886225650185,0.0001669933921412541,0.037333438270970395,0.0006494647578189293,0.0009546279907226473,-1.6162269993843074e-05,-3.331272225630549e-05,-1.8991922077384978e-05,0.0002678569994474581,0.001862375359786179,-0.00011825561523438947,-1.9726000334099987e-05,-0.0005789744226556084,4.1208769145763135e-05,-0.00027187247025338424,-0.00018316821048136394,-0.000549542276482816,0.0002000708329050211,0.0007298118189761525,-0.00036284798070003156,0.00025791870920281295,0.0019683837890625,-0.0023330387316252052,0.0009867517571700158,0.0005747644524825263
2,-0.028788516395970395,8.593107524671579e-05,0.0046218068976151315,-0.0016911155299136524,0.0008757741827713841,0.0009454426012541158,0.00128362053319028,0.0007571170204564105,0.0013098842219302568,0.0003109590003365096,0.0004941193681014274,0.0014185544691587783,0.005417673211348684,0.002255088404605258,0.0013303254780016368,0.0008400364925986842,0.001285552978515616,0.0009327938682154527,0.011121247944078948,0.006431579589843747,0.00033000268434222127,0.7726151315789473,0.033355712890625,0.06831922029194079,0.0017773979588558931,0.0038770374498869266,0.005770231548108552,0.0018136626795718584,0.001614018490439963,-7.905458149157896e-05,-0.0004284256382992392,0.0015220642089843737
3,0.007463957134046052,0.0008763765033922684,0.0004904897589432473,0.002134323120117184,0.001690513209292763,0.002397738004985605,0.002252277575041116,0.002373318923147093,0.0011731699893349017,0.0015967519659745,0.0037183259662828946,0.0005280093142860851,0.0004022623363293994,0.00039881154110556167,0.0007564143130653631,0.0001728973890605637,0.0024683099043996738,0.0009209482293379895,0.010298879523026315,0.008479068153782895,5.616012372470227e-05,0.00018323408929924462,0.0004972407692357058,0.0017082565709164315,0.0012633173089278422,0.0013730651453921696,0.0015393056367572861,0.00017191234387848326,0.002424134235633041,0.004189139918277136,0.0038493056046335307,0.002699851989746084
4,0.0012691899349815106,0.008084748920641448,0.012204019646895563,0.0041351318359375,0.000711215169806221,0.0013283177425986788,0.0011024475097656209,0.001909757915296042,0.00099187148244756,0.00013291208367597894,0.002424541272615121,0.0008518068413985317,0.07630679481907894,0.01042737458881579,0.0017661295439067523,0.016820004111842105,0.0019107366863050047,0.0010102171646921192,0.0024647712707519466,0.0015638502020584894,0.0022213584498355313,0.000820435975727284,0.005846525493421052,0.0007443679006476052,0.008827611019736841,0.007094533819901316,0.001715509515059626,0.0034492894222861842,0.0006492012425472736,0.027194374486019735,0.004538285104851969,0.004239534076891448
5,0.000753095275477345,0.0033130143818102423,0.0027927348488255553,0.0010792707142076958,0.005344591642680921,0.006609464946546052,-0.0026088513826069103,0.0037070826480263158,0.004016073126541942,0.0015039945903577263,0.001865587736430921,0.00311279296875,0.0027924587852076474,0.004213006872879836,0.010599638286389806,0.0036306381225586055,0.0004906528874447395,0.0011133896677117578,0.0003786087036132688,0.0008730762883236402,0.01132764314350329,0.0053187420493678115,0.002932485781217879,0.004967538934004931,0.0039074546412417735,0.00025202961344467735,0.004885221782483552,0.005261069849917763,0.0037538628829152944,0.0105743408203125,0.0026193919934724475,0.039383737664473686
6,0.012558786492598685,-0.0005461542229903473,0.3324424342105263,-0.010906018708881578,0.00047303500928376523,0.0008371127279181237,-4.778096550390196e-05,-0.0008319098698465544,0.010133442125822368,0.01433663619192023,0.0002803551523308962,0.008842643938566512,0.0019075494063528,0.0021221967119919665,0.0029743094193308054,0.0005936308910972055,0.0012021064758300762,0.0009386163008840475,0.001379715768914479,0.0016841888427734316,0.011635228207236841,0.007520575272409537,0.011717143811677632,0.01836194490131579,0.003578587582236842,0.0063602045962685,0.010357103849712173,0.030985380473889802,0.0001701210674486481,0.0030756498637952274,0.001351858440198379,0.0019744195436176494
7,7.753858440800653e-05,0.0049884193821957265,-0.0024384950336657106,-0.001025551243832237,0.002200277228104442,-0.0015392303466796862,0.00023490504214637893,-0.01748496607730263,0.009350224545127468,0.005344591642680921,0.005218706632915295,-0.0003553691663240157,0.002544804623252474,0.018380817614103623,0.015971334357010692,0.017408270584909537,0.022475393194901317,0.004686857524671052,1.0926192434210527,0.0313568115234375,0.002175017407065943,0.008722807231702306,0.004865746749074837,0.014789982845908716,0.009798049926757809,0.0005774247018914422,-0.0014279014185855264,0.004376361244603195,0.0022446481805098685,0.004905299136513158,0.0018870705052426002,0.012785259046052632
8,-0.0029607070119757367,0.0014707665694387365,-0.007210580926192431,0.0020519557752107314,0.0037043471085397746,0.005497480693616363,0.0005542855513723316,-0.0030832792583264787,0.0027773003829152966,0.014728345369037827,0.013670670358758215,0.008389121607730263,-0.008821788587068252,0.0015885202508223685,0.0004090007982755936,6.392127589175691e-05,0.005638524105674342,0.0030991403680098685,0.005881861636513158,0.0011448107267680895,0.0064833791632401315,0.03517010337428043,0.003982945492393095,-0.055897762900904605,0.0003852467787893103,0.00043778670461554214,0.005987870065789474,0.002266331722861842,0.00021452652780633158,0.00014677330067283507,6.913197667974469e-05,-0.0002884111906352842
9,-0.0003105088284141138,0.0007275029232627527,-0.10535591527035362,0.0028033005563836318,0.0007380435341282738,-0.0016648141961348735,-0.00046338533100328947,0.0008444284137926534,0.006211130242598684,0.01799573396381579,0.011543324119166322,0.004346546373869247,0.010103828028628706,-0.005267519699899779,0.005976325587222443,-0.0001670435855263158,-0.0014427084671823683,0.019936611777857726,0.0049734617534436636,0.002113141511615953,0.0021910416452508106,0.00020217895507812102,-0.0012989797090229287,-0.0031973186292146368,-6.80371334678387e-05,0.02351700632195723,0.41938219572368424,0.005428916529605263,0.0006460892526726948,-0.0006952787700452282,-0.000893504996048778,-0.006665681537828948
10,0.00031842683490954213,-0.0012277301989103582,-0.006765265213815789,-0.0004520918193616315,0.0012990800957930625,0.0007082941500764161,0.0016536210712633631,0.0009737516704358527,-0.019552531995271384,0.0011277449758429474,-0.0008980600457442422,0.011885191264905432,-0.00025581058702970743,-0.0013707813463712895,0.0006258111251027948,0.0037935156571237685,8.324572914525788e-05,0.0033517134817022997,0.001554187975431742,0.004007640637849505,-0.007596869217722043,-0.008275082236842105,-0.0032372725637335527,0.0020282143040707213,0.0014237228192781298,-0.001908101533588605,0.02127235814144737,0.0021663464997944103,-0.004262422260485194,0.00028846138402035637,-0.005518160368266853,0.002824080617804274
11,0.0006946262560392737,0.0008531369661029973,0.0042561951436494595,0.0015992114418431475,-0.004781622635690784,3.317782753393815e-05,-0.014714291221217105,-0.0005962974146792844,-3.99037411338474e-05,-0.011908280222039474,0.0010018599660773,4.878797029193641e-05,0.012367248535156247,0.013035021330180922,0.09209562602796052,0.0108590377004523,-0.0038184617695055474,-0.00019199597208123854,0.0025088661595394687,0.017897957249691607,0.19254784835012337,0.006189446700246711,0.009281359220805922,0.003472077219109779,0.00025163198772229283,0.0024043384351228507,0.0016867988987972844,0.005002925270482111,0.0015981322840640242,0.4214212517989309,0.0030170741834138525,0.007837697079307154
12,0.0007690128527189526,0.0012222371603313217,0.0035854640759919788,0.006511487458881579,0.011795847039473685,5.4353161862011797e-05,0.6566097861842105,1.446546052631579,-0.08368361623663652,0.0527090775339227,0.000991771095677421,0.5935154965049342,-0.0024296860945852115,0.01709687082391036,0.002121975547388974,-0.0074270649960166525,0.0024935571770918945,0.0027946108265927,0.0031071713096217104,-0.09797949539987665,0.015560150146484375,0.019774587530838817,0.004478504783228816,-0.008732845908717105,-0.001169405485454363,0.0129037154348273,-0.0025177001953125,0.005833174052991353,0.07282136615953948,-0.0008666389866879106,0.0010369953356290946,-0.00030470521826493375
