layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.00970458984375,-0.00634765625,-0.01263427734375,-0.0118408203125,0.0011520385742187,-0.0016326904296875,-0.0007743835449218,-0.0054931640625,-0.0024566650390625,-0.0015640258789062,0.0272216796875,-0.003570556640625,0.0009002685546875,0.0005760192871093,0.0001935958862304,-0.0017929077148437,0.044677734375,-0.023681640625,-0.052001953125,-0.019287109375,-0.0244140625,-0.0004959106445312,-0.042724609375,0.0015487670898437,-0.10498046875,-0.004638671875,-0.17578125,-0.0263671875,-0.044921875,0.005401611328125,-0.1845703125,-0.002044677734375
1,0.0040283203125,-0.01263427734375,0.0023345947265625,0.007354736328125,-0.00823974609375,-0.0017852783203125,-0.0703125,-0.026611328125,-0.002044677734375,0.431640625,-0.0103759765625,-0.00506591796875,-0.0007209777832031,0.000253677368164,0.0002784729003906,-0.0004863739013671,-0.002716064453125,-0.0009765625,0.0016860961914062,0.0028228759765625,0.004425048828125,-0.003173828125,-0.006134033203125,-0.0035858154296875,-0.0003814697265625,-0.006988525390625,-0.04248046875,-0.0027923583984375,-0.0157470703125,-0.01416015625,-0.087890625,-0.013671875
2,0.10302734375,0.00555419921875,0.015869140625,0.07666015625,-0.0026092529296875,0.0008163452148437,0.0036773681640625,-0.0009841918945312,-0.0274658203125,-0.0107421875,-0.00994873046875,-0.01483154296875,0.0255126953125,0.051025390625,0.01220703125,-0.02880859375,0.002838134765625,0.0203857421875,0.054931640625,0.030029296875,0.002166748046875,1.390625,1.515625,0.11572265625,0.00244140625,0.00482177734375,0.003326416015625,0.0045166015625,-0.005279541015625,-0.0011672973632812,-0.0008392333984375,0.0002374649047851
3,0.0478515625,0.005462646484375,0.0048828125,-0.0036468505859375,0.0011672973632812,-0.0103759765625,-0.0244140625,-0.006805419921875,0.002471923828125,0.0025177001953125,0.0181884765625,-0.00335693359375,0.006561279296875,-0.0032501220703125,0.0007514953613281,0.004058837890625,-0.00469970703125,0.0078125,0.16796875,0.10986328125,-0.048095703125,-0.0162353515625,-0.006256103515625,-0.0028228759765625,0.00701904296875,-0.0008697509765625,-0.0208740234375,-0.0002498626708984,0.0089111328125,0.0018157958984375,0.001007080078125,-0.0027008056640625
4,0.007568359375,0.09912109375,-0.012451171875,0.0556640625,0.001312255859375,0.0010528564453125,-0.0045166015625,0.001983642578125,-0.0033111572265625,-0.0020904541015625,0.0311279296875,-0.0018386840820312,0.44921875,0.10595703125,0.0634765625,0.439453125,0.005126953125,0.001373291015625,0.007476806640625,0.0010223388671875,-0.006195068359375,0.0021820068359375,0.1220703125,0.01373291015625,0.06689453125,0.07275390625,-0.0081787109375,0.01531982421875,0.009765625,0.173828125,-0.0030670166015625,0.154296875
5,0.0001249313354492,0.0228271484375,0.00933837890625,0.002349853515625,0.0279541015625,0.036376953125,0.0498046875,0.10791015625,0.056640625,0.0272216796875,0.01373291015625,0.020263671875,0.00091552734375,0.005828857421875,0.05712890625,0.01312255859375,-0.0021514892578125,-0.00811767578125,0.0001916885375976,-0.0007667541503906,0.043212890625,0.036865234375,0.0179443359375,0.016357421875,0.03125,0.07763671875,0.0172119140625,0.026123046875,0.07568359375,0.09326171875,-0.0113525390625,0.12158203125
6,0.02587890625,-0.255859375,0.875,-0.263671875,-0.0027618408203125,-0.00836181640625,-0.0011062622070312,-0.0038299560546875,0.06689453125,0.1083984375,-0.0751953125,0.038330078125,0.00506591796875,0.0037078857421875,0.0322265625,0.00396728515625,0.01458740234375,0.01226806640625,0.012451171875,0.0027923583984375,0.0267333984375,0.0625,0.02880859375,0.11279296875,0.01416015625,0.02197265625,0.033447265625,0.1962890625,0.006011962890625,0.03515625,-0.001312255859375,0.006744384765625
7,0.0007362365722656,0.044921875,-0.0302734375,0.01953125,0.00958251953125,-0.00457763671875,0.00823974609375,-0.0693359375,0.013916015625,0.0093994140625,0.0546875,0.00494384765625,-0.0113525390625,0.06494140625,0.038818359375,0.026123046875,0.00897216796875,0.1181640625,0.80078125,3.171875,-0.0029449462890625,-0.033447265625,-0.00640869140625,0.037109375,0.007232666015625,0.0042724609375,0.0028839111328125,-0.051513671875,-0.003326416015625,0.0625,-0.02783203125,0.0625
8,0.0054931640625,-0.06640625,-0.09619140625,-0.14453125,0.01318359375,-0.00958251953125,0.00103759765625,-0.0849609375,0.013427734375,0.02587890625,-0.0186767578125,-0.024169921875,-0.0654296875,0.03857421875,-0.02001953125,-0.0004920959472656,0.0301513671875,0.04931640625,0.03173828125,-0.0184326171875,0.012939453125,0.1376953125,-0.026123046875,-0.2109375,-0.001953125,0.0023040771484375,0.022216796875,0.01220703125,-0.005523681640625,0.0005035400390625,-0.0003948211669921,0.0005569458007812
9,0.00732421875,-0.003021240234375,-0.78125,-0.01080322265625,0.00238037109375,-0.01544189453125,-0.0859375,0.003631591796875,-0.0517578125,0.044677734375,0.0247802734375,0.00555419921875,-0.0849609375,-0.09521484375,0.03271484375,-0.06689453125,-0.06689453125,0.0267333984375,0.0189208984375,0.0084228515625,0.01025390625,-0.0172119140625,-0.0206298828125,-0.10107421875,-0.001220703125,0.3125,0.357421875,0.1064453125,-0.0220947265625,-0.01226806640625,-0.00457763671875,-0.058837890625
10,-0.054443359375,-0.30078125,-0.369140625,-0.10693359375,-0.010986328125,-0.00042724609375,-0.0009765625,0.002197265625,-0.482421875,-0.25,0.0206298828125,-0.00439453125,-0.002105712890625,-0.008544921875,-0.00933837890625,-6.389617919921875e-05,-0.005218505859375,0.00543212890625,-0.00543212890625,0.004852294921875,-0.0673828125,-0.09814453125,-0.171875,-0.205078125,-0.11181640625,-0.034423828125,-0.045166015625,-0.10498046875,0.0439453125,0.091796875,-0.11962890625,0.41015625
11,0.00848388671875,0.0013656616210937,0.006683349609375,-0.031982421875,-1.015625,-0.19921875,-7.375,0.010009765625,-0.0224609375,-0.384765625,-0.035400390625,-0.01544189453125,0.37109375,-0.08935546875,0.466796875,0.024169921875,0.0286865234375,-0.0007286071777343,-0.365234375,-0.1318359375,0.1630859375,-0.05078125,-0.05517578125,-0.1611328125,-0.02587890625,-0.14453125,0.0174560546875,-0.0098876953125,0.0018310546875,2.671875,-0.011474609375,-0.19140625
12,0.0096435546875,-0.00555419921875,0.0888671875,0.003326416015625,0.310546875,0.0001773834228515,3.046875,2.453125,-1.984375,0.640625,5.936622619628906e-05,0.057373046875,-0.55078125,0.337890625,0.1572265625,-4.125,-0.267578125,-0.39453125,-0.396484375,-4.46875,0.056396484375,0.2431640625,-0.158203125,-1.015625,-0.828125,-0.302734375,-0.2734375,-0.01312255859375,0.306640625,-0.10107421875,-0.0308837890625,-0.02490234375
13,0.06103515625,-0.06494140625,-0.036865234375,-0.2138671875,0.07568359375,-0.60546875,-0.0859375,0.03564453125,-0.52734375,-0.0145263671875,-0.01104736328125,0.53125,0.00726318359375,0.4921875,-0.34765625,0.00701904296875,-0.85546875,-0.59375,-0.2578125,-0.27734375,-0.224609375,-0.458984375,-1.3671875,-0.048828125,-0.28125,-0.2197265625,-0.125,0.16015625,-0.462890625,-0.34765625,-0.0203857421875,-0.001495361328125
14,-0.050537109375,-0.1064453125,-2.046875,-0.482421875,-0.0927734375,-0.1748046875,-0.01123046875,-0.007080078125,-1.1484375,-9.1875,0.04052734375,-1.078125,-0.154296875,-0.003387451171875,0.0,-0.03857421875,0.030029296875,-0.064453125,0.4375,0.06884765625,-0.453125,-1.984375,-0.314453125,-0.2890625,0.19921875,-2.5625,2.421875,-0.51171875,0.080078125,0.04638671875,-0.0045166015625,0.10986328125
15,1.1171875,0.33203125,-0.5234375,0.03955078125,0.01171875,-1.5546875,-2.90625,0.2138671875,0.06640625,0.283203125,-0.01531982421875,-0.00872802734375,-0.018798828125,-0.0006980895996093,-0.0361328125,0.0019989013671875,-3.3125,-0.46484375,-0.2255859375,-0.84375,0.130859375,2.296875,0.1474609375,0.11572265625,9.775161743164062e-06,0.1494140625,0.0005531311035156,0.018798828125,0.0140380859375,-0.2177734375,-0.8515625,-0.09326171875
16,-0.06982421875,-0.13671875,0.01263427734375,-0.75390625,-0.2216796875,-0.041259765625,-0.10009765625,-0.061767578125,-0.0888671875,-0.01043701171875,-0.0247802734375,-0.02490234375,-0.1396484375,0.00543212890625,-0.2060546875,-0.14453125,-0.30078125,-0.1435546875,0.0004806518554687,-0.05419921875,-0.056640625,0.08349609375,0.51953125,0.05224609375,0.058837890625,0.004730224609375,0.00238037109375,0.0869140625,-0.298828125,-0.69140625,-0.2490234375,-0.169921875
17,0.216796875,0.15234375,0.126953125,0.0245361328125,-0.002105712890625,0.04443359375,0.002471923828125,-0.042236328125,0.1796875,0.0108642578125,-0.0152587890625,0.0007400512695312,-0.037841796875,-0.002349853515625,-0.06787109375,-0.033935546875,0.044189453125,0.01495361328125,0.05517578125,-0.103515625,-0.0118408203125,-0.0020904541015625,0.00421142578125,-0.04150390625,0.13671875,0.578125,1.0546875,0.498046875,0.0008087158203125,-0.0019149780273437,0.006195068359375,-0.043212890625
18,1.71875,0.142578125,4.40625,1.25,0.306640625,0.04345703125,-0.0196533203125,0.014892578125,-0.0267333984375,9.679794311523438e-05,-0.0390625,0.5078125,0.025390625,0.04052734375,0.0189208984375,0.006683349609375,-0.0019073486328125,-0.009765625,-0.10302734375,0.009033203125,0.0033721923828125,0.0625,0.2333984375,-0.0087890625,0.0546875,0.04541015625,0.0947265625,0.012939453125,-0.01458740234375,0.0079345703125,-0.042724609375,0.11572265625
