layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.021642049153645832,0.024034288194444444,0.031217575073242174,0.033355712890625,-0.0021716223822699668,0.0007979075113932222,9.208255343966667e-05,0.0031992594401041665,0.0032170613606770887,0.0024117363823784777,0.005291620890299478,0.0027597215440538334,-0.00030538770887587777,0.0006024307674831786,0.0008788638644748333,0.0008606910705566222,0.00012546115451388888,0.0006815592447916666,0.022271050347222224,0.017252604166666668,0.016950819227430556,0.0007567935519748221,0.029488457573784724,-0.0050413343641493,0.04745822482638889,-0.013600667317708334,0.1425238715277778,0.022677951388888888,0.031880696614583336,-0.0015854305691189333,0.16661241319444445,0.007848951551649311
1,-0.0009770393371581888,0.014390733506944444,-0.002326117621527778,-0.0024019877115885446,0.0042211744520399335,0.001071506076388889,0.053168402777777776,0.050069173177083336,0.001192728678385411,0.01080322265625,0.002090877956814222,0.002170138888888889,0.0015089246961805444,0.004692607455783423,0.000245465172661674,0.0004893408881293444,0.0043042500813802115,-0.00019031100802952228,-0.0008214314778645777,0.002770317925347222,-0.0005395677354600777,0.003607074419657384,0.0032670762803819445,0.0022294786241319445,-0.0004338688320583837,0.005261739095052089,0.026889377170138888,0.002365960015190967,0.012228224012586811,0.005456500583224833,0.054999457465277776,0.018345303005642355
2,-0.0661349826388889,0.0010799831814236004,0.030612521701388888,-0.0506591796875,0.0022830963134765447,0.001333130730523,0.00024021996392144444,0.0024570888943142447,0.02197265625,0.00543212890625,0.006534152560763889,0.004848268296983489,-0.013956705729166666,-0.012132432725694444,-0.002666897243923611,0.03805881076388889,0.0028864542643229113,-0.0031755235460069445,-0.0213623046875,-0.013958401150173612,0.0007647408379448761,-0.004621717664930556,0.0005103217230902778,-0.00022886196772255507,-0.0004348754882812556,0.0035298665364583335,0.0029343499077691,0.0023244222005208335,0.005126953125,0.0005653169420030334,0.0017422570122612889,0.0009435017903645777
3,-0.010409884982638888,-0.0018547905815972222,-0.0014213456047905738,0.0026825798882378557,0.00040382809109157776,-0.0019276936848958333,0.012162950303819444,0.003505071004231766,0.0007290310329861,-0.0030973222520616333,-0.008795844184027778,0.0007334815131293444,0.00032512346903480847,0.010313245985243056,0.0005289713541666666,-0.00013944175508286247,0.0002865261501736111,-0.0030076768663194445,-0.039713541666666664,-0.021864149305555556,0.019544813368055556,0.005608452690972222,0.004206339518229167,0.003028021918402778,0.0024127960205078108,0.0025660196940104113,0.011464436848958334,0.0029691060384114554,-0.004158867730034722,0.003546820746527778,-5.0862630208333336e-05,0.008819580078125
4,-0.002528031667073573,-0.016330295138888888,-0.007419162326388889,-0.003628200954861111,0.0001928541395399445,0.0010564592149522555,-0.005679660373263889,-0.0001203748914930333,0.007636176215277778,0.002779112921820744,-0.008739895290798612,0.0018607245551215223,-0.008205837673611112,-0.06846788194444445,-0.005995008680555556,-0.1032443576388889,-0.001259273952907989,0.004994710286458333,-0.0010193718804253334,0.0005961524115668444,0.003338283962673611,-0.0012522803412543333,-0.07291666666666667,-0.0037841796875,-0.03285047743055555,-0.03451877170138889,0.0033255683051215223,-0.008382161458333334,-0.001146316528320322,-0.0013042026095920107,-0.0017000834147135556,-0.03708224826388889
5,0.0013860066731770917,-0.0021521250406901,-0.0009414884779188221,0.0007985432942708334,-0.04180018107096353,-0.021748860677083332,-0.12843153211805555,-0.005411783854166667,-0.012030707465277778,-0.00531005859375,-0.013153076171875,-0.01092529296875,-0.001564767625596789,-0.0021379258897569445,-0.018552992078993056,-0.004791259765625,0.0017445882161458333,0.006406995985243056,0.0026018354627821223,0.0007923973931206667,-0.009019639756944444,-0.008365207248263888,-0.008028666178385423,-0.0023886362711588558,-0.017890082465277776,0.011957804361979166,-0.013509114583333334,-0.02813720703125,-0.008371988932291666,-0.030951605902777776,0.007134331597222222,-0.0857204861111111
6,-0.007436116536458333,0.07332356770833333,-0.016560872395833332,-0.0830078125,0.0032975938585069445,0.0009256998697916666,0.001778072781033,0.004582722981770833,0.005181206597222222,-0.017293294270833332,0.039143880208333336,-0.004645453559027778,-0.0052081743876139334,-0.0008455912272135334,-0.006817287868923611,-0.0008307562934027667,-0.0027058919270833335,-0.0012849171956380112,-0.004907396104600689,-0.0003696017795138889,-0.021769205729166668,-0.013909233940972222,-0.005479600694444444,-0.025146484375,0.0039215087890625,-0.007914225260416666,-0.01312255859375,-0.027872721354166668,0.00047514173719617785,-0.009206983778211811,0.003676944308810767,0.012003580729166666
7,4.344516330296667e-05,-0.027516682942708332,0.016815185546875,-0.015719943576388888,0.008694118923611112,-0.016133626302083332,-0.005469428168402778,0.04774305555555555,-0.011647542317708334,-0.004879421657986111,-0.018405490451388888,0.004904217190212667,0.002468532986111111,-0.010647243923611112,-0.017008463541666668,-0.006701151529947911,1.6702546013715016e-05,-0.059488932291666664,-0.0032405853271484444,0.0036163330078125,0.0081329345703125,0.026475694444444444,0.011152479383680556,-0.023871527777777776,-0.016343858506944444,0.004672580295138889,-0.002571953667534722,0.034174601236979164,0.0005374484592013889,-0.032355414496527776,0.036946614583333336,-0.027486165364583332
8,-0.008680555555555556,0.004475911458333333,0.10785590277777778,0.1962619357638889,0.0004425048828125,0.028523763020833332,0.018952475653754342,0.026499430338541668,-0.002482944064670144,-0.020266638861762144,0.03224012586805555,0.03233506944444445,0.021898057725694444,0.1712985568576389,0.013658311631944444,0.003589206271701389,-0.009351942274305556,-0.013929578993055556,-0.0063124762641058995,0.002922905815972222,0.014804416232638888,0.1081814236111111,0.023779975043402776,0.031087239583333332,0.014441596137152778,0.004418267144097222,-0.010300742255316846,0.0038714938693576333,0.002912309434678811,0.0002822875976562556,0.0034538110097249294,0.0003412564595540476
9,0.011106703016493056,0.0017937554253472222,-0.03602430555555555,-0.0030721028645833335,0.015133327907986112,0.04388427734375,0.0701692369249132,0.00030263264973958874,0.018612331814236112,-0.015652126736111112,0.006656222873263889,0.001544528537326389,0.3916422526041667,0.10127088758680555,0.04452345106336805,0.0769382052951389,0.032708062065972224,0.0719875759548611,0.018734402126736112,0.0064239501953125,-0.0037748548719618003,0.008551703559027778,0.010308159722222222,0.029924180772569444,0.0011386871337890556,-0.006618923611111111,-0.000518798828125,0.104736328125,0.05333116319444445,0.008318583170572911,0.013745625813802077,0.11906263563368055
10,0.008939954969618056,0.1696506076388889,0.1159396701388889,0.03241305881076389,0.008243136935763888,0.002877129448784722,0.004403008355034722,0.010812123616536468,0.0615234375,-0.003624810112847222,-0.014300876193576388,-0.043768988715277776,0.0071983337402343655,0.008138020833333334,0.1043972439236111,0.005608452690972222,0.0101119147406684,0.010361565483940967,0.003412034776475689,-0.003308190239800344,0.057807074652777776,0.02978515625,0.029083251953125,-0.009128146701388888,0.03332689073350695,0.11967637803819445,-0.029296875,0.009829203287760411,0.026918199327256944,0.01824951171875,0.034966362847222224,-0.021525065104166668
11,0.003334893120659722,-0.0013081232706705778,-0.004191080729166667,0.001409742567274311,0.1792534722222222,6.781684027777778e-05,0.16932508680555555,0.03282504611545139,0.0032188627454969665,0.2110324435763889,0.012213812934027778,0.06487019856770833,0.0774875217013889,-0.005594889322916667,0.010264078776041666,0.01611328125,0.0007120768229166666,-0.0016123453776041555,0.027099609375,0.0006510416666666666,-0.005835639105902778,0.043938530815972224,-0.010723537868923612,0.005838182237413201,0.013031005859375,0.09464518229166667,-0.004442003038194444,0.006527370876736111,0.0027417076958550332,0.001491970486111111,-0.010904947916666666,0.021267361111111112
12,0.00019497341579861112,0.014424641927083334,-0.009701199001736112,0.004976060655381944,-0.07476128472222222,-0.00021562808089786451,-0.006532457139756944,0.016243828667534724,0.012159559461805556,0.00030729505750867774,-0.00012843145264520697,-0.020009358723958332,0.04533555772569445,0.017252604166666668,0.022230360243055556,0.3109537760416667,0.04190402560763889,-0.0024878184000651105,0.04843478732638889,0.009616427951388888,-0.002902560763888889,-0.003517998589409722,0.028076171875,0.04517957899305555,0.039143880208333336,0.007526821560329867,0.11971028645833333,-0.0016894870334201333,-0.010789659288194444,0.07030571831597222,0.001129150390625,0.0070457458496093655
13,0.0071868896484375,-0.009802924262152778,0.027177598741319444,0.018454657660590276,-0.010243733723958334,-0.002469380696614577,0.005391438802083333,-0.007907443576388888,0.053609212239583336,-0.011345757378472222,-0.00011867947048611111,-0.012776692708333334,-0.011302524142795145,-0.022474500868055556,0.022552490234375,0.0030076768663194445,0.05010986328125,0.04295010036892361,0.04245334201388889,0.03132459852430555,0.06051974826388889,-0.005602518717447911,0.007161458333333333,-0.008133782280815979,0.006157769097222222,-0.001495361328125,0.04618581136067708,0.007559882269965278,0.0161145528157552,0.024787055121527776,0.002656300862630211,0.02303949991861979
14,0.0011308458116319445,0.003668891059027778,0.14600965711805555,0.019219292534722224,0.04255549112955729,0.008134629991319444,-0.004146152072482634,-0.006081475151909722,-0.0006417433420816945,0.2012939453125,0.0005789862738715339,0.005825466579861111,0.030622694227430556,0.008989122178819444,0.0038208431667751783,0.01420720418294271,-0.0006069607204861222,0.009443495008680556,-0.015691969129774313,-0.030571831597222224,-0.0068524678548177,0.009772406684027778,0.018039279513888888,0.009682549370659722,-0.006396823459201389,-0.04575771755642361,-0.002641042073567711,-0.007197062174479167,-0.015760633680555556,0.015025668674045133,0.002774980333116322,-0.040120442708333336
15,-0.07364908854166667,-0.011817084418402778,-0.002051459418402778,-0.0025990804036458335,-0.014797846476236979,0.022237141927083332,-0.007076687282986111,-0.008141411675347222,-0.019606696234809033,0.00762939453125,-0.008753458658854166,0.003242916531032978,0.006174723307291667,0.00039927164713541126,0.016560872395833332,-0.00011020236545138889,-0.018018934461805556,-0.003916422526041667,0.03237575954861111,0.007564968532986111,0.011121961805555556,-0.0008931689792209111,0.0005713568793402778,0.0002555847167968781,-4.525979359943689e-05,-0.023018731011284724,-0.00926081339518229,0.010348849826388888,0.0016000535753038113,0.0026952955457899223,0.06956651475694445,0.06663343641493055
16,0.004784478081597222,-0.0016288757324218665,0.028199089898003467,-0.0002867380777994884,0.026450263129340276,-0.0036089155409071228,0.004244486490885411,0.014024522569444444,-0.043818155924479164,0.001681857638888889,-0.008426242404513888,0.006601121690538201,-0.0019887288411458335,0.021104600694444444,0.0022065904405381997,0.004791259765625,0.265380859375,0.04608493381076389,0.005594041612413189,0.14088948567708334,-0.009335835774739577,-0.028598361545138888,-0.005413691202799488,-0.011742485894097222,-0.006268819173177089,-0.001117282443576389,-0.019900851779513878,-0.005018446180555556,0.0019109514024522555,0.002131991916232644,-0.002996656629774311,0.008734809027777778
17,-0.003325568305121533,-0.008443196614583334,0.008968777126736112,-0.0009892781575520778,0.0030170016818576333,-0.017176310221354168,0.0012058681911892332,0.016499837239583332,-0.029317220052083332,0.014689127604166666,0.030517578125,0.0013097127278645778,0.04250929090711805,0.003762351142035578,0.02287758721245659,0.0004121992323133665,0.00531005859375,-0.0006917317708333334,0.005533854166666667,0.0016682942708333333,0.010233561197916666,-0.0015717082553439665,0.0045013427734375,0.010684543185763888,-0.016247007581922743,-0.015180799696180556,-0.09754774305555555,0.010772705078125,0.0004053115844726674,0.010869873894585503,-0.004511515299479167,0.012257681952582457
18,-0.248779296875,-0.11588541666666667,-0.2771267361111111,-0.054373847113715276,-0.021999782986111112,-0.028095669216579855,0.024641248914930556,-0.0032484266493055555,0.007069057888454855,0.003130594889322922,0.004452175564236122,-0.017306857638888888,-0.0016629960801866333,-0.028251647949218743,-0.0016496446397569445,-0.013361401028103312,-0.0007445017496744791,0.0121002197265625,0.0034840901692708335,-0.020415412055121533,-0.004160563151041667,-0.0020421346028645887,-0.01617431640625,0.013304392496744801,0.014967176649305556,0.005944993760850689,0.010284423828125,-0.011115180121527778,0.0018683539496527778,-0.012790256076388888,-0.009321424696180556,-0.002170138888888889
19,0.0025876363118489446,0.0013164944118923667,-0.013696458604600689,0.009763929578993056,-0.0040435791015625,-0.00898954603407119,-0.002391179402669271,-0.0007006327311198,-0.048238118489583336,-0.027698940700954855,-0.01885986328125,-0.019192165798611112,-0.017069498697916668,-0.018576727973090276,-0.00966776741875542,-0.002860175238715278,-0.031032986111111112,-0.031422932942708336,-0.03219943576388889,-0.06794569227430555,0.0018107096354166667,0.0025465223524305555,0.0037672254774305555,-0.0007146199544270887,0.0022059546576605887,0.0020908249749077637,0.019585503472222224,0.0022633870442708335,0.0011461046006944445,-0.0023345947265625,0.003863864474826389,-0.026859707302517355
