layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.0008983612060546883,-0.0015272252699908117,-0.0017002330106847471,-0.0027061911190257235,0.00022102804744944117,0.00014913082122800658,0.00013490985421570875,0.0002380960127886464,-7.828544167909411e-05,-0.0002183353199678235,-0.0007163216085995003,-9.67558692483293e-05,8.179860956527393e-05,1.1647448820219715e-05,-1.3077960294849678e-05,0.0001058508368099279,0.00013643152573529412,0.003468345193301941,0.0028425104477826295,0.0001010894775390588,0.00017268868053656704,7.354511934167664e-05,0.0026401070987476997,0.0023473851821001765,0.0031720329733455938,0.006929285386029412,-0.001109852510340069,0.00033995684455422943,0.0017162210801068352,0.0001394198659588318,-0.0003334774690515788,-8.543098674099554e-05
1,-0.0023243848015280354,-0.0007927838493796,-0.0003729848300709316,-0.002937933977912452,-0.00029648752773508643,0.0005300185259650764,0.00014854879940257793,-9.527276544009975e-05,-0.0005998471203972273,-0.07435159122242647,-0.0002808009876924351,0.00011413412935594763,-2.488904796978897e-05,-0.0005249275880701312,-3.2081323511393983e-06,4.526446847347675e-06,3.4444472369031095e-05,-0.00014189411612116593,0.00010514960569494904,-0.00024574293809777087,-0.0007156747228958895,-8.34745519301294e-05,-0.0005359649658203139,-0.0003551034366383228,-0.00012940518996294696,-0.0005253062528722374,-0.0013797563665053317,-0.00018780371722051313,0.00041165071375229994,0.0005672679227941117,6.157510420855726e-05,-0.001242385191075932
2,0.03914687212775735,-0.00012779235839844962,-0.0016450320973115822,0.006086237290326289,0.00021942924050724117,-6.691147299371571e-05,-9.626500746784707e-05,-5.774287616504332e-05,-0.0001374553231631964,-7.250685902202333e-05,-1.76762833314868e-05,-2.513387623955479e-05,0.0005547018612132353,0.00048720836639404644,-2.236927256865818e-05,0.0001085225273581294,9.565844255334638e-05,0.00024952607996322904,-0.0005389942842371293,-0.0009905169991885944,-0.0002438916879541697,-1.123678768382353,-0.05866555606617647,-0.05814047420726103,-7.870618034812536e-05,0.0007199680103975143,-0.00018318961648380609,8.622337790097426e-05,-9.385277243221287e-05,6.726559470681878e-05,0.00033020973205564867,0.0004837933708639706
3,-0.0006581474752987176,-0.0005011365694158252,-8.103426764992628e-05,-7.440062130193612e-06,-0.0003352726207060117,-0.0016424515668083705,-0.0008827482952791047,0.0006486703367794231,-0.00011729492860682789,-0.00030572296065442555,-0.000821730669806986,-0.0002472260419060259,-6.547833190243887e-05,-0.00012170567232018438,-0.0002119663883657939,-7.665244972004464e-05,-0.0005319258745978883,-5.441553452434706e-05,-0.0010224510641659002,-0.0008939855238970588,-0.00023945640115178072,-0.0004701193641213764,-0.00010399783358854333,-0.0006356239318847656,-2.4812186465550302e-05,-0.0005186761126798746,-0.0012720086995292976,4.5746564864994576e-06,-0.00039585898904239726,-0.0010799379909739698,-0.0013297515756943675,-0.0008235538707060013
4,0.0006692549761603893,-0.00048738367417279423,-0.005913397845099947,0.0006524254294002647,-4.069594775929592e-05,-0.00025494659648221495,-0.0005959342507755129,-0.0001858963685877172,-0.00017399034079381784,-1.551824457504453e-05,-0.00019469331292544138,-5.6457870146813386e-05,-0.036528643439797795,0.017308852251838234,0.0020330092486213237,0.038531135110294115,0.0001296155592974671,-2.6646782370306967e-06,0.0004034708527957894,0.0006084442138671883,-0.0005272696999942578,0.00010254803825827056,0.004583022173713236,0.0004749298095703117,-9.999555699965237e-05,-0.0010528564453125056,-1.676468288196761e-05,0.00015606249079985624,-0.00036006815293256284,-0.027855368221507353,-0.00042413262759935,0.0009900261374080881
5,-0.00022630393505094706,-0.00014954936854977326,-0.0003465343924129699,-6.998286527723245e-06,0.006819500642664294,-0.004620720358455882,0.035937140969669115,-0.00214235922869514,-0.0003950841286603216,-0.00012599720674401764,0.0006660012637867647,0.0014509313246783117,-0.0003107856301700236,-0.0003255728413076785,-0.003159691305721512,-0.000256822389714846,-0.0001829161363489405,-0.00034397489884321387,-0.00011843793532427803,-0.00010149969774135121,-0.001405884237850408,-0.0008956264047061663,-0.0010016981293173466,-0.0006530004389145853,-0.0015787236830767531,-0.0010550004594466166,-0.0013967962825999472,0.0003287090974695542,-0.0011143403894761058,0.001671286190257353,6.165223963120295e-05,-0.0031188375809613426
6,-0.0013151028577019202,-0.0012770821066463705,-0.43396714154411764,0.03332833682789522,-4.766969119800431e-05,-0.00011238280464620527,-0.00017500975552725722,-7.664806702557143e-05,-0.0006371385910931671,-0.005335302913890165,-0.0008139890782973349,-7.379756254308956e-05,0.0006725525154786948,0.00016888450173769724,-0.001068087185130383,-0.00010258244240985013,-5.48643224379766e-05,-5.5730123730263506e-05,0.0014044817756204001,-0.0006137034472297238,-0.0013836131376378704,-0.0007006981793571947,-0.0028141246122472467,-0.0016797149882596995,-0.003659991657032683,-0.0009981043198529467,-0.002394732306985294,-0.040184918571920955,-0.0002056395306306583,-0.00014759512508617177,-0.00032171519363627686,0.0003496373400968675
7,0.0005999277619754733,-0.000620224896599253,-0.0015779944027171351,-0.000632229973288147,0.003796745749080882,-0.002538793227251841,0.0006053026984719706,-0.005890341366038606,-0.0025142501382266844,-0.0027949529535630266,-0.0020352531881893295,-0.004698641159955195,-0.0003906698787913529,-0.017675063189338234,-0.0060335047104779355,-0.010936961454503676,-0.018771900850183824,0.02511417164522059,-0.8661534926470589,-0.10079597024356618,-0.0023628683651194765,-0.044695685891544115,0.0010254803825827119,-0.0016757740693933824,-0.0012983013601864093,-0.002418630263384647,-0.006329592536477476,-0.002099345712100759,0.0005535658668069228,5.4527731502752965e-05,-8.33904041963399e-05,-0.005248125861672794
8,-0.0005812364466050166,-0.002069809857536765,-0.016194960650275734,-0.003405458786908318,-0.0016598420984604647,-0.007221446317784923,-0.0015395108391256806,-0.00033473968505858817,-0.0024564406451056883,-0.0029390629600076048,-0.01693456313189338,-0.0013631932875689354,-0.0025658326990464176,-0.022653074825511266,-0.0015671673943014705,-0.0003129945081823057,-0.0019399979535271177,-0.000609229592715994,-0.002908145680147059,-0.00012431425206801174,-0.005683365990133859,-0.03517779181985294,0.00039538215188419414,-0.0010719299316406293,-0.0006746325422735694,-0.00019680051242603605,-0.0010215254390940783,0.00038414492326624997,-0.00020944020327398933,-0.0005258146454306111,-0.00010216499076168812,-1.2516975402825416e-05
9,-0.0006625512067009382,0.004168117747587317,0.12349386776194853,0.0012965482823988999,-0.0036787145278033054,-0.002471026252297794,-0.0002830729765050528,-0.00048104454489314593,-0.0003359177533318,-0.017928179572610295,-0.004072021035587077,-0.0007169386919806999,-0.01575077281278723,0.0011056451236500352,-0.004631042480468741,-0.0009956920848173294,-0.00010395050048828236,-0.004410126629997712,-0.0039047353407915763,-0.0010745665606330353,-0.001976349774528941,-0.0010914522058823493,-0.001857364878934974,-0.002137731103336104,-0.0004661223467658458,-0.07291187959558823,-0.6012752757352942,-0.007306267233455882,-0.23938885857077205,0.0009645574233111176,-0.0018111958223230571,-0.007845934699563418
