layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.0003726929426193262,-1.6675392786657778e-05,-7.910728454589526e-05,0.00011297265688578312,-9.218404690424234e-05,-2.8690199057252894e-05,5.493710438411553e-05,-8.56985648473085e-05,2.914344271023753e-05,-0.00017708688974380336,-0.00015632460514704475,-4.007418950398686e-05,0.00010505989193916921,0.0001243154207865481,1.0862946510324842e-05,3.580500682196071e-05,0.015514246622721354,-0.0028739054997762034,-0.002616218725840252,-0.0018308440844217926,-4.7250837087630274e-05,-2.3100773493441534e-05,-0.0017627557118733716,-0.0007288177808125769,-0.0015438437461853,-0.002583567301432291,-2.4234255154925873e-05,2.7497609456406483e-06,-0.000615891814231867,2.833550630990733e-05,-0.00010254134734472183,3.2782865067323085e-05
1,0.00013670641928911144,-0.0006099561850229903,8.757486939430244e-05,0.000128534187873206,-6.569325923919501e-05,-0.0003688385089238398,-7.35222051541018e-05,-1.1000533898669762e-05,-3.3387914299951738e-06,0.05947043100992839,8.968723316987219e-05,-4.5918595666685685e-05,4.174618516119821e-06,4.2852231611806606e-05,1.3705622404816397e-05,-1.0360094408194484e-05,-6.363044182459691e-05,-2.7422358592352304e-05,-0.0001121144741773589,-0.00012984549005826324,2.3746676743031608e-05,-9.003480275472164e-05,-5.266455312569602e-05,3.8552097976206784e-05,-0.00011761536200840729,5.730831374724537e-05,6.344070037205868e-05,-1.5130514899889745e-05,-0.0006001452604929592,-0.000396034121513363,-0.00012264251708984074,-0.00019196222225825044
2,-0.03374163309733073,8.597758909066756e-05,0.0008849044640858963,-0.005587272842725118,-3.698356449603946e-05,-7.485970854761219e-06,0.0002106299002965324,6.043165922162351e-06,4.988163709640222e-05,-6.443378515541893e-06,6.580011298262795e-06,2.2890356679755975e-05,-6.322860717773417e-05,6.312765181064893e-05,5.582595864931666e-05,0.0003978453576564748,4.564144959052455e-05,-1.7027060190837264e-05,0.0012334406375885043,0.0013225833574930853,0.0001467220485210336,0.8920084635416666,0.055421066284179685,0.06542491912841797,-6.851019958654978e-05,0.00038820902506510503,-0.00038147525240977823,-6.874830772479585e-05,9.836355845133569e-05,0.00025862976908684024,2.129562199115829e-05,6.0445070266724115e-05
3,0.0006825129191080762,8.541171749433296e-05,-1.1251525332534177e-05,-0.00013023416201273828,2.350608507792894e-05,-0.00028399452567100106,-7.026207943757594e-05,0.00022700950503349733,-1.795430046816817e-05,9.630575465659121e-05,0.00044191877047221524,3.1143426895138476e-06,-2.305669089158504e-05,3.1792900214589304e-05,1.247987772026374e-06,8.130764278271214e-06,0.0003113036354382849,-4.955530166625959e-05,0.0006348371505737304,0.0010475794474283854,7.743829240401539e-05,0.00016669308145840836,6.356400748092335e-06,-0.00020363926887512077,7.375368538001044e-06,0.00019969732190171813,0.0012286493321880625,-3.218706697225632e-05,7.279229660828977e-05,-3.8926800092066174e-05,0.00016511753201484795,-2.6954586307204707e-05
4,-0.0006796106696128947,3.5647551218669165e-05,0.002168150742848713,-0.00014417171478271418,-5.149928232034197e-05,4.0133359531561034e-05,1.1847664912549404e-05,-9.741013248761264e-05,3.2656112064913075e-05,5.60407837229806e-07,0.00019108739991982162,4.50948874155654e-05,0.0744036356608073,-0.019287681579589842,-0.0012828310330708858,-0.0067657470703125,-7.946106294794435e-06,-3.547513236602576e-05,-6.376747041940886e-05,-0.0003028862178325701,1.794099807737842e-06,-0.0001441121101379421,-0.003848393758138021,-0.0003205171475807904,0.00016109347343444593,0.0007434844970703125,-0.00012734122574329575,-0.00025592166930436496,5.434934670726208e-05,0.01858491897583008,0.00014557701845963565,-0.0011801828940709463
5,7.312745631982525e-05,4.577620420604704e-05,3.388654440640829e-05,-1.955417295297289e-05,-0.0057913283507029225,0.00219461917877197,-0.03382807572682699,0.0007943776746590941,7.083068291346605e-05,-0.00014531314373016782,-0.000993156433105468,-0.0007266044616699221,0.00027320918937523783,0.00016054914643367108,0.0014379600683848076,1.9817302624366835e-06,7.717286547024808e-05,7.741500933964741e-05,9.496740531176335e-05,-1.2931282011172548e-05,0.00048794075846671594,0.0004387342060605666,0.00021326492230097288,-0.0006228764851888012,0.00022255753477413995,0.00045849494248005943,0.0001987515638271966,-0.0008623699347178193,0.0003288333614667287,-0.002965577443440755,-0.00018950700759888317,0.0001101026932398471
6,0.0007074256738026949,0.00031729340553283833,0.48048502604166665,-0.04511217872301738,0.0001128842433293629,0.00010427835707863098,-2.9499760906524658e-05,0.00012360182590782765,0.00020265529553095137,0.004868663350741069,0.00026384815573692066,-0.00031193047761917124,0.00021218173205853047,-2.1165609359735076e-05,-1.6662354270617217e-05,8.816027936215282e-05,-0.00041767259438832145,4.116588582594677e-05,-0.0010974526405334464,0.0003955682118733746,0.0011180877685546895,0.00033238554994264913,0.0016369938850402848,0.0006835699081420848,-0.0003554090857505814,0.0004203482220570281,0.0013460477193196617,0.029974953333536784,-5.456848690907533e-05,-0.0007495750983556096,0.00020313933491706364,-9.265787278612849e-05
7,-4.5097588251038076e-05,0.0003351052602132153,0.00032398303349813126,0.000324907898902889,-0.0017476598421732588,0.0011894380052884393,-6.807645161946667e-05,0.0026389996210734053,8.015806476275091e-05,0.0004142614702383659,0.0003733607629934925,0.00167953868707021,-0.0003810058037439964,0.001784483591715495,0.0026897629102071146,0.006782326102256775,0.022078768412272135,-0.01849363644917806,0.8580769856770833,0.08930336634318034,0.0005506383876005797,0.03526960611343384,-0.0012679557005564382,0.0011272072792053226,0.0003436249991257947,0.000512126088142396,0.0014973054329554239,0.0003645509481430005,0.00010853012402852248,1.63714090983079e-05,0.00011131887634595612,0.002297228574752807
8,-0.0006768748164176962,-0.0008364121119181313,0.006609773635864259,0.0006196943422158567,0.0013555904229481982,0.005570254723230996,0.0006711758673191043,-0.0002998004357020066,-0.0014978259801864651,-1.4443943897882883e-05,0.013208707173665365,-0.00044200470050175975,0.0005374938249587996,0.011061505476633707,0.00042730867862701417,8.95490869879685e-05,0.0014291803042093937,0.00041883687178293806,0.0026911099751790366,-0.00035544435183207206,0.0032546661794185644,0.018669206897417703,0.002181168397267661,-0.005941383043924967,-7.340558804571887e-05,-0.0005585850216448333,1.8221388260521902e-05,-0.0003038264811039034,1.5761024163411832e-05,-9.073254962762592e-06,9.708933066574689e-06,7.391651161016058e-06
9,0.0001412627597649904,-0.0021707172195116705,-0.16475218534469604,0.0006879170735677078,0.0018550872802734367,0.0014528766274452217,-0.0009975016117095953,0.0002490645895401642,-0.0005525628725687653,0.02177394231160482,0.0021588290731112177,1.3550619284314036e-05,0.012312700351079307,-0.00030990242958068816,0.003029861052831013,0.0005088378985722864,-0.0009319593509038334,0.003060608108838397,0.0023275325695673666,0.0003283535440762844,0.0013563190897305816,4.2265653610229826e-05,7.999564210573892e-05,0.0004525244235992439,0.0008848637342452974,0.05196835199991862,0.54444580078125,-0.0012037436167399093,0.14917624791463216,-0.0023827786246935507,0.0003388509154319753,0.004868207375208536
