layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-0.0001548833113450257,0.00010838985443115317,7.077290461613803e-05,0.00041451197404127673,-0.00019386034745436253,-3.385800581711775e-05,-4.6475483820987144e-05,-1.2595470135029242e-05,0.00011494636535644323,-7.275141202486585e-05,0.0007678277675922113,0.00010584757878230215,4.590841440056172e-06,-2.61702904334473e-05,1.3610766484188392e-05,-5.561828613280665e-05,-0.0019755158057579627,-0.0013447776207557095,-0.0010260127140925505,-0.00017319019024188901,-3.4465239598195704e-05,-5.0298250638517704e-05,-0.0011363425621619613,-0.00044614498431866097,-0.0013207450279822716,-0.0018075268085186288,0.000414382861210748,-0.0002957754868727488,-0.0002579542306753298,0.00014523376639072547,8.220819326547446e-05,5.988235657031396e-05
1,0.0004744570988875197,-0.0005457247220552873,0.0002424856332632198,0.0009681765849773699,2.698045510512064e-05,-4.135425274188454e-05,-3.7449139815086087e-06,1.218616962432619e-05,0.0001740143849299481,7.067111822275098e-05,0.0001277162478520307,7.930893737536137e-05,5.400753938254973e-07,8.082126195613683e-05,1.568151208070513e-05,1.754875366504036e-05,0.00010489807679103094,-2.326506834764294e-06,1.1161932578449982e-05,0.00014971072857196535,0.0002766846693479079,7.366904845602124e-06,0.0001147688352144659,5.6823675449073214e-05,-0.00013061853555532048,3.1641813424921134e-05,-5.72435672466571e-05,2.538839211830665e-05,-0.0024282836914062515,-3.726078913761804e-05,-2.763445560748836e-05,-3.783776209904427e-05
2,-0.0037047870342548075,-0.00029438642355111616,-0.0012381759056678194,-0.0026516488882211537,-0.00014793561055109777,-3.4114672587467e-05,-0.00019389629364013357,-4.870616472684436e-05,-6.397751661447108e-05,-4.067948231328641e-06,-1.1223921409020508e-05,-2.8481024962205768e-05,-0.0006726895845853366,-0.0006108841529259308,-0.0002266892103048429,-9.244148547832595e-05,-8.4103620969328e-05,-9.221113645112782e-05,-0.0007907830751859228,-0.0002847312046931324,-4.7238629597867655e-06,-0.0003652455256535439,-9.693310810968956e-05,-3.5253213002126383e-05,-7.218287541315927e-05,-0.0005345947925861074,9.215978475715568e-06,-5.82417845726023e-05,-0.0001305149151728689,6.685266127953566e-05,-3.5821382816018856e-05,-0.00011833851154033664
3,-0.0004873466491699227,-5.6255413935728924e-05,-2.8041234383209867e-05,-0.00026059003976674946,-0.00020302763352027567,-0.00033593122775737994,-0.0002635323084317726,-0.000509615494654729,-5.4922929176879275e-06,-1.7339850847539776e-06,-0.00023324416233942824,-3.1715471010940215e-05,3.5156432825785026e-05,-2.8018997265739347e-05,1.4060552303605581e-05,1.4174592036465642e-05,-0.00011819692758413439,-0.0001764502892127352,-0.0014878434401292065,-0.000693218524639423,-0.0001612783395327016,-0.00013698064363919365,-4.597487357946048e-05,-0.0005842707707331726,-6.952304106491956e-05,-0.00013245415229063676,-8.38128061821843e-05,-3.989370969625386e-05,-9.515033318445604e-05,-0.0002473790599749604,-8.934337359207996e-05,-0.0001870558812068036
4,-0.00021627536186804994,-0.0002836799621582003,6.773728590744954e-05,-0.00036887829120342303,-0.00011174536668336796,-7.614480188259522e-05,-0.00044245463151198165,-0.00013825342059135397,-6.882575842050062e-05,-5.023360252380037e-05,-0.00014763742685317883,-5.782292439386956e-05,-0.008520513681265024,-0.005017794095552885,-0.00022734715388370925,-0.009481482872596154,-8.858550053375982e-05,-1.5855133533473592e-05,-4.6308487653731196e-05,-0.00013843848155094753,-0.0001929679283728937,-0.0002628678541916997,-0.002747521033653846,-0.00023413217984712413,-0.0002814744069026054,-0.0009312086838942304,-9.488513836493626e-05,-8.942869993356015e-05,-3.7534970503584435e-05,-0.0009605378371018625,-0.00020495616472684372,-0.000551172403188851
5,-2.6036690060905366e-05,-4.790849410570538e-06,1.5631730739887915e-05,-2.3166285111350996e-05,-0.0018475019014798678,-0.002543352567232572,-0.0022452603853665865,-0.00016139067136324635,-0.00011958764149592128,-0.00016346564659705347,-0.0008663705679086531,-0.0006199059119591344,-0.0001394165249971237,-0.00011026565845195732,-0.0005493956345778234,-0.0001297473907470655,8.620032897362319e-05,4.5074132772591765e-05,4.9580530478405834e-05,1.1624556321364268e-05,-0.00021918796575986094,-0.00029008626937866125,-0.0001979703628099837,-0.0009683121626193681,-0.00030840717829191066,3.5246470226692796e-05,-0.0005724211839529184,-0.0003281564895923306,-0.00022137880325317084,-0.0018226271409254808,-0.00026967342083270766,-0.0013810201791616577
6,-0.0008668327331542956,0.0009583121079664974,0.00146434783935547,-0.0050035623403695915,-0.0002261710166931159,3.766050705542832e-05,7.283527690630952e-05,-4.9020831401532345e-05,-1.2183556189900537e-05,-0.00076665218059833,2.6160020094650783e-06,-0.000287653849675104,3.1801914939516195e-05,2.4858300502482766e-05,5.056335375859405e-05,-4.125180152746598e-06,-0.0011229720482459405,-7.172098526587316e-05,-0.000422829848069408,-0.0004410475950974659,-0.0007549227201021628,-0.00012076295339144071,-0.0005100749089167664,-0.0002707085242638209,-0.001703951175396258,-0.0005290192824143624,-0.0015407855694110576,-0.003189415564903846,-0.00011813150002406193,-0.0005959041302020725,-0.00023053930355952375,-0.00010205933680901237
7,-8.865021742301604e-06,8.870088137113272e-05,-0.0004942596875704239,-0.0003667075817401571,-0.0020289729191706723,-0.0004440314953143793,-0.0002648650682889491,-0.0007972966707669751,0.00026350718278151346,-0.00032569701854999326,-0.00047976090357854036,0.00022698035606971034,-0.0003390827545752902,-0.005443775470440205,-4.3621796828047536e-05,-0.002697284405048077,-6.780830713420371e-06,-0.01119037334735577,0.0002963729546620279,0.00012115955352783167,-6.30261347844086e-05,0.003610276442307692,-0.0006625644977276137,-0.0006156114431527946,-0.0002011691606961766,-0.00036582653339092087,-0.0011840622241680427,-0.00028644506747905877,-0.0008694391984205985,-0.0015333205003004809,-0.0001909631949204629,-0.001456991342397836
8,-0.0006473765006432174,-0.0008340828235332796,0.0010439935097327586,-5.1955764110272797e-05,-8.163305429311637e-05,-0.0003029119051419785,-5.362143883338433e-05,-0.00022053223389845565,-0.0008351912865271943,-0.0006085228002988347,-0.00048454578106219806,-0.0009030140363253084,-0.0003778853783240686,-0.001305688711313103,-0.00019582454974834774,-0.0001349260715337865,-0.0004189872741699206,-0.0007542346074030951,-0.0012649301382211538,-0.00021234145531287432,-0.0002556662376110342,-0.0011479326394888078,-0.00018876735980694095,0.0028976792555588937,-0.00019939477627093516,-0.0009044151122753442,-0.0005092077988844659,-0.00031552883294912534,1.6966255811542203e-05,-5.054143758920716e-05,-9.467452764507648e-06,-3.3245292993693026e-05
9,0.00029102692237267146,0.0006273399866544285,-0.022698716383713943,-0.0008492689866286056,-0.00010659437913161062,-0.00018383888097909837,0.0012178288973294777,-0.0001780650248894313,-0.001348595252403846,-0.0031853778545673085,0.0005849574162409862,-0.0002142587074866647,0.00019911545973557633,-4.764116727388774e-05,-0.00017878899207482245,0.0006601029175978437,-0.00031066087576059185,-0.0012142287767850438,-0.0007936312602116508,-0.0002463592015779942,-0.0001531291007995632,1.1521302736719164e-05,-0.0003279605278602007,-0.00022633699270394893,0.00011183289381174074,-0.0003840302962523253,-0.0010927809201754075,0.002012381920447717,0.023641110933743992,-0.0016875369732196521,-0.00020224993045513755,0.00021552746112530092
